,date,symbol,open,close,low,high,volume
625,2010-01-04,SHW,62.139998999999996,61.669998,61.169998,62.139998999999996,1338000.0
1093,2010-01-05,SHW,61.59,60.209998999999996,59.549999,61.860001000000004,3081500.0
1561,2010-01-06,SHW,60.389998999999996,59.419998,58.919998,61.02,2491700.0
2029,2010-01-07,SHW,59.419998,59.950001,59.419998,60.470001,1340000.0
2497,2010-01-08,SHW,59.939999,60.459998999999996,59.779999,60.470001,865300.0
2965,2010-01-11,SHW,61.970001,59.630001,58.540001000000004,61.970001,1536800.0
3433,2010-01-12,SHW,59.419998,59.419998,59.25,60.34,1381700.0
3901,2010-01-13,SHW,59.610001000000004,60.18,59.610001000000004,60.360001000000004,660000.0
4369,2010-01-14,SHW,60.259997999999996,60.529999,60.130001,60.709998999999996,1073400.0
4837,2010-01-15,SHW,60.27,59.189999,59.169998,60.27,1671600.0
5305,2010-01-19,SHW,58.880001,59.369999,58.299999,59.419998,1167600.0
5773,2010-01-20,SHW,59.040001000000004,58.790001000000004,58.439999,59.040001000000004,1014700.0
6241,2010-01-21,SHW,58.700001,58.610001000000004,58.369999,59.52,1583200.0
6709,2010-01-22,SHW,58.630001,58.0,57.860001000000004,59.189999,1871200.0
7177,2010-01-25,SHW,58.52,58.919998,58.259997999999996,59.389998999999996,2043600.0
7645,2010-01-26,SHW,62.799999,62.830002,62.560001,64.300003,6087100.0
8113,2010-01-27,SHW,62.830002,63.869999,62.279999,64.059998,2272100.0
8581,2010-01-28,SHW,64.08000200000001,63.580002,63.130001,64.08000200000001,1580300.0
9049,2010-01-29,SHW,63.66,63.349998,63.080002,64.629997,2061500.0
9517,2010-02-01,SHW,63.77,64.620003,63.5,64.75,1190500.0
9985,2010-02-02,SHW,64.849998,65.559998,63.799999,65.620003,1478800.0
10453,2010-02-03,SHW,65.33000200000001,64.25,63.950001,65.33000200000001,1536300.0
10921,2010-02-04,SHW,64.129997,63.849998,63.490002000000004,64.16999799999999,1525500.0
11389,2010-02-05,SHW,64.019997,63.900002,62.860001000000004,64.25,1376000.0
11857,2010-02-08,SHW,63.98,63.200001,63.110001000000004,64.099998,1269800.0
12325,2010-02-09,SHW,63.639998999999996,63.77,63.470001,64.410004,1605700.0
12793,2010-02-10,SHW,63.599998,62.98,62.599998,63.650002,1752100.0
13261,2010-02-11,SHW,62.990002000000004,63.73,62.900002,63.779999,1052700.0
13729,2010-02-12,SHW,63.16,63.950001,62.650002,64.040001,1042100.0
14197,2010-02-16,SHW,64.25,64.540001,64.18,64.800003,748200.0
14665,2010-02-17,SHW,64.910004,65.040001,64.83000200000001,65.41999799999999,740100.0
15133,2010-02-18,SHW,65.089996,65.230003,64.309998,65.339996,714100.0
15601,2010-02-19,SHW,64.949997,65.370003,64.800003,65.639999,739100.0
16069,2010-02-22,SHW,65.519997,64.809998,64.66999799999999,65.739998,933300.0
16537,2010-02-23,SHW,64.470001,64.129997,64.059998,65.029999,789800.0
17005,2010-02-24,SHW,64.099998,64.389999,63.860001000000004,64.57,646200.0
17473,2010-02-25,SHW,63.810001,64.339996,63.34,64.400002,827000.0
17941,2010-02-26,SHW,64.410004,63.380001,63.330002,64.449997,1090500.0
18409,2010-03-01,SHW,63.599998,63.740002000000004,63.040001000000004,63.98,853600.0
18877,2010-03-02,SHW,64.16999799999999,64.08000200000001,63.650002,64.230003,660200.0
19345,2010-03-03,SHW,64.290001,64.010002,63.849998,64.410004,948700.0
19813,2010-03-04,SHW,64.199997,64.730003,64.129997,65.150002,1065000.0
20281,2010-03-05,SHW,65.110001,65.160004,64.769997,65.33000200000001,707500.0
20749,2010-03-08,SHW,65.32,65.260002,64.970001,65.559998,954800.0
21217,2010-03-09,SHW,64.910004,65.5,64.910004,65.989998,681500.0
21685,2010-03-10,SHW,65.389999,64.699997,64.400002,65.389999,1266900.0
22153,2010-03-11,SHW,65.269997,65.25,63.889998999999996,65.269997,1245200.0
22621,2010-03-12,SHW,65.440002,65.540001,65.040001,65.66999799999999,719400.0
23089,2010-03-15,SHW,65.599998,65.610001,65.089996,65.650002,648600.0
23557,2010-03-16,SHW,65.699997,65.07,64.519997,65.699997,861500.0
24025,2010-03-17,SHW,65.120003,65.760002,64.940002,66.16999799999999,1222100.0
24493,2010-03-18,SHW,65.68,65.279999,65.279999,66.099998,1055900.0
24961,2010-03-19,SHW,65.300003,65.300003,65.029999,65.57,2041100.0
25429,2010-03-22,SHW,65.110001,65.760002,64.839996,66.150002,1189200.0
25897,2010-03-23,SHW,65.769997,66.459999,65.43,66.519997,863400.0
26365,2010-03-24,SHW,66.32,65.849998,65.559998,66.459999,818200.0
26833,2010-03-25,SHW,66.199997,66.400002,65.870003,67.089996,1722700.0
27301,2010-03-26,SHW,66.639999,66.839996,66.5,67.160004,887800.0
27769,2010-03-29,SHW,67.129997,67.010002,66.839996,67.389999,550800.0
28237,2010-03-30,SHW,67.040001,66.970001,66.940002,67.410004,818300.0
28705,2010-03-31,SHW,66.800003,67.68,66.629997,68.029999,1107600.0
29173,2010-04-01,SHW,67.809998,68.25,67.809998,68.82,988300.0
29641,2010-04-05,SHW,68.18,68.989998,68.08000200000001,69.129997,953800.0
30109,2010-04-06,SHW,68.75,69.870003,68.400002,69.93,1132400.0
30577,2010-04-07,SHW,69.779999,69.849998,69.239998,70.239998,1879300.0
31045,2010-04-08,SHW,69.309998,70.839996,68.91999799999999,71.260002,3189900.0
31513,2010-04-09,SHW,70.910004,71.209999,70.199997,71.32,1382300.0
31981,2010-04-12,SHW,71.360001,72.309998,71.019997,72.779999,2499200.0
32449,2010-04-13,SHW,71.959999,72.33000200000001,71.790001,72.379997,2320700.0
32917,2010-04-14,SHW,72.510002,72.790001,71.769997,72.809998,1394600.0
33385,2010-04-15,SHW,72.639999,73.489998,72.379997,73.650002,1264100.0
33853,2010-04-16,SHW,73.360001,72.959999,72.629997,73.519997,1705400.0
34321,2010-04-19,SHW,72.349998,73.16999799999999,72.139999,73.18,1101200.0
34789,2010-04-20,SHW,73.32,73.980003,73.230003,74.139999,1391800.0
35257,2010-04-21,SHW,73.730003,74.309998,73.730003,74.68,1739700.0
35725,2010-04-22,SHW,73.110001,79.33000200000001,73.110001,79.550003,4325000.0
36193,2010-04-23,SHW,78.029999,79.540001,77.839996,79.650002,2086600.0
36661,2010-04-26,SHW,79.709999,79.940002,79.099998,80.33000200000001,1202500.0
37129,2010-04-27,SHW,79.059998,79.410004,78.410004,80.209999,2239300.0
37598,2010-04-28,SHW,79.559998,79.32,78.889999,79.730003,2146000.0
38067,2010-04-29,SHW,79.790001,79.150002,78.860001,79.860001,1377800.0
38536,2010-04-30,SHW,79.290001,78.07,78.019997,79.639999,1456500.0
39005,2010-05-03,SHW,78.18,80.010002,77.779999,80.220001,1210100.0
39474,2010-05-04,SHW,79.360001,78.449997,77.839996,79.360001,1163700.0
39943,2010-05-05,SHW,77.779999,77.050003,76.660004,78.389999,1881400.0
40412,2010-05-06,SHW,76.769997,76.33000200000001,73.66999799999999,77.720001,2297900.0
40881,2010-05-07,SHW,76.25,75.949997,75.480003,78.019997,3197900.0
41350,2010-05-10,SHW,77.339996,79.449997,77.339996,79.529999,1466400.0
41819,2010-05-11,SHW,78.519997,79.480003,78.410004,80.489998,995400.0
42288,2010-05-12,SHW,79.809998,80.41999799999999,79.779999,80.529999,1287200.0
42757,2010-05-13,SHW,80.040001,78.220001,77.970001,80.230003,1272000.0
43226,2010-05-14,SHW,77.879997,77.739998,77.07,78.449997,1579200.0
43695,2010-05-17,SHW,78.190002,79.120003,77.400002,79.239998,1848700.0
44164,2010-05-18,SHW,79.589996,78.08000200000001,77.769997,79.66999799999999,1032800.0
44633,2010-05-19,SHW,77.25,77.93,76.389999,78.199997,1847500.0
