,date,symbol,open,close,low,high,volume
629,2010-01-04,SLG,50.68,48.93,48.580002,51.25,2415600.0
1097,2010-01-05,SLG,48.709998999999996,48.02,47.240002000000004,48.810001,2564200.0
1565,2010-01-06,SLG,48.189999,47.700001,47.369999,48.790001000000004,1994000.0
2033,2010-01-07,SLG,47.860001000000004,48.91,46.689999,48.959998999999996,2150800.0
2501,2010-01-08,SLG,48.43,48.560001,47.27,48.860001000000004,2210500.0
2969,2010-01-11,SLG,49.889998999999996,49.43,49.119999,50.490002000000004,1259200.0
3437,2010-01-12,SLG,48.700001,49.619999,48.700001,50.82,3027000.0
3905,2010-01-13,SLG,49.669998,50.810001,49.02,51.0,1399300.0
4373,2010-01-14,SLG,50.52,50.59,50.0,51.66,1443400.0
4841,2010-01-15,SLG,50.400002,50.049999,50.0,50.91,1113000.0
5309,2010-01-19,SLG,50.060001,51.720001,50.040001000000004,52.209998999999996,1618500.0
5777,2010-01-20,SLG,51.080002,50.98,50.16,51.27,1127200.0
6245,2010-01-21,SLG,51.259997999999996,47.709998999999996,47.669998,51.619999,1875000.0
6713,2010-01-22,SLG,46.98,46.0,45.049999,48.119999,2932100.0
7181,2010-01-25,SLG,46.560001,45.919998,44.119999,46.560001,2892600.0
7649,2010-01-26,SLG,45.43,45.720001,44.470001,46.560001,2637000.0
8117,2010-01-27,SLG,45.610001000000004,45.93,44.43,46.32,2400300.0
8585,2010-01-28,SLG,45.970001,45.639998999999996,45.32,46.099998,1939500.0
9053,2010-01-29,SLG,46.029999,45.490002000000004,44.810001,46.360001000000004,1935500.0
9521,2010-02-01,SLG,46.689999,47.549999,46.130001,47.66,1806900.0
9989,2010-02-02,SLG,47.779999,47.990002000000004,47.130001,48.029999,1521700.0
10457,2010-02-03,SLG,47.639998999999996,47.759997999999996,46.77,47.860001000000004,1517100.0
10925,2010-02-04,SLG,47.18,45.099998,44.939999,47.18,2290200.0
11393,2010-02-05,SLG,45.169998,45.540001000000004,43.810001,46.490002000000004,2295700.0
11861,2010-02-08,SLG,45.84,44.18,44.060001,46.41,1488900.0
12329,2010-02-09,SLG,45.080002,44.259997999999996,43.330002,45.080002,1827500.0
12797,2010-02-10,SLG,44.16,44.75,43.490002000000004,45.299999,1273000.0
13265,2010-02-11,SLG,44.48,45.330002,44.23,45.5,1076600.0
13733,2010-02-12,SLG,44.57,45.959998999999996,44.25,46.07,1128200.0
14201,2010-02-16,SLG,46.689999,47.939999,46.290001000000004,48.02,1485000.0
14669,2010-02-17,SLG,48.139998999999996,47.900002,47.450001,48.580002,1152300.0
15137,2010-02-18,SLG,47.52,48.110001000000004,47.240002000000004,48.549999,1270500.0
15605,2010-02-19,SLG,47.639998999999996,48.119999,47.5,48.369999,1514100.0
16073,2010-02-22,SLG,48.349998,49.57,48.169998,50.0,1452600.0
16541,2010-02-23,SLG,49.389998999999996,48.790001000000004,48.59,49.57,1531700.0
17009,2010-02-24,SLG,48.93,49.959998999999996,48.470001,49.98,1280800.0
17477,2010-02-25,SLG,49.02,50.490002000000004,48.869999,50.580002,694000.0
17945,2010-02-26,SLG,50.540001000000004,51.060001,50.07,51.5,1014700.0
18413,2010-03-01,SLG,51.5,51.5,51.029999,51.75,961600.0
18881,2010-03-02,SLG,51.689999,52.41,51.630001,52.66,907100.0
19349,2010-03-03,SLG,52.470001,52.07,51.880001,52.919998,519000.0
19817,2010-03-04,SLG,52.349998,52.830002,52.16,53.0,694600.0
20285,2010-03-05,SLG,53.16,55.400002,52.970001,55.740002000000004,1435300.0
20753,2010-03-08,SLG,55.360001000000004,57.450001,55.360001000000004,57.869999,1758900.0
21221,2010-03-09,SLG,56.990002000000004,57.0,56.700001,58.580002,1386700.0
21689,2010-03-10,SLG,57.209998999999996,57.110001000000004,56.450001,58.16,1221900.0
22157,2010-03-11,SLG,56.029999,57.369999,55.82,57.59,1471000.0
22625,2010-03-12,SLG,57.599998,56.41,55.900002,57.639998999999996,1296300.0
23093,2010-03-15,SLG,56.34,55.669998,54.799999,56.5,1033200.0
23561,2010-03-16,SLG,55.669998,57.080002,55.669998,57.400002,1206900.0
24029,2010-03-17,SLG,57.470001,57.599998,57.240002000000004,58.25,1084600.0
24497,2010-03-18,SLG,57.66,56.740002000000004,56.700001,58.07,782500.0
24965,2010-03-19,SLG,55.18,55.18,55.119999,56.959998999999996,1344600.0
25433,2010-03-22,SLG,54.830002,55.509997999999996,54.330002,55.900002,1305000.0
25901,2010-03-23,SLG,55.529999,54.900002,54.709998999999996,55.779999,1190800.0
26369,2010-03-24,SLG,54.48,54.779999,54.349998,55.240002000000004,1820000.0
26837,2010-03-25,SLG,55.240002000000004,55.93,55.209998999999996,57.09,1107000.0
27305,2010-03-26,SLG,56.049999,54.549999,54.130001,56.330002,1707400.0
27773,2010-03-29,SLG,54.779999,56.119999,54.419998,56.490002000000004,1182500.0
28241,2010-03-30,SLG,56.220001,57.060001,56.02,57.439999,1225000.0
28709,2010-03-31,SLG,56.709998999999996,57.27,56.599998,59.16,2381200.0
29177,2010-04-01,SLG,57.779999,57.799999,57.150002,58.68,1080300.0
29645,2010-04-05,SLG,58.049999,60.389998999999996,57.990002000000004,60.75,1131600.0
30113,2010-04-06,SLG,60.259997999999996,63.490002000000004,60.23,64.480003,3048400.0
30581,2010-04-07,SLG,63.09,59.849998,59.389998999999996,63.560001,2096600.0
31049,2010-04-08,SLG,59.470001,60.5,59.16,60.709998999999996,1007100.0
31517,2010-04-09,SLG,60.919998,61.799999,60.48,62.0,1114600.0
31985,2010-04-12,SLG,61.75,60.529999,60.380001,61.779999,903800.0
32453,2010-04-13,SLG,60.470001,62.049999,60.470001,62.630001,1105700.0
32921,2010-04-14,SLG,62.619999,61.66,61.5,62.959998999999996,1085100.0
33389,2010-04-15,SLG,61.290001000000004,59.82,59.790001000000004,62.189999,1372700.0
33857,2010-04-16,SLG,59.66,58.360001000000004,58.32,61.0,1344200.0
34325,2010-04-19,SLG,58.029999,59.389998999999996,57.880001,59.759997999999996,855900.0
34793,2010-04-20,SLG,60.02,60.860001000000004,58.970001,60.91,862100.0
35261,2010-04-21,SLG,61.209998999999996,62.279999,60.66,62.57,847400.0
35729,2010-04-22,SLG,61.529999,63.82,61.099998,64.25,733800.0
36197,2010-04-23,SLG,63.619999,64.519997,62.860001000000004,65.160004,781900.0
36665,2010-04-26,SLG,64.300003,64.33000200000001,64.190002,66.110001,899900.0
37133,2010-04-27,SLG,60.810001,61.419998,59.900002,63.549999,1940300.0
37602,2010-04-28,SLG,62.23,62.349998,61.599998,63.16,1034800.0
38071,2010-04-29,SLG,63.209998999999996,64.800003,62.970001,64.989998,1130900.0
38540,2010-04-30,SLG,64.800003,62.169998,61.799999,65.279999,1009300.0
39009,2010-05-03,SLG,62.900002,64.709999,62.599998,65.190002,805000.0
39478,2010-05-04,SLG,63.209998999999996,65.120003,62.73,65.739998,2068100.0
39947,2010-05-05,SLG,64.029999,65.0,63.029999,66.440002,1828800.0
40416,2010-05-06,SLG,64.360001,62.900002,59.259997999999996,64.68,3129600.0
