,date,symbol,open,close,low,high,volume
634,2010-01-04,SPGI,33.919998,33.610001000000004,33.380001,33.919998,1572200.0
1102,2010-01-05,SPGI,33.490002000000004,33.639998999999996,33.32,33.639998999999996,1443400.0
1570,2010-01-06,SPGI,33.400002,33.34,33.200001,33.599998,1328300.0
2038,2010-01-07,SPGI,33.360001000000004,34.080002,33.259997999999996,34.119999,2010700.0
2506,2010-01-08,SPGI,33.939999,33.950001,33.610001000000004,34.060001,1075400.0
2974,2010-01-11,SPGI,34.16,33.759997999999996,33.560001,34.16,765000.0
3442,2010-01-12,SPGI,33.439999,33.25,33.16,33.650002,2621400.0
3910,2010-01-13,SPGI,33.32,33.380001,33.09,33.720001,2024900.0
4378,2010-01-14,SPGI,33.419998,33.34,33.200001,33.490002000000004,1706000.0
4846,2010-01-15,SPGI,33.330002,33.23,33.040001000000004,33.700001,1696900.0
5314,2010-01-19,SPGI,33.139998999999996,33.450001,32.790001000000004,33.599998,1912700.0
5782,2010-01-20,SPGI,33.099998,33.68,33.049999,33.75,1668300.0
6250,2010-01-21,SPGI,33.779999,33.34,33.25,34.150002,1454900.0
6718,2010-01-22,SPGI,33.220001,33.259997999999996,33.02,33.529999,2397200.0
7186,2010-01-25,SPGI,33.549999,33.400002,33.169998,33.549999,1825100.0
7654,2010-01-26,SPGI,33.400002,34.23,32.68,34.619999,2805500.0
8122,2010-01-27,SPGI,35.009997999999996,35.709998999999996,35.009997999999996,36.380001,3966600.0
8590,2010-01-28,SPGI,35.66,35.560001,35.330002,36.669998,3892300.0
9058,2010-01-29,SPGI,35.66,35.450001,35.27,36.139998999999996,2731500.0
9526,2010-02-01,SPGI,35.639998999999996,35.439999,35.310001,35.98,1801400.0
9994,2010-02-02,SPGI,35.470001,35.549999,34.959998999999996,35.779999,2077300.0
10462,2010-02-03,SPGI,35.380001,35.549999,35.25,35.830002,1267700.0
10930,2010-02-04,SPGI,35.299999,34.369999,34.349998,35.299999,1633000.0
11398,2010-02-05,SPGI,34.389998999999996,34.220001,33.5,34.599998,2269100.0
11866,2010-02-08,SPGI,34.07,33.650002,33.48,34.07,1965400.0
12334,2010-02-09,SPGI,34.049999,34.009997999999996,33.610001000000004,34.330002,2203000.0
12802,2010-02-10,SPGI,33.830002,33.57,33.330002,34.130001,2310500.0
13270,2010-02-11,SPGI,33.540001000000004,34.07,33.25,34.200001,1641000.0
13738,2010-02-12,SPGI,33.939999,34.169998,33.459998999999996,34.369999,2102000.0
14206,2010-02-16,SPGI,34.330002,34.5,34.080002,34.59,1283300.0
14674,2010-02-17,SPGI,34.669998,34.75,34.470001,34.990002000000004,932400.0
15142,2010-02-18,SPGI,34.75,35.009997999999996,34.490002000000004,35.07,1102800.0
15610,2010-02-19,SPGI,34.950001,35.330002,34.59,35.459998999999996,1805400.0
16078,2010-02-22,SPGI,35.310001,34.799999,34.57,35.610001000000004,1531200.0
16546,2010-02-23,SPGI,34.669998,34.299999,34.240002000000004,34.889998999999996,1262900.0
17014,2010-02-24,SPGI,34.48,34.599998,34.150002,34.650002,1716200.0
17482,2010-02-25,SPGI,33.889998999999996,34.169998,33.580002,34.18,2232100.0
17950,2010-02-26,SPGI,34.139998999999996,34.200001,34.029999,34.439999,1158900.0
18418,2010-03-01,SPGI,34.169998,34.32,34.029999,34.5,1378800.0
18886,2010-03-02,SPGI,34.369999,34.32,34.139998999999996,34.369999,1214600.0
19354,2010-03-03,SPGI,34.360001000000004,34.290001000000004,34.040001000000004,34.369999,1500200.0
19822,2010-03-04,SPGI,34.220001,34.490002000000004,33.84,34.529999,1419200.0
20290,2010-03-05,SPGI,34.66,35.279999,34.66,35.34,1392000.0
20758,2010-03-08,SPGI,35.34,35.470001,35.099998,35.52,1347000.0
21226,2010-03-09,SPGI,35.41,35.299999,35.099998,35.529999,1425000.0
21694,2010-03-10,SPGI,35.400002,35.040001000000004,34.639998999999996,35.59,2084700.0
22162,2010-03-11,SPGI,34.279999,35.099998,34.220001,35.099998,1503800.0
22630,2010-03-12,SPGI,35.32,35.049999,34.779999,35.32,1398800.0
23098,2010-03-15,SPGI,35.040001000000004,35.290001000000004,34.509997999999996,35.290001000000004,1762000.0
23566,2010-03-16,SPGI,35.310001,35.330002,35.169998,35.560001,1549700.0
24034,2010-03-17,SPGI,35.34,35.779999,35.209998999999996,35.799999,1463600.0
24502,2010-03-18,SPGI,35.779999,36.099998,35.66,36.459998999999996,1853400.0
24970,2010-03-19,SPGI,35.77,35.77,35.610001000000004,36.48,2020400.0
25438,2010-03-22,SPGI,35.610001000000004,35.93,35.5,36.040001000000004,1098200.0
25906,2010-03-23,SPGI,35.889998999999996,36.040001000000004,35.599998,36.040001000000004,976700.0
26374,2010-03-24,SPGI,35.93,35.869999,35.610001000000004,36.34,1019200.0
26842,2010-03-25,SPGI,36.130001,35.709998999999996,35.689999,36.259997999999996,1181600.0
27310,2010-03-26,SPGI,35.849998,35.619999,35.439999,36.099998,1164700.0
