,date,symbol,open,close,low,high,volume
637,2010-01-04,SRE,56.400002,55.900002,55.799999,56.610001000000004,2081200.0
1105,2010-01-05,SRE,55.82,54.709998999999996,54.369999,55.84,3408600.0
1573,2010-01-06,SRE,54.59,53.959998999999996,53.91,54.849998,2956500.0
2041,2010-01-07,SRE,53.790001000000004,53.84,52.91,54.220001,2221300.0
2509,2010-01-08,SRE,53.709998999999996,53.810001,53.060001,53.970001,1364500.0
2977,2010-01-11,SRE,54.029999,54.59,53.950001,54.799999,1225900.0
3445,2010-01-12,SRE,54.43,54.400002,53.93,54.91,1238200.0
3913,2010-01-13,SRE,53.619999,53.869999,52.860001000000004,53.91,2641400.0
4381,2010-01-14,SRE,53.77,53.599998,53.509997999999996,54.02,1411500.0
4849,2010-01-15,SRE,53.580002,52.419998,51.93,53.599998,3162300.0
5317,2010-01-19,SRE,52.5,52.529999,52.310001,52.990002000000004,3581300.0
5785,2010-01-20,SRE,52.200001,51.880001,51.68,52.27,2452300.0
6253,2010-01-21,SRE,51.779999,52.200001,51.52,52.599998,3036000.0
6721,2010-01-22,SRE,52.209998999999996,51.549999,51.5,52.599998,3159200.0
7189,2010-01-25,SRE,51.849998,51.59,51.560001,52.209998999999996,1602200.0
7657,2010-01-26,SRE,51.439999,51.450001,50.68,51.709998999999996,1750500.0
8125,2010-01-27,SRE,51.25,51.080002,50.419998,51.360001000000004,1665300.0
8593,2010-01-28,SRE,51.139998999999996,50.799999,50.200001,51.310001,1582900.0
9061,2010-01-29,SRE,50.880001,50.75,50.34,51.130001,2364300.0
9529,2010-02-01,SRE,50.93,51.220001,50.380001,51.299999,1964100.0
9997,2010-02-02,SRE,51.34,51.490002000000004,50.759997999999996,51.560001,1524100.0
10465,2010-02-03,SRE,51.34,50.830002,50.709998999999996,51.34,757100.0
10933,2010-02-04,SRE,50.59,49.57,49.560001,50.639998999999996,1898100.0
11401,2010-02-05,SRE,49.669998,49.68,48.73,49.779999,3613500.0
11869,2010-02-08,SRE,49.57,49.009997999999996,49.009997999999996,49.700001,1136800.0
12337,2010-02-09,SRE,49.5,49.59,49.23,50.18,1166300.0
12805,2010-02-10,SRE,49.610001000000004,49.259997999999996,48.720001,49.610001000000004,1091100.0
13273,2010-02-11,SRE,49.119999,49.77,48.560001,49.880001,1354900.0
13741,2010-02-12,SRE,49.490002000000004,49.48,48.98,49.59,2110800.0
14209,2010-02-16,SRE,49.889998999999996,49.0,48.939999,50.700001,4835000.0
14677,2010-02-17,SRE,49.099998,48.189999,47.939999,49.099998,4002700.0
15145,2010-02-18,SRE,48.060001,48.130001,47.549999,48.290001000000004,2694500.0
15613,2010-02-19,SRE,48.189999,48.950001,47.959998999999996,49.349998,2888700.0
16081,2010-02-22,SRE,49.169998,48.630001,48.59,49.279999,2569800.0
16549,2010-02-23,SRE,48.599998,48.240002000000004,48.209998999999996,48.990002000000004,2183300.0
17017,2010-02-24,SRE,48.389998999999996,48.529999,48.119999,49.080002,2501800.0
17485,2010-02-25,SRE,47.900002,50.32,47.549999,50.939999,4572800.0
17953,2010-02-26,SRE,50.27,49.169998,49.150002,50.27,3376200.0
18421,2010-03-01,SRE,49.200001,49.299999,49.119999,49.580002,2559500.0
18889,2010-03-02,SRE,49.360001000000004,48.790001000000004,48.619999,49.5,3512500.0
19357,2010-03-03,SRE,48.779999,48.939999,48.619999,49.060001,2218600.0
19825,2010-03-04,SRE,48.68,48.810001,48.380001,49.07,1962300.0
20293,2010-03-05,SRE,49.009997999999996,49.73,48.860001000000004,49.830002,2281300.0
20761,2010-03-08,SRE,51.360001000000004,51.0,50.91,51.740002000000004,3446700.0
21229,2010-03-09,SRE,50.98,50.650002,50.48,50.98,3347400.0
21697,2010-03-10,SRE,50.57,50.68,50.25,50.73,2198700.0
22165,2010-03-11,SRE,50.459998999999996,50.59,50.189999,50.669998,1171400.0
22633,2010-03-12,SRE,50.84,50.27,50.220001,51.029999,1558200.0
23101,2010-03-15,SRE,50.279999,50.25,50.099998,50.48,1413400.0
23569,2010-03-16,SRE,49.860001000000004,50.330002,49.75,50.380001,1621300.0
24037,2010-03-17,SRE,50.209998999999996,50.310001,50.0,50.43,1982200.0
24505,2010-03-18,SRE,50.16,50.75,50.16,50.84,1252900.0
24973,2010-03-19,SRE,50.5,50.5,50.169998,51.09,2326300.0
25441,2010-03-22,SRE,50.09,50.310001,50.0,50.5,1334500.0
25909,2010-03-23,SRE,50.240002000000004,50.060001,49.84,50.240002000000004,2034600.0
26377,2010-03-24,SRE,49.939999,49.57,49.27,49.939999,2602700.0
26845,2010-03-25,SRE,49.790001000000004,48.740002000000004,48.66,50.25,2716700.0
27313,2010-03-26,SRE,48.900002,49.150002,48.720001,49.43,2501600.0
27781,2010-03-29,SRE,49.25,50.439999,49.150002,50.5,2097200.0
28249,2010-03-30,SRE,50.43,50.259997999999996,50.189999,50.869999,1899000.0
28717,2010-03-31,SRE,50.09,49.900002,49.759997999999996,50.310001,1688900.0
29185,2010-04-01,SRE,50.02,50.700001,50.02,50.759997999999996,1392400.0
