,date,symbol,open,close,low,high,volume
640,2010-01-04,STX,18.57,18.889999,18.4,18.969998999999998,11116900.0
1108,2010-01-05,STX,18.860001,18.52,18.43,19.040001,14536200.0
1576,2010-01-06,STX,18.43,18.389999,18.219998999999998,18.639999,7171200.0
2044,2010-01-07,STX,18.4,18.040001,17.940001000000002,18.41,8556300.0
2512,2010-01-08,STX,17.58,17.889999,17.48,18.08,11329000.0
2980,2010-01-11,STX,18.26,18.35,18.219998999999998,18.65,11497500.0
3448,2010-01-12,STX,18.27,17.719998999999998,17.57,18.440001000000002,11522800.0
3916,2010-01-13,STX,17.950001,18.190001000000002,17.59,18.299999,8800200.0
4384,2010-01-14,STX,18.16,18.34,18.01,18.49,6398700.0
4852,2010-01-15,STX,18.309998999999998,17.77,17.530001000000002,18.6,13716200.0
5320,2010-01-19,STX,17.879998999999998,18.16,17.77,18.27,7802900.0
5788,2010-01-20,STX,18.15,17.76,17.459999,18.18,16283900.0
6256,2010-01-21,STX,19.84,19.49,19.34,20.299999,35144100.0
6724,2010-01-22,STX,19.370001000000002,18.4,18.27,19.620001000000002,20111600.0
7192,2010-01-25,STX,18.790001,18.92,18.59,19.059998999999998,15582000.0
7660,2010-01-26,STX,18.889999,19.309998999999998,18.76,19.620001000000002,16018200.0
8128,2010-01-27,STX,19.219998999999998,19.08,18.68,19.43,15416200.0
8596,2010-01-28,STX,19.190001000000002,18.360001,18.139999,19.280001000000002,14128500.0
9064,2010-01-29,STX,18.35,16.709999,16.469998999999998,18.51,28653200.0
9532,2010-02-01,STX,17.23,17.9,17.059998999999998,17.98,18205800.0
10000,2010-02-02,STX,17.879998999999998,18.58,17.780001000000002,18.6,17569900.0
10468,2010-02-03,STX,18.370001000000002,18.84,18.26,18.870001000000002,16905200.0
10936,2010-02-04,STX,18.17,18.02,17.780001000000002,18.48,21505800.0
11404,2010-02-05,STX,18.1,18.02,17.469998999999998,18.190001000000002,23836800.0
11872,2010-02-08,STX,18.049999,18.18,17.84,18.74,14937100.0
12340,2010-02-09,STX,18.559998999999998,18.33,18.219998999999998,18.74,12415000.0
12808,2010-02-10,STX,18.360001,18.48,18.17,18.66,9770100.0
13276,2010-02-11,STX,18.49,18.76,18.190001000000002,18.83,8142000.0
13744,2010-02-12,STX,18.549999,18.700001,18.15,18.870001000000002,11482500.0
14212,2010-02-16,STX,18.799999,19.73,18.799999,19.84,19036400.0
14680,2010-02-17,STX,19.940001000000002,20.0,19.549999,20.049999,13328300.0
15148,2010-02-18,STX,19.879998999999998,20.73,19.719998999999998,20.809998999999998,17442500.0
15616,2010-02-19,STX,20.549999,20.51,20.4,20.940001000000002,15071300.0
16084,2010-02-22,STX,20.530001000000002,20.73,20.379998999999998,20.870001000000002,10665100.0
16552,2010-02-23,STX,20.639999,20.33,20.030001000000002,20.719998999999998,11630800.0
17020,2010-02-24,STX,20.379998999999998,19.5,19.4,20.73,27780900.0
17488,2010-02-25,STX,19.16,19.49,18.610001,19.540001,28118900.0
17956,2010-02-26,STX,19.67,19.91,19.4,20.0,9090300.0
18424,2010-03-01,STX,20.1,21.35,20.0,21.450001,20620200.0
18892,2010-03-02,STX,21.5,21.01,20.91,21.58,13412000.0
19360,2010-03-03,STX,20.75,19.629998999999998,19.610001,20.84,25207200.0
19828,2010-03-04,STX,19.809998999999998,19.73,19.139999,19.82,15528100.0
20296,2010-03-05,STX,19.84,19.92,19.51,20.1,10340300.0
20764,2010-03-08,STX,20.190001000000002,19.889999,19.639999,20.24,9933400.0
21232,2010-03-09,STX,19.879998999999998,19.6,19.5,20.139999,12782500.0
21700,2010-03-10,STX,19.719998999999998,19.17,19.0,19.9,25708800.0
22168,2010-03-11,STX,18.799999,19.23,18.389999,19.27,26402500.0
22636,2010-03-12,STX,19.35,19.27,18.85,19.35,14388000.0
23104,2010-03-15,STX,19.139999,18.780001000000002,18.58,19.16,11815100.0
23572,2010-03-16,STX,18.98,19.129998999999998,18.67,19.25,11810000.0
24040,2010-03-17,STX,19.209999,19.32,19.02,19.59,11421100.0
24508,2010-03-18,STX,19.41,19.32,19.200001,19.52,6879500.0
24976,2010-03-19,STX,19.4,18.93,18.77,19.469998999999998,12289900.0
25444,2010-03-22,STX,18.790001,19.709999,18.67,19.940001000000002,15350900.0
25912,2010-03-23,STX,19.76,20.450001,19.690001000000002,20.610001,20338400.0
26380,2010-03-24,STX,20.25,20.030001000000002,20.0,20.299999,10619300.0
26848,2010-03-25,STX,20.17,19.620001000000002,19.620001000000002,20.27,10167400.0
27316,2010-03-26,STX,19.209999,18.93,18.799999,19.360001,21547800.0
27784,2010-03-29,STX,19.120001000000002,18.9,18.83,19.379998999999998,10719000.0
28252,2010-03-30,STX,18.83,18.17,18.129998999999998,18.93,25804100.0
28720,2010-03-31,STX,17.969998999999998,18.26,17.879998999999998,18.610001,12664100.0
29188,2010-04-01,STX,18.52,18.110001,17.879998999999998,18.6,11090900.0
29656,2010-04-05,STX,18.32,18.48,18.18,18.6,14810100.0
30124,2010-04-06,STX,18.41,19.059998999999998,18.299999,19.23,15020600.0
30592,2010-04-07,STX,18.84,18.85,18.440001000000002,19.0,15168200.0
31060,2010-04-08,STX,18.84,18.68,18.389999,18.870001000000002,9454200.0
31528,2010-04-09,STX,18.83,19.139999,18.690001000000002,19.17,7965900.0
31996,2010-04-12,STX,19.1,19.08,19.030001000000002,19.450001,10932500.0
32464,2010-04-13,STX,18.879998999999998,18.379998999999998,18.32,19.139999,21400400.0
32932,2010-04-14,STX,18.6,19.27,18.58,19.58,25927400.0
33400,2010-04-15,STX,19.110001,19.690001000000002,19.08,19.91,13541700.0
33868,2010-04-16,STX,19.59,19.25,19.02,19.950001,14669500.0
34336,2010-04-19,STX,19.0,19.09,18.58,19.1,11932900.0
34804,2010-04-20,STX,19.24,19.33,18.84,19.440001000000002,13691300.0
35272,2010-04-21,STX,20.07,19.540001,19.299999,20.32,28733300.0
35740,2010-04-22,STX,19.4,19.690001000000002,19.030001000000002,19.870001000000002,11872000.0
36208,2010-04-23,STX,19.82,20.77,19.82,20.9,24285900.0
36676,2010-04-26,STX,20.809998999999998,20.459999,20.27,20.83,10002200.0
37144,2010-04-27,STX,20.23,19.629998999999998,19.52,20.33,15216000.0
37613,2010-04-28,STX,19.719998999999998,19.469998999999998,19.110001,19.84,16226500.0
38082,2010-04-29,STX,19.459999,19.139999,18.98,19.540001,18822600.0
38551,2010-04-30,STX,19.18,18.35,18.299999,19.209999,15765500.0
39020,2010-05-03,STX,18.540001,18.950001,18.51,19.16,14079600.0
39489,2010-05-04,STX,18.92,18.9,18.370001000000002,18.950001,18722100.0
