,date,symbol,open,close,low,high,volume
650,2010-01-04,TDC,31.780001000000002,30.870001000000002,30.25,31.780001000000002,2928700.0
1118,2010-01-05,TDC,30.889999,30.99,30.690001000000002,31.049999,2126900.0
1586,2010-01-06,TDC,31.0,30.65,30.59,31.040001,1209200.0
2054,2010-01-07,TDC,30.709999,30.299999,30.27,30.83,1861600.0
2522,2010-01-08,TDC,30.18,30.790001,30.110001,30.84,1600600.0
2990,2010-01-11,TDC,30.98,31.040001,30.889999,31.18,959800.0
3458,2010-01-12,TDC,30.93,30.370001000000002,30.219998999999998,31.0,1021600.0
3926,2010-01-13,TDC,30.48,30.27,29.799999,30.700001,1420500.0
4394,2010-01-14,TDC,30.450001,30.379998999999998,30.0,30.52,1159600.0
4862,2010-01-15,TDC,30.370001000000002,30.08,29.74,30.370001000000002,1438600.0
5330,2010-01-19,TDC,30.040001,30.0,29.66,30.17,1056400.0
5798,2010-01-20,TDC,29.780001000000002,30.18,29.459999,30.25,1124600.0
6266,2010-01-21,TDC,30.26,29.700001,29.639999,30.33,967900.0
6734,2010-01-22,TDC,29.530001000000002,28.67,28.6,29.6,1296900.0
7202,2010-01-25,TDC,28.879998999999998,27.93,27.860001,28.879998999999998,1816800.0
7670,2010-01-26,TDC,27.75,28.42,27.290001,28.790001,1363500.0
8138,2010-01-27,TDC,28.33,28.58,28.0,28.700001,1227700.0
8606,2010-01-28,TDC,28.559998999999998,28.17,28.030001000000002,28.58,961500.0
9074,2010-01-29,TDC,28.25,27.969998999999998,27.84,28.370001000000002,1838800.0
9542,2010-02-01,TDC,28.129998999999998,28.15,27.92,28.309998999999998,1032800.0
10010,2010-02-02,TDC,28.120001000000002,28.809998999999998,28.059998999999998,28.91,1153900.0
10478,2010-02-03,TDC,28.74,28.780001000000002,28.48,28.99,785000.0
10946,2010-02-04,TDC,28.51,27.799999,27.700001,28.57,1579200.0
11414,2010-02-05,TDC,27.709999,27.66,27.25,27.809998999999998,1797700.0
11882,2010-02-08,TDC,27.620001000000002,28.01,27.41,28.549999,1471600.0
12350,2010-02-09,TDC,28.299999,28.25,28.030001000000002,28.65,749500.0
12818,2010-02-10,TDC,28.15,28.610001,27.68,28.809998999999998,1442000.0
13286,2010-02-11,TDC,28.35,28.35,26.799999,28.610001,3710700.0
13754,2010-02-12,TDC,28.09,28.719998999999998,27.139999,28.809998999999998,2061700.0
14222,2010-02-16,TDC,28.91,29.48,28.6,29.52,1486000.0
14690,2010-02-17,TDC,29.530001000000002,29.58,29.16,29.700001,1337800.0
15158,2010-02-18,TDC,29.58,30.030001000000002,29.440001000000002,30.17,1188200.0
15626,2010-02-19,TDC,29.85,29.84,29.66,30.139999,988900.0
16094,2010-02-22,TDC,29.879998999999998,29.469998999999998,29.1,29.99,2166100.0
16562,2010-02-23,TDC,29.469998999999998,29.6,29.43,29.75,1610000.0
17030,2010-02-24,TDC,29.610001,30.110001,29.610001,30.200001,1264100.0
17498,2010-02-25,TDC,29.66,30.219998999999998,29.389999,30.26,1140100.0
17966,2010-02-26,TDC,30.280001000000002,30.49,30.110001,30.629998999999998,915000.0
18434,2010-03-01,TDC,30.469998999999998,30.91,30.43,30.91,662400.0
18902,2010-03-02,TDC,30.860001,30.48,30.379998999999998,30.969998999999998,1509300.0
19370,2010-03-03,TDC,30.49,29.879998999999998,29.73,30.49,2193600.0
19838,2010-03-04,TDC,30.0,30.450001,29.969998999999998,30.48,981300.0
20306,2010-03-05,TDC,30.610001,30.5,30.4,30.799999,1069400.0
20774,2010-03-08,TDC,30.57,30.209999,30.18,30.58,805900.0
21242,2010-03-09,TDC,30.18,30.35,30.01,30.450001,1517700.0
21710,2010-03-10,TDC,30.219998999999998,29.76,29.51,30.219998999999998,1504800.0
22178,2010-03-11,TDC,29.629998999999998,29.85,29.42,29.92,984800.0
22646,2010-03-12,TDC,29.870001000000002,29.68,29.52,29.99,772000.0
23114,2010-03-15,TDC,29.610001,29.67,29.18,29.700001,1116700.0
23582,2010-03-16,TDC,29.74,29.030001000000002,28.639999,29.74,2528800.0
24050,2010-03-17,TDC,29.08,28.98,28.83,29.74,2142100.0
24518,2010-03-18,TDC,28.950001,29.18,28.68,29.26,1269400.0
24986,2010-03-19,TDC,28.940001000000002,28.940001000000002,28.700001,29.25,1905700.0
25454,2010-03-22,TDC,28.84,29.27,28.389999,29.360001,1126400.0
25922,2010-03-23,TDC,29.4,29.4,28.969998999999998,29.440001000000002,813100.0
26390,2010-03-24,TDC,29.26,28.82,28.799999,29.32,1226500.0
26858,2010-03-25,TDC,28.959999,28.24,28.200001,29.02,1671900.0
27326,2010-03-26,TDC,28.290001,28.959999,28.290001,29.110001,1517200.0
27794,2010-03-29,TDC,29.18,29.18,29.049999,29.58,1291700.0
28262,2010-03-30,TDC,29.25,29.16,29.01,29.450001,1067000.0
28730,2010-03-31,TDC,29.030001000000002,28.889999,28.82,29.16,868000.0
29198,2010-04-01,TDC,29.0,29.32,29.0,29.77,1784900.0
29666,2010-04-05,TDC,29.32,29.299999,29.200001,29.42,1211900.0
30134,2010-04-06,TDC,29.200001,29.27,28.969998999999998,29.35,956900.0
30602,2010-04-07,TDC,29.32,28.65,28.549999,29.32,2069200.0
31070,2010-04-08,TDC,28.51,28.370001000000002,28.0,28.530001000000002,2126100.0
31538,2010-04-09,TDC,28.35,28.25,28.129998999999998,28.379998999999998,1303900.0
32006,2010-04-12,TDC,28.32,28.629998999999998,28.18,28.76,1612800.0
32474,2010-04-13,TDC,28.610001,28.700001,28.610001,28.940001000000002,1740200.0
32942,2010-04-14,TDC,28.790001,29.4,28.549999,29.43,1696300.0
33410,2010-04-15,TDC,29.879998999999998,30.49,29.879998999999998,31.190001000000002,3040200.0
33878,2010-04-16,TDC,30.4,29.950001,29.639999,30.57,1861400.0
34346,2010-04-19,TDC,29.889999,30.23,29.719998999999998,30.280001000000002,1738600.0
34814,2010-04-20,TDC,30.280001000000002,30.360001,30.02,30.41,740900.0
35282,2010-04-21,TDC,30.290001,30.610001,30.209999,30.66,1081700.0
35750,2010-04-22,TDC,30.48,30.59,29.969998999999998,30.700001,1668700.0
36218,2010-04-23,TDC,30.41,30.6,30.18,30.66,956300.0
36686,2010-04-26,TDC,30.610001,30.83,30.5,31.190001000000002,1270300.0
37154,2010-04-27,TDC,30.799999,29.969998999999998,29.879998999999998,30.85,1243600.0
37623,2010-04-28,TDC,30.09,30.02,29.719998999999998,30.120001000000002,1092500.0
38092,2010-04-29,TDC,30.120001000000002,29.84,29.73,30.200001,1081700.0
38561,2010-04-30,TDC,29.860001,29.07,29.02,30.33,1471000.0
39030,2010-05-03,TDC,29.17,29.540001,29.02,29.559998999999998,1343000.0
39499,2010-05-04,TDC,29.299999,28.870001000000002,28.379998999999998,29.299999,1480100.0
39968,2010-05-05,TDC,28.629998999999998,29.290001,28.51,29.799999,2075100.0
40437,2010-05-06,TDC,29.65,30.190001000000002,28.25,31.549999,4794300.0
40906,2010-05-07,TDC,30.43,29.41,29.27,30.620001000000002,3037300.0
41375,2010-05-10,TDC,30.26,30.889999,30.040001,31.059998999999998,1921000.0
41844,2010-05-11,TDC,30.59,30.5,30.370001000000002,31.030001000000002,1379000.0
42313,2010-05-12,TDC,30.65,31.52,30.450001,31.68,2453600.0
42782,2010-05-13,TDC,32.41,32.880001,32.41,34.549999,7313600.0
43251,2010-05-14,TDC,32.59,32.299999,31.77,32.790001000000004,2487000.0
43720,2010-05-17,TDC,32.349998,31.809998999999998,31.459999,32.799999,2324500.0
44189,2010-05-18,TDC,32.139998999999996,31.98,31.6,32.599998,2347300.0
44658,2010-05-19,TDC,31.889999,31.969998999999998,31.75,32.240002000000004,3015500.0
45127,2010-05-20,TDC,31.57,30.959999,30.889999,31.690001000000002,2715500.0
45596,2010-05-21,TDC,30.49,31.219998999999998,30.030001000000002,31.6,2500600.0
46065,2010-05-24,TDC,31.0,31.15,30.93,31.49,1547300.0
46534,2010-05-25,TDC,30.559998999999998,30.940001000000002,30.209999,31.0,2224400.0
47003,2010-05-26,TDC,31.209999,30.74,30.540001,31.92,2221900.0
47472,2010-05-27,TDC,31.209999,32.0,31.09,32.029999,1552700.0
47941,2010-05-28,TDC,31.950001,31.940001000000002,31.610001,32.169998,2909600.0
48410,2010-06-01,TDC,31.75,31.790001,31.549999,32.099998,3221200.0
48879,2010-06-02,TDC,32.040001000000004,32.240002000000004,31.709999,32.27,2653300.0
49348,2010-06-03,TDC,32.32,32.84,32.049999,33.130001,3225100.0
49817,2010-06-04,TDC,32.349998,31.57,31.35,32.360001000000004,3561900.0
50286,2010-06-07,TDC,31.76,30.639999,30.52,31.92,3566600.0
50755,2010-06-08,TDC,30.719998999999998,30.9,30.41,30.950001,2725100.0
51224,2010-06-09,TDC,31.01,30.889999,30.67,31.67,2938000.0
51693,2010-06-10,TDC,31.33,32.470001,31.33,32.560001,2858400.0
52162,2010-06-11,TDC,32.099998,32.549999,31.82,32.599998,1529600.0
52631,2010-06-14,TDC,32.830002,32.98,32.610001000000004,33.330002,2570300.0
53100,2010-06-15,TDC,33.32,33.77,33.040001000000004,33.77,2179000.0
53569,2010-06-16,TDC,33.549999,33.619999,33.360001000000004,33.880001,1376500.0
54038,2010-06-17,TDC,33.669998,33.93,33.619999,34.18,1712400.0
54507,2010-06-18,TDC,33.98,33.98,33.869999,34.130001,1062200.0
54976,2010-06-21,TDC,34.279999,33.66,33.509997999999996,34.610001000000004,1537300.0
55445,2010-06-22,TDC,33.77,33.43,33.400002,34.139998999999996,1906500.0
55914,2010-06-23,TDC,33.459998999999996,33.84,33.25,34.049999,1136300.0
56383,2010-06-24,TDC,33.84,33.040001000000004,32.84,33.880001,1101600.0
56852,2010-06-25,TDC,32.880001,32.889998999999996,32.52,33.060001,2545500.0
57321,2010-06-28,TDC,33.02,32.720001,32.5,33.139998999999996,1140100.0
57790,2010-06-29,TDC,32.389998999999996,31.280001000000002,31.110001,32.43,2195900.0
58259,2010-06-30,TDC,31.23,30.48,30.4,31.5,2059000.0
58728,2010-07-01,TDC,30.389999,30.15,29.440001000000002,30.51,3584200.0
59197,2010-07-02,TDC,30.200001,29.85,29.58,30.4,1517400.0
59666,2010-07-06,TDC,30.17,29.620001000000002,29.370001000000002,30.209999,1689500.0
60135,2010-07-07,TDC,29.719998999999998,30.719998999999998,29.709999,30.82,1400800.0
60604,2010-07-08,TDC,30.9,31.15,30.780001000000002,31.209999,1333500.0
61073,2010-07-09,TDC,31.15,31.15,30.799999,31.280001000000002,704400.0
61542,2010-07-12,TDC,31.01,31.0,30.68,31.17,527300.0
62011,2010-07-13,TDC,31.24,31.4,30.99,31.58,1272300.0
62480,2010-07-14,TDC,31.540001,31.940001000000002,31.379998999999998,31.950001,1341400.0
62949,2010-07-15,TDC,31.93,32.07,31.43,32.119999,1068400.0
63418,2010-07-16,TDC,31.889999,31.360001,31.299999,31.99,1377500.0
63887,2010-07-19,TDC,31.530001000000002,31.690001000000002,31.18,31.780001000000002,652100.0
64356,2010-07-20,TDC,31.26,32.080002,30.809998999999998,32.139998999999996,1062700.0
64825,2010-07-21,TDC,32.27,31.67,31.549999,32.299999,972000.0
65294,2010-07-22,TDC,31.91,32.259997999999996,31.780001000000002,32.490002000000004,1472900.0
65763,2010-07-23,TDC,32.16,32.959998999999996,32.060001,33.060001,1356800.0
66232,2010-07-26,TDC,33.049999,33.580002,32.709998999999996,33.669998,1392300.0
66701,2010-07-27,TDC,33.639998999999996,33.27,33.060001,33.73,1269600.0
67170,2010-07-28,TDC,33.209998999999996,32.549999,32.509997999999996,33.290001000000004,1407100.0
67639,2010-07-29,TDC,32.700001,32.110001000000004,31.98,32.889998999999996,1511700.0
68108,2010-07-30,TDC,31.84,31.799999,31.43,32.0,1582000.0
68577,2010-08-02,TDC,32.189999,33.259997999999996,32.189999,33.330002,1705500.0
69046,2010-08-03,TDC,33.110001000000004,33.43,32.939999,33.5,1497100.0
69515,2010-08-04,TDC,33.560001,34.139998999999996,33.32,34.299999,2017600.0
69984,2010-08-05,TDC,33.5,32.68,31.620001000000002,33.799999,3452100.0
70453,2010-08-06,TDC,32.540001000000004,32.34,31.860001,32.830002,1266500.0
70922,2010-08-09,TDC,32.360001000000004,31.620001000000002,31.6,32.360001000000004,1424200.0
71391,2010-08-10,TDC,31.4,31.5,31.15,31.780001000000002,1646200.0
71860,2010-08-11,TDC,31.0,30.469998999999998,30.4,31.07,1639900.0
72329,2010-08-12,TDC,30.049999,29.98,29.75,30.209999,1643600.0
72798,2010-08-13,TDC,29.9,29.799999,29.790001,30.23,1325100.0
73267,2010-08-16,TDC,29.74,29.93,29.43,30.16,1285400.0
73736,2010-08-17,TDC,30.120001000000002,30.370001000000002,30.01,30.549999,1210200.0
74205,2010-08-18,TDC,30.35,30.549999,30.299999,30.870001000000002,1062300.0
74674,2010-08-19,TDC,30.32,30.43,30.1,30.799999,1298000.0
75143,2010-08-20,TDC,30.27,30.49,30.01,30.530001000000002,889800.0
75612,2010-08-23,TDC,30.52,30.26,30.219998999999998,30.709999,1257400.0
76081,2010-08-24,TDC,29.93,29.959999,29.620001000000002,30.219998999999998,1829500.0
76550,2010-08-25,TDC,29.67,29.67,29.120001000000002,29.959999,1740300.0
77019,2010-08-26,TDC,29.83,31.389999,29.67,31.809998999999998,4572400.0
77488,2010-08-27,TDC,31.65,32.459998999999996,31.209999,32.66,2527300.0
77957,2010-08-30,TDC,32.419998,31.83,31.83,32.66,1200900.0
78426,2010-08-31,TDC,31.74,32.740002000000004,31.459999,32.77,2795500.0
78895,2010-09-01,TDC,33.110001000000004,33.75,33.110001000000004,34.049999,2240800.0
79364,2010-09-02,TDC,33.689999,34.150002,33.259997999999996,34.150002,1505100.0
79833,2010-09-03,TDC,34.389998999999996,34.720001,34.32,34.849998,1207000.0
80302,2010-09-07,TDC,33.990002000000004,33.09,33.07,34.040001000000004,1988200.0
80771,2010-09-08,TDC,33.240002000000004,34.150002,33.150002,34.240002000000004,2262600.0
81240,2010-09-09,TDC,34.5,34.540001000000004,34.330002,34.619999,2661800.0
81709,2010-09-10,TDC,34.549999,34.73,34.5,35.169998,1616600.0
82178,2010-09-13,TDC,35.060001,35.119999,34.900002,35.439999,1584700.0
82647,2010-09-14,TDC,34.900002,34.080002,34.040001000000004,34.990002000000004,2168300.0
83116,2010-09-15,TDC,34.110001000000004,34.509997999999996,33.689999,34.630001,1292200.0
83585,2010-09-16,TDC,34.459998999999996,34.68,34.220001,34.830002,1391700.0
84054,2010-09-17,TDC,34.790001000000004,34.470001,34.360001000000004,35.029999,1854900.0
84523,2010-09-20,TDC,35.610001000000004,37.049999,35.610001000000004,38.27,6572200.0
84992,2010-09-21,TDC,37.25,37.389998999999996,36.75,37.689999,2801900.0
85461,2010-09-22,TDC,37.18,36.830002,36.560001,37.459998999999996,1562500.0
85930,2010-09-23,TDC,36.52,36.959998999999996,36.34,37.27,1746700.0
86399,2010-09-24,TDC,37.360001000000004,38.57,37.360001000000004,38.860001000000004,2644500.0
86868,2010-09-27,TDC,38.709998999999996,37.849998,37.75,38.709998999999996,2029000.0
87337,2010-09-28,TDC,37.970001,38.830002,37.610001000000004,38.919998,1879100.0
87806,2010-09-29,TDC,38.470001,38.959998999999996,38.27,38.990002000000004,1266500.0
88275,2010-09-30,TDC,38.950001,38.560001,38.09,39.349998,1851900.0
88744,2010-10-01,TDC,39.0,39.080002,38.810001,39.490002000000004,2077300.0
89213,2010-10-04,TDC,39.139998999999996,38.720001,38.360001000000004,39.330002,1142200.0
89682,2010-10-05,TDC,39.119999,39.700001,39.040001000000004,39.93,1642200.0
90151,2010-10-06,TDC,39.799999,37.439999,36.830002,39.799999,3750300.0
90620,2010-10-07,TDC,37.880001,37.450001,36.869999,37.880001,1813400.0
91089,2010-10-08,TDC,37.700001,38.09,37.330002,38.200001,1441900.0
91558,2010-10-11,TDC,38.049999,37.849998,37.799999,38.25,771300.0
92027,2010-10-12,TDC,37.75,37.990002000000004,37.09,38.09,1636800.0
92496,2010-10-13,TDC,38.259997999999996,38.459998999999996,38.220001,38.75,1023200.0
92965,2010-10-14,TDC,38.52,38.330002,38.16,38.630001,938900.0
93434,2010-10-15,TDC,38.470001,38.610001000000004,38.43,38.889998999999996,1638100.0
