,date,symbol,open,close,low,high,volume
652,2010-01-04,TGNA,14.97,15.35,14.76,15.67,8490500.0
1120,2010-01-05,TGNA,15.4,16.24,15.16,16.389999,9194700.0
1588,2010-01-06,TGNA,16.17,16.43,16.110001,16.700001,5713200.0
2056,2010-01-07,TGNA,16.299999,16.879998999999998,16.299999,16.9,6048700.0
2524,2010-01-08,TGNA,16.73,16.76,16.6,16.940001000000002,5350000.0
2992,2010-01-11,TGNA,16.780001000000002,17.25,16.67,17.33,6307500.0
3460,2010-01-12,TGNA,17.0,16.4,16.219998999999998,17.17,8433300.0
3928,2010-01-13,TGNA,16.42,16.450001,15.74,16.719998999999998,4308500.0
4396,2010-01-14,TGNA,16.360001,16.219998999999998,16.17,16.59,4254100.0
4864,2010-01-15,TGNA,16.219998999999998,16.1,15.37,16.4,7346200.0
5332,2010-01-19,TGNA,16.09,16.309998999999998,16.040001,16.719998999999998,5236600.0
5800,2010-01-20,TGNA,16.110001,15.96,15.75,16.24,5506200.0
6268,2010-01-21,TGNA,15.97,15.71,15.59,16.34,5714200.0
6736,2010-01-22,TGNA,15.64,15.42,15.32,16.139999,5876200.0
7204,2010-01-25,TGNA,15.55,16.040001,15.55,16.129998999999998,5405500.0
7672,2010-01-26,TGNA,15.97,15.84,15.74,16.27,5586000.0
8140,2010-01-27,TGNA,16.200001,16.139999,15.58,16.99,5801400.0
8608,2010-01-28,TGNA,16.24,16.24,15.6,16.360001,6833000.0
9076,2010-01-29,TGNA,16.360001,16.15,15.91,16.780001000000002,10155000.0
9544,2010-02-01,TGNA,15.29,15.02,14.12,15.43,22619700.0
10012,2010-02-02,TGNA,15.0,15.08,14.87,15.33,8353100.0
10480,2010-02-03,TGNA,15.03,14.61,14.56,15.38,6604800.0
10948,2010-02-04,TGNA,14.13,13.66,13.4,14.23,10892700.0
11416,2010-02-05,TGNA,13.77,13.53,12.77,13.8,8497400.0
11884,2010-02-08,TGNA,13.53,13.68,13.14,13.87,7236000.0
12352,2010-02-09,TGNA,13.72,13.97,13.72,14.42,7683200.0
12820,2010-02-10,TGNA,14.0,13.91,13.6,14.3,4994200.0
13288,2010-02-11,TGNA,13.92,14.21,13.74,14.29,4042900.0
13756,2010-02-12,TGNA,13.98,14.29,13.75,14.38,5459600.0
14224,2010-02-16,TGNA,14.31,14.8,14.27,14.88,4469700.0
14692,2010-02-17,TGNA,14.81,14.95,14.79,15.07,4221300.0
15160,2010-02-18,TGNA,14.92,15.27,14.82,15.41,4408700.0
15628,2010-02-19,TGNA,15.19,15.34,15.11,15.5,4179100.0
16096,2010-02-22,TGNA,15.36,14.96,14.8,15.43,3728700.0
16564,2010-02-23,TGNA,14.91,14.8,14.69,15.11,3591100.0
17032,2010-02-24,TGNA,14.9,15.0,14.75,15.01,3165800.0
17500,2010-02-25,TGNA,14.75,15.32,14.55,15.35,4896000.0
17968,2010-02-26,TGNA,15.32,15.15,15.01,15.5,6247400.0
18436,2010-03-01,TGNA,15.22,15.93,15.22,16.040001,4301500.0
18904,2010-03-02,TGNA,15.94,15.95,15.85,16.18,3326900.0
19372,2010-03-03,TGNA,16.059998999999998,16.07,15.95,16.34,3770100.0
19840,2010-03-04,TGNA,16.139999,16.07,15.73,16.25,3257500.0
20308,2010-03-05,TGNA,16.219998999999998,16.27,16.08,16.389999,5097000.0
20776,2010-03-08,TGNA,16.299999,16.16,16.15,16.379998999999998,2681100.0
21244,2010-03-09,TGNA,16.120001000000002,16.059998999999998,15.92,16.209999,3029900.0
21712,2010-03-10,TGNA,16.01,16.08,15.97,16.370001000000002,2587200.0
22180,2010-03-11,TGNA,15.97,16.290001,15.88,16.32,2028200.0
22648,2010-03-12,TGNA,16.389999,15.9,15.78,16.43,3495500.0
23116,2010-03-15,TGNA,15.57,16.059998999999998,15.57,16.120001000000002,3502400.0
23584,2010-03-16,TGNA,16.02,16.42,16.02,16.629998999999998,4841100.0
24052,2010-03-17,TGNA,16.48,16.780001000000002,16.4,16.84,4190000.0
24520,2010-03-18,TGNA,16.690001000000002,16.4,16.219998999999998,16.84,6138600.0
24988,2010-03-19,TGNA,16.059998999999998,16.059998999999998,16.049999,16.639999,8102200.0
25456,2010-03-22,TGNA,16.01,16.42,15.74,16.49,3888800.0
25924,2010-03-23,TGNA,16.49,16.719998999999998,16.190001000000002,16.799999,3081500.0
26392,2010-03-24,TGNA,16.59,16.549999,16.290001,16.639999,3286200.0
26860,2010-03-25,TGNA,16.620001000000002,16.5,16.469998999999998,16.959999,3348200.0
27328,2010-03-26,TGNA,16.559998999999998,16.540001,16.33,16.889999,2646300.0
27796,2010-03-29,TGNA,16.67,16.719998999999998,16.52,17.0,2955700.0
