,date,symbol,open,close,low,high,volume
655,2010-01-04,TJX,18.0,18.020000500000002,17.875,18.325001,12575000.0
1123,2010-01-05,TJX,17.959999,18.504998999999998,17.959999,18.520000500000002,10609200.0
1591,2010-01-06,TJX,18.5249995,18.58,18.385,18.6499995,7493800.0
2059,2010-01-07,TJX,19.375,19.5300005,19.125,19.870001000000002,27294600.0
2527,2010-01-08,TJX,19.16,19.2749995,19.0149995,19.3099995,11693800.0
2995,2010-01-11,TJX,19.4050005,19.245001000000002,19.129998999999998,19.424999,7300800.0
3463,2010-01-12,TJX,19.1499995,19.069999499999998,18.930000500000002,19.174999,5791600.0
3931,2010-01-13,TJX,19.09,19.135,18.955,19.1849995,5494200.0
4399,2010-01-14,TJX,19.1499995,18.8999995,18.805000500000002,19.1499995,5460000.0
4867,2010-01-15,TJX,18.8500005,18.645000500000002,18.555000500000002,19.0599995,7892800.0
5335,2010-01-19,TJX,18.6000005,18.9400005,18.6000005,18.944999499999998,5159000.0
5803,2010-01-20,TJX,18.834999,18.705,18.575001,18.834999,4229600.0
6271,2010-01-21,TJX,18.76,18.424999,18.3999995,18.805000500000002,8178600.0
6739,2010-01-22,TJX,18.41,18.370001000000002,18.33,18.66,9267200.0
7207,2010-01-25,TJX,18.5300005,18.504998999999998,18.385,18.6399995,6020600.0
7675,2010-01-26,TJX,18.479999499999998,19.040001,18.479999499999998,19.2250005,12284400.0
8143,2010-01-27,TJX,19.055000500000002,19.194999499999998,18.915001,19.295,8131400.0
8611,2010-01-28,TJX,19.2199995,19.115,19.049999,19.3150005,10881800.0
9079,2010-01-29,TJX,19.209999,19.004998999999998,19.0,19.424999,8612000.0
9547,2010-02-01,TJX,19.055000500000002,19.25,19.055000500000002,19.3899995,10054400.0
10015,2010-02-02,TJX,19.385,19.615,19.375,19.620001000000002,11624600.0
10483,2010-02-03,TJX,19.575001,19.379998999999998,19.2649995,19.620001000000002,9363200.0
10951,2010-02-04,TJX,19.375,19.075001,19.069999499999998,19.444999499999998,10186400.0
11419,2010-02-05,TJX,19.1100005,19.1550005,18.8500005,19.245001000000002,9918000.0
11887,2010-02-08,TJX,19.174999,18.895000500000002,18.895000500000002,19.180000500000002,5373400.0
12355,2010-02-09,TJX,19.0650005,18.955,18.8449995,19.075001,5827200.0
