,date,symbol,open,close,low,high,volume
656,2010-01-04,TMK,19.5955506667,19.8933297778,19.462219111099998,19.9111097778,1734900.0
1124,2010-01-05,TMK,19.84,20.3466702222,19.8266697778,20.3644506667,1419000.0
1592,2010-01-06,TMK,20.2933293334,20.4933302222,20.208891111099998,20.573329777799998,888500.0
2060,2010-01-07,TMK,20.3866693334,20.4888897778,20.2000008889,20.5866697778,1296200.0
2528,2010-01-08,TMK,20.4400004445,20.4844493334,20.3199995556,20.537780888900002,1071900.0
2996,2010-01-11,TMK,20.6755506667,20.5155506667,20.4400004445,20.7822208889,969500.0
3464,2010-01-12,TMK,20.3644506667,20.5644493334,20.3644506667,20.7688902222,1168700.0
3932,2010-01-13,TMK,20.6844502222,20.74222,20.4844493334,20.817779555599998,1151300.0
4400,2010-01-14,TMK,20.6177808889,20.7466697778,20.5466711111,20.791108888900002,1016300.0
4868,2010-01-15,TMK,20.6977804445,20.533331111099997,20.4444502222,20.6977804445,1131800.0
5336,2010-01-19,TMK,20.5111102222,20.8533306667,20.5111102222,21.0444506667,1055400.0
5804,2010-01-20,TMK,20.657779555599998,20.6755506667,20.5111102222,20.7777804445,1056200.0
6272,2010-01-21,TMK,20.7244493334,20.2399995556,20.1422195556,20.835550222200002,1629500.0
6740,2010-01-22,TMK,20.1733302222,19.66222,19.4933302222,20.2711106667,1940400.0
7208,2010-01-25,TMK,19.8755493334,20.1333293334,19.8755493334,20.2977791111,1313600.0
7676,2010-01-26,TMK,20.0222204445,19.9288902222,19.8755493334,20.373329333399997,1118900.0
8144,2010-01-27,TMK,19.9288902222,20.351110666700002,19.8622208889,20.3999995556,1153500.0
8612,2010-01-28,TMK,20.3466702222,20.0755502222,19.9155502222,20.4444502222,841500.0
9080,2010-01-29,TMK,20.1377791111,19.9555493334,19.9288902222,20.4533288889,994200.0
9548,2010-02-01,TMK,20.1244506667,20.1955511111,20.0622195556,20.4933302222,906500.0
10016,2010-02-02,TMK,20.3066693334,20.533331111099997,20.1377791111,20.5422191111,906800.0
10484,2010-02-03,TMK,20.3644506667,20.1866702222,20.1111106667,20.4933302222,842400.0
10952,2010-02-04,TMK,20.0044497778,19.6488893334,19.6488893334,20.5777795556,2167400.0
11420,2010-02-05,TMK,19.6266706667,19.5955506667,18.9644506667,19.7600004445,1950900.0
11888,2010-02-08,TMK,19.8755493334,19.573329777799998,19.4933302222,20.102220444500002,2055800.0
12356,2010-02-09,TMK,19.82222,19.6800004445,19.2977791111,20.0177804445,1892700.0
12824,2010-02-10,TMK,19.5866697778,19.719999111099998,19.4311102222,20.0622195556,1346900.0
13292,2010-02-11,TMK,19.7688902222,19.7955493334,19.4133302222,19.8844511111,2922000.0
13760,2010-02-12,TMK,19.6399995556,19.7244493334,19.3066693334,19.7244493334,1618200.0
14228,2010-02-16,TMK,19.9022195556,19.8622208889,19.41778,19.9111097778,1752500.0
14696,2010-02-17,TMK,19.9866693334,20.17778,19.9377804445,20.1822204445,1326800.0
15164,2010-02-18,TMK,20.1333293334,20.49778,20.0666693334,20.6044502222,1393200.0
15632,2010-02-19,TMK,20.4355506667,20.6800004445,20.3822191111,20.8266697778,1295700.0
16100,2010-02-22,TMK,20.6800004445,20.8311102222,20.537780888900002,20.8844511111,1279400.0
16568,2010-02-23,TMK,20.6844502222,20.0577791111,20.0444506667,20.6844502222,2943200.0
17036,2010-02-24,TMK,20.0666693334,20.373329333399997,20.0444506667,20.4533288889,1429200.0
17504,2010-02-25,TMK,20.1200008889,20.58222,19.9733293334,20.6399995556,1686800.0
17972,2010-02-26,TMK,20.6666697778,20.6666697778,20.3955497778,20.7377795556,1343700.0
