,date,symbol,open,close,low,high,volume
659,2010-01-04,TRV,50.150002,49.810001,49.66,50.439999,3716000.0
1127,2010-01-05,TRV,49.630001,48.630001,48.52,49.689999,5941900.0
1595,2010-01-06,TRV,48.259997999999996,47.939999,47.349998,48.389998999999996,10124500.0
2063,2010-01-07,TRV,47.82,48.630001,47.82,48.849998,4901600.0
2531,2010-01-08,TRV,48.650002,48.560001,48.07,48.759997999999996,3933100.0
2999,2010-01-11,TRV,48.700001,48.540001000000004,48.099998,48.84,3058500.0
3467,2010-01-12,TRV,48.990002000000004,48.849998,48.599998,49.389998999999996,5147300.0
3935,2010-01-13,TRV,48.93,49.02,48.830002,49.330002,3462400.0
4403,2010-01-14,TRV,48.93,49.279999,48.73,49.400002,2656300.0
4871,2010-01-15,TRV,49.110001000000004,48.790001000000004,48.259997999999996,49.459998999999996,4252500.0
5339,2010-01-19,TRV,48.75,49.43,48.43,49.599998,3349400.0
5807,2010-01-20,TRV,49.259997999999996,48.93,48.549999,49.700001,3433400.0
6275,2010-01-21,TRV,48.790001000000004,48.950001,48.029999,49.080002,5942700.0
6743,2010-01-22,TRV,48.810001,48.310001,48.200001,49.639998999999996,6885300.0
7211,2010-01-25,TRV,48.830002,48.889998999999996,47.950001,49.110001000000004,4768100.0
7679,2010-01-26,TRV,50.549999,50.23,50.150002,51.130001,8489000.0
8147,2010-01-27,TRV,50.290001000000004,50.900002,50.029999,50.91,4662400.0
8615,2010-01-28,TRV,51.07,50.27,49.98,51.07,4554800.0
9083,2010-01-29,TRV,50.299999,50.669998,50.09,50.990002000000004,4484800.0
9551,2010-02-01,TRV,50.950001,50.689999,50.220001,50.950001,4302600.0
10019,2010-02-02,TRV,50.599998,51.09,50.259997999999996,51.18,5640200.0
10487,2010-02-03,TRV,50.459998999999996,50.57,50.279999,50.950001,3978800.0
10955,2010-02-04,TRV,50.27,49.73,49.689999,50.740002000000004,6662500.0
11423,2010-02-05,TRV,49.610001000000004,50.279999,49.240002000000004,50.5,6746400.0
11891,2010-02-08,TRV,50.18,49.049999,49.009997999999996,50.290001000000004,5193700.0
12359,2010-02-09,TRV,49.540001000000004,49.57,48.880001,49.75,5355400.0
12827,2010-02-10,TRV,49.650002,49.689999,49.25,49.91,4619400.0
13295,2010-02-11,TRV,49.610001000000004,50.200001,49.259997999999996,50.27,4639300.0
13763,2010-02-12,TRV,49.77,50.450001,49.279999,50.490002000000004,5810400.0
14231,2010-02-16,TRV,50.59,51.610001000000004,50.259997999999996,51.610001000000004,5379100.0
14699,2010-02-17,TRV,51.709998999999996,51.75,51.169998,51.919998,4512800.0
15167,2010-02-18,TRV,51.650002,52.740002000000004,51.599998,52.880001,4577600.0
15635,2010-02-19,TRV,52.689999,52.880001,52.560001,53.130001,5437300.0
16103,2010-02-22,TRV,53.0,53.040001000000004,52.759997999999996,53.290001000000004,4457700.0
16571,2010-02-23,TRV,52.73,52.360001000000004,52.32,53.419998,6511900.0
17039,2010-02-24,TRV,52.490002000000004,52.790001000000004,52.400002,52.970001,6050600.0
17507,2010-02-25,TRV,52.119999,52.75,52.119999,52.880001,5101400.0
17975,2010-02-26,TRV,52.790001000000004,52.59,52.32,52.990002000000004,7398500.0
18443,2010-03-01,TRV,52.759997999999996,53.080002,52.759997999999996,53.419998,4330200.0
18911,2010-03-02,TRV,53.220001,53.290001000000004,52.91,53.439999,3619600.0
19379,2010-03-03,TRV,53.43,53.119999,53.119999,53.720001,3892900.0
19847,2010-03-04,TRV,53.27,53.549999,53.029999,53.619999,3911600.0
20315,2010-03-05,TRV,53.849998,53.939999,53.450001,53.970001,4259700.0
20783,2010-03-08,TRV,53.450001,53.799999,53.41,53.990002000000004,3145000.0
21251,2010-03-09,TRV,53.959998999999996,53.57,53.439999,54.200001,5107400.0
21719,2010-03-10,TRV,53.560001,52.889998999999996,52.599998,53.779999,5891200.0
22187,2010-03-11,TRV,52.880001,53.619999,52.799999,53.66,4085400.0
22655,2010-03-12,TRV,53.84,53.16,53.0,54.0,4490200.0
23123,2010-03-15,TRV,52.990002000000004,52.73,52.279999,53.060001,4929600.0
23591,2010-03-16,TRV,52.740002000000004,52.849998,52.490002000000004,52.959998999999996,4126300.0
24059,2010-03-17,TRV,53.110001000000004,52.990002000000004,52.849998,53.540001000000004,5519100.0
24527,2010-03-18,TRV,53.080002,53.380001,52.950001,53.709998999999996,4113000.0
24995,2010-03-19,TRV,53.459998999999996,53.459998999999996,52.779999,53.599998,13199100.0
25463,2010-03-22,TRV,53.299999,53.389998999999996,53.18,53.580002,3817700.0
25931,2010-03-23,TRV,53.549999,53.900002,53.349998,53.900002,3244300.0
26399,2010-03-24,TRV,53.860001000000004,54.060001,53.700001,54.259997999999996,3218200.0
26867,2010-03-25,TRV,54.299999,54.080002,54.009997999999996,54.5,4123700.0
27335,2010-03-26,TRV,54.279999,54.349998,54.16,54.740002000000004,3422700.0
27803,2010-03-29,TRV,54.48,54.759997999999996,54.349998,54.82,2644700.0
28271,2010-03-30,TRV,54.830002,53.93,53.799999,54.830002,3517500.0
28739,2010-03-31,TRV,53.799999,53.939999,53.689999,54.150002,3357100.0
29207,2010-04-01,TRV,54.240002000000004,53.919998,53.59,54.330002,3725300.0
29675,2010-04-05,TRV,54.150002,53.330002,53.18,54.150002,4362000.0
30143,2010-04-06,TRV,53.16,52.59,52.43,53.18,6585300.0
30611,2010-04-07,TRV,52.52,52.5,52.279999,53.189999,5631700.0
31079,2010-04-08,TRV,52.32,52.259997999999996,52.189999,52.52,4147000.0
31547,2010-04-09,TRV,52.360001000000004,52.400002,52.139998999999996,52.459998999999996,3406400.0
32015,2010-04-12,TRV,52.540001000000004,52.02,51.93,52.68,3204900.0
32483,2010-04-13,TRV,51.919998,52.220001,51.919998,52.419998,3433800.0
32951,2010-04-14,TRV,52.189999,52.91,52.18,52.959998999999996,3158800.0
33419,2010-04-15,TRV,52.860001000000004,52.880001,52.32,52.970001,3736400.0
33887,2010-04-16,TRV,52.860001000000004,52.139998999999996,52.049999,53.209998999999996,6067500.0
34355,2010-04-19,TRV,52.040001000000004,53.189999,51.939999,53.200001,4869200.0
34823,2010-04-20,TRV,53.400002,53.169998,52.790001000000004,53.470001,4311000.0
35291,2010-04-21,TRV,52.990002000000004,52.799999,52.400002,53.119999,3833100.0
35759,2010-04-22,TRV,52.439999,53.790001000000004,52.18,53.84,4727600.0
36227,2010-04-23,TRV,52.869999,53.380001,52.73,53.66,5346400.0
36695,2010-04-26,TRV,53.200001,51.919998,51.860001000000004,53.380001,6322800.0
37163,2010-04-27,TRV,51.59,50.529999,50.48,51.830002,6430300.0
37632,2010-04-28,TRV,50.380001,51.119999,50.34,51.259997999999996,6420800.0
38101,2010-04-29,TRV,51.32,51.419998,50.700001,51.419998,4907800.0
38570,2010-04-30,TRV,51.23,50.740002000000004,50.490002000000004,51.349998,5243100.0
39039,2010-05-03,TRV,50.880001,51.209998999999996,50.759997999999996,51.279999,4037800.0
39508,2010-05-04,TRV,50.599998,50.0,49.810001,50.740002000000004,6098700.0
39977,2010-05-05,TRV,49.779999,50.619999,49.75,51.049999,4062800.0
40446,2010-05-06,TRV,50.580002,49.799999,48.529999,51.16,9027100.0
40915,2010-05-07,TRV,49.669998,49.259997999999996,48.82,50.23,7935600.0
41384,2010-05-10,TRV,50.580002,50.09,49.459998999999996,50.73,6336400.0
41853,2010-05-11,TRV,49.599998,49.779999,49.52,50.200001,4672000.0
42322,2010-05-12,TRV,50.009997999999996,50.189999,49.380001,50.25,5782100.0
42791,2010-05-13,TRV,50.099998,50.169998,50.009997999999996,50.82,3797500.0
43260,2010-05-14,TRV,49.869999,50.119999,49.869999,50.830002,6948500.0
43729,2010-05-17,TRV,50.200001,50.119999,49.349998,50.48,6006800.0
44198,2010-05-18,TRV,50.369999,49.830002,49.689999,50.779999,4367800.0
