,date,symbol,open,close,low,high,volume
666,2010-01-04,TXT,18.93,19.040001,18.66,19.18,3630600.0
1134,2010-01-05,TXT,18.969998999999998,18.68,18.459999,19.35,12121100.0
1602,2010-01-06,TXT,18.709999,19.33,18.709999,19.42,5598300.0
2070,2010-01-07,TXT,19.32,20.190001000000002,19.25,20.25,5196100.0
2538,2010-01-08,TXT,20.1,20.379998999999998,19.969998999999998,20.42,4104000.0
3006,2010-01-11,TXT,20.51,21.469998999999998,20.360001,21.610001,7214100.0
3474,2010-01-12,TXT,21.25,21.33,20.91,21.559998999999998,4849100.0
3942,2010-01-13,TXT,21.360001,20.92,20.68,21.49,5378700.0
4410,2010-01-14,TXT,20.959999,22.790001,20.58,23.059998999999998,17621700.0
4878,2010-01-15,TXT,22.75,21.879998999999998,21.74,22.75,9136800.0
5346,2010-01-19,TXT,22.09,22.98,21.790001,23.459999,8277200.0
5814,2010-01-20,TXT,22.700001,22.309998999999998,21.91,22.700001,4539400.0
6282,2010-01-21,TXT,22.309998999999998,21.43,21.370001000000002,22.43,4666300.0
6750,2010-01-22,TXT,21.35,21.32,20.799999,22.08,5582300.0
7218,2010-01-25,TXT,21.639999,21.129998999999998,20.84,21.84,6112300.0
7686,2010-01-26,TXT,21.07,20.57,20.370001000000002,21.09,3765400.0
8154,2010-01-27,TXT,20.469998999999998,21.0,20.360001,21.15,5865400.0
8622,2010-01-28,TXT,20.379998999999998,19.58,18.889999,20.73,18922800.0
9090,2010-01-29,TXT,19.66,19.530001000000002,19.049999,19.959999,6786800.0
9558,2010-02-01,TXT,19.620001000000002,20.639999,19.530001000000002,20.690001000000002,6508100.0
10026,2010-02-02,TXT,20.780001000000002,20.68,20.450001,21.26,7153800.0
10494,2010-02-03,TXT,20.540001,20.459999,20.209999,20.790001,4608300.0
10962,2010-02-04,TXT,20.209999,19.559998999999998,19.4,20.209999,6589400.0
11430,2010-02-05,TXT,19.51,18.91,17.959999,19.6,11037700.0
11898,2010-02-08,TXT,18.84,18.709999,18.360001,19.24,4947400.0
12366,2010-02-09,TXT,19.09,18.9,18.68,19.27,3825000.0
12834,2010-02-10,TXT,18.860001,18.879998999999998,18.290001,19.030001000000002,6767500.0
13302,2010-02-11,TXT,18.879998999999998,18.959999,18.459999,19.129998999999998,4799100.0
13770,2010-02-12,TXT,18.610001,18.32,18.0,18.67,6119700.0
14238,2010-02-16,TXT,18.49,19.08,18.32,19.15,3328200.0
14706,2010-02-17,TXT,19.15,19.059998999999998,18.91,19.280001000000002,2858800.0
15174,2010-02-18,TXT,19.059998999999998,19.75,18.959999,19.799999,4512900.0
15642,2010-02-19,TXT,19.58,19.68,19.4,19.940001000000002,3683500.0
16110,2010-02-22,TXT,19.75,19.879998999999998,19.559998999999998,20.08,3574500.0
16578,2010-02-23,TXT,19.85,19.530001000000002,19.370001000000002,20.17,3461200.0
17046,2010-02-24,TXT,19.700001,19.59,19.040001,19.74,5307500.0
17514,2010-02-25,TXT,19.15,19.450001,18.969998999999998,19.5,4472200.0
17982,2010-02-26,TXT,19.450001,19.92,19.25,20.030001000000002,3764900.0
18450,2010-03-01,TXT,20.0,20.209999,19.82,20.309998999999998,4400400.0
18918,2010-03-02,TXT,20.34,20.9,20.049999,20.99,4948300.0
19386,2010-03-03,TXT,20.92,21.24,20.76,21.450001,4626900.0
19854,2010-03-04,TXT,21.360001,21.059998999999998,20.93,21.57,5049300.0
20322,2010-03-05,TXT,21.200001,21.809998999999998,21.200001,21.84,4573900.0
20790,2010-03-08,TXT,21.780001000000002,21.74,21.73,22.17,4333800.0
21258,2010-03-09,TXT,21.129998999999998,21.620001000000002,21.01,21.959999,7801800.0
21726,2010-03-10,TXT,21.17,21.809998999999998,21.17,22.07,4718800.0
22194,2010-03-11,TXT,21.68,22.25,21.299999,22.34,3904800.0
22662,2010-03-12,TXT,22.370001000000002,22.26,21.92,22.440001000000002,3374700.0
23130,2010-03-15,TXT,22.17,22.049999,21.610001,22.200001,3048600.0
23598,2010-03-16,TXT,22.059998999999998,22.4,21.940001000000002,22.780001000000002,4386200.0
24066,2010-03-17,TXT,22.52,22.530001000000002,22.23,22.780001000000002,3061300.0
24534,2010-03-18,TXT,22.41,22.15,22.0,22.5,2697700.0
25002,2010-03-19,TXT,22.209999,22.209999,22.07,22.969998999999998,5674600.0
25470,2010-03-22,TXT,21.99,22.18,21.799999,22.4,3057700.0
25938,2010-03-23,TXT,22.280001000000002,22.450001,22.07,22.469998999999998,3108600.0
26406,2010-03-24,TXT,22.280001000000002,22.280001000000002,22.15,22.58,2470400.0
26874,2010-03-25,TXT,22.530001000000002,21.77,21.73,22.559998999999998,4974900.0
27342,2010-03-26,TXT,21.9,21.68,21.620001000000002,22.299999,3868400.0
27810,2010-03-29,TXT,21.84,21.700001,21.49,21.950001,4055400.0
28278,2010-03-30,TXT,21.76,21.559998999999998,21.41,22.0,3241000.0
28746,2010-03-31,TXT,21.48,21.23,21.18,21.59,3694400.0
29214,2010-04-01,TXT,21.42,21.4,21.17,21.57,3655800.0
29682,2010-04-05,TXT,21.540001,21.33,21.16,21.610001,4915300.0
30150,2010-04-06,TXT,21.23,21.57,21.120001000000002,21.82,3755500.0
30618,2010-04-07,TXT,21.450001,22.18,21.25,22.27,9652500.0
31086,2010-04-08,TXT,22.110001,22.17,21.91,22.25,3868100.0
31554,2010-04-09,TXT,22.23,22.09,21.67,22.299999,3119400.0
32022,2010-04-12,TXT,22.1,22.59,22.059998999999998,22.66,3860700.0
32490,2010-04-13,TXT,22.49,22.549999,22.370001000000002,22.66,3279000.0
32958,2010-04-14,TXT,22.639999,22.76,22.24,22.780001000000002,4375200.0
33426,2010-04-15,TXT,22.48,22.33,22.27,22.709999,4808700.0
33894,2010-04-16,TXT,22.42,21.940001000000002,21.610001,22.43,5608400.0
34362,2010-04-19,TXT,21.75,21.559998999999998,21.09,21.889999,4019700.0
34830,2010-04-20,TXT,21.67,21.870001000000002,21.5,22.0,3074200.0
35298,2010-04-21,TXT,21.66,21.6,21.58,22.17,5674800.0
35766,2010-04-22,TXT,22.18,24.23,21.99,24.360001,16417400.0
36234,2010-04-23,TXT,24.309998999999998,23.85,23.48,24.33,6921100.0
36702,2010-04-26,TXT,23.940001000000002,24.549999,23.92,25.299999,7796000.0
37170,2010-04-27,TXT,24.450001,23.25,23.120001000000002,24.450001,7465500.0
37639,2010-04-28,TXT,23.41,23.610001,23.219998999999998,23.959999,4561300.0
38108,2010-04-29,TXT,23.91,23.52,23.440001000000002,24.200001,3294300.0
38577,2010-04-30,TXT,23.5,22.84,22.84,23.719998999999998,3645300.0
39046,2010-05-03,TXT,23.0,23.49,22.940001000000002,23.549999,4452500.0
39515,2010-05-04,TXT,23.01,22.93,22.700001,23.450001,5996800.0
39984,2010-05-05,TXT,22.59,23.27,22.110001,23.360001,6890300.0
40453,2010-05-06,TXT,23.139999,22.5,20.0,23.790001,7770800.0
40922,2010-05-07,TXT,22.49,20.379998999999998,20.219998999999998,22.49,15769500.0
41391,2010-05-10,TXT,22.17,22.389999,21.75,22.559998999999998,6323800.0
41860,2010-05-11,TXT,21.629998999999998,22.639999,21.629998999999998,23.0,5640200.0
42329,2010-05-12,TXT,22.889999,24.09,22.889999,24.200001,5726100.0
42798,2010-05-13,TXT,24.040001,23.530001000000002,23.389999,24.08,2850300.0
43267,2010-05-14,TXT,23.25,22.57,22.309998999999998,23.440001000000002,4840600.0
43736,2010-05-17,TXT,22.549999,21.950001,21.379998999999998,22.9,7337500.0
44205,2010-05-18,TXT,23.059998999999998,21.5,21.41,23.059998999999998,6496900.0
44674,2010-05-19,TXT,21.290001,21.07,20.629998999999998,21.59,4890300.0
45143,2010-05-20,TXT,20.360001,19.41,19.32,20.440001000000002,8564200.0
45612,2010-05-21,TXT,19.040001,20.57,18.889999,20.76,10697400.0
46081,2010-05-24,TXT,20.43,20.219998999999998,20.190001000000002,21.01,4485700.0
46550,2010-05-25,TXT,19.209999,19.52,18.889999,19.76,11333100.0
47019,2010-05-26,TXT,19.74,20.27,19.719998999999998,21.049999,11100000.0
47488,2010-05-27,TXT,21.030001000000002,21.26,20.639999,21.280001000000002,4226000.0
47957,2010-05-28,TXT,21.26,20.67,20.450001,21.34,2900200.0
48426,2010-06-01,TXT,20.309998999999998,19.889999,19.870001000000002,20.68,4448800.0
