,date,symbol,open,close,low,high,volume
671,2010-01-04,ULTA,19.23,18.85,18.59,19.25,594700.0
1139,2010-01-05,ULTA,18.92,18.76,18.559998999999998,19.16,501000.0
1607,2010-01-06,ULTA,18.75,19.219998999999998,18.690001000000002,19.25,340400.0
2075,2010-01-07,ULTA,19.6,20.860001,19.370001000000002,20.98,1530400.0
2543,2010-01-08,ULTA,21.0,21.610001,20.870001000000002,21.620001000000002,619400.0
3011,2010-01-11,ULTA,21.620001000000002,21.280001000000002,21.049999,21.620001000000002,403900.0
3479,2010-01-12,ULTA,21.280001000000002,21.139999,20.870001000000002,21.6,234900.0
3947,2010-01-13,ULTA,20.629998999999998,21.309998999999998,20.629998999999998,21.41,195600.0
4415,2010-01-14,ULTA,21.09,20.440001000000002,20.4,21.48,438300.0
4883,2010-01-15,ULTA,20.540001,20.35,19.75,20.540001,236400.0
5351,2010-01-19,ULTA,20.17,20.209999,20.07,20.450001,378200.0
5819,2010-01-20,ULTA,20.09,20.1,19.709999,20.309998999999998,298100.0
6287,2010-01-21,ULTA,20.16,20.0,19.5,20.49,283400.0
6755,2010-01-22,ULTA,19.959999,20.049999,19.57,20.49,289100.0
7223,2010-01-25,ULTA,20.15,19.74,19.73,20.469998999999998,154700.0
7691,2010-01-26,ULTA,19.66,19.969998999999998,19.24,20.26,458700.0
8159,2010-01-27,ULTA,19.93,19.91,19.639999,20.0,122700.0
8627,2010-01-28,ULTA,20.0,19.290001,19.15,20.16,207100.0
9095,2010-01-29,ULTA,19.309998999999998,19.4,19.299999,19.969998999999998,192000.0
9563,2010-02-01,ULTA,19.49,19.790001,19.42,19.99,233800.0
10031,2010-02-02,ULTA,19.74,19.49,18.879998999999998,19.74,363900.0
10499,2010-02-03,ULTA,19.440001000000002,19.120001000000002,19.0,19.620001000000002,91400.0
10967,2010-02-04,ULTA,18.93,18.01,18.0,19.01,329500.0
11435,2010-02-05,ULTA,18.0,17.92,17.52,18.129998999999998,343200.0
11903,2010-02-08,ULTA,17.85,17.870001000000002,17.530001000000002,18.6,214000.0
12371,2010-02-09,ULTA,18.120001000000002,17.940001000000002,17.799999,18.26,464300.0
12839,2010-02-10,ULTA,17.84,17.290001,17.049999,18.0,587100.0
13307,2010-02-11,ULTA,17.16,17.75,17.049999,17.92,216800.0
13775,2010-02-12,ULTA,17.530001000000002,17.860001,17.530001000000002,17.9,294000.0
