,date,symbol,open,close,low,high,volume
673,2010-01-04,UNM,19.73,19.940001000000002,19.549999,20.049999,3110300.0
1141,2010-01-05,UNM,19.85,20.23,19.799999,20.290001,1989000.0
1609,2010-01-06,UNM,20.25,20.41,20.190001000000002,20.51,2435300.0
2077,2010-01-07,UNM,20.24,20.860001,20.07,20.92,3769600.0
2545,2010-01-08,UNM,20.799999,20.58,20.41,20.799999,2046300.0
3013,2010-01-11,UNM,20.58,20.959999,20.58,20.99,2172600.0
3481,2010-01-12,UNM,20.790001,20.91,20.790001,21.24,5054100.0
3949,2010-01-13,UNM,21.01,21.049999,20.77,21.15,2686700.0
4417,2010-01-14,UNM,20.950001,21.450001,20.950001,21.690001000000002,5754800.0
4885,2010-01-15,UNM,21.41,21.389999,21.299999,21.790001,6101000.0
5353,2010-01-19,UNM,21.290001,21.639999,21.26,21.92,3621800.0
5821,2010-01-20,UNM,21.5,21.530001000000002,21.17,21.610001,3954400.0
6289,2010-01-21,UNM,21.530001000000002,20.98,20.93,21.559998999999998,5031100.0
6757,2010-01-22,UNM,20.99,20.190001000000002,20.15,21.09,3668400.0
7225,2010-01-25,UNM,20.48,20.33,20.23,20.610001,2502800.0
7693,2010-01-26,UNM,20.129998999999998,19.799999,19.76,20.41,2908500.0
8161,2010-01-27,UNM,19.809998999999998,19.99,19.450001,20.01,3471900.0
8629,2010-01-28,UNM,19.92,19.610001,19.59,20.030001000000002,4037700.0
9097,2010-01-29,UNM,19.690001000000002,19.57,19.52,20.110001,3336500.0
9565,2010-02-01,UNM,19.709999,20.1,19.59,20.139999,3175100.0
10033,2010-02-02,UNM,20.17,20.67,20.0,20.799999,3610400.0
10501,2010-02-03,UNM,20.450001,19.950001,19.75,20.620001000000002,3713500.0
10969,2010-02-04,UNM,19.74,18.9,18.860001,19.74,4127100.0
11437,2010-02-05,UNM,18.9,19.219998999999998,18.559998999999998,19.23,4817000.0
11905,2010-02-08,UNM,19.18,18.73,18.73,19.219998999999998,2748600.0
12373,2010-02-09,UNM,19.040001,19.01,18.780001000000002,19.379998999999998,3393200.0
12841,2010-02-10,UNM,19.040001,19.139999,18.9,19.33,3112000.0
13309,2010-02-11,UNM,19.139999,19.42,18.969998999999998,19.5,2863200.0
13777,2010-02-12,UNM,19.110001,19.52,18.780001000000002,19.549999,3630000.0
14245,2010-02-16,UNM,19.74,20.08,19.620001000000002,20.08,3084100.0
14713,2010-02-17,UNM,20.629998999999998,20.530001000000002,20.190001000000002,20.74,3316100.0
15181,2010-02-18,UNM,20.48,20.92,20.4,20.940001000000002,3639500.0
15649,2010-02-19,UNM,20.85,21.01,20.67,21.07,2920300.0
16117,2010-02-22,UNM,20.93,21.01,20.870001000000002,21.1,1603500.0
16585,2010-02-23,UNM,20.91,20.639999,20.57,21.09,3734800.0
17053,2010-02-24,UNM,20.77,20.93,20.639999,20.99,2771900.0
17521,2010-02-25,UNM,20.68,20.780001000000002,20.42,20.809998999999998,2800000.0
17989,2010-02-26,UNM,20.84,20.809998999999998,20.620001000000002,20.959999,2615300.0
18457,2010-03-01,UNM,20.889999,21.309998999999998,20.860001,21.32,2535400.0
18925,2010-03-02,UNM,21.379998999999998,21.299999,21.16,21.43,2507500.0
19393,2010-03-03,UNM,21.33,21.35,21.24,21.5,2825200.0
19861,2010-03-04,UNM,21.440001000000002,21.68,21.290001,21.68,2267500.0
20329,2010-03-05,UNM,21.85,22.200001,21.66,22.25,3338500.0
20797,2010-03-08,UNM,22.26,22.42,22.190001000000002,22.540001,2505900.0
21265,2010-03-09,UNM,22.26,22.48,22.24,22.559998999999998,2619900.0
21733,2010-03-10,UNM,22.58,22.77,22.370001000000002,22.83,2297800.0
22201,2010-03-11,UNM,22.9,23.25,22.83,23.25,3194800.0
22669,2010-03-12,UNM,23.43,23.4,23.02,23.549999,4262000.0
23137,2010-03-15,UNM,23.4,23.84,23.280001000000002,23.93,4206100.0
23605,2010-03-16,UNM,23.9,24.17,23.75,24.23,3553600.0
24073,2010-03-17,UNM,24.879998999999998,24.43,24.32,24.91,4781200.0
24541,2010-03-18,UNM,24.34,24.33,24.190001000000002,24.42,2622000.0
25009,2010-03-19,UNM,23.93,23.93,23.629998999999998,24.48,5142400.0
25477,2010-03-22,UNM,23.59,23.889999,23.549999,24.01,3222800.0
25945,2010-03-23,UNM,23.9,24.190001000000002,23.73,24.219998999999998,3393500.0
26413,2010-03-24,UNM,24.08,24.18,23.969998999999998,24.309998999999998,2752300.0
26881,2010-03-25,UNM,24.370001000000002,24.389999,24.18,24.700001,4214900.0
27349,2010-03-26,UNM,24.41,24.65,24.41,24.780001000000002,4124800.0
27817,2010-03-29,UNM,24.76,24.870001000000002,24.75,25.0,3731800.0
28285,2010-03-30,UNM,24.889999,24.73,24.700001,25.0,2050400.0
28753,2010-03-31,UNM,24.58,24.77,24.559998999999998,24.940001000000002,4751800.0
29221,2010-04-01,UNM,24.969998999999998,25.17,24.93,25.309998999999998,1927600.0
29689,2010-04-05,UNM,25.209999,25.34,25.190001000000002,25.450001,2600300.0
30157,2010-04-06,UNM,25.219998999999998,25.6,25.129998999999998,25.84,3523400.0
30625,2010-04-07,UNM,25.57,25.360001,25.129998999999998,25.65,2585500.0
31093,2010-04-08,UNM,25.24,25.43,25.09,25.49,1879700.0
31561,2010-04-09,UNM,25.43,25.530001000000002,25.309998999999998,25.530001000000002,2333200.0
32029,2010-04-12,UNM,25.65,25.540001,25.459999,25.719998999999998,1727500.0
