,date,symbol,open,close,low,high,volume
685,2010-01-04,VMC,53.41,52.73,52.169998,53.41,1128000.0
1153,2010-01-05,VMC,52.849998,52.93,52.0,52.93,830300.0
1621,2010-01-06,VMC,52.990002000000004,53.849998,52.990002000000004,54.360001000000004,1082900.0
2089,2010-01-07,VMC,54.040001000000004,53.169998,52.689999,54.040001000000004,1126900.0
2557,2010-01-08,VMC,53.110001000000004,52.650002,52.290001000000004,53.349998,702000.0
3025,2010-01-11,VMC,53.09,52.18,51.700001,53.119999,973600.0
3493,2010-01-12,VMC,51.709998999999996,52.080002,51.59,52.419998,894800.0
3961,2010-01-13,VMC,52.169998,52.790001000000004,51.610001000000004,52.810001,680100.0
4429,2010-01-14,VMC,52.669998,52.650002,52.07,52.869999,482600.0
4897,2010-01-15,VMC,52.669998,51.16,51.0,52.810001,1117100.0
5365,2010-01-19,VMC,51.150002,51.779999,50.700001,51.889998999999996,718500.0
5833,2010-01-20,VMC,51.25,50.959998999999996,50.490002000000004,51.259997999999996,724400.0
6301,2010-01-21,VMC,50.959998999999996,48.439999,48.41,50.959998999999996,1477100.0
6769,2010-01-22,VMC,48.02,47.060001,46.959998999999996,48.709998999999996,1644600.0
7237,2010-01-25,VMC,47.619999,46.77,46.25,47.700001,1594600.0
7705,2010-01-26,VMC,46.5,46.939999,46.080002,47.529999,1020500.0
8173,2010-01-27,VMC,46.59,46.220001,45.150002,46.59,1506100.0
8641,2010-01-28,VMC,46.450001,45.169998,44.700001,46.450001,995700.0
9109,2010-01-29,VMC,45.389998999999996,44.189999,44.029999,45.880001,1654800.0
9577,2010-02-01,VMC,44.540001000000004,44.950001,44.110001000000004,44.950001,858500.0
10045,2010-02-02,VMC,45.27,45.84,44.900002,46.040001000000004,931200.0
10513,2010-02-03,VMC,45.759997999999996,45.119999,44.84,46.049999,812400.0
10981,2010-02-04,VMC,44.580002,43.299999,42.98,44.889998999999996,1976200.0
11449,2010-02-05,VMC,43.290001000000004,43.66,42.59,43.810001,1577200.0
11917,2010-02-08,VMC,43.740002000000004,43.5,43.25,44.279999,1544500.0
12385,2010-02-09,VMC,42.98,42.630001,41.799999,43.299999,3844900.0
12853,2010-02-10,VMC,43.689999,42.830002,41.900002,43.709998999999996,2004300.0
13321,2010-02-11,VMC,42.799999,43.049999,42.16,43.07,1215500.0
13789,2010-02-12,VMC,42.290001000000004,42.939999,41.990002000000004,42.990002000000004,1457400.0
14257,2010-02-16,VMC,43.209998999999996,44.48,43.02,44.619999,1312600.0
