,date,symbol,open,close,low,high,volume
688,2010-01-04,VRSN,24.559998999999998,24.74,24.290001,24.870001000000002,2652000.0
1156,2010-01-05,VRSN,24.790001,25.0,24.5,25.139999,4628700.0
1624,2010-01-06,VRSN,24.9,24.73,24.65,25.07,3002000.0
2092,2010-01-07,VRSN,24.700001,24.389999,24.280001000000002,24.74,5674700.0
2560,2010-01-08,VRSN,24.33,24.58,24.309998999999998,24.690001000000002,2351400.0
3028,2010-01-11,VRSN,24.610001,24.51,24.030001000000002,24.74,3443200.0
3496,2010-01-12,VRSN,24.32,24.18,23.9,24.49,2484800.0
3964,2010-01-13,VRSN,24.34,24.4,23.940001000000002,24.469998999999998,2563200.0
4432,2010-01-14,VRSN,24.610001,24.33,24.16,24.610001,1863700.0
4900,2010-01-15,VRSN,24.469998999999998,23.98,23.66,24.469998999999998,5208400.0
5368,2010-01-19,VRSN,23.950001,24.299999,23.870001000000002,24.42,2912200.0
5836,2010-01-20,VRSN,24.049999,24.01,23.790001,24.139999,4285700.0
6304,2010-01-21,VRSN,24.01,24.030001000000002,23.690001000000002,24.360001,3777300.0
6772,2010-01-22,VRSN,23.940001000000002,23.34,23.209999,24.139999,4467100.0
7240,2010-01-25,VRSN,23.459999,23.4,23.030001000000002,23.559998999999998,2491500.0
7708,2010-01-26,VRSN,23.209999,23.52,23.08,23.719998999999998,3492000.0
8176,2010-01-27,VRSN,23.4,23.610001,23.25,23.629998999999998,2533600.0
8644,2010-01-28,VRSN,23.389999,23.08,22.73,23.65,3629600.0
9112,2010-01-29,VRSN,23.02,22.91,22.700001,23.549999,4373500.0
9580,2010-02-01,VRSN,22.9,23.190001000000002,22.75,23.190001000000002,2978300.0
10048,2010-02-02,VRSN,23.129998999999998,23.42,22.9,23.48,5028500.0
10516,2010-02-03,VRSN,21.379998999999998,23.299999,21.209999,23.58,19269900.0
10984,2010-02-04,VRSN,22.9,23.040001,22.84,23.57,6963000.0
11452,2010-02-05,VRSN,23.0,23.24,22.84,23.32,6293700.0
11920,2010-02-08,VRSN,23.059998999999998,22.98,22.969998999999998,23.33,2717500.0
12388,2010-02-09,VRSN,23.299999,23.0,22.860001,23.32,4305200.0
12856,2010-02-10,VRSN,23.030001000000002,22.870001000000002,22.76,23.1,3108700.0
13324,2010-02-11,VRSN,22.950001,23.35,22.940001000000002,23.5,2867500.0
13792,2010-02-12,VRSN,23.190001000000002,23.290001,23.030001000000002,23.370001000000002,2602600.0
14260,2010-02-16,VRSN,23.370001000000002,23.610001,23.34,23.780001000000002,2696000.0
14728,2010-02-17,VRSN,23.790001,24.120001000000002,23.6,24.17,3123000.0
15196,2010-02-18,VRSN,24.129998999999998,23.98,23.77,24.23,2781000.0
15664,2010-02-19,VRSN,23.879998999999998,24.120001000000002,23.870001000000002,24.309998999999998,2231300.0
16132,2010-02-22,VRSN,24.17,24.32,23.889999,24.5,3246700.0
16600,2010-02-23,VRSN,24.33,24.379998999999998,24.24,24.5,2996900.0
17068,2010-02-24,VRSN,24.440001000000002,24.65,24.219998999999998,24.799999,4341200.0
17536,2010-02-25,VRSN,24.370001000000002,24.860001,24.219998999999998,24.93,4412100.0
18004,2010-02-26,VRSN,24.92,24.92,24.790001,25.18,5170200.0
18472,2010-03-01,VRSN,24.99,25.440001000000002,24.860001,25.59,4996700.0
18940,2010-03-02,VRSN,25.440001000000002,25.26,25.110001,25.549999,3470300.0
19408,2010-03-03,VRSN,25.23,25.35,25.200001,25.540001,4326300.0
19876,2010-03-04,VRSN,25.57,26.25,25.57,26.459999,7932800.0
20344,2010-03-05,VRSN,26.309998999999998,26.5,26.280001000000002,26.639999,3886600.0
20812,2010-03-08,VRSN,26.43,26.549999,26.389999,26.67,3248100.0
21280,2010-03-09,VRSN,26.440001000000002,26.51,26.389999,26.77,3963400.0
