,date,symbol,open,close,low,high,volume
689,2010-01-04,VRTX,42.849998,44.240002000000004,42.799999,44.240002000000004,1744900.0
1157,2010-01-05,VRTX,43.060001,42.779999,42.5,43.349998,2456500.0
1625,2010-01-06,VRTX,42.509997999999996,42.029999,41.860001000000004,42.869999,2313700.0
2093,2010-01-07,VRTX,42.0,41.5,41.439999,42.490002000000004,1873200.0
2561,2010-01-08,VRTX,41.450001,40.669998,40.41,41.5,3687900.0
3029,2010-01-11,VRTX,40.810001,41.830002,40.5,42.130001,2193100.0
3497,2010-01-12,VRTX,41.869999,41.790001000000004,41.110001000000004,42.610001000000004,2179400.0
3965,2010-01-13,VRTX,41.799999,42.720001,41.599998,42.939999,1601300.0
4433,2010-01-14,VRTX,42.48,41.299999,41.110001000000004,42.689999,1892600.0
4901,2010-01-15,VRTX,41.740002000000004,40.209998999999996,39.799999,41.740002000000004,2367300.0
5369,2010-01-19,VRTX,40.330002,41.68,40.330002,41.779999,2199700.0
5837,2010-01-20,VRTX,41.43,40.740002000000004,40.610001000000004,41.860001000000004,1614900.0
6305,2010-01-21,VRTX,40.959998999999996,39.849998,39.540001000000004,40.959998999999996,1876600.0
6773,2010-01-22,VRTX,39.880001,40.139998999999996,39.880001,40.75,1345400.0
7241,2010-01-25,VRTX,40.23,39.52,39.41,40.34,1107800.0
7709,2010-01-26,VRTX,39.5,39.02,38.950001,39.75,1430000.0
8177,2010-01-27,VRTX,38.810001,39.0,38.630001,39.34,1908200.0
8645,2010-01-28,VRTX,39.009997999999996,38.650002,38.200001,39.369999,1486200.0
9113,2010-01-29,VRTX,38.75,38.400002,38.360001000000004,39.169998,1322600.0
9581,2010-02-01,VRTX,39.93,39.34,39.18,39.93,2358300.0
10049,2010-02-02,VRTX,39.25,40.490002000000004,38.93,40.5,2024000.0
10517,2010-02-03,VRTX,40.360001000000004,40.23,39.540001000000004,40.419998,1427300.0
10985,2010-02-04,VRTX,39.779999,38.419998,38.27,39.84,2192500.0
11453,2010-02-05,VRTX,38.5,37.610001000000004,36.150002,38.68,3571200.0
11921,2010-02-08,VRTX,37.0,37.419998,37.0,37.599998,1685900.0
12389,2010-02-09,VRTX,37.740002000000004,37.900002,37.330002,38.360001000000004,1208400.0
12857,2010-02-10,VRTX,37.77,37.5,37.110001000000004,37.900002,693800.0
13325,2010-02-11,VRTX,37.580002,38.099998,37.48,39.0,1927300.0
13793,2010-02-12,VRTX,37.759997999999996,38.380001,37.759997999999996,38.389998999999996,1311300.0
14261,2010-02-16,VRTX,38.459998999999996,38.68,37.799999,38.73,1017300.0
14729,2010-02-17,VRTX,38.799999,39.779999,38.740002000000004,39.98,1522300.0
15197,2010-02-18,VRTX,39.93,40.25,39.93,40.43,1282500.0
15665,2010-02-19,VRTX,40.23,40.700001,40.23,40.720001,982800.0
16133,2010-02-22,VRTX,40.720001,39.919998,39.630001,40.740002000000004,1187100.0
16601,2010-02-23,VRTX,39.610001000000004,39.419998,39.040001000000004,40.16,1637500.0
17069,2010-02-24,VRTX,39.700001,40.360001000000004,39.700001,40.509997999999996,1393700.0
17537,2010-02-25,VRTX,39.93,40.139998999999996,39.18,40.189999,1107800.0
18005,2010-02-26,VRTX,40.18,40.540001000000004,39.509997999999996,40.619999,1355700.0
18473,2010-03-01,VRTX,40.66,41.43,40.610001000000004,41.779999,1164300.0
18941,2010-03-02,VRTX,41.830002,41.84,41.27,42.029999,1105100.0
