,date,symbol,open,close,low,high,volume
690,2010-01-04,VTR,44.200001,43.349998,43.060001,44.619999,1196900.0
1158,2010-01-05,VTR,43.25,43.560001,42.73,43.650002,1444600.0
1626,2010-01-06,VTR,43.560001,43.07,42.830002,43.830002,1980500.0
2094,2010-01-07,VTR,42.939999,43.549999,42.560001,43.700001,2772800.0
2562,2010-01-08,VTR,43.259997999999996,43.07,42.610001000000004,43.450001,1656000.0
3030,2010-01-11,VTR,43.150002,43.939999,43.150002,44.07,1407500.0
3498,2010-01-12,VTR,43.700001,43.66,43.240002000000004,43.970001,1634500.0
3966,2010-01-13,VTR,43.98,44.91,43.790001000000004,45.02,1847800.0
4434,2010-01-14,VTR,44.790001000000004,44.759997999999996,44.349998,45.360001000000004,1280000.0
4902,2010-01-15,VTR,44.689999,44.669998,44.459998999999996,44.91,1258900.0
5370,2010-01-19,VTR,44.830002,45.330002,44.630001,45.450001,1555800.0
5838,2010-01-20,VTR,45.040001000000004,44.560001,44.189999,45.139998999999996,1583200.0
6306,2010-01-21,VTR,44.669998,43.560001,43.48,44.849998,1829500.0
6774,2010-01-22,VTR,43.43,42.75,42.630001,44.02,2003400.0
7242,2010-01-25,VTR,42.950001,42.639998999999996,42.049999,43.099998,2141000.0
7710,2010-01-26,VTR,42.310001,42.450001,42.0,43.150002,1561800.0
8178,2010-01-27,VTR,42.299999,43.080002,41.860001000000004,43.110001000000004,1772500.0
8646,2010-01-28,VTR,43.23,42.700001,42.169998,43.389998999999996,1499700.0
9114,2010-01-29,VTR,43.029999,42.200001,41.880001,43.310001,1975000.0
9582,2010-02-01,VTR,42.419998,42.759997999999996,42.150002,42.779999,1228400.0
10050,2010-02-02,VTR,42.720001,43.400002,42.209998999999996,43.48,1530300.0
10518,2010-02-03,VTR,43.130001,42.720001,42.630001,43.189999,1211800.0
10986,2010-02-04,VTR,42.389998999999996,40.950001,40.869999,42.450001,2598900.0
11454,2010-02-05,VTR,41.009997999999996,42.07,40.560001,42.09,2578800.0
11922,2010-02-08,VTR,42.0,41.209998999999996,41.150002,42.32,1521300.0
12390,2010-02-09,VTR,41.599998,41.080002,40.790001000000004,41.700001,1383400.0
12858,2010-02-10,VTR,41.040001000000004,41.389998999999996,40.360001000000004,41.700001,1238500.0
13326,2010-02-11,VTR,41.27,41.869999,40.93,41.900002,1178100.0
13794,2010-02-12,VTR,41.34,41.880001,41.080002,41.959998999999996,1046400.0
14262,2010-02-16,VTR,42.18,43.299999,42.18,43.34,1419900.0
14730,2010-02-17,VTR,43.439999,44.169998,43.380001,44.290001000000004,1671300.0
15198,2010-02-18,VTR,43.779999,44.959998999999996,43.779999,45.07,1884400.0
15666,2010-02-19,VTR,45.509997999999996,45.09,44.77,45.509997999999996,1691300.0
16134,2010-02-22,VTR,45.189999,45.029999,44.91,45.380001,1370200.0
16602,2010-02-23,VTR,44.990002000000004,44.720001,44.57,45.099998,1645100.0
