,date,symbol,open,close,low,high,volume
696,2010-01-04,WFC,27.02,27.32,26.82,27.48,39335700.0
1164,2010-01-05,WFC,27.27,28.07,27.24,28.24,55416000.0
1632,2010-01-06,WFC,28.030001000000002,28.110001,27.790001,28.33,33237000.0
2100,2010-01-07,WFC,28.120001000000002,29.129998999999998,27.92,29.43,61649000.0
2568,2010-01-08,WFC,28.9,28.860001,28.6,29.35,35508700.0
3036,2010-01-11,WFC,29.09,28.799999,28.58,29.17,24387800.0
3504,2010-01-12,WFC,28.469998999999998,28.08,27.5,28.549999,39795000.0
3972,2010-01-13,WFC,27.99,28.58,27.799999,28.76,36715300.0
4440,2010-01-14,WFC,28.5,28.99,28.5,29.209999,31540700.0
4908,2010-01-15,WFC,28.82,28.08,27.879998999999998,28.9,47255900.0
5376,2010-01-19,WFC,27.93,28.280001000000002,27.610001,28.469998999999998,40815800.0
5844,2010-01-20,WFC,28.02,27.82,27.700001,28.65,75712300.0
6312,2010-01-21,WFC,27.98,28.0,27.18,28.5,90151500.0
6780,2010-01-22,WFC,27.969998999999998,27.26,27.17,28.41,69506900.0
7248,2010-01-25,WFC,27.450001,27.66,27.190001000000002,28.049999,48319700.0
7716,2010-01-26,WFC,27.450001,26.99,26.92,28.35,66590800.0
8184,2010-01-27,WFC,26.9,28.200001,26.879998999999998,28.24,63074200.0
8652,2010-01-28,WFC,28.280001000000002,28.450001,27.719998999999998,28.77,62109300.0
9120,2010-01-29,WFC,28.440001000000002,28.43,28.379998999999998,29.17,88783700.0
9588,2010-02-01,WFC,28.6,28.93,28.51,29.09,45240000.0
10056,2010-02-02,WFC,28.959999,28.790001,28.51,29.129998999999998,50306600.0
10524,2010-02-03,WFC,28.57,28.139999,27.98,28.780001000000002,44597600.0
10992,2010-02-04,WFC,27.950001,27.059998999999998,27.0,28.08,68235300.0
11460,2010-02-05,WFC,27.299999,27.42,26.620001000000002,27.709999,68479000.0
11928,2010-02-08,WFC,27.23,26.43,26.4,27.41,43425800.0
12396,2010-02-09,WFC,26.889999,26.709999,26.370001000000002,27.139999,46845300.0
12864,2010-02-10,WFC,26.610001,27.18,26.549999,27.559998999999998,42104800.0
13332,2010-02-11,WFC,27.15,27.08,26.709999,27.24,35821600.0
13800,2010-02-12,WFC,26.790001,26.879998999999998,26.469998999999998,27.040001,45333600.0
14268,2010-02-16,WFC,27.190001000000002,27.389999,26.940001000000002,27.389999,36097500.0
14736,2010-02-17,WFC,27.59,27.33,27.09,27.639999,50109700.0
15204,2010-02-18,WFC,27.299999,27.34,27.16,27.57,30287900.0
15672,2010-02-19,WFC,27.08,27.370001000000002,27.07,27.48,32174300.0
16140,2010-02-22,WFC,27.48,28.01,27.379998999999998,28.15,41852200.0
16608,2010-02-23,WFC,27.950001,27.290001,27.18,28.0,38755100.0
17076,2010-02-24,WFC,27.450001,27.66,27.18,27.77,35782300.0
17544,2010-02-25,WFC,27.17,27.440001000000002,27.040001,27.48,34185600.0
18012,2010-02-26,WFC,27.49,27.34,26.93,27.5,50819700.0
18480,2010-03-01,WFC,27.450001,27.35,27.15,27.59,34311000.0
18948,2010-03-02,WFC,27.4,27.870001000000002,27.370001000000002,28.209999,45592200.0
19416,2010-03-03,WFC,27.950001,28.200001,27.940001000000002,28.450001,35902200.0
19884,2010-03-04,WFC,28.35,28.43,28.209999,28.57,30891500.0
20352,2010-03-05,WFC,28.629998999999998,29.15,28.549999,29.27,40554100.0
20820,2010-03-08,WFC,29.129998999999998,28.889999,28.82,29.35,31311900.0
21288,2010-03-09,WFC,28.780001000000002,28.98,28.469998999999998,29.219998999999998,31292400.0
21756,2010-03-10,WFC,29.129998999999998,29.57,29.1,29.83,42568300.0
22224,2010-03-11,WFC,29.530001000000002,29.76,29.24,29.76,32127400.0
22692,2010-03-12,WFC,29.83,29.629998999999998,29.49,29.940001000000002,36671500.0
23160,2010-03-15,WFC,29.48,29.889999,29.26,29.889999,26911900.0
23628,2010-03-16,WFC,29.93,30.280001000000002,29.74,30.32,40201400.0
24096,2010-03-17,WFC,30.41,30.549999,30.26,30.67,33176200.0
24564,2010-03-18,WFC,30.469998999999998,30.290001,29.85,30.559998999999998,33984900.0
25032,2010-03-19,WFC,30.379998999999998,30.379998999999998,29.959999,30.540001,53781800.0
25500,2010-03-22,WFC,30.09,30.41,30.049999,30.59,28594000.0
25968,2010-03-23,WFC,30.469998999999998,31.08,30.379998999999998,31.120001000000002,39320200.0
26436,2010-03-24,WFC,30.84,30.860001,30.67,31.280001000000002,36135600.0
26904,2010-03-25,WFC,31.030001000000002,31.059998999999998,30.9,31.99,47424300.0
27372,2010-03-26,WFC,31.209999,31.219998999999998,31.0,31.77,36079700.0
27840,2010-03-29,WFC,31.35,31.1,30.9,31.450001,25280200.0
28308,2010-03-30,WFC,31.1,30.84,30.799999,31.299999,26937900.0
28776,2010-03-31,WFC,30.58,31.120001000000002,30.58,31.16,28384000.0
29244,2010-04-01,WFC,31.4,31.370001000000002,31.129998999999998,31.6,33041400.0
29712,2010-04-05,WFC,31.49,31.51,31.26,31.75,30821900.0
30180,2010-04-06,WFC,31.360001,32.279999,31.35,32.389998999999996,39500100.0
30648,2010-04-07,WFC,32.279999,31.99,31.77,32.490002000000004,34514700.0
31116,2010-04-08,WFC,31.790001,32.23,31.559998999999998,32.41,32203600.0
31584,2010-04-09,WFC,32.400002,32.299999,31.92,32.650002,27106200.0
32052,2010-04-12,WFC,32.400002,32.419998,32.27,32.700001,25108400.0
32520,2010-04-13,WFC,32.16,32.150002,31.73,32.240002000000004,38042000.0
32988,2010-04-14,WFC,32.459998999999996,33.279999,32.349998,33.419998,54445900.0
33456,2010-04-15,WFC,33.23,33.509997999999996,33.119999,33.889998999999996,47891800.0
33924,2010-04-16,WFC,33.209998999999996,32.560001,31.66,33.25,89843800.0
34392,2010-04-19,WFC,32.619999,33.02,32.130001,33.259997999999996,54879400.0
34860,2010-04-20,WFC,33.189999,33.689999,33.0,33.889998999999996,46816100.0
35328,2010-04-21,WFC,32.59,33.009997999999996,32.509997999999996,34.25,96214600.0
35796,2010-04-22,WFC,32.700001,33.580002,32.560001,33.720001,49765400.0
36264,2010-04-23,WFC,33.700001,33.48,33.200001,33.790001000000004,30999200.0
36732,2010-04-26,WFC,33.360001000000004,32.720001,32.59,33.450001,36186000.0
37200,2010-04-27,WFC,32.200001,31.719998999999998,31.65,33.07,52674300.0
37669,2010-04-28,WFC,32.07,32.450001,31.969998999999998,32.650002,39027300.0
38138,2010-04-29,WFC,32.790001000000004,33.23,32.73,33.400002,31021400.0
38607,2010-04-30,WFC,33.25,33.110001000000004,32.98,33.82,53446100.0
39076,2010-05-03,WFC,33.220001,33.880001,33.209998999999996,34.09,37442300.0
