,date,symbol,open,close,low,high,volume
697,2010-01-04,WFM,13.795,13.925,13.595000500000001,14.0249995,5275000.0
1165,2010-01-05,WFM,13.92,13.810000500000001,13.609999499999999,14.005,5024800.0
1633,2010-01-06,WFM,13.755,13.970000500000001,13.74,13.9799995,4892200.0
2101,2010-01-07,WFM,13.9449995,13.91,13.810000500000001,14.13,2639200.0
2569,2010-01-08,WFM,13.84,13.9799995,13.76,14.0,3717000.0
3037,2010-01-11,WFM,13.9300005,14.87,13.925,14.939999499999999,7947600.0
3505,2010-01-12,WFM,14.75,14.715,14.51,14.84,4525200.0
3973,2010-01-13,WFM,14.75,14.66,14.515000500000001,14.8199995,2639800.0
4441,2010-01-14,WFM,14.595000500000001,14.109999499999999,14.08,14.6000005,6173200.0
4909,2010-01-15,WFM,14.13,13.9750005,13.8999995,14.13,5453400.0
5377,2010-01-19,WFM,13.915,14.3549995,13.74,14.49,6943800.0
5845,2010-01-20,WFM,14.26,14.55,14.035,14.63,4867200.0
6313,2010-01-21,WFM,14.625,14.5200005,14.3999995,15.095000500000001,6515600.0
6781,2010-01-22,WFM,14.465,14.2250005,14.1800005,14.625,3735000.0
7249,2010-01-25,WFM,14.255,14.1800005,13.9750005,14.505,4470200.0
7717,2010-01-26,WFM,14.09,13.8999995,13.890000500000001,14.185000500000001,4018400.0
8185,2010-01-27,WFM,13.925,13.785,13.62,14.04,4495000.0
8653,2010-01-28,WFM,13.88,13.635,13.5,14.0,3731200.0
9121,2010-01-29,WFM,13.875,13.609999499999999,13.595000500000001,13.915,3965200.0
9589,2010-02-01,WFM,13.609999499999999,13.71,13.585,13.865,2811000.0
10057,2010-02-02,WFM,13.7250005,13.9449995,13.654999499999999,14.0249995,5017600.0
10525,2010-02-03,WFM,13.875,13.859999499999999,13.615,13.955,4960600.0
10993,2010-02-04,WFM,13.715,13.63,13.6049995,13.915,5271400.0
11461,2010-02-05,WFM,13.585,13.689999499999999,13.439999499999999,13.810000500000001,3403600.0
11929,2010-02-08,WFM,13.814999499999999,13.795,13.7749995,14.05,3892800.0
12397,2010-02-09,WFM,13.925,14.12,13.87,14.1800005,8979200.0
12865,2010-02-10,WFM,14.165,14.2250005,13.9300005,14.345000500000001,5265600.0
13333,2010-02-11,WFM,14.234999499999999,14.6049995,14.09,14.665,6367000.0
13801,2010-02-12,WFM,14.535,14.875,14.404999499999999,14.8950005,8016000.0
14269,2010-02-16,WFM,15.25,15.26,14.99,15.439999499999999,17061000.0
14737,2010-02-17,WFM,16.4349995,17.174999,16.3899995,17.3600005,37976400.0
15205,2010-02-18,WFM,16.959999,17.040001,16.7649995,17.084999,15262400.0
15673,2010-02-19,WFM,16.944999499999998,16.83,16.805000500000002,17.0,12257800.0
16141,2010-02-22,WFM,16.854999499999998,16.959999,16.6499995,17.0,7548400.0
16609,2010-02-23,WFM,16.944999499999998,17.4349995,16.885,17.575001,15865600.0
17077,2010-02-24,WFM,17.51,17.3099995,17.200001,17.51,17328800.0
17545,2010-02-25,WFM,17.075001,17.59,17.01,17.709999,10357600.0
18013,2010-02-26,WFM,17.6550005,17.745001000000002,17.479999499999998,18.020000500000002,12885200.0
18481,2010-03-01,WFM,17.959999,18.2800005,17.854999499999998,18.295,9332400.0
18949,2010-03-02,WFM,18.295,18.200001,18.0949995,18.370001000000002,6837000.0
19417,2010-03-03,WFM,18.1499995,18.084999,18.01,18.299999,5115000.0
19885,2010-03-04,WFM,18.209999,18.120001000000002,17.950001,18.24,4016800.0
20353,2010-03-05,WFM,18.270000500000002,18.055000500000002,17.915001,18.299999,7373600.0
20821,2010-03-08,WFM,17.9750005,17.944999499999998,17.8600005,18.1499995,4490600.0
21289,2010-03-09,WFM,17.930000500000002,17.6550005,17.5599995,17.930000500000002,5405200.0
21757,2010-03-10,WFM,17.625,17.575001,17.5249995,17.83,4664600.0
22225,2010-03-11,WFM,17.5,17.805000500000002,17.459999,17.8600005,4294200.0
22693,2010-03-12,WFM,17.834999,18.1499995,17.819999499999998,18.1499995,4484200.0
23161,2010-03-15,WFM,18.125,18.1849995,17.9850005,18.25,3101600.0
23629,2010-03-16,WFM,18.17,18.375,18.135,18.4400005,3990400.0
24097,2010-03-17,WFM,18.3899995,18.4699995,18.295,18.549999,3701800.0
24565,2010-03-18,WFM,18.5,18.0,17.92,18.5,4422200.0
25033,2010-03-19,WFM,17.9850005,17.915001,17.6550005,17.99,6836600.0
25501,2010-03-22,WFM,17.67,17.885,17.6100005,17.91,3843800.0
25969,2010-03-23,WFM,17.825001,17.9850005,17.754998999999998,18.004998999999998,2632200.0
