,date,symbol,open,close,low,high,volume
703,2010-01-04,WY,43.889998999999996,44.279999,43.439999,44.43,1832400.0
1171,2010-01-05,WY,44.290001000000004,45.220001,43.689999,45.240002000000004,1724500.0
1639,2010-01-06,WY,44.32,44.720001,43.950001,45.23,2254400.0
2107,2010-01-07,WY,44.540001000000004,44.52,43.759997999999996,44.639998999999996,1420700.0
2575,2010-01-08,WY,44.25,44.110001000000004,43.700001,44.450001,1310000.0
3043,2010-01-11,WY,44.139998999999996,44.400002,43.779999,44.490002000000004,1116800.0
3511,2010-01-12,WY,44.02,43.880001,43.330002,44.400002,907600.0
3979,2010-01-13,WY,43.93,44.279999,43.419998,44.400002,727100.0
4447,2010-01-14,WY,44.009997999999996,43.860001000000004,43.459998999999996,44.139998999999996,780300.0
4915,2010-01-15,WY,43.889998999999996,43.59,43.400002,44.119999,1341000.0
5383,2010-01-19,WY,43.580002,44.720001,43.5,44.740002000000004,810000.0
5851,2010-01-20,WY,44.34,43.98,43.68,44.630001,1265500.0
6319,2010-01-21,WY,43.950001,41.970001,41.959998999999996,44.119999,1731800.0
6787,2010-01-22,WY,41.759997999999996,41.259997999999996,41.169998,42.259997999999996,1919900.0
7255,2010-01-25,WY,41.860001000000004,41.450001,40.959998999999996,42.150002,1634700.0
7723,2010-01-26,WY,41.259997999999996,41.560001,41.110001000000004,42.0,1457000.0
8191,2010-01-27,WY,41.369999,41.25,40.490002000000004,41.439999,2397500.0
8659,2010-01-28,WY,41.529999,40.48,40.099998,41.650002,1383200.0
9127,2010-01-29,WY,40.830002,39.900002,39.869999,41.5,2059400.0
9595,2010-02-01,WY,40.380001,41.0,39.880001,41.009997999999996,2010100.0
10063,2010-02-02,WY,41.049999,42.459998999999996,40.580002,42.580002,2245300.0
10531,2010-02-03,WY,42.349998,41.759997999999996,41.5,42.529999,2154700.0
10999,2010-02-04,WY,41.790001000000004,40.389998999999996,40.259997999999996,41.790001000000004,2227800.0
11467,2010-02-05,WY,40.02,39.450001,38.25,40.259997999999996,4533200.0
11935,2010-02-08,WY,39.5,39.25,39.200001,40.220001,2152000.0
12403,2010-02-09,WY,39.82,39.790001000000004,39.02,40.259997999999996,2044900.0
12871,2010-02-10,WY,39.790001000000004,39.25,38.700001,39.880001,1230200.0
13339,2010-02-11,WY,39.310001,39.619999,38.900002,39.689999,1199000.0
13807,2010-02-12,WY,39.009997999999996,39.540001000000004,38.66,39.610001000000004,1738400.0
14275,2010-02-16,WY,40.02,40.48,39.889998999999996,40.540001000000004,1627800.0
14743,2010-02-17,WY,40.759997999999996,40.32,39.950001,40.970001,1538500.0
15211,2010-02-18,WY,40.080002,40.599998,40.02,40.669998,1402100.0
15679,2010-02-19,WY,40.5,41.290001000000004,40.330002,41.580002,2016000.0
16147,2010-02-22,WY,41.490002000000004,41.299999,40.5,41.490002000000004,1568900.0
16615,2010-02-23,WY,41.189999,41.02,40.66,41.48,2011600.0
17083,2010-02-24,WY,41.240002000000004,42.040001000000004,41.009997999999996,42.200001,2135500.0
17551,2010-02-25,WY,41.400002,41.23,40.57,41.400002,2294700.0
18019,2010-02-26,WY,41.43,40.400002,40.310001,41.630001,1791400.0
18487,2010-03-01,WY,40.68,41.720001,40.599998,41.779999,1823000.0
18955,2010-03-02,WY,41.869999,42.419998,41.869999,42.650002,1726200.0
19423,2010-03-03,WY,42.650002,42.77,42.43,43.240002000000004,1483200.0
19891,2010-03-04,WY,42.950001,42.529999,42.119999,43.150002,1221600.0
20359,2010-03-05,WY,43.0,43.380001,42.900002,43.43,966900.0
20827,2010-03-08,WY,43.43,43.59,43.349998,43.919998,1042000.0
21295,2010-03-09,WY,43.25,43.549999,43.25,44.060001,1021000.0
21763,2010-03-10,WY,43.560001,43.0,42.759997999999996,43.73,1377200.0
22231,2010-03-11,WY,42.869999,43.790001000000004,42.779999,43.84,1203900.0
22699,2010-03-12,WY,43.950001,43.68,43.439999,44.290001000000004,982400.0
23167,2010-03-15,WY,43.639998999999996,43.369999,42.93,43.720001,788700.0
23635,2010-03-16,WY,43.59,44.639998999999996,43.360001000000004,44.740002000000004,1580100.0
24103,2010-03-17,WY,44.700001,45.32,44.59,45.419998,1177400.0
24571,2010-03-18,WY,45.380001,44.82,44.529999,45.490002000000004,1025000.0
25039,2010-03-19,WY,44.369999,44.369999,44.110001000000004,45.32,1698800.0
25507,2010-03-22,WY,43.869999,44.959998999999996,43.580002,45.029999,858300.0
25975,2010-03-23,WY,45.0,45.32,44.310001,45.32,1054700.0
26443,2010-03-24,WY,45.130001,45.0,44.849998,45.43,885700.0
26911,2010-03-25,WY,45.349998,44.16,44.099998,45.439999,1123600.0
27379,2010-03-26,WY,44.349998,44.299999,43.779999,45.080002,1339200.0
27847,2010-03-29,WY,44.48,44.880001,44.459998999999996,45.240002000000004,876400.0
28315,2010-03-30,WY,44.860001000000004,45.25,44.860001000000004,45.93,1459500.0
