,date,symbol,open,close,low,high,volume
705,2010-01-04,WYNN,61.240002000000004,63.959998999999996,60.919998,64.150002,4741400.0
1173,2010-01-05,WYNN,65.18,67.849998,64.949997,68.33000200000001,5644300.0
1641,2010-01-06,WYNN,67.07,66.959999,66.400002,68.160004,2738800.0
2109,2010-01-07,WYNN,66.480003,68.389999,66.08000200000001,68.480003,2388500.0
2577,2010-01-08,WYNN,67.690002,67.900002,67.129997,68.389999,1539800.0
3045,2010-01-11,WYNN,68.019997,67.68,67.400002,69.110001,1909000.0
3513,2010-01-12,WYNN,67.470001,67.980003,66.779999,68.879997,3306500.0
3981,2010-01-13,WYNN,68.41999799999999,69.400002,67.440002,69.699997,2959300.0
4449,2010-01-14,WYNN,69.019997,72.110001,69.019997,72.379997,4431900.0
4917,2010-01-15,WYNN,71.980003,70.5,69.66999799999999,72.849998,2742300.0
5385,2010-01-19,WYNN,70.199997,71.32,70.08000200000001,71.550003,1326000.0
5853,2010-01-20,WYNN,70.32,68.160004,67.199997,70.720001,3639200.0
6321,2010-01-21,WYNN,68.160004,65.370003,65.25,68.980003,2756800.0
6789,2010-01-22,WYNN,65.209999,63.950001,63.599998,66.099998,2227900.0
7257,2010-01-25,WYNN,65.0,63.59,62.75,65.510002,2048000.0
7725,2010-01-26,WYNN,62.849998,62.849998,62.689999,64.089996,1623100.0
8193,2010-01-27,WYNN,62.75,62.759997999999996,60.82,63.209998999999996,2616200.0
8661,2010-01-28,WYNN,63.369999,61.77,61.599998,64.370003,2331500.0
9129,2010-01-29,WYNN,62.599998,61.880001,61.66,64.08000200000001,2626500.0
9597,2010-02-01,WYNN,62.299999,65.540001,62.299999,65.639999,2510900.0
10065,2010-02-02,WYNN,65.120003,64.839996,63.549999,65.639999,1950000.0
10533,2010-02-03,WYNN,64.08000200000001,64.239998,63.139998999999996,64.279999,1976800.0
11001,2010-02-04,WYNN,63.419998,60.84,60.75,63.759997999999996,2245400.0
11469,2010-02-05,WYNN,61.389998999999996,61.369999,59.700001,62.130001,2634800.0
11937,2010-02-08,WYNN,61.650002,60.759997999999996,60.029999,62.759997999999996,1496200.0
12405,2010-02-09,WYNN,62.029999,61.630001,60.599998,62.59,1838500.0
12873,2010-02-10,WYNN,61.5,61.400002,60.849998,62.389998999999996,1256000.0
13341,2010-02-11,WYNN,61.279999,64.959999,60.990002000000004,65.349998,2880900.0
13809,2010-02-12,WYNN,63.740002000000004,63.040001000000004,62.240002000000004,63.880001,3141400.0
14277,2010-02-16,WYNN,63.98,64.910004,63.779999,65.120003,1977000.0
14745,2010-02-17,WYNN,65.480003,64.410004,63.540001000000004,65.75,1679100.0
15213,2010-02-18,WYNN,63.290001000000004,62.009997999999996,61.459998999999996,63.330002,3167400.0
15681,2010-02-19,WYNN,61.66,62.25,61.349998,63.130001,2159100.0
16149,2010-02-22,WYNN,62.610001000000004,63.02,62.52,63.560001,1679400.0
16617,2010-02-23,WYNN,63.099998,63.68,62.240002000000004,63.869999,3269700.0
17085,2010-02-24,WYNN,63.91,63.349998,62.759997999999996,64.599998,3057100.0
17553,2010-02-25,WYNN,62.389998999999996,62.799999,61.540001000000004,63.009997999999996,3694500.0
18021,2010-02-26,WYNN,62.490002000000004,63.57,61.18,64.5,3955800.0
18489,2010-03-01,WYNN,64.519997,66.220001,64.029999,66.800003,3104700.0
18957,2010-03-02,WYNN,67.0,66.870003,66.269997,67.25,2190100.0
19425,2010-03-03,WYNN,66.980003,66.370003,66.160004,67.550003,1960500.0
19893,2010-03-04,WYNN,66.57,65.889999,65.290001,66.769997,1430300.0
20361,2010-03-05,WYNN,66.550003,67.739998,66.33000200000001,68.059998,1815000.0
20829,2010-03-08,WYNN,68.08000200000001,68.989998,67.559998,69.940002,2215700.0
21297,2010-03-09,WYNN,68.699997,69.769997,68.349998,71.470001,3054100.0
21765,2010-03-10,WYNN,69.93,70.959999,69.059998,71.889999,2586700.0
22233,2010-03-11,WYNN,70.279999,71.190002,69.809998,71.230003,1938600.0
22701,2010-03-12,WYNN,71.790001,71.470001,70.699997,72.440002,1888700.0
23169,2010-03-15,WYNN,70.41999799999999,70.470001,69.290001,71.190002,2047000.0
23637,2010-03-16,WYNN,70.959999,73.629997,70.279999,73.800003,3435000.0
24105,2010-03-17,WYNN,74.150002,72.809998,72.470001,75.33000200000001,3254200.0
24573,2010-03-18,WYNN,72.519997,72.010002,71.709999,72.779999,1713200.0
25041,2010-03-19,WYNN,72.730003,71.75,71.389999,72.800003,2490000.0
25509,2010-03-22,WYNN,70.900002,76.540001,70.260002,76.889999,4878700.0
25977,2010-03-23,WYNN,76.910004,76.33000200000001,74.690002,77.410004,3299600.0
26445,2010-03-24,WYNN,75.849998,75.809998,75.300003,77.25,3633000.0
26913,2010-03-25,WYNN,76.309998,74.410004,74.300003,77.190002,3156500.0
27381,2010-03-26,WYNN,75.019997,76.629997,74.809998,77.949997,3085700.0
27849,2010-03-29,WYNN,77.150002,76.849998,75.860001,77.629997,2360800.0
28317,2010-03-30,WYNN,76.870003,77.25,76.110001,77.93,2786400.0
28785,2010-03-31,WYNN,76.519997,75.83000200000001,75.389999,76.940002,2959100.0
29253,2010-04-01,WYNN,76.209999,77.400002,75.25,77.839996,3374300.0
29721,2010-04-05,WYNN,77.800003,82.279999,77.790001,82.349998,3756800.0
30189,2010-04-06,WYNN,82.08000200000001,81.739998,81.32,83.199997,3300000.0
30657,2010-04-07,WYNN,81.269997,81.660004,80.68,83.150002,2535700.0
31125,2010-04-08,WYNN,81.349998,86.230003,80.860001,86.910004,5253800.0
31593,2010-04-09,WYNN,86.66999799999999,87.16999799999999,84.550003,87.410004,3797000.0
32061,2010-04-12,WYNN,87.300003,86.900002,86.529999,88.349998,2865700.0
32529,2010-04-13,WYNN,87.050003,88.040001,86.589996,88.68,2695300.0
32997,2010-04-14,WYNN,88.360001,86.410004,85.540001,88.970001,4438400.0
33465,2010-04-15,WYNN,85.480003,86.010002,84.809998,87.41999799999999,3168300.0
33933,2010-04-16,WYNN,85.839996,83.82,82.900002,86.58000200000001,3162900.0
34401,2010-04-19,WYNN,83.5,82.910004,80.800003,85.5,3611400.0
34869,2010-04-20,WYNN,85.5,86.57,84.230003,86.889999,3399600.0
35337,2010-04-21,WYNN,87.110001,85.93,84.260002,87.190002,2585300.0
35805,2010-04-22,WYNN,84.739998,89.91999799999999,84.199997,90.08000200000001,3898700.0
36273,2010-04-23,WYNN,89.809998,89.5,89.0,92.639999,3740700.0
36741,2010-04-26,WYNN,90.82,92.120003,89.639999,92.33000200000001,3659500.0
37209,2010-04-27,WYNN,91.629997,88.400002,87.889999,91.82,3280400.0
37678,2010-04-28,WYNN,90.470001,88.769997,87.260002,90.75,2232300.0
38147,2010-04-29,WYNN,89.91999799999999,93.150002,89.629997,93.480003,3553200.0
38616,2010-04-30,WYNN,91.489998,88.239998,87.870003,93.989998,4283600.0
39085,2010-05-03,WYNN,89.349998,91.879997,88.0,92.0,3624600.0
39554,2010-05-04,WYNN,90.410004,87.66999799999999,86.57,90.470001,3986100.0
40023,2010-05-05,WYNN,85.980003,85.57,83.800003,88.970001,3776900.0
40492,2010-05-06,WYNN,85.010002,80.550003,71.0,86.66999799999999,6139400.0
40961,2010-05-07,WYNN,82.459999,76.980003,75.900002,83.470001,7202800.0
41430,2010-05-10,WYNN,82.639999,82.860001,81.599998,83.620003,3115300.0
41899,2010-05-11,WYNN,81.220001,84.279999,80.709999,86.110001,3403800.0
42368,2010-05-12,WYNN,85.489998,85.779999,84.75,86.209999,2110100.0
42837,2010-05-13,WYNN,85.43,84.720001,84.529999,87.839996,1989700.0
43306,2010-05-14,WYNN,83.440002,82.209999,81.120003,83.860001,2191100.0
43775,2010-05-17,WYNN,81.75,81.360001,78.650002,83.199997,2979200.0
44244,2010-05-18,WYNN,83.150002,80.769997,80.32,85.75,3681300.0
44713,2010-05-19,WYNN,79.82,80.410004,78.16999799999999,82.82,3265600.0
45182,2010-05-20,WYNN,77.540001,74.800003,74.0,78.769997,4921100.0
45651,2010-05-21,WYNN,73.08000200000001,78.68,72.529999,79.18,4073500.0
46120,2010-05-24,WYNN,79.470001,76.699997,76.489998,80.730003,2405700.0
46589,2010-05-25,WYNN,73.720001,79.57,72.779999,79.970001,4174900.0
47058,2010-05-26,WYNN,80.949997,78.58000200000001,78.010002,81.889999,3925300.0
47527,2010-05-27,WYNN,81.279999,84.489998,80.379997,84.620003,3221400.0
47996,2010-05-28,WYNN,84.220001,83.879997,81.879997,85.989998,2879200.0
48465,2010-06-01,WYNN,82.58000200000001,81.529999,81.410004,84.879997,2540900.0
