,date,symbol,open,close,low,high,volume
713,2010-01-04,YHOO,16.940001000000002,17.1,16.879998999999998,17.200001,16587400.0
1181,2010-01-05,YHOO,17.219998999999998,17.23,17.0,17.23,11718100.0
1649,2010-01-06,YHOO,17.17,17.17,17.07,17.299999,16422000.0
2117,2010-01-07,YHOO,16.809998999999998,16.700001,16.57,16.9,31816300.0
2585,2010-01-08,YHOO,16.68,16.700001,16.620001000000002,16.76,15470000.0
3053,2010-01-11,YHOO,16.77,16.74,16.48,16.83,16181900.0
3521,2010-01-12,YHOO,16.65,16.68,16.6,16.860001,15672400.0
3989,2010-01-13,YHOO,16.879998999999998,16.9,16.65,16.98,16955600.0
4457,2010-01-14,YHOO,16.809998999999998,17.120001000000002,16.799999,17.23,16715600.0
4925,2010-01-15,YHOO,17.25,16.82,16.75,17.25,18415000.0
5393,2010-01-19,YHOO,16.780001000000002,16.75,16.639999,16.959999,15182600.0
5861,2010-01-20,YHOO,16.65,16.379998999999998,16.25,16.68,14419500.0
6329,2010-01-21,YHOO,16.389999,16.200001,16.1,16.58,21858400.0
6797,2010-01-22,YHOO,16.08,15.88,15.81,16.209999,25132800.0
7265,2010-01-25,YHOO,16.07,15.86,15.74,16.110001,19683700.0
7733,2010-01-26,YHOO,15.82,15.99,15.7,16.17,43979400.0
8201,2010-01-27,YHOO,16.459999,15.98,15.77,16.49,41701000.0
8669,2010-01-28,YHOO,15.93,15.44,15.44,15.96,30159500.0
9137,2010-01-29,YHOO,15.51,15.01,14.9,15.67,39664600.0
9605,2010-02-01,YHOO,15.14,15.05,14.87,15.3,29865700.0
10073,2010-02-02,YHOO,15.1,15.17,15.03,15.32,27555200.0
10541,2010-02-03,YHOO,15.12,15.46,15.12,15.6,24730600.0
11009,2010-02-04,YHOO,15.34,15.01,14.99,15.52,27668100.0
11477,2010-02-05,YHOO,15.01,15.19,14.92,15.25,20713800.0
11945,2010-02-08,YHOO,15.18,14.99,14.95,15.47,19856400.0
12413,2010-02-09,YHOO,15.2,15.07,14.94,15.24,16716900.0
12881,2010-02-10,YHOO,15.02,14.8,14.48,15.02,36518100.0
13349,2010-02-11,YHOO,14.87,15.22,14.77,15.25,24509500.0
13817,2010-02-12,YHOO,15.07,15.17,14.85,15.19,18926400.0
14285,2010-02-16,YHOO,15.23,15.41,15.18,15.48,21447200.0
14753,2010-02-17,YHOO,15.5,15.44,15.32,15.52,12731900.0
15221,2010-02-18,YHOO,15.4,15.54,15.32,15.6,13700100.0
15689,2010-02-19,YHOO,15.49,15.58,15.33,15.71,15407900.0
16157,2010-02-22,YHOO,15.61,15.49,15.44,15.68,10463500.0
16625,2010-02-23,YHOO,15.45,15.38,15.14,15.51,18346700.0
17093,2010-02-24,YHOO,15.48,15.59,15.33,15.71,19284200.0
17561,2010-02-25,YHOO,15.32,15.24,15.13,15.35,20126900.0
18029,2010-02-26,YHOO,15.27,15.31,15.16,15.41,14975600.0
18497,2010-03-01,YHOO,15.43,15.79,15.4,15.83,17238000.0
18965,2010-03-02,YHOO,15.87,15.73,15.67,15.96,20101800.0
19433,2010-03-03,YHOO,15.85,15.57,15.55,15.85,20613800.0
19901,2010-03-04,YHOO,15.55,15.81,15.52,15.85,22906000.0
20369,2010-03-05,YHOO,15.89,16.059998999999998,15.89,16.379998999999998,21415000.0
20837,2010-03-08,YHOO,16.32,16.52,16.299999,16.610001,30554000.0
21305,2010-03-09,YHOO,16.41,16.530001000000002,16.4,16.719998999999998,20755200.0
21773,2010-03-10,YHOO,16.51,16.790001,16.51,16.940001000000002,33088600.0
22241,2010-03-11,YHOO,16.57,16.530001000000002,16.1,16.65,21732900.0
22709,2010-03-12,YHOO,16.51,16.32,16.26,16.59,23106400.0
23177,2010-03-15,YHOO,16.35,16.459999,16.280001000000002,16.639999,18967700.0
23645,2010-03-16,YHOO,16.469998999999998,16.360001,16.23,16.59,18309900.0
24113,2010-03-17,YHOO,16.280001000000002,16.5,16.280001000000002,16.629998999999998,13754600.0
24581,2010-03-18,YHOO,16.459999,16.559998999999998,16.32,16.57,12626200.0
25049,2010-03-19,YHOO,16.620001000000002,16.440001000000002,16.34,16.809998999999998,17871000.0
25517,2010-03-22,YHOO,16.370001000000002,16.34,16.32,16.540001,18743500.0
25985,2010-03-23,YHOO,16.34,16.030001000000002,15.97,16.34,31875700.0
26453,2010-03-24,YHOO,16.1,16.09,15.92,16.200001,32654500.0
26921,2010-03-25,YHOO,16.17,16.32,16.139999,16.59,27487400.0
27389,2010-03-26,YHOO,16.34,16.540001,16.309998999999998,16.57,23224900.0
