,date,symbol,open,close,low,high,volume
714,2010-01-04,YUM,25.248023005,25.2264565061,25.1976994968,25.363048885700003,2962300.0
1182,2010-01-05,YUM,25.248023005,25.140186915900003,25.025162473,25.2767800144,3298800.0
1650,2010-01-06,YUM,25.1258094896,24.9604615384,24.917326383899997,25.2767800144,4179000.0
2118,2010-01-07,YUM,24.8526254493,24.953272465799998,24.802301941,25.025162473,2452500.0
2586,2010-01-08,YUM,24.9460819554,24.9604615384,24.802301941,25.0323508267,3772400.0
3054,2010-01-11,YUM,25.0754859813,25.3918044572,24.9460819554,25.5643429188,5790200.0
3522,2010-01-12,YUM,25.528397555700003,25.873473041,25.3918044572,25.923796549200002,6634500.0
3990,2010-01-13,YUM,25.7584485981,25.8015830338,25.542774981999997,25.952553558600002,5638000.0
4458,2010-01-14,YUM,25.8159604601,26.0819554277,25.664989935300003,26.110712437100002,4148000.0
4926,2010-01-15,YUM,26.074767074,25.6434219986,25.528397555700003,26.110712437100002,6316000.0
5394,2010-01-19,YUM,25.6290438533,25.6290438533,25.5140194105,25.729690869899997,4951300.0
5862,2010-01-20,YUM,25.442127965500003,25.269590941799997,25.1545664989,25.585909417699998,4666700.0
6330,2010-01-21,YUM,25.3271035226,25.140186915900003,25.0179734004,25.4565075485,5409600.0
6798,2010-01-22,YUM,24.9388928828,24.6513292595,24.6297634795,25.1617548526,5496300.0
7266,2010-01-25,YUM,24.802301941,24.6441409058,24.6297634795,24.8741919482,5121200.0
7734,2010-01-26,YUM,24.5147383177,24.680086987800003,24.478792954699998,24.82386844,3479900.0
8202,2010-01-27,YUM,24.6872753415,25.025162473,24.586628324899998,25.089863407600003,5000100.0
8670,2010-01-28,YUM,25.1545664989,24.6872753415,24.6585204888,25.31991445,5245000.0
9138,2010-01-29,YUM,24.82386844,24.5938173975,24.5794399712,25.0395398993,4092300.0
9606,2010-02-01,YUM,24.7663558591,25.463695902199998,24.723221423400002,25.4852624011,5443100.0
10074,2010-02-02,YUM,25.463695902199998,25.751259525500004,25.2983465133,25.8303378864,4649600.0
10542,2010-02-03,YUM,25.5355859094,25.4061840402,25.140186915900003,25.585909417699998,5113900.0
11010,2010-02-04,YUM,25.0754859813,24.011503954000002,23.961180445700002,25.2983465133,13879100.0
11478,2010-02-05,YUM,24.076204888600003,23.709562904400002,23.537024442800003,24.1768519051,10415900.0
