,date,symbol,open,close,low,high,volume
716,2010-01-04,ZION,12.94,13.33,12.88,13.37,3974600.0
1184,2010-01-05,ZION,13.28,13.8,13.23,13.83,5605500.0
1652,2010-01-06,ZION,13.67,15.0,13.66,15.01,12615200.0
2120,2010-01-07,ZION,14.97,16.68,14.95,17.0,24716800.0
2588,2010-01-08,ZION,16.190001000000002,16.41,15.52,16.66,6903000.0
3056,2010-01-11,ZION,16.469998999999998,16.51,16.1,16.790001,5532000.0
3524,2010-01-12,ZION,16.379998999999998,16.049999,15.83,16.940001000000002,7340200.0
3992,2010-01-13,ZION,15.95,16.35,15.14,16.57,10367200.0
4460,2010-01-14,ZION,16.360001,16.709999,16.25,16.85,4677900.0
4928,2010-01-15,ZION,16.780001000000002,16.26,16.120001000000002,16.889999,4889300.0
5396,2010-01-19,ZION,16.25,17.110001,16.059998999999998,17.200001,7056700.0
5864,2010-01-20,ZION,16.91,17.92,16.85,18.0,9979700.0
6332,2010-01-21,ZION,17.969998999999998,18.360001,17.950001,19.42,14223800.0
6800,2010-01-22,ZION,18.07,17.66,17.120001000000002,18.25,11289700.0
7268,2010-01-25,ZION,17.959999,17.92,16.690001000000002,17.99,10474700.0
7736,2010-01-26,ZION,18.959999,19.08,18.9,20.58,26333100.0
8204,2010-01-27,ZION,18.879998999999998,18.940001000000002,18.34,19.34,9314100.0
8672,2010-01-28,ZION,19.530001000000002,19.34,18.9,19.75,7063800.0
9140,2010-01-29,ZION,19.57,18.969998999999998,18.780001000000002,19.700001,6963600.0
9608,2010-02-01,ZION,19.17,19.92,19.129998999999998,19.940001000000002,6913400.0
10076,2010-02-02,ZION,19.98,19.91,19.440001000000002,20.190001000000002,5880500.0
10544,2010-02-03,ZION,19.77,18.620001000000002,18.459999,19.780001000000002,10280400.0
11012,2010-02-04,ZION,18.09,17.49,17.389999,18.15,11389800.0
11480,2010-02-05,ZION,17.629998999999998,18.0,17.24,18.1,7965300.0
11948,2010-02-08,ZION,18.030001000000002,17.99,17.700001,18.780001000000002,8066000.0
12416,2010-02-09,ZION,18.299999,18.209999,17.99,18.65,4783100.0
12884,2010-02-10,ZION,18.26,18.52,18.129998999999998,18.700001,4126600.0
13352,2010-02-11,ZION,18.41,18.17,18.07,18.629998999999998,5180100.0
13820,2010-02-12,ZION,18.01,17.85,17.540001,18.049999,4889000.0
14288,2010-02-16,ZION,18.1,18.26,17.75,18.33,3531900.0
14756,2010-02-17,ZION,18.49,18.049999,17.85,18.49,3946300.0
15224,2010-02-18,ZION,17.870001000000002,17.719998999999998,17.6,18.139999,4436000.0
15692,2010-02-19,ZION,17.67,18.440001000000002,17.57,18.51,5704800.0
16160,2010-02-22,ZION,18.549999,18.870001000000002,18.52,19.0,4690800.0
16628,2010-02-23,ZION,18.559998999999998,18.18,18.030001000000002,18.940001000000002,5477800.0
17096,2010-02-24,ZION,18.200001,18.67,18.07,18.9,4770400.0
17564,2010-02-25,ZION,18.32,18.440001000000002,18.02,18.459999,4482200.0
18032,2010-02-26,ZION,18.459999,18.540001,18.120001000000002,18.6,3528900.0
18500,2010-03-01,ZION,18.700001,18.299999,18.18,18.700001,2452200.0
18968,2010-03-02,ZION,18.799999,18.639999,18.41,19.190001000000002,4703800.0
19436,2010-03-03,ZION,18.73,18.4,18.32,18.76,3343500.0
19904,2010-03-04,ZION,18.370001000000002,18.08,18.0,18.440001000000002,4441000.0
20372,2010-03-05,ZION,18.25,18.74,18.139999,18.780001000000002,4540900.0
20840,2010-03-08,ZION,18.91,18.93,18.67,19.07,3084200.0
21308,2010-03-09,ZION,18.74,19.26,18.459999,19.4,5624600.0
21776,2010-03-10,ZION,19.5,20.49,19.450001,21.059998999999998,13857400.0
22244,2010-03-11,ZION,20.68,21.43,20.370001000000002,21.73,14077100.0
22712,2010-03-12,ZION,21.68,20.99,20.959999,21.93,9106700.0
23180,2010-03-15,ZION,20.940001000000002,21.24,20.58,21.33,6415500.0
23648,2010-03-16,ZION,21.459999,22.219998999999998,21.24,22.35,8523800.0
24116,2010-03-17,ZION,22.18,23.190001000000002,22.18,23.73,13527300.0
24584,2010-03-18,ZION,22.790001,22.73,22.190001000000002,22.99,8474500.0
25052,2010-03-19,ZION,22.68,22.110001,22.02,22.969998999999998,7798700.0
25520,2010-03-22,ZION,21.75,22.610001,21.360001,22.67,5981200.0
25988,2010-03-23,ZION,22.59,22.82,22.18,22.9,4373500.0
26456,2010-03-24,ZION,22.73,23.059998999999998,22.68,23.43,5177100.0
26924,2010-03-25,ZION,23.34,22.639999,22.6,23.85,5195100.0
27392,2010-03-26,ZION,22.780001000000002,22.23,21.91,23.190001000000002,5999600.0
27860,2010-03-29,ZION,22.540001,21.75,21.440001000000002,22.709999,7127400.0
28328,2010-03-30,ZION,21.799999,21.66,21.57,21.98,3950800.0
28796,2010-03-31,ZION,21.43,21.84,21.41,22.08,4617800.0
29264,2010-04-01,ZION,22.129998999999998,21.879998999999998,21.610001,22.18,3231500.0
29732,2010-04-05,ZION,22.5,23.209999,22.24,23.26,6554200.0
30200,2010-04-06,ZION,23.139999,24.27,23.02,24.65,8533800.0
30668,2010-04-07,ZION,24.32,23.75,23.34,24.75,7203800.0
31136,2010-04-08,ZION,23.77,23.959999,23.26,24.16,4002200.0
31604,2010-04-09,ZION,24.17,23.93,23.709999,24.35,3588400.0
32072,2010-04-12,ZION,23.93,24.9,23.67,24.92,7493900.0
32540,2010-04-13,ZION,24.75,24.57,24.26,24.85,9121900.0
33008,2010-04-14,ZION,24.950001,26.360001,24.75,26.68,12528900.0
33476,2010-04-15,ZION,27.059998999999998,26.139999,25.790001,27.110001,10151500.0
33944,2010-04-16,ZION,26.049999,25.530001000000002,24.379998999999998,26.33,8800800.0
34412,2010-04-19,ZION,25.27,25.43,24.66,25.84,8444100.0
34880,2010-04-20,ZION,25.780001000000002,27.42,25.280001000000002,27.6,13658700.0
35348,2010-04-21,ZION,27.559998999999998,28.870001000000002,27.459999,30.0,15578100.0
35816,2010-04-22,ZION,28.68,29.6,28.15,29.75,6772200.0
36284,2010-04-23,ZION,29.52,30.0,29.25,30.15,5048000.0
36752,2010-04-26,ZION,30.139999,28.780001000000002,28.620001000000002,30.290001,6694300.0
