,date,symbol,open,close,low,high,volume
259,2010-01-04,ADI,31.790001,31.67,31.610001,32.189999,2102700.0
726,2010-01-05,ADI,31.67,31.620001000000002,31.41,31.809998999999998,2040100.0
1194,2010-01-06,ADI,31.709999,31.559998999999998,31.34,31.85,2105000.0
1662,2010-01-07,ADI,31.459999,31.309998999999998,31.07,31.65,2033400.0
2130,2010-01-08,ADI,31.200001,31.49,31.0,31.51,2393100.0
2598,2010-01-11,ADI,31.58,31.309998999999998,30.84,31.59,2963900.0
3066,2010-01-12,ADI,30.549999,30.01,29.700001,30.75,6868800.0
3534,2010-01-13,ADI,30.200001,30.0,29.389999,30.200001,5327100.0
4002,2010-01-14,ADI,30.0,29.969998999999998,29.379998999999998,30.049999,5073700.0
4470,2010-01-15,ADI,29.85,28.959999,28.93,29.85,5807800.0
4938,2010-01-19,ADI,29.030001000000002,29.469998999999998,29.02,29.549999,3906700.0
5406,2010-01-20,ADI,29.52,28.93,28.549999,29.52,4657200.0
5874,2010-01-21,ADI,29.129998999999998,29.059998999999998,28.780001000000002,29.52,4415200.0
6342,2010-01-22,ADI,29.1,27.76,27.66,29.1,4761400.0
6810,2010-01-25,ADI,27.870001000000002,28.01,27.780001000000002,28.32,2937000.0
7278,2010-01-26,ADI,27.74,27.6,27.549999,27.99,3203300.0
7746,2010-01-27,ADI,27.43,27.700001,27.370001000000002,28.0,4760700.0
8214,2010-01-28,ADI,27.66,27.15,26.620001000000002,27.700001,7521600.0
8682,2010-01-29,ADI,27.6,26.959999,26.76,27.950001,7080100.0
9150,2010-02-01,ADI,27.049999,27.52,26.92,27.610001,4133900.0
9618,2010-02-02,ADI,27.549999,27.780001000000002,27.35,27.93,2902000.0
10086,2010-02-03,ADI,27.620001000000002,27.65,27.469998999999998,27.870001000000002,2201000.0
10554,2010-02-04,ADI,27.440001000000002,26.5,26.5,27.440001000000002,5900100.0
11022,2010-02-05,ADI,26.5,26.9,26.379998999999998,26.950001,5844800.0
11490,2010-02-08,ADI,26.98,26.799999,26.48,27.15,5526400.0
11958,2010-02-09,ADI,27.209999,27.120001000000002,26.92,27.559998999999998,4841300.0
12426,2010-02-10,ADI,27.030001000000002,27.049999,26.82,27.42,4745300.0
12894,2010-02-11,ADI,27.18,27.67,26.93,27.98,8066300.0
13362,2010-02-12,ADI,27.51,27.99,27.190001000000002,28.200001,7836200.0
13830,2010-02-16,ADI,28.6,28.6,28.139999,28.690001000000002,6318100.0
14298,2010-02-17,ADI,28.67,28.379998999999998,28.01,28.85,6629000.0
14766,2010-02-18,ADI,28.959999,29.57,28.530001000000002,29.799999,10230000.0
15234,2010-02-19,ADI,29.360001,29.75,29.280001000000002,30.0,3853400.0
15702,2010-02-22,ADI,29.950001,29.889999,29.59,30.040001,4298200.0
16170,2010-02-23,ADI,29.77,29.15,28.92,29.879998999999998,6081200.0
16638,2010-02-24,ADI,29.299999,29.49,29.209999,29.66,3698100.0
17106,2010-02-25,ADI,29.200001,29.629998999999998,28.75,29.629998999999998,4270500.0
17574,2010-02-26,ADI,29.790001,29.24,28.98,29.790001,3606800.0
18042,2010-03-01,ADI,29.309998999999998,29.82,29.299999,29.85,3629400.0
18510,2010-03-02,ADI,29.91,29.620001000000002,29.450001,30.139999,4293600.0
18978,2010-03-03,ADI,29.620001000000002,29.190001000000002,29.16,29.76,2398800.0
19446,2010-03-04,ADI,29.299999,29.07,28.889999,29.4,2814600.0
19914,2010-03-05,ADI,29.299999,29.5,29.120001000000002,29.790001,3195700.0
20382,2010-03-08,ADI,29.43,29.52,29.33,29.6,2995700.0
20850,2010-03-09,ADI,29.27,29.25,28.91,29.440001000000002,4010700.0
21318,2010-03-10,ADI,29.76,30.08,29.68,30.42,5723100.0
21786,2010-03-11,ADI,30.0,29.17,28.98,30.0,5894800.0
22254,2010-03-12,ADI,29.309998999999998,28.98,28.950001,29.51,3475400.0
22722,2010-03-15,ADI,29.02,28.92,28.75,29.049999,2589200.0
23190,2010-03-16,ADI,29.059998999999998,30.01,28.959999,30.049999,5235400.0
23658,2010-03-17,ADI,30.110001,30.43,30.030001000000002,30.58,3439300.0
24126,2010-03-18,ADI,30.540001,30.16,30.0,30.540001,2673600.0
24594,2010-03-19,ADI,29.75,29.75,29.639999,30.379998999999998,4870300.0
25062,2010-03-22,ADI,29.6,30.07,29.59,30.219998999999998,2386500.0
25530,2010-03-23,ADI,30.110001,30.43,30.01,30.440001000000002,1911000.0
25998,2010-03-24,ADI,30.32,29.059998999999998,29.030001000000002,30.32,7601100.0
26466,2010-03-25,ADI,29.299999,28.940001000000002,28.870001000000002,29.52,5233800.0
26934,2010-03-26,ADI,28.940001000000002,28.49,28.209999,29.18,5712500.0
27402,2010-03-29,ADI,28.530001000000002,28.82,28.530001000000002,29.08,4141500.0
27870,2010-03-30,ADI,28.889999,29.01,28.629998999999998,29.129998999999998,2870600.0
28338,2010-03-31,ADI,28.809998999999998,28.82,28.719998999999998,29.120001000000002,2956500.0
