,date,symbol,open,close,low,high,volume
264,2010-01-04,AEE,28.030001000000002,27.76,27.690001000000002,28.27,1299300.0
731,2010-01-05,AEE,27.77,27.65,27.41,27.84,1422200.0
1199,2010-01-06,AEE,27.610001,27.459999,27.35,27.889999,1880300.0
1667,2010-01-07,AEE,27.469998999999998,27.200001,27.049999,27.469998999999998,936900.0
2135,2010-01-08,AEE,27.219998999999998,27.01,26.83,27.219998999999998,954100.0
2603,2010-01-11,AEE,27.049999,27.23,27.049999,27.280001000000002,997900.0
3071,2010-01-12,AEE,27.15,27.200001,27.09,27.459999,1021900.0
3539,2010-01-13,AEE,27.200001,27.379998999999998,27.139999,27.49,1240900.0
4007,2010-01-14,AEE,27.26,27.48,27.25,27.5,763100.0
4475,2010-01-15,AEE,27.41,27.34,26.92,27.48,1776100.0
4943,2010-01-19,AEE,27.370001000000002,27.690001000000002,27.27,27.74,1273000.0
5411,2010-01-20,AEE,27.5,27.17,27.030001000000002,27.540001,1638600.0
5879,2010-01-21,AEE,27.209999,26.52,26.219998999999998,27.4,4065200.0
6347,2010-01-22,AEE,26.58,25.780001000000002,25.75,26.58,2570000.0
6815,2010-01-25,AEE,26.01,25.91,25.76,26.07,1582000.0
7283,2010-01-26,AEE,25.860001,25.98,25.73,26.08,1525100.0
7751,2010-01-27,AEE,25.950001,25.99,25.6,26.049999,1943700.0
8219,2010-01-28,AEE,25.879998999999998,25.73,25.5,26.030001000000002,1887900.0
8687,2010-01-29,AEE,25.860001,25.549999,25.51,25.93,1583000.0
9155,2010-02-01,AEE,25.59,25.49,25.32,25.75,1714600.0
9623,2010-02-02,AEE,25.48,25.77,25.25,25.780001000000002,1981000.0
10091,2010-02-03,AEE,25.309998999999998,25.610001,25.290001,25.65,2162500.0
10559,2010-02-04,AEE,25.450001,24.98,24.98,25.459999,1652900.0
11027,2010-02-05,AEE,25.0,24.860001,24.450001,25.030001000000002,2836400.0
11495,2010-02-08,AEE,24.99,24.42,24.42,24.99,1857800.0
11963,2010-02-09,AEE,24.620001000000002,24.629998999999998,24.51,24.99,1916200.0
12431,2010-02-10,AEE,24.66,24.41,24.290001,24.66,2090500.0
12899,2010-02-11,AEE,24.41,24.629998999999998,24.139999,24.709999,2604900.0
13367,2010-02-12,AEE,24.459999,24.559998999999998,24.25,24.629998999999998,1986800.0
13835,2010-02-16,AEE,24.76,25.09,24.709999,25.15,1454800.0
14303,2010-02-17,AEE,25.219998999999998,25.4,25.059998999999998,25.4,1957500.0
14771,2010-02-18,AEE,25.469998999999998,25.639999,25.469998999999998,26.25,3138500.0
15239,2010-02-19,AEE,25.620001000000002,25.65,25.35,26.059998999999998,2066000.0
15707,2010-02-22,AEE,25.799999,25.41,25.360001,25.82,1396900.0
16175,2010-02-23,AEE,25.42,25.290001,25.17,25.469998999999998,1402600.0
16643,2010-02-24,AEE,25.34,25.139999,24.889999,25.450001,1640200.0
17111,2010-02-25,AEE,24.91,25.07,24.66,25.07,1876100.0
17579,2010-02-26,AEE,25.120001000000002,24.709999,24.65,25.120001000000002,2139100.0
18047,2010-03-01,AEE,24.82,25.040001,24.82,25.139999,1375600.0
18515,2010-03-02,AEE,25.17,25.33,25.129998999999998,25.360001,1253100.0
18983,2010-03-03,AEE,25.34,25.43,25.280001000000002,25.530001000000002,1580800.0
19451,2010-03-04,AEE,25.42,25.59,25.299999,25.6,1604000.0
