,date,symbol,open,close,low,high,volume
277,2010-01-04,ALXN,24.504998999999998,24.125,23.9349995,24.785,1128200.0
744,2010-01-05,ALXN,24.245001000000002,23.7800005,23.625,24.25,927600.0
1212,2010-01-06,ALXN,23.865,23.84,23.754998999999998,24.049999,1174000.0
1680,2010-01-07,ALXN,23.9400005,23.930000500000002,23.6499995,23.950001,710600.0
2148,2010-01-08,ALXN,23.83,23.9750005,23.76,24.0249995,734800.0
2616,2010-01-11,ALXN,23.915001,23.83,23.674999,24.0,675800.0
3084,2010-01-12,ALXN,23.705,23.5,23.455,23.705,1194600.0
3552,2010-01-13,ALXN,23.4750005,23.569999499999998,23.465,23.635,939800.0
4020,2010-01-14,ALXN,23.635,23.834999,23.459999,24.0149995,935600.0
4488,2010-01-15,ALXN,23.965,23.705,23.51,24.125,1421000.0
4956,2010-01-19,ALXN,23.819999499999998,23.8150005,23.575001,23.99,1174600.0
5424,2010-01-20,ALXN,23.709999,23.465,23.3099995,23.9750005,1186800.0
5892,2010-01-21,ALXN,23.354999499999998,23.415001,23.25,23.625,1524600.0
6360,2010-01-22,ALXN,23.635,23.1000005,23.049999,23.635,1183200.0
6828,2010-01-25,ALXN,23.2800005,23.0949995,22.91,23.354999499999998,870000.0
7296,2010-01-26,ALXN,23.129998999999998,22.75,22.729999499999998,23.129998999999998,952000.0
7764,2010-01-27,ALXN,22.7250005,22.870001000000002,22.430000500000002,22.8999995,2101600.0
8232,2010-01-28,ALXN,22.8999995,22.8999995,22.6000005,23.0249995,1564000.0
8700,2010-01-29,ALXN,23.08,23.1849995,22.99,23.415001,918600.0
9168,2010-02-01,ALXN,23.1499995,23.674999,23.1499995,23.709999,1055400.0
9636,2010-02-02,ALXN,23.6399995,24.325001,23.555000500000002,24.385,1817000.0
10104,2010-02-03,ALXN,24.1900005,24.5599995,24.1900005,24.620001000000002,1632000.0
10572,2010-02-04,ALXN,24.535,24.01,23.83,24.6000005,1346200.0
11040,2010-02-05,ALXN,23.930000500000002,23.3899995,22.995001000000002,23.930000500000002,1472200.0
11508,2010-02-08,ALXN,23.334999,22.9850005,22.91,23.334999,815400.0
11976,2010-02-09,ALXN,23.049999,23.455,23.049999,23.51,893400.0
12444,2010-02-10,ALXN,23.549999,23.74,23.4050005,23.9699995,1081600.0
12912,2010-02-11,ALXN,23.3449995,23.1849995,22.8500005,23.549999,3931600.0
13380,2010-02-12,ALXN,23.004998999999998,23.334999,22.865,23.365,1551400.0
13848,2010-02-16,ALXN,23.430000500000002,23.959999,23.125,24.020000500000002,1161800.0
14316,2010-02-17,ALXN,23.915001,24.3600005,23.915001,24.4750005,1554400.0
14784,2010-02-18,ALXN,24.354999499999998,24.754998999999998,24.299999,24.959999,1816800.0
15252,2010-02-19,ALXN,24.7250005,24.875,24.545,24.995001000000002,784600.0
15720,2010-02-22,ALXN,24.9750005,24.9850005,24.83,25.1550005,1460000.0
16188,2010-02-23,ALXN,24.875,24.3600005,24.290001,24.99,1160800.0
16656,2010-02-24,ALXN,24.3500005,24.584999,24.2749995,24.700001,942800.0
17124,2010-02-25,ALXN,24.444999499999998,24.4699995,24.1550005,24.6100005,853000.0
17592,2010-02-26,ALXN,24.584999,24.76,24.209999,24.875,936800.0
18060,2010-03-01,ALXN,24.7350005,25.535,24.665001,25.6100005,1193000.0
18528,2010-03-02,ALXN,25.459999,25.885,25.455,26.045,1609400.0
18996,2010-03-03,ALXN,25.965,25.965,25.83,25.99,1065200.0
19464,2010-03-04,ALXN,26.0599995,26.2350005,25.795,26.4750005,3742200.0
19932,2010-03-05,ALXN,26.354999499999998,26.865,26.270000500000002,26.8899995,1501000.0
20400,2010-03-08,ALXN,26.879998999999998,26.84,26.6550005,26.8899995,841600.0
20868,2010-03-09,ALXN,26.7199995,26.74,26.680000500000002,26.9400005,737400.0
21336,2010-03-10,ALXN,26.8899995,26.879998999999998,26.75,27.040001,1354800.0
21804,2010-03-11,ALXN,26.879998999999998,26.7749995,26.535,26.879998999999998,560800.0
22272,2010-03-12,ALXN,26.805000500000002,26.42,26.270000500000002,26.854999499999998,965600.0
22740,2010-03-15,ALXN,26.285,26.424999,26.2199995,26.549999,834800.0
23208,2010-03-16,ALXN,27.01,26.915001,26.629998999999998,27.069999499999998,2096200.0
23676,2010-03-17,ALXN,27.0599995,26.729999499999998,26.540001,27.075001,692400.0
24144,2010-03-18,ALXN,26.6900005,26.625,26.4400005,26.7649995,622000.0
24612,2010-03-19,ALXN,26.540001,27.129998999999998,26.504998999999998,27.2250005,1676400.0
25080,2010-03-22,ALXN,26.895000500000002,27.004998999999998,26.790001,27.2350005,1171800.0
25548,2010-03-23,ALXN,27.104999499999998,27.299999,26.965,27.49,865000.0
26016,2010-03-24,ALXN,27.25,26.875,26.535,27.4050005,1193800.0
26484,2010-03-25,ALXN,27.3899995,27.694999499999998,26.8600005,28.1499995,3112800.0
26952,2010-03-26,ALXN,27.8150005,27.465,27.174999,27.995001000000002,885600.0
27420,2010-03-29,ALXN,27.555000500000002,27.6000005,27.49,27.8500005,624800.0
27888,2010-03-30,ALXN,27.51,27.450001,27.375,27.7649995,766600.0
28356,2010-03-31,ALXN,27.4699995,27.1849995,27.135,27.569999499999998,849800.0
28824,2010-04-01,ALXN,27.2649995,27.2800005,27.0,27.584999,458200.0
29292,2010-04-05,ALXN,27.290001,27.25,27.1000005,27.450001,881200.0
29760,2010-04-06,ALXN,27.33,27.26,27.2199995,27.5249995,783400.0
30228,2010-04-07,ALXN,27.325001,27.290001,27.1100005,27.41,694200.0
30696,2010-04-08,ALXN,27.1900005,27.0,26.930000500000002,27.245001000000002,578800.0
31164,2010-04-09,ALXN,27.145000500000002,27.479999499999998,26.8899995,27.4850005,952600.0
31632,2010-04-12,ALXN,27.6499995,27.549999,27.1499995,27.7199995,736200.0
32100,2010-04-13,ALXN,27.479999499999998,27.145000500000002,27.049999,27.6499995,697000.0
32568,2010-04-14,ALXN,27.2199995,27.74,27.049999,27.770000500000002,900400.0
33036,2010-04-15,ALXN,27.74,27.4699995,27.450001,27.9750005,684200.0
33504,2010-04-16,ALXN,27.549999,27.4349995,27.2199995,27.715,1131800.0
33972,2010-04-19,ALXN,27.4750005,27.3449995,27.08,27.6900005,654200.0
34440,2010-04-20,ALXN,27.58,28.34,27.58,28.424999,1363800.0
34908,2010-04-21,ALXN,28.34,27.924999,27.674999,28.6000005,1934600.0
35376,2010-04-22,ALXN,27.930000500000002,28.135,27.1000005,28.354999499999998,2896000.0
35844,2010-04-23,ALXN,28.09,28.135,27.5149995,28.290001,1349800.0
