,date,symbol,open,close,low,high,volume
281,2010-01-04,AMGN,56.630001,57.720001,56.560001,57.869999,5277400.0
748,2010-01-05,AMGN,57.330002,57.220001,56.27,57.689999,7882800.0
1216,2010-01-06,AMGN,56.939999,56.790001000000004,56.5,57.389998999999996,6015100.0
1684,2010-01-07,AMGN,56.41,56.27,54.650002,56.529999,10371600.0
2152,2010-01-08,AMGN,56.07,56.77,55.639998999999996,56.830002,6576000.0
2620,2010-01-11,AMGN,56.93,57.02,56.619999,57.360001000000004,4062700.0
3088,2010-01-12,AMGN,57.139998999999996,56.029999,54.82,57.419998,11268300.0
3556,2010-01-13,AMGN,56.349998,56.529999,55.959998999999996,56.75,5056200.0
4024,2010-01-14,AMGN,56.349998,56.16,55.91,56.529999,4668900.0
4492,2010-01-15,AMGN,56.029999,56.25,55.650002,56.509997999999996,7240000.0
4960,2010-01-19,AMGN,56.41,57.549999,56.240002000000004,57.75,8570100.0
5428,2010-01-20,AMGN,57.619999,57.200001,56.41,57.619999,6625700.0
5896,2010-01-21,AMGN,57.43,56.630001,56.310001,57.560001,5833700.0
6364,2010-01-22,AMGN,56.669998,56.599998,56.529999,57.299999,5967600.0
6832,2010-01-25,AMGN,56.720001,55.709998999999996,55.549999,56.790001000000004,6719400.0
7300,2010-01-26,AMGN,56.200001,56.580002,55.700001,56.869999,14880300.0
7768,2010-01-27,AMGN,56.349998,57.740002000000004,56.349998,57.880001,9695000.0
8236,2010-01-28,AMGN,57.869999,58.080002,57.560001,58.779999,11638200.0
8704,2010-01-29,AMGN,58.349998,58.48,58.16,58.93,9465700.0
9172,2010-02-01,AMGN,58.52,58.720001,58.369999,58.84,7079100.0
9640,2010-02-02,AMGN,58.599998,59.23,58.41,59.299999,7660900.0
10108,2010-02-03,AMGN,58.900002,59.07,58.860001000000004,59.419998,7082600.0
10576,2010-02-04,AMGN,58.900002,57.529999,57.330002,59.060001,9534500.0
11044,2010-02-05,AMGN,57.540001000000004,57.68,56.639998999999996,58.029999,8409900.0
11512,2010-02-08,AMGN,57.540001000000004,57.459998999999996,56.700001,57.919998,5947800.0
11980,2010-02-09,AMGN,58.240002000000004,57.209998999999996,56.700001,58.400002,18732200.0
12448,2010-02-10,AMGN,57.09,56.84,56.369999,57.290001000000004,6019100.0
12916,2010-02-11,AMGN,56.560001,56.5,56.23,57.0,8491100.0
13384,2010-02-12,AMGN,56.220001,56.48,56.02,56.720001,8008700.0
13852,2010-02-16,AMGN,56.619999,56.990002000000004,56.200001,57.0,5245900.0
14320,2010-02-17,AMGN,56.93,57.200001,56.75,57.57,6831900.0
14788,2010-02-18,AMGN,57.299999,57.27,57.099998,57.439999,8120500.0
15256,2010-02-19,AMGN,57.049999,57.380001,56.950001,57.709998999999996,7131600.0
15724,2010-02-22,AMGN,57.360001000000004,57.099998,56.799999,57.439999,7176800.0
16192,2010-02-23,AMGN,56.959998999999996,56.380001,56.349998,57.220001,7703000.0
16660,2010-02-24,AMGN,56.66,56.740002000000004,56.349998,56.98,4887700.0
17128,2010-02-25,AMGN,56.48,56.25,55.779999,56.48,6592200.0
17596,2010-02-26,AMGN,56.25,56.610001000000004,56.099998,57.029999,6351700.0
18064,2010-03-01,AMGN,56.740002000000004,56.900002,56.720001,57.09,5638400.0
18532,2010-03-02,AMGN,56.91,56.869999,56.470001,57.02,7219100.0
19000,2010-03-03,AMGN,56.869999,56.900002,56.669998,57.169998,5655600.0
19468,2010-03-04,AMGN,57.009997999999996,56.77,56.369999,57.080002,6127000.0
19936,2010-03-05,AMGN,56.75,57.240002000000004,56.209998999999996,57.259997999999996,6529100.0
20404,2010-03-08,AMGN,57.25,57.610001000000004,57.200001,58.099998,4409300.0
20872,2010-03-09,AMGN,57.27,57.759997999999996,57.259997999999996,57.93,5095400.0
21340,2010-03-10,AMGN,57.98,57.779999,57.5,57.990002000000004,4620700.0
21808,2010-03-11,AMGN,57.43,57.490002000000004,57.080002,57.740002000000004,4346900.0
22276,2010-03-12,AMGN,57.720001,57.43,57.16,57.75,3601400.0
22744,2010-03-15,AMGN,57.27,56.889998999999996,56.529999,57.75,7051800.0
23212,2010-03-16,AMGN,57.290001000000004,57.419998,56.709998999999996,57.540001000000004,6256500.0
23680,2010-03-17,AMGN,57.360001000000004,57.43,56.900002,57.43,5348600.0
24148,2010-03-18,AMGN,57.41,58.310001,57.16,58.439999,6442600.0
24616,2010-03-19,AMGN,58.919998,60.0,57.650002,60.130001,18901000.0
25084,2010-03-22,AMGN,59.610001000000004,60.09,59.5,60.389998999999996,8837000.0
25552,2010-03-23,AMGN,59.889998999999996,60.060001,59.610001000000004,60.080002,5024800.0
26020,2010-03-24,AMGN,59.790001000000004,59.07,58.959998999999996,60.0,9367100.0
26488,2010-03-25,AMGN,59.400002,59.259997999999996,59.0,59.790001000000004,8863000.0
26956,2010-03-26,AMGN,59.34,59.41,59.0,59.919998,5627100.0
27424,2010-03-29,AMGN,59.700001,59.91,59.610001000000004,60.150002,4268700.0
27892,2010-03-30,AMGN,59.810001,60.09,59.560001,60.27,4360400.0
28360,2010-03-31,AMGN,60.0,59.84,59.689999,60.220001,4975100.0
28828,2010-04-01,AMGN,59.950001,60.799999,59.950001,60.939999,5916500.0
29296,2010-04-05,AMGN,60.740002000000004,60.419998,60.27,60.889998999999996,3679800.0
29764,2010-04-06,AMGN,60.25,60.290001000000004,59.84,60.490002000000004,3947200.0
30232,2010-04-07,AMGN,60.290001000000004,60.349998,60.080002,60.759997999999996,4573500.0
30700,2010-04-08,AMGN,60.41,60.52,59.869999,60.830002,4367700.0
31168,2010-04-09,AMGN,60.259997999999996,60.900002,60.259997999999996,60.919998,3585500.0
31636,2010-04-12,AMGN,60.66,60.369999,60.169998,60.900002,5588600.0
32104,2010-04-13,AMGN,59.93,60.68,59.93,60.900002,4710500.0
32572,2010-04-14,AMGN,60.419998,61.139998999999996,60.380001,61.200001,5183600.0
33040,2010-04-15,AMGN,60.869999,60.639998999999996,60.450001,61.07,4636700.0
33508,2010-04-16,AMGN,60.68,60.720001,60.040001000000004,61.060001,7315800.0
33976,2010-04-19,AMGN,60.59,61.07,60.16,61.259997999999996,4270300.0
34444,2010-04-20,AMGN,61.099998,60.18,59.900002,61.099998,7220000.0
34912,2010-04-21,AMGN,59.849998,58.709998999999996,58.110001000000004,60.0,13763400.0
35380,2010-04-22,AMGN,57.810001,58.16,57.029999,58.73,10389400.0
35848,2010-04-23,AMGN,58.09,58.880001,57.759997999999996,59.0,7107600.0
36316,2010-04-26,AMGN,58.98,58.43,58.41,59.200001,6157000.0
36784,2010-04-27,AMGN,58.200001,57.84,57.779999,58.919998,6178400.0
37252,2010-04-28,AMGN,57.919998,58.18,57.779999,58.560001,6236100.0
37721,2010-04-29,AMGN,58.380001,58.59,58.07,59.049999,4342600.0
38190,2010-04-30,AMGN,58.810001,57.310001,57.290001000000004,59.029999,8187900.0
38659,2010-05-03,AMGN,57.450001,57.59,57.130001,57.950001,5912300.0
39128,2010-05-04,AMGN,57.110001000000004,56.830002,55.91,57.23,7686400.0
39597,2010-05-05,AMGN,56.939999,56.599998,56.299999,57.349998,5988200.0
40066,2010-05-06,AMGN,56.43,54.75,52.799999,56.490002000000004,9744800.0
40535,2010-05-07,AMGN,54.529999,54.459998999999996,53.52,55.279999,10580700.0
41004,2010-05-10,AMGN,55.299999,55.580002,55.16,56.950001,8395700.0
41473,2010-05-11,AMGN,55.290001000000004,55.93,55.0,56.740002000000004,5909600.0
41942,2010-05-12,AMGN,55.919998,56.599998,55.52,56.84,5446800.0
42411,2010-05-13,AMGN,56.360001000000004,55.880001,55.779999,56.509997999999996,4741100.0
42880,2010-05-14,AMGN,55.700001,54.689999,54.209998999999996,55.880001,5717100.0
43349,2010-05-17,AMGN,55.380001,54.810001,53.880001,55.380001,5898400.0
43818,2010-05-18,AMGN,54.93,54.669998,54.560001,55.349998,4389400.0
44287,2010-05-19,AMGN,54.5,55.259997999999996,54.34,55.759997999999996,5816900.0
44756,2010-05-20,AMGN,54.18,52.939999,52.84,54.740002000000004,7296300.0
45225,2010-05-21,AMGN,52.189999,52.439999,51.82,53.490002000000004,10539300.0
45694,2010-05-24,AMGN,52.009997999999996,52.66,51.630001,53.150002,7187300.0
46163,2010-05-25,AMGN,51.950001,52.549999,51.169998,52.66,8788100.0
46632,2010-05-26,AMGN,52.439999,50.360001000000004,50.32,52.439999,11039900.0
47101,2010-05-27,AMGN,51.029999,51.43,50.66,51.450001,7325700.0
47570,2010-05-28,AMGN,51.75,51.779999,51.459998999999996,52.23,11169800.0
48039,2010-06-01,AMGN,51.720001,50.759997999999996,50.75,52.389998999999996,7269600.0
48508,2010-06-02,AMGN,53.580002,56.09,53.310001,56.32,26218700.0
48977,2010-06-03,AMGN,55.889998999999996,55.639998999999996,54.939999,56.029999,10172900.0
49446,2010-06-04,AMGN,54.82,54.34,54.150002,55.360001000000004,10356200.0
49915,2010-06-07,AMGN,54.169998,53.509997999999996,53.200001,54.209998999999996,9955400.0
50384,2010-06-08,AMGN,53.52,53.82,52.959998999999996,53.889998999999996,7986100.0
50853,2010-06-09,AMGN,53.799999,53.150002,52.939999,54.060001,6267100.0
51322,2010-06-10,AMGN,53.610001000000004,54.009997999999996,53.279999,54.290001000000004,6195300.0
51791,2010-06-11,AMGN,53.630001,54.099998,53.529999,54.459998999999996,4252400.0
52260,2010-06-14,AMGN,54.209998999999996,54.07,54.029999,54.82,4265400.0
52729,2010-06-15,AMGN,54.16,55.119999,54.080002,55.16,4855600.0
53198,2010-06-16,AMGN,54.880001,55.220001,54.700001,55.52,4742700.0
53667,2010-06-17,AMGN,55.189999,55.439999,54.509997999999996,55.450001,5723700.0
54136,2010-06-18,AMGN,55.439999,55.200001,54.599998,55.82,10851900.0
54605,2010-06-21,AMGN,56.860001000000004,56.52,56.310001,58.32,10162100.0
55074,2010-06-22,AMGN,56.34,56.119999,56.040001000000004,57.200001,5819800.0
55543,2010-06-23,AMGN,55.759997999999996,56.200001,55.369999,56.639998999999996,5859200.0
56012,2010-06-24,AMGN,55.91,56.150002,55.720001,56.779999,9048100.0
56481,2010-06-25,AMGN,56.610001000000004,56.259997999999996,55.5,57.080002,33297400.0
56950,2010-06-28,AMGN,56.049999,55.41,55.0,56.09,6204700.0
57419,2010-06-29,AMGN,54.830002,54.119999,53.830002,54.959998999999996,8307300.0
57888,2010-06-30,AMGN,53.869999,52.599998,52.599998,54.490002000000004,8538100.0
58357,2010-07-01,AMGN,52.59,52.02,51.0,52.59,9754700.0
58826,2010-07-02,AMGN,52.009997999999996,51.700001,51.41,52.5,5238100.0
59295,2010-07-06,AMGN,52.040001000000004,51.299999,50.75,52.240002000000004,6093000.0
59764,2010-07-07,AMGN,51.759997999999996,51.400002,50.560001,51.900002,7568900.0
60233,2010-07-08,AMGN,51.509997999999996,52.23,51.02,52.259997999999996,6758600.0
60702,2010-07-09,AMGN,52.349998,52.560001,51.900002,52.610001000000004,4810900.0
61171,2010-07-12,AMGN,52.240002000000004,52.439999,51.900002,52.560001,4254900.0
61640,2010-07-13,AMGN,52.66,52.759997999999996,52.540001000000004,53.290001000000004,3907400.0
62109,2010-07-14,AMGN,52.299999,52.619999,52.279999,53.0,4083000.0
62578,2010-07-15,AMGN,52.540001000000004,52.919998,52.290001000000004,53.220001,4685300.0
63047,2010-07-16,AMGN,52.91,52.169998,51.93,53.130001,8027500.0
63516,2010-07-19,AMGN,52.459998999999996,53.599998,52.310001,53.610001000000004,7830300.0
63985,2010-07-20,AMGN,52.959998999999996,53.200001,52.080002,53.200001,5630400.0
64454,2010-07-21,AMGN,53.099998,52.25,52.09,53.310001,6019900.0
64923,2010-07-22,AMGN,52.619999,53.310001,52.619999,53.830002,5049300.0
65392,2010-07-23,AMGN,53.02,52.75,51.610001000000004,53.18,8760900.0
65861,2010-07-26,AMGN,52.580002,53.669998,52.580002,53.889998999999996,4091300.0
66330,2010-07-27,AMGN,53.919998,54.509997999999996,53.779999,55.060001,7667700.0
66799,2010-07-28,AMGN,54.599998,53.759997999999996,52.759997999999996,54.68,4945400.0
67268,2010-07-29,AMGN,54.139998999999996,53.369999,52.830002,54.400002,5908400.0
67737,2010-07-30,AMGN,53.209998999999996,54.529999,52.43,55.040001000000004,7205400.0
68206,2010-08-02,AMGN,55.25,54.869999,54.68,55.34,5526600.0
68675,2010-08-03,AMGN,54.52,54.709998999999996,54.490002000000004,55.279999,3964700.0
69144,2010-08-04,AMGN,55.009997999999996,55.759997999999996,54.68,55.959998999999996,4815700.0
69613,2010-08-05,AMGN,55.380001,55.32,55.169998,55.610001000000004,3067400.0
70082,2010-08-06,AMGN,54.709998999999996,55.939999,54.52,56.0,3474200.0
70551,2010-08-09,AMGN,55.970001,55.66,55.419998,56.0,3318100.0
71020,2010-08-10,AMGN,55.369999,55.720001,54.830002,56.130001,4151200.0
71489,2010-08-11,AMGN,54.75,53.689999,53.5,54.900002,5466100.0
71958,2010-08-12,AMGN,53.630001,54.75,53.040001000000004,54.98,6232300.0
72427,2010-08-13,AMGN,54.389998999999996,55.02,54.18,55.360001000000004,5511900.0
72896,2010-08-16,AMGN,54.380001,54.080002,53.57,54.599998,5639300.0
73365,2010-08-17,AMGN,53.889998999999996,53.959998999999996,53.689999,54.380001,4999100.0
73834,2010-08-18,AMGN,53.689999,54.139998999999996,53.150002,54.299999,5547500.0
74303,2010-08-19,AMGN,53.91,52.720001,52.290001000000004,53.990002000000004,4895600.0
74772,2010-08-20,AMGN,52.549999,52.34,52.07,52.669998,4386200.0
75241,2010-08-23,AMGN,52.470001,51.950001,51.93,52.970001,3466100.0
75710,2010-08-24,AMGN,51.700001,51.060001,50.91,51.700001,5937600.0
76179,2010-08-25,AMGN,50.880001,51.84,50.709998999999996,52.02,5125900.0
76648,2010-08-26,AMGN,51.959998999999996,50.93,50.73,52.07,5266500.0
77117,2010-08-27,AMGN,51.0,52.080002,50.259997999999996,52.41,7091200.0
77586,2010-08-30,AMGN,51.720001,51.630001,51.630001,52.580002,4689400.0
78055,2010-08-31,AMGN,51.389998999999996,51.040001000000004,50.849998,51.66,6636000.0
78524,2010-09-01,AMGN,51.610001000000004,52.59,51.279999,52.75,4772000.0
78993,2010-09-02,AMGN,52.59,52.509997999999996,52.18,52.66,3272800.0
79462,2010-09-03,AMGN,52.57,52.91,52.57,53.07,5355300.0
79931,2010-09-07,AMGN,52.650002,52.509997999999996,52.310001,52.869999,2760100.0
80400,2010-09-08,AMGN,52.470001,52.939999,52.259997999999996,53.139998999999996,4900300.0
80869,2010-09-09,AMGN,53.330002,53.790001000000004,53.18,53.900002,5580900.0
81338,2010-09-10,AMGN,53.860001000000004,54.349998,53.700001,54.619999,4862800.0
81807,2010-09-13,AMGN,54.740002000000004,54.400002,54.099998,54.75,6323600.0
82276,2010-09-14,AMGN,54.200001,54.52,54.119999,54.970001,6371300.0
82745,2010-09-15,AMGN,54.220001,55.299999,54.07,55.41,5081600.0
83214,2010-09-16,AMGN,55.200001,55.099998,54.77,55.220001,4061600.0
83683,2010-09-17,AMGN,55.189999,55.220001,55.0,55.43,6500700.0
84152,2010-09-20,AMGN,55.189999,55.939999,54.970001,56.080002,6304000.0
84621,2010-09-21,AMGN,55.880001,55.75,55.34,56.0,5147500.0
85090,2010-09-22,AMGN,55.509997999999996,56.27,55.509997999999996,56.84,5071000.0
85559,2010-09-23,AMGN,55.889998999999996,55.720001,55.66,56.439999,4592400.0
86028,2010-09-24,AMGN,55.779999,56.32,55.299999,56.369999,5286500.0
86497,2010-09-27,AMGN,55.939999,55.689999,55.639998999999996,56.43,4416800.0
86966,2010-09-28,AMGN,55.900002,56.0,55.18,56.5,4609400.0
87435,2010-09-29,AMGN,55.970001,54.939999,54.07,55.990002000000004,8491000.0
87904,2010-09-30,AMGN,55.02,55.110001000000004,54.650002,55.57,6269000.0
88373,2010-10-01,AMGN,55.57,55.509997999999996,54.860001000000004,55.73,4586600.0
88842,2010-10-04,AMGN,55.32,55.049999,54.68,55.610001000000004,4844300.0
89311,2010-10-05,AMGN,55.240002000000004,56.119999,55.200001,56.25,5601900.0
89780,2010-10-06,AMGN,55.880001,55.830002,55.32,56.110001000000004,4666300.0
90249,2010-10-07,AMGN,55.970001,55.959998999999996,54.16,56.27,5906400.0
90718,2010-10-08,AMGN,56.099998,56.389998999999996,55.889998999999996,56.66,4481900.0
91187,2010-10-11,AMGN,56.279999,56.099998,55.860001000000004,56.349998,4345600.0
91656,2010-10-12,AMGN,55.77,55.939999,55.48,56.119999,6272500.0
92125,2010-10-13,AMGN,55.889998999999996,55.490002000000004,55.439999,56.099998,8059000.0
92594,2010-10-14,AMGN,55.110001000000004,54.860001000000004,54.599998,55.5,9063400.0
93063,2010-10-15,AMGN,55.259997999999996,56.709998999999996,55.02,56.810001,11232400.0
93532,2010-10-18,AMGN,56.369999,57.959998999999996,56.209998999999996,57.959998999999996,10188400.0
94001,2010-10-19,AMGN,57.669998,57.330002,56.849998,58.740002000000004,8711800.0
94470,2010-10-20,AMGN,57.830002,57.73,57.169998,58.360001000000004,6176700.0
94939,2010-10-21,AMGN,57.810001,57.619999,56.950001,57.990002000000004,4702900.0
95408,2010-10-22,AMGN,57.59,57.549999,57.25,57.790001000000004,3728000.0
95877,2010-10-25,AMGN,57.98,57.950001,57.720001,58.419998,5179400.0
96346,2010-10-26,AMGN,57.110001000000004,57.259997999999996,56.599998,57.5,7050800.0
96815,2010-10-27,AMGN,56.75,57.029999,56.459998999999996,57.18,5668700.0
97284,2010-10-28,AMGN,57.360001000000004,57.27,56.91,57.630001,4181300.0
97753,2010-10-29,AMGN,56.950001,57.189999,56.799999,57.459998999999996,3384000.0
98222,2010-11-01,AMGN,57.02,57.43,56.91,57.950001,4081600.0
98691,2010-11-02,AMGN,57.610001000000004,57.34,57.209998999999996,57.849998,4076500.0
99160,2010-11-03,AMGN,57.259997999999996,57.299999,57.07,57.720001,4425800.0
99629,2010-11-04,AMGN,56.990002000000004,56.009997999999996,55.650002,57.400002,9590100.0
100098,2010-11-05,AMGN,56.02,55.419998,54.880001,56.09,6902400.0
100567,2010-11-08,AMGN,55.130001,55.290001000000004,54.990002000000004,55.43,4527900.0
101036,2010-11-09,AMGN,55.18,54.93,54.75,55.439999,7671600.0
101505,2010-11-10,AMGN,54.759997999999996,54.700001,53.970001,54.939999,6174200.0
101974,2010-11-11,AMGN,54.279999,54.619999,54.09,54.82,5385900.0
102443,2010-11-12,AMGN,54.279999,54.470001,54.23,54.700001,5015300.0
102912,2010-11-15,AMGN,54.32,54.509997999999996,54.23,54.830002,3929700.0
103381,2010-11-16,AMGN,54.080002,54.029999,53.759997999999996,54.57,6811400.0
103850,2010-11-17,AMGN,53.75,53.869999,53.439999,54.060001,5871700.0
104319,2010-11-18,AMGN,54.0,55.139998999999996,53.91,55.43,8362700.0
104789,2010-11-19,AMGN,55.529999,55.0,54.720001,55.580002,9153900.0
105259,2010-11-22,AMGN,54.990002000000004,54.740002000000004,54.060001,55.080002,5289800.0
105729,2010-11-23,AMGN,54.279999,53.599998,53.509997999999996,54.330002,7065900.0
106199,2010-11-24,AMGN,53.75,53.830002,53.720001,54.25,4303700.0
106669,2010-11-26,AMGN,53.529999,53.560001,53.369999,53.900002,1755400.0
107139,2010-11-29,AMGN,53.080002,53.32,52.189999,53.580002,6368500.0
107609,2010-11-30,AMGN,52.610001000000004,52.689999,52.419998,53.029999,6027300.0
108079,2010-12-01,AMGN,53.32,53.52,53.0,53.77,5721000.0
108549,2010-12-02,AMGN,53.349998,53.84,53.189999,53.919998,3971400.0
109019,2010-12-03,AMGN,54.0,53.73,53.459998999999996,54.25,7120600.0
109489,2010-12-06,AMGN,53.400002,53.400002,53.150002,53.639998999999996,4075000.0
109959,2010-12-07,AMGN,53.619999,53.130001,52.98,53.720001,5837200.0
110429,2010-12-08,AMGN,53.040001000000004,53.279999,53.0,53.549999,4666400.0
110899,2010-12-09,AMGN,53.310001,53.400002,53.099998,53.580002,4701300.0
111369,2010-12-10,AMGN,53.32,53.889998999999996,53.290001000000004,54.0,6567800.0
111839,2010-12-13,AMGN,53.939999,54.110001000000004,53.849998,54.34,5523100.0
112309,2010-12-14,AMGN,56.450001,56.759997999999996,55.240002000000004,57.220001,23617700.0
112779,2010-12-15,AMGN,56.529999,55.669998,55.349998,56.950001,14247900.0
113249,2010-12-16,AMGN,55.700001,56.630001,55.639998999999996,56.799999,12950800.0
113719,2010-12-17,AMGN,57.0,57.419998,56.580002,57.900002,21618900.0
114189,2010-12-20,AMGN,57.560001,57.650002,57.439999,57.98,6980600.0
114659,2010-12-21,AMGN,57.57,57.389998999999996,57.169998,57.700001,5598000.0
115129,2010-12-22,AMGN,57.200001,56.950001,56.630001,57.369999,4411800.0
115599,2010-12-23,AMGN,56.700001,56.709998999999996,56.459998999999996,57.07,4074800.0
116069,2010-12-27,AMGN,56.529999,56.439999,56.009997999999996,56.669998,2758400.0
116539,2010-12-28,AMGN,56.380001,55.959998999999996,55.939999,56.560001,4025200.0
117009,2010-12-29,AMGN,56.150002,55.869999,55.869999,56.369999,3601700.0
117479,2010-12-30,AMGN,55.689999,55.529999,55.459998999999996,56.169998,3414000.0
117949,2010-12-31,AMGN,55.470001,54.900002,54.77,55.610001000000004,3997500.0
118419,2011-01-03,AMGN,55.200001,55.549999,55.18,56.279999,5453300.0
118889,2011-01-04,AMGN,55.77,56.75,55.689999,57.240002000000004,8429500.0
119359,2011-01-05,AMGN,56.459998999999996,56.73,56.400002,57.16,4552000.0
119829,2011-01-06,AMGN,56.68,56.549999,56.07,57.18,3561400.0
120299,2011-01-07,AMGN,56.5,56.98,56.459998999999996,57.189999,4680800.0
120769,2011-01-10,AMGN,56.470001,56.439999,56.209998999999996,56.950001,4758900.0
121239,2011-01-11,AMGN,56.549999,56.189999,56.09,56.880001,5863900.0
121709,2011-01-12,AMGN,56.299999,56.849998,56.049999,56.919998,4566400.0
122179,2011-01-13,AMGN,56.720001,56.32,56.23,57.0,4660300.0
122649,2011-01-14,AMGN,56.049999,56.5,56.049999,57.279999,5893700.0
123119,2011-01-18,AMGN,56.400002,57.290001000000004,56.349998,57.34,10611900.0
123589,2011-01-19,AMGN,57.209998999999996,56.98,56.599998,57.43,5771500.0
124059,2011-01-20,AMGN,56.779999,57.310001,56.68,57.650002,6313600.0
124529,2011-01-21,AMGN,57.41,56.970001,56.740002000000004,57.41,6032900.0
124999,2011-01-24,AMGN,57.060001,57.290001000000004,56.810001,57.869999,5647800.0
125469,2011-01-25,AMGN,56.91,57.16,56.740002000000004,58.189999,8944000.0
125939,2011-01-26,AMGN,57.27,56.48,56.32,57.470001,6833600.0
126409,2011-01-27,AMGN,56.459998999999996,56.48,56.060001,56.869999,4686000.0
126879,2011-01-28,AMGN,56.610001000000004,55.290001000000004,55.110001000000004,56.610001000000004,6928300.0
127349,2011-01-31,AMGN,55.220001,55.080002,54.849998,55.459998999999996,6021300.0
127819,2011-02-01,AMGN,55.23,55.709998999999996,55.110001000000004,55.880001,5615800.0
128289,2011-02-02,AMGN,55.139998999999996,55.630001,54.790001000000004,55.650002,5353400.0
128759,2011-02-03,AMGN,55.27,55.450001,55.0,55.639998999999996,4227000.0
129229,2011-02-04,AMGN,55.619999,55.200001,54.740002000000004,55.619999,4569900.0
129699,2011-02-07,AMGN,55.23,54.880001,54.759997999999996,55.330002,3861900.0
130169,2011-02-08,AMGN,54.759997999999996,54.939999,54.630001,55.16,3399300.0
130639,2011-02-09,AMGN,54.73,54.43,54.310001,55.0,4502700.0
131109,2011-02-10,AMGN,54.330002,54.27,54.0,54.799999,4522300.0
131579,2011-02-11,AMGN,54.110001000000004,53.740002000000004,53.549999,54.110001000000004,6896900.0
132049,2011-02-14,AMGN,53.610001000000004,53.860001000000004,53.34,54.080002,5412600.0
132519,2011-02-15,AMGN,53.630001,53.84,53.310001,53.939999,5143000.0
132989,2011-02-16,AMGN,53.34,52.950001,52.360001000000004,53.43,11461500.0
133459,2011-02-17,AMGN,52.689999,52.41,52.369999,53.189999,8918600.0
133929,2011-02-18,AMGN,52.259997999999996,52.240002000000004,52.02,52.73,9877900.0
134399,2011-02-22,AMGN,51.970001,51.880001,51.619999,52.540001000000004,6473900.0
134869,2011-02-23,AMGN,51.889998999999996,51.07,51.07,52.18,8135500.0
135339,2011-02-24,AMGN,51.07,50.950001,50.610001000000004,51.240002000000004,8606600.0
135809,2011-02-25,AMGN,51.18,52.259997999999996,51.049999,52.369999,7791100.0
136279,2011-02-28,AMGN,52.380001,51.330002,51.310001,52.669998,8054800.0
136749,2011-03-01,AMGN,52.169998,51.91,51.740002000000004,52.490002000000004,6668500.0
137219,2011-03-02,AMGN,51.740002000000004,51.389998999999996,51.34,51.91,5437400.0
137689,2011-03-03,AMGN,51.639998999999996,52.369999,51.459998999999996,52.540001000000004,6527500.0
138159,2011-03-04,AMGN,52.110001000000004,52.32,51.959998999999996,52.529999,5795700.0
138629,2011-03-07,AMGN,52.529999,51.740002000000004,51.68,52.57,6334200.0
139099,2011-03-08,AMGN,51.790001000000004,52.52,51.400002,52.669998,4298400.0
139569,2011-03-09,AMGN,52.75,52.48,52.080002,52.799999,4049200.0
140039,2011-03-10,AMGN,51.860001000000004,51.84,51.419998,52.209998999999996,5675400.0
140509,2011-03-11,AMGN,51.860001000000004,53.529999,51.779999,53.869999,11642100.0
140979,2011-03-14,AMGN,53.18,53.52,53.09,53.880001,7015900.0
141449,2011-03-15,AMGN,52.509997999999996,53.0,52.18,53.389998999999996,6001400.0
141919,2011-03-16,AMGN,52.549999,52.689999,52.43,53.549999,10020100.0
