,date,symbol,open,close,low,high,volume
282,2010-01-04,AMP,39.099998,39.880001,38.919998,39.970001,2238700.0
749,2010-01-05,AMP,39.77,40.810001,39.73,40.810001,2782200.0
1217,2010-01-06,AMP,41.369999,41.380001,40.860001000000004,41.549999,3575200.0
1685,2010-01-07,AMP,41.299999,41.689999,41.099998,41.950001,2992900.0
2153,2010-01-08,AMP,41.380001,41.84,41.34,41.900002,1463600.0
2621,2010-01-11,AMP,41.98,42.380001,41.91,42.98,3510700.0
3089,2010-01-12,AMP,42.060001,41.700001,41.32,42.43,2711400.0
3557,2010-01-13,AMP,41.91,42.209998999999996,41.419998,42.279999,2946700.0
4025,2010-01-14,AMP,41.990002000000004,42.02,41.59,42.189999,1698400.0
4493,2010-01-15,AMP,41.799999,41.619999,41.450001,41.849998,2017600.0
4961,2010-01-19,AMP,41.490002000000004,42.060001,41.290001000000004,42.200001,2086500.0
5429,2010-01-20,AMP,41.75,41.900002,41.32,41.950001,1721200.0
5897,2010-01-21,AMP,41.880001,40.75,40.34,42.150002,2616500.0
6365,2010-01-22,AMP,40.68,39.759997999999996,39.669998,40.919998,2967100.0
6833,2010-01-25,AMP,40.279999,40.43,40.07,40.959998999999996,1541200.0
7301,2010-01-26,AMP,40.18,40.099998,39.889998999999996,40.880001,1996400.0
7769,2010-01-27,AMP,40.139998999999996,40.91,39.880001,40.93,1991000.0
8237,2010-01-28,AMP,41.18,39.970001,39.220001,41.279999,2013300.0
8705,2010-01-29,AMP,40.099998,38.240002000000004,38.009997999999996,40.150002,4036600.0
9173,2010-02-01,AMP,38.5,39.759997999999996,38.41,39.830002,2153600.0
9641,2010-02-02,AMP,39.970001,39.98,39.57,40.52,2020400.0
10109,2010-02-03,AMP,39.75,39.189999,39.029999,40.0,2333500.0
10577,2010-02-04,AMP,39.360001000000004,37.619999,37.619999,39.549999,4183000.0
11045,2010-02-05,AMP,37.52,37.93,36.139998999999996,38.099998,3264200.0
11513,2010-02-08,AMP,37.619999,37.23,37.23,38.02,2631600.0
11981,2010-02-09,AMP,37.650002,37.93,36.990002000000004,38.07,3471500.0
12449,2010-02-10,AMP,37.549999,38.540001000000004,37.549999,38.759997999999996,3022800.0
12917,2010-02-11,AMP,38.41,38.060001,37.91,38.5,2574500.0
13385,2010-02-12,AMP,37.700001,38.259997999999996,37.139998999999996,38.32,2551400.0
13853,2010-02-16,AMP,38.610001000000004,39.259997999999996,38.32,39.27,1964000.0
14321,2010-02-17,AMP,39.450001,39.82,39.209998999999996,39.970001,2164500.0
14789,2010-02-18,AMP,39.759997999999996,39.779999,39.529999,39.889998999999996,1631000.0
15257,2010-02-19,AMP,39.610001000000004,40.139998999999996,39.560001,40.380001,2382300.0
15725,2010-02-22,AMP,40.189999,40.48,40.110001000000004,40.77,1535900.0
16193,2010-02-23,AMP,40.310001,39.77,39.59,40.490002000000004,1826000.0
16661,2010-02-24,AMP,39.919998,40.650002,39.75,40.689999,2459600.0
17129,2010-02-25,AMP,39.900002,40.169998,39.580002,40.259997999999996,4720200.0
17597,2010-02-26,AMP,40.360001000000004,40.029999,39.84,40.360001000000004,2232700.0
18065,2010-03-01,AMP,40.18,40.290001000000004,39.82,40.5,1734100.0
18533,2010-03-02,AMP,40.419998,40.5,40.279999,40.630001,2380300.0
19001,2010-03-03,AMP,40.740002000000004,40.66,40.470001,40.990002000000004,1492800.0
19469,2010-03-04,AMP,40.73,41.259997999999996,40.650002,41.299999,2376500.0
