,date,symbol,open,close,low,high,volume
285,2010-01-04,AN,19.459999,19.27,19.209999,19.620001000000002,1650400.0
752,2010-01-05,AN,19.18,19.57,19.01,19.68,2532200.0
1220,2010-01-06,AN,19.57,20.32,19.459999,20.360001,2940100.0
1688,2010-01-07,AN,20.24,20.68,20.24,20.76,2130100.0
2156,2010-01-08,AN,20.58,20.690001000000002,20.41,20.75,1527600.0
2624,2010-01-11,AN,20.82,20.450001,20.42,20.870001000000002,1661700.0
3092,2010-01-12,AN,20.26,20.0,19.92,20.4,2019400.0
3560,2010-01-13,AN,20.049999,19.91,19.52,20.049999,2250600.0
4028,2010-01-14,AN,19.940001000000002,19.530001000000002,19.41,19.98,1370300.0
4496,2010-01-15,AN,19.42,19.18,19.129998999999998,19.68,1769600.0
4964,2010-01-19,AN,19.32,19.34,19.200001,19.49,1182900.0
5432,2010-01-20,AN,19.120001000000002,19.190001000000002,18.92,19.379998999999998,1306300.0
5900,2010-01-21,AN,18.33,18.67,18.33,19.389999,2307100.0
6368,2010-01-22,AN,18.629998999999998,18.360001,18.27,18.9,2156100.0
6836,2010-01-25,AN,18.59,18.610001,18.440001000000002,18.790001,1602000.0
7304,2010-01-26,AN,18.530001000000002,18.549999,18.450001,18.82,2466700.0
7772,2010-01-27,AN,18.450001,18.34,17.959999,18.5,2162900.0
8240,2010-01-28,AN,18.33,18.030001000000002,17.99,18.35,1771400.0
8708,2010-01-29,AN,18.120001000000002,18.0,17.98,18.33,2013400.0
9176,2010-02-01,AN,18.07,18.25,17.959999,18.27,1756700.0
9644,2010-02-02,AN,18.190001000000002,18.549999,18.139999,18.6,1470600.0
10112,2010-02-03,AN,18.530001000000002,18.48,18.190001000000002,18.559998999999998,1613000.0
10580,2010-02-04,AN,18.27,17.6,17.540001,18.27,2601400.0
11048,2010-02-05,AN,17.610001,17.59,17.18,17.639999,1785600.0
11516,2010-02-08,AN,17.620001000000002,17.610001,17.459999,17.879998999999998,1354200.0
11984,2010-02-09,AN,17.85,17.959999,17.59,18.059998999999998,1656100.0
12452,2010-02-10,AN,17.99,18.23,17.860001,18.299999,2202800.0
12920,2010-02-11,AN,18.049999,17.690001000000002,17.459999,18.1,4275000.0
13388,2010-02-12,AN,17.559998999999998,17.719998999999998,17.459999,17.799999,3484200.0
13856,2010-02-16,AN,17.83,18.110001,17.790001,18.17,1866700.0
14324,2010-02-17,AN,18.23,18.459999,18.139999,18.530001000000002,1814600.0
14792,2010-02-18,AN,18.52,18.5,18.370001000000002,18.549999,1674700.0
15260,2010-02-19,AN,18.459999,18.42,18.379998999999998,18.620001000000002,1761800.0
15728,2010-02-22,AN,18.450001,18.360001,18.309998999999998,18.59,1106200.0
16196,2010-02-23,AN,18.280001000000002,18.02,17.969998999999998,18.360001,1803800.0
16664,2010-02-24,AN,18.15,18.129998999999998,17.959999,18.23,1489700.0
17132,2010-02-25,AN,17.809998999999998,17.969998999999998,17.65,18.030001000000002,1692400.0
17600,2010-02-26,AN,17.940001000000002,17.75,17.58,17.969998999999998,1567600.0
18068,2010-03-01,AN,17.780001000000002,18.200001,17.620001000000002,18.200001,1380700.0
18536,2010-03-02,AN,18.25,18.01,17.969998999999998,18.26,1542800.0
19004,2010-03-03,AN,18.120001000000002,18.08,18.08,18.370001000000002,1045000.0
19472,2010-03-04,AN,18.02,18.4,18.01,18.49,1681400.0
19940,2010-03-05,AN,18.540001,18.76,18.48,18.84,2049600.0
20408,2010-03-08,AN,18.790001,18.9,18.790001,19.049999,1491600.0
20876,2010-03-09,AN,18.959999,18.950001,18.82,19.059998999999998,1587900.0
21344,2010-03-10,AN,18.93,19.01,18.879998999999998,19.120001000000002,1855400.0
21812,2010-03-11,AN,18.9,18.790001,18.610001,18.950001,1768300.0
22280,2010-03-12,AN,18.860001,18.540001,18.48,18.9,1044500.0
22748,2010-03-15,AN,18.5,18.299999,18.1,18.5,1353400.0
23216,2010-03-16,AN,18.299999,18.450001,18.110001,18.450001,1709700.0
23684,2010-03-17,AN,18.43,18.469998999999998,18.32,18.559998999999998,1348200.0
24152,2010-03-18,AN,18.49,18.290001,18.209999,18.52,1897300.0
24620,2010-03-19,AN,18.559998999999998,18.559998999999998,18.15,18.6,3850900.0
25088,2010-03-22,AN,18.41,18.92,18.360001,18.99,1484000.0
25556,2010-03-23,AN,19.0,19.709999,18.940001000000002,19.77,2736300.0
26024,2010-03-24,AN,19.67,19.18,19.120001000000002,19.700001,1899400.0
26492,2010-03-25,AN,19.35,19.030001000000002,18.99,19.49,1994600.0
26960,2010-03-26,AN,19.0,19.0,18.9,19.25,1612900.0
27428,2010-03-29,AN,19.139999,19.02,18.940001000000002,19.209999,1139100.0
27896,2010-03-30,AN,18.950001,18.969998999999998,18.93,19.219998999999998,972800.0
