,date,symbol,open,close,low,high,volume
287,2010-01-04,AON,38.450001,37.939999,37.810001,38.5,3407100.0
754,2010-01-05,AON,37.720001,37.700001,37.509997999999996,37.849998,4986100.0
1222,2010-01-06,AON,37.75,37.689999,37.5,37.790001000000004,1816600.0
1690,2010-01-07,AON,37.82,37.580002,37.459998999999996,37.82,1740900.0
2158,2010-01-08,AON,37.529999,37.889998999999996,37.349998,37.889998999999996,1980600.0
2626,2010-01-11,AON,38.099998,38.049999,37.880001,38.200001,1444800.0
3094,2010-01-12,AON,38.0,37.990002000000004,37.849998,38.200001,1444100.0
3562,2010-01-13,AON,38.0,38.060001,37.75,38.25,910400.0
4030,2010-01-14,AON,37.880001,37.759997999999996,37.5,37.880001,1553500.0
4498,2010-01-15,AON,37.529999,37.560001,37.389998999999996,37.779999,3660800.0
4966,2010-01-19,AON,37.57,37.830002,37.330002,38.0,1270800.0
5434,2010-01-20,AON,37.450001,38.09,37.400002,38.200001,2593900.0
5902,2010-01-21,AON,38.009997999999996,38.200001,37.900002,38.459998999999996,2212900.0
6370,2010-01-22,AON,38.27,38.529999,38.25,38.830002,2752500.0
6838,2010-01-25,AON,38.849998,38.93,38.68,39.07,1833900.0
7306,2010-01-26,AON,38.790001000000004,39.040001000000004,38.790001000000004,39.290001000000004,2105200.0
7774,2010-01-27,AON,39.220001,39.18,38.779999,39.259997999999996,2135300.0
8242,2010-01-28,AON,39.25,39.02,38.869999,39.25,2735000.0
8710,2010-01-29,AON,39.02,38.900002,38.799999,39.189999,2207700.0
9178,2010-02-01,AON,39.099998,38.790001000000004,38.599998,39.27,3274100.0
9646,2010-02-02,AON,38.790001000000004,39.459998999999996,38.610001000000004,39.459998999999996,1497800.0
10114,2010-02-03,AON,39.310001,39.310001,39.139998999999996,39.5,1314800.0
10582,2010-02-04,AON,38.990002000000004,38.810001,38.450001,39.189999,2819900.0
11050,2010-02-05,AON,38.880001,39.709998999999996,38.720001,39.889998999999996,5676000.0
11518,2010-02-08,AON,39.68,39.650002,39.48,40.049999,2752500.0
11986,2010-02-09,AON,39.919998,39.830002,39.610001000000004,40.029999,1764500.0
12454,2010-02-10,AON,39.779999,39.639998999999996,39.419998,39.959998999999996,1287100.0
12922,2010-02-11,AON,39.529999,39.41,39.18,39.720001,1359700.0
13390,2010-02-12,AON,39.16,39.810001,39.16,39.880001,2295400.0
13858,2010-02-16,AON,40.029999,39.900002,39.439999,40.09,1358600.0
14326,2010-02-17,AON,40.060001,40.279999,39.490002000000004,40.509997999999996,1909500.0
14794,2010-02-18,AON,40.060001,40.27,40.060001,40.5,1394900.0
15262,2010-02-19,AON,40.259997999999996,40.57,40.0,40.700001,1829300.0
15730,2010-02-22,AON,40.529999,40.459998999999996,40.349998,40.599998,1147600.0
16198,2010-02-23,AON,40.470001,40.59,40.25,40.799999,1739100.0
16666,2010-02-24,AON,40.689999,40.740002000000004,40.369999,40.93,1544300.0
17134,2010-02-25,AON,40.43,40.990002000000004,40.290001000000004,41.040001000000004,1621800.0
17602,2010-02-26,AON,41.049999,40.939999,40.869999,41.130001,1446300.0
18070,2010-03-01,AON,40.830002,40.98,40.740002000000004,41.07,994600.0
18538,2010-03-02,AON,40.919998,40.939999,40.709998999999996,40.990002000000004,743200.0
19006,2010-03-03,AON,41.0,40.84,40.759997999999996,41.18,937600.0
19474,2010-03-04,AON,40.860001000000004,40.84,40.630001,40.990002000000004,911800.0
19942,2010-03-05,AON,41.009997999999996,41.459998999999996,40.650002,41.490002000000004,1427600.0
20410,2010-03-08,AON,41.400002,41.43,41.290001000000004,41.549999,1111200.0
20878,2010-03-09,AON,41.330002,41.310001,41.16,41.549999,1182800.0
21346,2010-03-10,AON,41.32,40.970001,40.779999,41.34,1128100.0
21814,2010-03-11,AON,40.970001,41.32,40.830002,41.32,1361100.0
22282,2010-03-12,AON,41.490002000000004,41.540001000000004,41.310001,41.779999,1766000.0
22750,2010-03-15,AON,41.389998999999996,41.900002,41.279999,41.919998,1767200.0
23218,2010-03-16,AON,41.73,41.880001,41.599998,41.950001,1077000.0
23686,2010-03-17,AON,41.869999,42.02,41.799999,42.200001,1394400.0
24154,2010-03-18,AON,42.02,42.34,42.0,42.349998,1454200.0
24622,2010-03-19,AON,42.650002,42.650002,42.34,42.68,3298600.0
25090,2010-03-22,AON,41.84,42.689999,41.619999,42.799999,1786100.0
25558,2010-03-23,AON,42.490002000000004,42.889998999999996,42.48,42.889998999999996,935700.0
26026,2010-03-24,AON,42.75,42.419998,42.360001000000004,42.779999,1328300.0
26494,2010-03-25,AON,42.610001000000004,42.59,42.439999,42.790001000000004,1145700.0
26962,2010-03-26,AON,42.41,42.580002,42.389998999999996,42.77,1233900.0
27430,2010-03-29,AON,42.59,42.900002,42.470001,43.060001,1672700.0
27898,2010-03-30,AON,42.990002000000004,42.889998999999996,42.830002,43.16,1231500.0
28366,2010-03-31,AON,42.57,42.709998999999996,42.57,42.939999,1004800.0
28834,2010-04-01,AON,42.810001,42.990002000000004,42.610001000000004,43.0,1146900.0
29302,2010-04-05,AON,42.990002000000004,42.93,42.810001,43.0,596900.0
29770,2010-04-06,AON,42.880001,43.009997999999996,42.830002,43.130001,918600.0
30238,2010-04-07,AON,42.98,43.07,42.84,43.25,1074900.0
30706,2010-04-08,AON,43.009997999999996,43.18,42.98,43.25,1167700.0
31174,2010-04-09,AON,43.23,43.139998999999996,43.060001,43.369999,1013000.0
31642,2010-04-12,AON,43.009997999999996,43.419998,42.990002000000004,43.419998,852400.0
32110,2010-04-13,AON,43.349998,43.360001000000004,43.18,43.450001,775900.0
32578,2010-04-14,AON,43.389998999999996,43.310001,43.130001,43.5,1232700.0
