,date,symbol,open,close,low,high,volume
297,2010-01-04,AWK,22.41,22.65,22.41,22.860001,2176100.0
764,2010-01-05,AWK,22.67,22.879998999999998,22.59,22.91,1843600.0
1232,2010-01-06,AWK,22.889999,23.0,22.83,23.15,2089400.0
1700,2010-01-07,AWK,23.120001000000002,23.049999,22.9,23.15,1353200.0
2168,2010-01-08,AWK,23.1,23.0,22.82,23.18,1359100.0
2636,2010-01-11,AWK,23.0,23.23,22.940001000000002,23.77,2313500.0
3104,2010-01-12,AWK,23.25,23.120001000000002,23.0,23.25,1117500.0
3572,2010-01-13,AWK,23.08,23.219998999999998,23.0,23.32,703600.0
4040,2010-01-14,AWK,23.120001000000002,22.98,22.879998999999998,23.15,1173700.0
4508,2010-01-15,AWK,23.059998999999998,22.6,22.43,23.059998999999998,996700.0
4976,2010-01-19,AWK,22.690001000000002,22.5,22.5,22.809998999999998,779500.0
5444,2010-01-20,AWK,22.59,22.450001,22.209999,22.6,1438800.0
5912,2010-01-21,AWK,22.469998999999998,22.110001,22.09,22.620001000000002,1280400.0
6380,2010-01-22,AWK,22.17,22.059998999999998,21.639999,22.18,1491400.0
6848,2010-01-25,AWK,22.23,22.15,21.959999,22.370001000000002,1004800.0
7316,2010-01-26,AWK,21.85,22.02,21.389999,22.18,660000.0
7784,2010-01-27,AWK,22.0,22.02,21.75,22.200001,1078100.0
8252,2010-01-28,AWK,22.02,21.66,21.6,22.1,1195200.0
8720,2010-01-29,AWK,21.67,21.799999,21.57,22.02,1422600.0
9188,2010-02-01,AWK,21.889999,22.139999,21.83,22.18,878200.0
9656,2010-02-02,AWK,22.219998999999998,22.1,22.030001000000002,22.41,816200.0
10124,2010-02-03,AWK,22.1,22.360001,21.77,22.360001,933300.0
10592,2010-02-04,AWK,22.110001,21.75,21.75,22.299999,1156400.0
11060,2010-02-05,AWK,21.84,21.68,21.34,21.92,836200.0
11528,2010-02-08,AWK,21.67,21.610001,21.530001000000002,21.879998999999998,669000.0
11996,2010-02-09,AWK,21.700001,21.4,21.370001000000002,21.9,811300.0
12464,2010-02-10,AWK,21.379998999999998,21.57,21.200001,21.610001,681900.0
12932,2010-02-11,AWK,21.6,21.82,21.4,21.93,1097000.0
13400,2010-02-12,AWK,21.74,22.16,21.549999,22.16,906600.0
13868,2010-02-16,AWK,22.190001000000002,22.120001000000002,21.99,22.200001,759900.0
14336,2010-02-17,AWK,22.209999,22.209999,22.09,22.41,1092700.0
14804,2010-02-18,AWK,22.26,22.51,22.16,22.530001000000002,751800.0
15272,2010-02-19,AWK,22.549999,22.879998999999998,22.450001,22.99,1019400.0
15740,2010-02-22,AWK,22.98,22.690001000000002,22.65,23.0,431300.0
16208,2010-02-23,AWK,22.709999,22.450001,22.32,22.77,916100.0
16676,2010-02-24,AWK,22.48,22.26,22.120001000000002,22.559998999999998,639500.0
17144,2010-02-25,AWK,22.129998999999998,22.309998999999998,21.84,22.34,1211700.0
17612,2010-02-26,AWK,22.280001000000002,22.26,22.09,22.360001,1076800.0
18080,2010-03-01,AWK,22.389999,21.08,20.719998999999998,22.389999,5563500.0
18548,2010-03-02,AWK,21.08,20.75,20.389999,21.08,4386200.0
19016,2010-03-03,AWK,20.75,20.92,20.75,21.07,3049300.0
19484,2010-03-04,AWK,20.91,21.25,20.91,21.34,1550900.0
19952,2010-03-05,AWK,21.25,21.41,21.120001000000002,21.459999,929200.0
20420,2010-03-08,AWK,21.469998999999998,21.35,21.17,21.469998999999998,877800.0
20888,2010-03-09,AWK,21.370001000000002,21.219998999999998,21.0,21.370001000000002,936000.0
21356,2010-03-10,AWK,21.200001,21.07,20.99,21.200001,840800.0
21824,2010-03-11,AWK,20.99,21.02,20.950001,21.09,1318500.0
22292,2010-03-12,AWK,21.139999,20.959999,20.889999,21.139999,1970000.0
22760,2010-03-15,AWK,21.030001000000002,21.1,20.98,21.309998999999998,1568800.0
23228,2010-03-16,AWK,21.190001000000002,21.07,20.92,21.25,1044400.0
23696,2010-03-17,AWK,21.17,21.27,20.98,21.33,905900.0
24164,2010-03-18,AWK,21.209999,21.4,21.18,21.5,732600.0
24632,2010-03-19,AWK,21.25,21.25,20.950001,21.4,1321500.0
25100,2010-03-22,AWK,21.139999,21.110001,20.889999,21.190001000000002,841700.0
25568,2010-03-23,AWK,21.190001000000002,21.610001,20.959999,21.67,1645700.0
