,date,symbol,open,close,low,high,volume
311,2010-01-04,BIIB,53.970001,53.639998999999996,53.599998,53.970001,2469700.0
778,2010-01-05,BIIB,54.720001,53.380001,53.0,55.0,4899400.0
1246,2010-01-06,BIIB,53.099998,53.43,52.799999,53.700001,5555800.0
1714,2010-01-07,BIIB,53.23,52.990002000000004,52.459998999999996,53.5,3659900.0
2182,2010-01-08,BIIB,53.0,54.080002,52.810001,54.330002,2996300.0
2650,2010-01-11,BIIB,54.099998,53.900002,53.529999,54.349998,1813300.0
3118,2010-01-12,BIIB,53.66,53.25,52.939999,54.029999,3242900.0
3586,2010-01-13,BIIB,53.330002,54.080002,52.959998999999996,54.330002,2130600.0
4054,2010-01-14,BIIB,53.810001,54.360001000000004,53.59,54.360001000000004,1769900.0
4522,2010-01-15,BIIB,54.060001,54.18,53.779999,54.849998,2997200.0
4990,2010-01-19,BIIB,54.290001000000004,55.23,54.290001000000004,55.310001,2941500.0
5458,2010-01-20,BIIB,55.040001000000004,54.720001,54.009997999999996,55.369999,2634100.0
5926,2010-01-21,BIIB,54.529999,53.209998999999996,52.669998,54.529999,4731200.0
6394,2010-01-22,BIIB,53.189999,53.060001,52.599998,53.709998999999996,3167800.0
6862,2010-01-25,BIIB,53.220001,52.669998,52.169998,53.5,2265300.0
7330,2010-01-26,BIIB,52.52,53.0,52.16,53.110001000000004,2346700.0
7798,2010-01-27,BIIB,52.470001,53.580002,52.369999,53.619999,2963800.0
8266,2010-01-28,BIIB,54.279999,53.27,52.599998,54.509997999999996,3314100.0
8734,2010-01-29,BIIB,53.310001,53.740002000000004,53.009997999999996,53.91,3127900.0
9202,2010-02-01,BIIB,53.41,53.91,52.98,53.93,2481700.0
9670,2010-02-02,BIIB,53.759997999999996,54.939999,53.240002000000004,54.950001,2178500.0
10138,2010-02-03,BIIB,54.52,54.599998,54.029999,54.810001,2155700.0
10606,2010-02-04,BIIB,54.169998,53.099998,52.990002000000004,54.459998999999996,2799600.0
11074,2010-02-05,BIIB,53.139998999999996,53.529999,52.23,53.700001,3638700.0
11542,2010-02-08,BIIB,53.540001000000004,52.84,52.470001,53.560001,2852400.0
12010,2010-02-09,BIIB,53.880001,54.09,53.330002,54.880001,2965000.0
12478,2010-02-10,BIIB,54.200001,54.389998999999996,54.07,54.91,2562700.0
12946,2010-02-11,BIIB,54.119999,55.689999,53.919998,55.919998,2824200.0
13414,2010-02-12,BIIB,55.080002,55.209998999999996,54.720001,55.799999,2954300.0
13882,2010-02-16,BIIB,55.549999,55.119999,54.919998,55.77,3277000.0
14350,2010-02-17,BIIB,55.310001,56.23,55.310001,56.259997999999996,2497800.0
14818,2010-02-18,BIIB,56.029999,55.98,55.799999,56.369999,2593500.0
15286,2010-02-19,BIIB,55.880001,56.610001000000004,55.490002000000004,56.990002000000004,3057000.0
15754,2010-02-22,BIIB,56.529999,55.669998,55.529999,56.66,2170300.0
16222,2010-02-23,BIIB,55.630001,55.25,54.849998,56.119999,2910600.0
16690,2010-02-24,BIIB,55.299999,55.290001000000004,54.740002000000004,55.950001,5288000.0
17158,2010-02-25,BIIB,54.299999,54.889998999999996,54.029999,54.970001,2826200.0
17626,2010-02-26,BIIB,54.810001,55.009997999999996,54.540001000000004,55.189999,2847100.0
18094,2010-03-01,BIIB,55.48,56.779999,55.34,56.900002,2567900.0
18562,2010-03-02,BIIB,56.540001000000004,57.310001,56.52,57.470001,2530800.0
19030,2010-03-03,BIIB,57.259997999999996,56.790001000000004,56.709998999999996,57.59,1990500.0
19498,2010-03-04,BIIB,56.790001000000004,56.66,56.34,56.900002,1377900.0
19966,2010-03-05,BIIB,56.669998,57.209998999999996,56.610001000000004,57.209998999999996,1526500.0
20434,2010-03-08,BIIB,56.990002000000004,57.669998,56.91,58.48,3064900.0
20902,2010-03-09,BIIB,57.639998999999996,57.84,57.529999,58.310001,2195300.0
21370,2010-03-10,BIIB,57.91,58.709998999999996,57.900002,58.959998999999996,2248600.0
21838,2010-03-11,BIIB,58.549999,58.779999,57.720001,58.860001000000004,1865700.0
22306,2010-03-12,BIIB,58.810001,58.759997999999996,58.080002,58.93,1468700.0
22774,2010-03-15,BIIB,58.860001000000004,58.900002,58.310001,58.990002000000004,1407400.0
23242,2010-03-16,BIIB,59.23,59.73,58.639998999999996,59.849998,3238200.0
23710,2010-03-17,BIIB,59.540001000000004,59.360001000000004,59.23,59.73,1982700.0
24178,2010-03-18,BIIB,59.119999,59.200001,58.32,59.349998,2512000.0
24646,2010-03-19,BIIB,59.82,59.630001,58.59,60.169998,5024800.0
25114,2010-03-22,BIIB,59.779999,59.82,59.57,60.279999,2156500.0
25582,2010-03-23,BIIB,59.669998,59.84,59.41,59.939999,1232300.0
26050,2010-03-24,BIIB,59.759997999999996,58.849998,58.720001,59.799999,1809200.0
26518,2010-03-25,BIIB,59.27,58.27,58.27,59.27,2407000.0
26986,2010-03-26,BIIB,58.57,58.150002,57.82,58.759997999999996,1347000.0
27454,2010-03-29,BIIB,57.919998,58.419998,57.889998999999996,58.700001,1800700.0
27922,2010-03-30,BIIB,58.220001,57.709998999999996,57.5,58.450001,2030100.0
