,date,symbol,open,close,low,high,volume
315,2010-01-04,BMY,25.41,25.629998999999998,25.299999,25.700001,14376100.0
782,2010-01-05,BMY,25.51,25.23,25.01,25.549999,16973600.0
1250,2010-01-06,BMY,25.17,25.219998999999998,25.07,25.290001,15528900.0
1718,2010-01-07,BMY,25.18,25.24,25.1,25.41,15761700.0
2186,2010-01-08,BMY,25.299999,24.82,24.719998999999998,25.34,18730800.0
2654,2010-01-11,BMY,24.940001000000002,25.08,24.860001,25.110001,14106100.0
3122,2010-01-12,BMY,25.01,24.809998999999998,24.709999,25.200001,11940500.0
3590,2010-01-13,BMY,24.790001,24.99,24.700001,25.08,14428100.0
4058,2010-01-14,BMY,25.02,25.049999,24.879998999999998,25.110001,11354600.0
4526,2010-01-15,BMY,25.049999,25.07,24.9,25.18,13449500.0
4994,2010-01-19,BMY,25.110001,25.65,25.07,26.0,19370400.0
5462,2010-01-20,BMY,25.450001,25.459999,25.190001000000002,25.879998999999998,16368400.0
5930,2010-01-21,BMY,25.42,24.950001,24.889999,25.639999,16776800.0
6398,2010-01-22,BMY,24.98,24.6,24.5,25.049999,15945500.0
6866,2010-01-25,BMY,24.74,24.33,24.299999,24.809998999999998,11292200.0
7334,2010-01-26,BMY,24.27,24.299999,23.5,24.370001000000002,13539300.0
7802,2010-01-27,BMY,24.280001000000002,24.299999,24.08,24.41,12404200.0
8270,2010-01-28,BMY,24.629998999999998,24.1,24.1,24.82,18705200.0
8738,2010-01-29,BMY,24.139999,24.360001,23.959999,24.620001000000002,20525500.0
9206,2010-02-01,BMY,24.77,24.379998999999998,24.23,24.77,15287600.0
9674,2010-02-02,BMY,24.370001000000002,24.780001000000002,24.139999,24.799999,9867000.0
10142,2010-02-03,BMY,24.67,24.5,24.32,24.719998999999998,8116200.0
10610,2010-02-04,BMY,24.309998999999998,23.99,23.9,24.51,16693900.0
11078,2010-02-05,BMY,23.940001000000002,23.969998999999998,23.49,24.08,15208300.0
11546,2010-02-08,BMY,23.91,23.959999,23.76,24.299999,12496000.0
12014,2010-02-09,BMY,24.1,24.25,23.9,24.41,9906600.0
12482,2010-02-10,BMY,24.27,23.92,23.76,24.27,10597500.0
12950,2010-02-11,BMY,23.85,23.889999,23.57,23.98,11005400.0
13418,2010-02-12,BMY,23.76,23.91,23.549999,24.0,9663100.0
13886,2010-02-16,BMY,24.030001000000002,24.209999,23.860001,24.280001000000002,10274500.0
14354,2010-02-17,BMY,24.33,24.51,24.290001,24.639999,9011200.0
14822,2010-02-18,BMY,24.51,24.84,24.42,24.879998999999998,11287500.0
15290,2010-02-19,BMY,24.780001000000002,24.950001,24.66,25.01,10744300.0
15758,2010-02-22,BMY,24.950001,24.68,24.440001000000002,24.98,8655000.0
16226,2010-02-23,BMY,24.6,24.440001000000002,24.370001000000002,24.799999,8651000.0
16694,2010-02-24,BMY,24.540001,24.709999,24.379998999999998,24.74,8538400.0
17162,2010-02-25,BMY,24.52,24.48,24.200001,24.549999,10154800.0
17630,2010-02-26,BMY,24.48,24.51,24.450001,24.620001000000002,7107200.0
18098,2010-03-01,BMY,24.59,24.389999,24.299999,24.629998999999998,10867500.0
18566,2010-03-02,BMY,24.59,24.719998999999998,24.450001,24.780001000000002,10434600.0
19034,2010-03-03,BMY,24.74,24.33,24.25,24.780001000000002,14351900.0
19502,2010-03-04,BMY,24.379998999999998,24.469998999999998,24.34,24.49,14242300.0
19970,2010-03-05,BMY,24.93,25.280001000000002,24.77,25.33,19878200.0
20438,2010-03-08,BMY,25.23,25.309998999999998,25.15,25.35,12382000.0
20906,2010-03-09,BMY,25.15,25.200001,25.01,25.27,11099800.0
21374,2010-03-10,BMY,25.09,25.65,25.08,25.67,16804200.0
21842,2010-03-11,BMY,25.6,25.959999,25.469998999999998,26.01,15854200.0
22310,2010-03-12,BMY,25.879998999999998,25.889999,25.780001000000002,25.969998999999998,11789900.0
22778,2010-03-15,BMY,25.75,25.950001,25.67,25.950001,9240300.0
23246,2010-03-16,BMY,25.889999,25.99,25.74,26.02,8604800.0
23714,2010-03-17,BMY,25.969998999999998,25.98,25.780001000000002,26.07,14715000.0
24182,2010-03-18,BMY,25.91,26.07,25.85,26.120001000000002,9515200.0
24650,2010-03-19,BMY,26.01,26.01,25.860001,26.25,14936700.0
25118,2010-03-22,BMY,25.93,26.48,25.9,26.6,15305100.0
25586,2010-03-23,BMY,26.51,26.790001,26.33,26.809998999999998,11539200.0
26054,2010-03-24,BMY,26.700001,26.690001000000002,26.629998999999998,26.780001000000002,16057600.0
26522,2010-03-25,BMY,26.870001000000002,26.780001000000002,26.700001,26.93,13528300.0
26990,2010-03-26,BMY,26.809998999999998,26.690001000000002,26.66,26.860001,12398200.0
27458,2010-03-29,BMY,26.780001000000002,27.0,26.700001,27.07,12627600.0
27926,2010-03-30,BMY,26.76,26.76,26.52,26.93,15433900.0
28394,2010-03-31,BMY,26.65,26.700001,26.290001,26.809998999999998,12553700.0
28862,2010-04-01,BMY,26.77,26.950001,26.77,27.01,11471400.0
29330,2010-04-05,BMY,26.940001000000002,26.77,26.559998999999998,26.950001,12281000.0
29798,2010-04-06,BMY,26.719998999999998,26.379998999999998,26.33,26.77,10694700.0
30266,2010-04-07,BMY,26.34,26.549999,26.27,26.690001000000002,10212200.0
30734,2010-04-08,BMY,26.540001,26.17,26.16,26.540001,13065700.0
31202,2010-04-09,BMY,26.200001,26.25,26.1,26.360001,11263700.0
31670,2010-04-12,BMY,26.25,26.290001,26.15,26.4,10925000.0
32138,2010-04-13,BMY,26.24,25.98,25.969998999999998,26.299999,12611800.0
32606,2010-04-14,BMY,25.91,25.700001,25.59,25.959999,13460800.0
33074,2010-04-15,BMY,25.639999,25.34,25.299999,25.639999,18520400.0
33542,2010-04-16,BMY,25.27,25.48,25.200001,25.559998999999998,16415400.0
34010,2010-04-19,BMY,25.219998999999998,25.809998999999998,24.969998999999998,25.82,23618200.0
34478,2010-04-20,BMY,25.860001,25.43,25.34,25.9,13355900.0
34946,2010-04-21,BMY,25.41,25.1,24.969998999999998,25.43,15927600.0
35414,2010-04-22,BMY,25.01,24.440001000000002,24.280001000000002,25.049999,21751600.0
35882,2010-04-23,BMY,24.469998999999998,24.74,24.120001000000002,24.84,13667400.0
36350,2010-04-26,BMY,24.799999,24.5,24.48,24.84,10639000.0
36818,2010-04-27,BMY,24.450001,24.209999,24.129998999999998,24.57,13627700.0
37286,2010-04-28,BMY,24.299999,24.34,24.07,24.59,14144200.0
37755,2010-04-29,BMY,25.280001000000002,25.370001000000002,25.0,25.93,20658400.0
38224,2010-04-30,BMY,25.42,25.309998999999998,25.18,25.58,14368200.0
38693,2010-05-03,BMY,25.309998999999998,25.129998999999998,25.1,25.4,10414100.0
39162,2010-05-04,BMY,25.1,25.27,25.02,25.700001,16761100.0
39631,2010-05-05,BMY,25.1,25.059998999999998,24.92,25.370001000000002,14107900.0
40100,2010-05-06,BMY,24.940001000000002,24.280001000000002,22.799999,25.030001000000002,19603200.0
40569,2010-05-07,BMY,24.280001000000002,24.34,24.07,24.959999,23348600.0
41038,2010-05-10,BMY,24.34,24.139999,23.93,24.75,25474800.0
41507,2010-05-11,BMY,24.030001000000002,24.370001000000002,24.02,24.709999,15508300.0
41976,2010-05-12,BMY,24.459999,24.440001000000002,24.190001000000002,24.5,10136600.0
42445,2010-05-13,BMY,24.4,24.0,23.969998999999998,24.440001000000002,13392800.0
42914,2010-05-14,BMY,24.0,23.559998999999998,23.379998999999998,24.0,14148800.0
43383,2010-05-17,BMY,23.75,23.700001,23.360001,24.0,13588000.0
43852,2010-05-18,BMY,23.9,23.549999,23.5,23.92,9613700.0
44321,2010-05-19,BMY,23.459999,23.709999,23.309998999999998,23.85,16424000.0
44790,2010-05-20,BMY,23.4,23.09,23.049999,23.709999,18724700.0
45259,2010-05-21,BMY,22.9,22.959999,22.5,23.049999,17799800.0
45728,2010-05-24,BMY,22.93,22.99,22.74,23.18,13271000.0
46197,2010-05-25,BMY,22.6,22.860001,22.24,22.889999,13904100.0
46666,2010-05-26,BMY,23.030001000000002,22.719998999999998,22.639999,23.07,14181800.0
47135,2010-05-27,BMY,23.07,23.34,23.01,23.35,10743000.0
47604,2010-05-28,BMY,23.379998999999998,23.209999,23.110001,23.450001,9876100.0
48073,2010-06-01,BMY,23.110001,23.02,22.9,23.469998999999998,10663800.0
48542,2010-06-02,BMY,23.059998999999998,23.0,22.860001,23.24,17113700.0
49011,2010-06-03,BMY,23.18,22.879998999999998,22.73,23.18,21818300.0
49480,2010-06-04,BMY,22.709999,22.440001000000002,22.309998999999998,22.85,26551500.0
49949,2010-06-07,BMY,23.85,23.860001,23.530001000000002,24.360001,42053800.0
50418,2010-06-08,BMY,23.93,24.299999,23.74,24.35,35451700.0
50887,2010-06-09,BMY,24.34,24.139999,24.09,24.4,21197900.0
51356,2010-06-10,BMY,24.34,24.639999,24.25,24.68,16660300.0
51825,2010-06-11,BMY,25.540001,25.08,24.950001,25.76,19790100.0
52294,2010-06-14,BMY,25.08,25.290001,25.059998999999998,25.5,16878900.0
52763,2010-06-15,BMY,25.389999,25.629998999999998,25.23,25.67,12513000.0
53232,2010-06-16,BMY,25.299999,25.879998999999998,25.299999,25.879998999999998,15463200.0
53701,2010-06-17,BMY,25.719998999999998,25.860001,25.65,25.91,16802500.0
54170,2010-06-18,BMY,25.799999,25.780001000000002,25.459999,25.870001000000002,16430100.0
54639,2010-06-21,BMY,25.889999,25.440001000000002,25.299999,25.950001,11063500.0
55108,2010-06-22,BMY,25.41,25.440001000000002,25.379998999999998,25.780001000000002,10918100.0
55577,2010-06-23,BMY,25.43,25.24,25.139999,25.49,12683400.0
56046,2010-06-24,BMY,25.120001000000002,25.35,25.01,25.49,14840000.0
56515,2010-06-25,BMY,25.450001,25.57,25.23,25.83,26249200.0
56984,2010-06-28,BMY,25.639999,25.57,25.299999,25.68,12950800.0
57453,2010-06-29,BMY,25.4,25.290001,25.139999,25.610001,22258500.0
57922,2010-06-30,BMY,24.98,24.940001000000002,24.73,25.219998999999998,18910400.0
58391,2010-07-01,BMY,24.84,24.76,24.219998999999998,24.940001000000002,19140500.0
58860,2010-07-02,BMY,24.870001000000002,24.690001000000002,24.5,25.040001,9900000.0
59329,2010-07-06,BMY,24.93,25.24,24.76,25.4,16934800.0
59798,2010-07-07,BMY,25.24,25.799999,25.129998999999998,25.879998999999998,17386500.0
60267,2010-07-08,BMY,25.950001,25.58,25.389999,25.950001,16704100.0
60736,2010-07-09,BMY,25.57,25.6,25.290001,25.65,11509100.0
61205,2010-07-12,BMY,25.6,25.26,25.110001,25.6,12715600.0
61674,2010-07-13,BMY,25.360001,25.309998999999998,25.200001,25.6,14046200.0
62143,2010-07-14,BMY,25.219998999999998,25.09,24.9,25.26,14552200.0
62612,2010-07-15,BMY,25.1,25.5,25.030001000000002,25.530001000000002,14703100.0
63081,2010-07-16,BMY,25.440001000000002,25.17,25.1,25.469998999999998,13136300.0
63550,2010-07-19,BMY,25.27,24.84,24.780001000000002,25.27,11804800.0
64019,2010-07-20,BMY,24.65,25.02,24.459999,25.09,10655500.0
64488,2010-07-21,BMY,24.92,24.75,24.59,25.110001,9830000.0
64957,2010-07-22,BMY,24.959999,24.93,24.75,25.219998999999998,10385300.0
65426,2010-07-23,BMY,24.940001000000002,24.65,24.26,24.950001,13043700.0
65895,2010-07-26,BMY,24.57,24.969998999999998,24.57,25.030001000000002,8817400.0
66364,2010-07-27,BMY,25.09,25.32,24.84,25.35,14152600.0
66833,2010-07-28,BMY,25.25,25.120001000000002,25.02,25.360001,8072400.0
67302,2010-07-29,BMY,25.370001000000002,25.08,24.85,25.5,9463800.0
67771,2010-07-30,BMY,24.98,24.92,24.780001000000002,25.129998999999998,11435700.0
68240,2010-08-02,BMY,25.33,25.530001000000002,25.290001,25.610001,9770900.0
68709,2010-08-03,BMY,25.65,25.68,25.58,25.85,6842900.0
69178,2010-08-04,BMY,25.700001,26.030001000000002,25.610001,26.129998999999998,10233700.0
69647,2010-08-05,BMY,25.83,26.379998999999998,25.799999,26.379998999999998,12264600.0
70116,2010-08-06,BMY,26.290001,26.370001000000002,26.049999,26.450001,8774900.0
70585,2010-08-09,BMY,26.370001000000002,26.51,26.299999,26.540001,6825300.0
71054,2010-08-10,BMY,26.32,26.66,26.299999,26.780001000000002,7009500.0
71523,2010-08-11,BMY,26.32,26.25,26.15,26.5,8808100.0
71992,2010-08-12,BMY,26.01,26.33,26.0,26.389999,7350500.0
72461,2010-08-13,BMY,26.24,26.32,26.1,26.459999,5760100.0
72930,2010-08-16,BMY,26.24,26.280001000000002,26.040001,26.34,10377700.0
73399,2010-08-17,BMY,26.4,26.59,26.26,26.790001,12325700.0
73868,2010-08-18,BMY,26.530001000000002,26.280001000000002,26.23,26.57,12235800.0
74337,2010-08-19,BMY,26.200001,26.059998999999998,25.809998999999998,26.290001,8218000.0
74806,2010-08-20,BMY,26.309998999999998,26.440001000000002,26.08,26.540001,18140100.0
75275,2010-08-23,BMY,26.48,26.48,26.379998999999998,26.76,12146600.0
75744,2010-08-24,BMY,26.26,26.02,25.950001,26.370001000000002,11625900.0
76213,2010-08-25,BMY,25.9,26.08,25.74,26.15,16809000.0
76682,2010-08-26,BMY,26.110001,25.85,25.75,26.18,7931300.0
77151,2010-08-27,BMY,25.969998999999998,26.120001000000002,25.66,26.27,6402300.0
77620,2010-08-30,BMY,26.040001,25.85,25.84,26.18,7939800.0
78089,2010-08-31,BMY,26.110001,26.08,25.969998999999998,26.34,13407900.0
78558,2010-09-01,BMY,26.24,26.41,26.110001,26.549999,9320700.0
79027,2010-09-02,BMY,26.35,26.43,26.26,26.49,6857700.0
79496,2010-09-03,BMY,26.459999,26.58,26.379998999999998,26.620001000000002,6645900.0
79965,2010-09-07,BMY,26.450001,26.610001,26.370001000000002,26.76,10039200.0
80434,2010-09-08,BMY,26.67,26.75,26.639999,26.969998999999998,8851400.0
80903,2010-09-09,BMY,26.91,26.870001000000002,26.700001,26.99,6105100.0
81372,2010-09-10,BMY,26.9,27.049999,26.719998999999998,27.1,8500700.0
81841,2010-09-13,BMY,27.139999,27.16,26.93,27.200001,8986500.0
82310,2010-09-14,BMY,27.15,26.959999,26.780001000000002,27.200001,10983700.0
82779,2010-09-15,BMY,26.92,27.01,26.799999,27.08,8570200.0
83248,2010-09-16,BMY,27.01,26.950001,26.85,27.15,8016800.0
83717,2010-09-17,BMY,27.02,27.309998999999998,27.0,27.440001000000002,14912300.0
84186,2010-09-20,BMY,27.42,27.809998999999998,27.41,27.870001000000002,11922000.0
84655,2010-09-21,BMY,27.870001000000002,27.790001,27.709999,28.0,37450000.0
85124,2010-09-22,BMY,27.66,27.82,27.57,27.9,33146500.0
85593,2010-09-23,BMY,27.620001000000002,27.68,27.540001,28.0,31214800.0
86062,2010-09-24,BMY,27.75,27.620001000000002,27.57,27.93,12524400.0
86531,2010-09-27,BMY,27.65,27.6,27.59,27.77,9206500.0
