,date,symbol,open,close,low,high,volume
318,2010-01-04,BXP,67.589996,67.099998,66.529999,68.33000200000001,1511500.0
785,2010-01-05,BXP,67.239998,68.120003,66.449997,68.199997,2173700.0
1253,2010-01-06,BXP,68.230003,68.440002,68.029999,68.940002,1814900.0
1721,2010-01-07,BXP,68.260002,68.739998,67.709999,69.389999,1329100.0
2189,2010-01-08,BXP,68.260002,67.849998,67.089996,68.639999,1021900.0
2657,2010-01-11,BXP,68.139999,68.16999799999999,67.690002,68.720001,974400.0
3125,2010-01-12,BXP,67.709999,67.489998,66.709999,68.089996,1391700.0
3593,2010-01-13,BXP,67.610001,68.599998,67.300003,68.739998,1384200.0
4061,2010-01-14,BXP,68.43,68.309998,67.800003,68.779999,967100.0
4529,2010-01-15,BXP,68.190002,68.089996,67.610001,68.449997,1421900.0
4997,2010-01-19,BXP,68.260002,69.529999,67.839996,69.620003,1721700.0
5465,2010-01-20,BXP,69.019997,69.07,68.33000200000001,69.190002,1591300.0
5933,2010-01-21,BXP,68.879997,65.839996,65.58000200000001,69.300003,2598500.0
6401,2010-01-22,BXP,65.519997,64.279999,63.939999,66.519997,2289400.0
6869,2010-01-25,BXP,65.25,65.099998,63.59,65.57,1560700.0
7337,2010-01-26,BXP,64.779999,64.720001,64.230003,65.940002,1436900.0
7805,2010-01-27,BXP,64.260002,65.07,63.349998,65.440002,2375600.0
8273,2010-01-28,BXP,65.75,65.389999,64.690002,65.93,1440400.0
8741,2010-01-29,BXP,65.809998,64.870003,64.230003,66.25,1783500.0
9209,2010-02-01,BXP,65.709999,66.870003,65.040001,66.879997,1639500.0
9677,2010-02-02,BXP,67.709999,67.800003,66.559998,68.010002,2092100.0
10145,2010-02-03,BXP,67.589996,66.5,66.199997,67.599998,1869400.0
10613,2010-02-04,BXP,65.970001,63.439999,63.380001,66.120003,2384600.0
11081,2010-02-05,BXP,63.639998999999996,64.529999,62.389998999999996,64.959999,1997400.0
11549,2010-02-08,BXP,64.650002,62.900002,62.740002000000004,65.139999,1455600.0
12017,2010-02-09,BXP,63.650002,62.810001,62.220001,63.810001,1713800.0
12485,2010-02-10,BXP,62.720001,62.490002000000004,61.5,63.279999,1567700.0
12953,2010-02-11,BXP,62.400002,62.720001,61.82,63.029999,1197000.0
13421,2010-02-12,BXP,62.080002,63.400002,61.779999,63.470001,1355600.0
13889,2010-02-16,BXP,64.0,65.029999,63.610001000000004,65.150002,1698200.0
14357,2010-02-17,BXP,65.230003,65.389999,64.91999799999999,65.68,1083500.0
14825,2010-02-18,BXP,65.110001,66.349998,64.699997,66.620003,1184300.0
15293,2010-02-19,BXP,65.910004,66.57,65.379997,66.769997,1294400.0
15761,2010-02-22,BXP,66.540001,67.029999,66.540001,67.489998,1311200.0
16229,2010-02-23,BXP,66.699997,65.949997,65.68,67.0,1525700.0
16697,2010-02-24,BXP,65.91999799999999,66.709999,65.720001,66.730003,1598000.0
17165,2010-02-25,BXP,65.93,67.41999799999999,65.620003,67.489998,1380100.0
17633,2010-02-26,BXP,67.41999799999999,67.93,67.25,68.75,1842200.0
18101,2010-03-01,BXP,68.239998,68.279999,67.839996,68.739998,1261400.0
18569,2010-03-02,BXP,68.720001,68.620003,68.410004,68.940002,1173500.0
19037,2010-03-03,BXP,68.779999,68.66999799999999,68.32,69.0,905100.0
19505,2010-03-04,BXP,68.720001,69.16999799999999,68.5,69.309998,1056800.0
19973,2010-03-05,BXP,69.660004,71.139999,69.339996,71.260002,1322600.0
20441,2010-03-08,BXP,71.07,72.58000200000001,71.07,72.760002,1341400.0
20909,2010-03-09,BXP,72.230003,72.489998,71.91999799999999,73.760002,1590100.0
21377,2010-03-10,BXP,72.760002,73.459999,72.260002,73.699997,1209600.0
21845,2010-03-11,BXP,73.029999,73.720001,72.75,73.760002,1139300.0
22313,2010-03-12,BXP,73.910004,74.0,73.550003,74.57,1259400.0
22781,2010-03-15,BXP,73.860001,74.059998,72.940002,74.33000200000001,1157600.0
23249,2010-03-16,BXP,74.150002,75.690002,74.040001,75.93,1194700.0
23717,2010-03-17,BXP,76.07,77.139999,75.860001,77.349998,1353200.0
24185,2010-03-18,BXP,77.010002,76.739998,76.639999,77.730003,1433900.0
24653,2010-03-19,BXP,75.889999,75.889999,75.879997,77.599998,1896000.0
25121,2010-03-22,BXP,75.040001,76.260002,75.040001,76.519997,1348000.0
25589,2010-03-23,BXP,76.260002,76.029999,75.33000200000001,76.470001,1053300.0
26057,2010-03-24,BXP,75.910004,76.150002,75.809998,76.959999,1046000.0
26525,2010-03-25,BXP,76.760002,76.730003,76.620003,78.220001,1353700.0
26993,2010-03-26,BXP,77.199997,76.190002,75.690002,77.199997,1192300.0
27461,2010-03-29,BXP,75.629997,76.25,75.43,76.25,901500.0
27929,2010-03-30,BXP,76.129997,76.239998,75.93,76.779999,791200.0
28397,2010-03-31,BXP,75.690002,75.440002,75.18,76.18,998800.0
28865,2010-04-01,BXP,75.849998,75.470001,74.870003,75.949997,867300.0
29333,2010-04-05,BXP,75.760002,77.790001,75.519997,77.790001,971500.0
29801,2010-04-06,BXP,77.470001,79.410004,76.980003,79.610001,1309000.0
30269,2010-04-07,BXP,79.370003,77.239998,77.0,79.519997,1242000.0
30737,2010-04-08,BXP,76.860001,76.949997,76.559998,77.139999,1122200.0
31205,2010-04-09,BXP,77.129997,78.349998,76.949997,78.43,1022300.0
31673,2010-04-12,BXP,78.339996,77.449997,77.260002,78.459999,1231700.0
32141,2010-04-13,BXP,77.379997,79.970001,77.220001,80.279999,1152100.0
32609,2010-04-14,BXP,80.68,80.129997,79.589996,80.709999,952400.0
33077,2010-04-15,BXP,79.839996,78.040001,77.949997,80.239998,1230100.0
33545,2010-04-16,BXP,77.959999,75.589996,75.519997,78.489998,1753700.0
34013,2010-04-19,BXP,75.150002,76.089996,74.870003,76.610001,922100.0
34481,2010-04-20,BXP,76.629997,77.0,75.199997,77.010002,1110100.0
34949,2010-04-21,BXP,76.93,77.940002,76.589996,78.410004,1113500.0
35417,2010-04-22,BXP,77.16999799999999,79.370003,76.650002,79.769997,1264500.0
35885,2010-04-23,BXP,79.529999,80.110001,79.040001,81.0,1567800.0
36353,2010-04-26,BXP,80.120003,80.690002,79.739998,81.489998,1314900.0
36821,2010-04-27,BXP,79.959999,78.120003,78.099998,80.410004,2652700.0
