,date,symbol,open,close,low,high,volume
319,2010-01-04,C,33.6,34.0,33.4,34.1,40679300.0
786,2010-01-05,C,34.2,35.3,34.1,35.5,66861700.0
1254,2010-01-06,C,35.6,36.4,35.1,36.8,67433800.0
1722,2010-01-07,C,36.9,36.5,36.1,37.0,67245100.0
2190,2010-01-08,C,36.5,35.9,35.1,36.7,62409700.0
2658,2010-01-11,C,36.6,36.3,36.0,36.7,47557600.0
3126,2010-01-12,C,35.9,35.2,34.8,36.1,47011800.0
3594,2010-01-13,C,35.4,35.0,35.0,35.9,41035100.0
4062,2010-01-14,C,35.6,35.1,35.0,35.6,27417000.0
4530,2010-01-15,C,34.9,34.2,34.0,35.0,54017700.0
4998,2010-01-19,C,33.4,35.4,33.0,35.6,80789300.0
5466,2010-01-20,C,35.1,34.6,34.5,36.0,47944900.0
5934,2010-01-21,C,34.5,32.7,32.0,34.6,95968000.0
6402,2010-01-22,C,32.8,32.5,32.2,33.9,65474100.0
6870,2010-01-25,C,33.1,32.3,32.1,33.3,49752400.0
7338,2010-01-26,C,32.2,31.5,31.5,32.7,45890200.0
7806,2010-01-27,C,31.7,32.0,31.4,32.3,55891300.0
8274,2010-01-28,C,32.5,32.4,32.0,32.9,51294200.0
8742,2010-01-29,C,32.7,33.2,32.7,33.4,67942900.0
9210,2010-02-01,C,33.6,33.4,33.1,33.7,23577600.0
9678,2010-02-02,C,33.5,34.1,33.2,34.1,33280800.0
10146,2010-02-03,C,33.9,33.7,33.7,34.6,27200500.0
10614,2010-02-04,C,33.4,31.8,31.7,33.5,45029900.0
11082,2010-02-05,C,32.1,32.2,31.5,32.4,46750100.0
11550,2010-02-08,C,32.3,31.5,31.5,32.4,25620300.0
12018,2010-02-09,C,31.9,31.8,31.1,32.3,49883800.0
12486,2010-02-10,C,31.8,32.0,31.4,32.0,25499600.0
12954,2010-02-11,C,31.9,32.1,31.7,32.2,23685200.0
13422,2010-02-12,C,31.7,31.8,31.5,32.1,18926900.0
13890,2010-02-16,C,32.2,33.1,32.1,33.3,33228500.0
14358,2010-02-17,C,33.8,34.1,33.6,34.5,57569000.0
14826,2010-02-18,C,34.0,34.3,33.9,34.7,28868700.0
15294,2010-02-19,C,34.0,34.2,33.9,34.4,27822200.0
15762,2010-02-22,C,34.4,34.6,34.1,34.8,23360600.0
16230,2010-02-23,C,34.4,33.5,33.5,34.8,28291700.0
16698,2010-02-24,C,33.7,34.5,33.7,34.5,29262200.0
17166,2010-02-25,C,33.9,33.9,33.6,34.0,25996900.0
17634,2010-02-26,C,33.9,34.0,33.8,34.5,17855700.0
18102,2010-03-01,C,34.2,33.9,33.4,34.4,15568600.0
18570,2010-03-02,C,34.1,34.0,33.9,34.4,16428000.0
19038,2010-03-03,C,34.1,34.0,33.9,34.3,16364900.0
19506,2010-03-04,C,34.1,34.3,33.9,34.8,31935600.0
19974,2010-03-05,C,34.7,35.0,34.5,35.0,31907900.0
20442,2010-03-08,C,35.4,35.6,35.4,36.0,45986400.0
20910,2010-03-09,C,35.5,38.2,35.4,38.6,110631100.0
21378,2010-03-10,C,39.6,39.6,39.2,40.7,121205000.0
21846,2010-03-11,C,39.8,41.8,39.5,41.8,120029900.0
22314,2010-03-12,C,42.1,39.7,39.4,42.2,127975900.0
22782,2010-03-15,C,38.8,38.9,38.3,39.4,63482900.0
23250,2010-03-16,C,39.5,40.5,39.2,40.7,54320500.0
23718,2010-03-17,C,41.0,40.5,39.9,41.7,68063500.0
24186,2010-03-18,C,40.9,40.2,40.0,40.9,35021500.0
24654,2010-03-19,C,39.0,39.0,39.0,40.5,55803000.0
25122,2010-03-22,C,38.9,40.4,38.8,41.0,50007900.0
25590,2010-03-23,C,40.9,41.3,40.7,41.5,44335400.0
26058,2010-03-24,C,41.0,41.5,41.0,41.9,46585300.0
26526,2010-03-25,C,42.4,42.7,42.3,43.8,97149400.0
26994,2010-03-26,C,43.4,43.1,42.6,43.7,58727000.0
27462,2010-03-29,C,43.8,41.8,41.1,44.1,88626800.0
27930,2010-03-30,C,41.3,40.9,40.5,41.8,62439100.0
28398,2010-03-31,C,40.8,40.5,40.1,41.1,55035800.0
28866,2010-04-01,C,41.1,41.8,40.2,41.8,30209100.0
29334,2010-04-05,C,42.7,42.6,42.3,42.8,34453300.0
29802,2010-04-06,C,42.7,42.9,42.5,43.0,31812100.0
30270,2010-04-07,C,43.1,43.6,43.0,44.0,62152800.0
30738,2010-04-08,C,43.5,44.7,43.1,44.9,55935600.0
31206,2010-04-09,C,45.4,45.5,45.2,45.7,66446000.0
31674,2010-04-12,C,46.3,46.4,45.8,46.4,43484900.0
32142,2010-04-13,C,46.2,46.2,45.9,46.8,59676100.0
32610,2010-04-14,C,47.2,49.3,47.0,49.4,103954500.0
33078,2010-04-15,C,49.9,48.1,47.4,50.7,153653600.0
33546,2010-04-16,C,48.2,45.6,44.1,48.3,186414100.0
34014,2010-04-19,C,46.5,48.8,46.4,49.3,186006600.0
34482,2010-04-20,C,50.2,49.7,49.2,50.6,102738500.0
34950,2010-04-21,C,50.3,49.3,48.2,50.4,98787500.0
35418,2010-04-22,C,48.5,48.7,47.7,48.9,80864600.0
35886,2010-04-23,C,48.7,48.6,48.3,49.5,76164000.0
36354,2010-04-26,C,47.9,46.1,46.0,48.0,124478500.0
36822,2010-04-27,C,45.5,43.4,43.3,45.7,133979400.0
37290,2010-04-28,C,44.2,44.5,44.0,45.6,110487000.0
37759,2010-04-29,C,45.3,45.6,45.0,46.3,71647000.0
38228,2010-04-30,C,45.5,43.7,43.7,45.5,80341700.0
38697,2010-05-03,C,44.6,44.1,43.8,44.8,44946200.0
39166,2010-05-04,C,43.4,42.6,42.3,43.6,97352300.0
39635,2010-05-05,C,41.6,41.8,40.4,42.5,100162200.0
40104,2010-05-06,C,42.0,40.4,39.0,42.7,170724500.0
40573,2010-05-07,C,40.8,40.0,39.2,41.3,122458600.0
41042,2010-05-10,C,43.3,42.2,41.6,43.5,109813200.0
41511,2010-05-11,C,41.3,41.7,41.1,42.4,75475000.0
41980,2010-05-12,C,42.3,41.8,41.4,42.3,65669600.0
42449,2010-05-13,C,41.5,40.9,40.8,41.6,50910500.0
42918,2010-05-14,C,40.3,39.8,39.1,40.4,87280100.0
43387,2010-05-17,C,40.0,38.6,37.6,40.1,94521700.0
43856,2010-05-18,C,39.5,37.3,37.1,39.6,88927400.0
44325,2010-05-19,C,37.3,38.1,37.1,38.5,92045200.0
44794,2010-05-20,C,37.5,36.3,36.1,37.7,116429000.0
45263,2010-05-21,C,35.4,37.5,35.3,38.1,133515800.0
45732,2010-05-24,C,38.6,37.8,37.7,39.5,84300400.0
46201,2010-05-25,C,36.4,37.8,35.6,38.0,102076400.0
46670,2010-05-26,C,39.7,38.6,38.6,40.3,124767200.0
47139,2010-05-27,C,40.3,40.2,39.8,40.7,75460800.0
47608,2010-05-28,C,40.2,39.6,39.5,40.4,63286600.0
48077,2010-06-01,C,39.0,38.5,38.4,39.6,56634600.0
48546,2010-06-02,C,38.9,39.2,38.5,39.3,56166300.0
49015,2010-06-03,C,39.6,39.6,39.3,40.3,71405600.0
49484,2010-06-04,C,38.5,37.9,37.7,39.2,106756400.0
49953,2010-06-07,C,38.1,36.4,36.2,38.2,86203800.0
50422,2010-06-08,C,36.9,37.2,36.5,37.5,83022700.0
50891,2010-06-09,C,37.8,38.7,37.6,38.9,114856500.0
51360,2010-06-10,C,39.5,39.0,38.7,39.6,70989100.0
51829,2010-06-11,C,38.6,38.8,38.5,39.2,43859300.0
52298,2010-06-14,C,39.2,38.8,38.8,39.3,38228700.0
52767,2010-06-15,C,39.3,39.9,38.9,39.9,42247500.0
53236,2010-06-16,C,39.6,39.9,39.3,40.0,40783400.0
53705,2010-06-17,C,40.1,39.6,39.1,40.3,58734300.0
54174,2010-06-18,C,39.7,40.1,39.3,40.1,68839900.0
54643,2010-06-21,C,40.5,40.2,40.1,40.7,57155500.0
55112,2010-06-22,C,40.0,39.4,39.4,40.3,48772400.0
55581,2010-06-23,C,39.5,38.9,38.7,39.8,46265900.0
56050,2010-06-24,C,38.6,37.8,37.7,38.6,56634700.0
