,date,symbol,open,close,low,high,volume
323,2010-01-04,CAT,57.650002,58.549999,57.509997999999996,59.189999,7325600.0
790,2010-01-05,CAT,58.549999,59.25,58.23,59.439999,5697200.0
1258,2010-01-06,CAT,59.18,59.43,59.049999,59.93,4718800.0
1726,2010-01-07,CAT,59.299999,59.669998,58.650002,59.900002,5432900.0
2194,2010-01-08,CAT,59.25,60.34,59.25,60.369999,6651300.0
2662,2010-01-11,CAT,60.950001,64.129997,60.849998,64.41999799999999,21958800.0
3130,2010-01-12,CAT,63.009997999999996,62.240002000000004,61.18,63.16,13561900.0
3598,2010-01-13,CAT,62.099998,62.330002,61.380001,62.779999,8398700.0
4066,2010-01-14,CAT,62.099998,61.98,61.75,62.84,6224100.0
4534,2010-01-15,CAT,61.450001,60.119999,60.009997999999996,61.669998,9397000.0
5002,2010-01-19,CAT,59.759997999999996,60.93,59.349998,61.200001,8056500.0
5470,2010-01-20,CAT,60.169998,59.759997999999996,59.310001,60.43,6953500.0
5938,2010-01-21,CAT,59.5,56.849998,56.700001,59.900002,13874900.0
6406,2010-01-22,CAT,56.580002,54.25,54.02,57.540001000000004,14757600.0
6874,2010-01-25,CAT,55.16,55.139998999999996,54.830002,56.189999,9777300.0
7342,2010-01-26,CAT,54.990002000000004,55.849998,54.599998,56.939999,15218300.0
7810,2010-01-27,CAT,52.959998999999996,53.439999,51.029999,53.84,34041000.0
8278,2010-01-28,CAT,53.82,51.860001000000004,51.200001,53.830002,15623100.0
8746,2010-01-29,CAT,52.779999,52.240002000000004,52.0,53.779999,13962000.0
9214,2010-02-01,CAT,52.82,52.939999,52.5,53.5,7159100.0
9682,2010-02-02,CAT,53.48,53.549999,52.619999,53.720001,7665400.0
10150,2010-02-03,CAT,53.200001,53.389998999999996,53.099998,54.0,6340800.0
10618,2010-02-04,CAT,52.799999,51.400002,51.380001,52.860001000000004,11640200.0
11086,2010-02-05,CAT,51.209998999999996,51.75,50.689999,51.98,15988800.0
11554,2010-02-08,CAT,51.639998999999996,50.779999,50.5,52.150002,8668700.0
12022,2010-02-09,CAT,52.700001,53.529999,52.549999,54.25,15494200.0
12490,2010-02-10,CAT,53.650002,53.150002,52.450001,54.049999,8581500.0
12958,2010-02-11,CAT,53.099998,56.150002,52.669998,56.27,16405500.0
13426,2010-02-12,CAT,55.09,56.200001,54.610001000000004,56.549999,13447700.0
13894,2010-02-16,CAT,56.77,57.119999,56.189999,57.240002000000004,7364200.0
14362,2010-02-17,CAT,58.049999,57.5,57.220001,58.349998,8450800.0
14830,2010-02-18,CAT,57.150002,57.810001,56.849998,58.049999,6844000.0
15298,2010-02-19,CAT,57.59,58.25,57.310001,58.48,8005800.0
15766,2010-02-22,CAT,58.73,58.029999,58.0,58.970001,6994800.0
16234,2010-02-23,CAT,57.889998999999996,56.66,56.220001,58.380001,10311000.0
16702,2010-02-24,CAT,56.669998,56.959998999999996,56.459998999999996,57.459998999999996,5810100.0
17170,2010-02-25,CAT,55.330002,56.790001000000004,54.209998999999996,57.02,9965600.0
17638,2010-02-26,CAT,56.939999,57.049999,56.099998,57.240002000000004,6108500.0
18106,2010-03-01,CAT,57.330002,57.849998,57.25,58.389998999999996,8398500.0
18574,2010-03-02,CAT,58.279999,58.150002,58.02,58.82,6583600.0
19042,2010-03-03,CAT,58.450001,58.57,58.389998999999996,59.93,8833800.0
19510,2010-03-04,CAT,58.790001000000004,58.450001,57.810001,59.0,6195600.0
19978,2010-03-05,CAT,59.41,59.23,58.900002,59.580002,6626900.0
20446,2010-03-08,CAT,59.470001,58.91,58.57,59.490002000000004,4755100.0
20914,2010-03-09,CAT,58.459998999999996,59.18,58.400002,59.720001,7692500.0
21382,2010-03-10,CAT,59.110001000000004,58.779999,58.43,59.5,6529900.0
21850,2010-03-11,CAT,58.790001000000004,58.900002,57.919998,58.98,6166500.0
22318,2010-03-12,CAT,59.529999,60.360001000000004,59.349998,60.490002000000004,9688800.0
22786,2010-03-15,CAT,60.040001000000004,59.470001,58.380001,60.25,7906700.0
23254,2010-03-16,CAT,59.650002,59.450001,58.84,59.68,7281000.0
23722,2010-03-17,CAT,59.650002,60.220001,59.490002000000004,60.5,7925400.0
24190,2010-03-18,CAT,59.610001000000004,59.77,59.34,60.389998999999996,7204200.0
24658,2010-03-19,CAT,59.369999,59.369999,58.950001,60.310001,9425500.0
25126,2010-03-22,CAT,58.700001,59.950001,58.66,60.27,7512500.0
25594,2010-03-23,CAT,60.099998,62.41,60.009997999999996,62.509997999999996,14315300.0
26062,2010-03-24,CAT,61.959998999999996,62.060001,61.419998,62.540001000000004,11447400.0
26530,2010-03-25,CAT,62.68,62.139998999999996,62.049999,63.709998999999996,11361900.0
26998,2010-03-26,CAT,62.400002,62.439999,61.990002000000004,63.18,7887300.0
27466,2010-03-29,CAT,62.759997999999996,63.48,62.759997999999996,63.599998,6986500.0
27934,2010-03-30,CAT,63.380001,63.16,62.810001,63.630001,6183200.0
28402,2010-03-31,CAT,62.759997999999996,62.849998,62.630001,63.5,6660800.0
28870,2010-04-01,CAT,63.290001000000004,63.990002000000004,63.290001000000004,64.199997,7829300.0
29338,2010-04-05,CAT,64.360001,64.989998,64.199997,65.0,6695600.0
29806,2010-04-06,CAT,64.809998,65.290001,64.57,65.470001,6389000.0
30274,2010-04-07,CAT,65.25,64.470001,64.0,65.379997,6973000.0
30742,2010-04-08,CAT,64.050003,64.480003,63.549999,64.650002,5418000.0
31210,2010-04-09,CAT,64.900002,65.269997,64.82,65.519997,6022900.0
31678,2010-04-12,CAT,65.93,66.730003,65.760002,67.0,11837000.0
32146,2010-04-13,CAT,66.699997,66.190002,66.160004,67.25,7001400.0
32614,2010-04-14,CAT,66.370003,67.279999,66.199997,67.370003,5497400.0
33082,2010-04-15,CAT,67.160004,68.220001,67.160004,68.709999,7129500.0
33550,2010-04-16,CAT,68.050003,66.879997,66.339996,68.230003,10385300.0
34018,2010-04-19,CAT,66.599998,66.989998,65.769997,67.699997,7969400.0
34486,2010-04-20,CAT,67.709999,67.5,67.400002,68.300003,7695400.0
34954,2010-04-21,CAT,67.739998,67.75,66.699997,67.91999799999999,6357500.0
35422,2010-04-22,CAT,66.66999799999999,67.510002,65.970001,67.650002,8718700.0
35890,2010-04-23,CAT,67.199997,68.779999,66.989998,68.949997,9044500.0
36358,2010-04-26,CAT,70.879997,71.650002,70.650002,72.83000200000001,20131900.0
36826,2010-04-27,CAT,71.25,68.529999,68.279999,71.58000200000001,14323100.0
37294,2010-04-28,CAT,69.43,68.970001,68.599998,70.269997,8232800.0
37763,2010-04-29,CAT,69.959999,70.75,69.620003,70.760002,7916800.0
38232,2010-04-30,CAT,70.989998,68.089996,67.82,71.360001,9428100.0
38701,2010-05-03,CAT,68.370003,69.940002,68.089996,70.160004,7885900.0
39170,2010-05-04,CAT,68.559998,66.699997,66.25,68.559998,12558100.0
39639,2010-05-05,CAT,65.860001,65.959999,64.08000200000001,67.440002,11419500.0
40108,2010-05-06,CAT,65.849998,63.5,58.799999,66.940002,19363500.0
40577,2010-05-07,CAT,63.049999,62.099998,60.639998999999996,64.449997,15724700.0
41046,2010-05-10,CAT,65.879997,66.690002,65.190002,67.0,11852100.0
41515,2010-05-11,CAT,65.18,66.07,65.0,66.980003,7481300.0
41984,2010-05-12,CAT,66.660004,68.150002,66.599998,68.300003,7791600.0
