,date,symbol,open,close,low,high,volume
327,2010-01-04,CCI,39.41,39.610001000000004,39.330002,40.150002,1964100.0
794,2010-01-05,CCI,39.759997999999996,39.990002000000004,39.630001,40.490002000000004,2116000.0
1262,2010-01-06,CCI,39.529999,39.419998,39.119999,39.849998,1612100.0
1730,2010-01-07,CCI,39.450001,38.77,38.610001000000004,39.450001,1671500.0
2198,2010-01-08,CCI,38.779999,38.959998999999996,38.299999,39.139998999999996,2004200.0
2666,2010-01-11,CCI,39.279999,38.970001,38.93,39.5,1658300.0
3134,2010-01-12,CCI,38.82,38.25,38.049999,38.880001,2345700.0
3602,2010-01-13,CCI,38.259997999999996,38.669998,38.259997999999996,38.799999,1633800.0
4070,2010-01-14,CCI,38.57,38.610001000000004,38.400002,38.709998999999996,1569900.0
4538,2010-01-15,CCI,39.610001000000004,38.689999,38.580002,39.610001000000004,1797800.0
5006,2010-01-19,CCI,38.639998999999996,38.830002,38.610001000000004,38.950001,1841900.0
5474,2010-01-20,CCI,38.580002,38.959998999999996,38.43,39.040001000000004,1796700.0
5942,2010-01-21,CCI,39.189999,38.43,38.139998999999996,39.189999,1402400.0
6410,2010-01-22,CCI,38.41,37.349998,37.200001,39.369999,1550500.0
6878,2010-01-25,CCI,37.689999,38.049999,37.48,38.549999,1614900.0
7346,2010-01-26,CCI,37.91,37.439999,37.41,37.98,1309900.0
7814,2010-01-27,CCI,37.279999,38.25,37.009997999999996,38.259997999999996,1761800.0
8282,2010-01-28,CCI,37.200001,37.169998,36.009997999999996,37.419998,5190300.0
8750,2010-01-29,CCI,37.209998999999996,36.939999,36.700001,37.5,2703900.0
9218,2010-02-01,CCI,37.130001,37.27,36.810001,37.439999,1996300.0
9686,2010-02-02,CCI,37.529999,37.299999,36.860001000000004,37.529999,1954700.0
10154,2010-02-03,CCI,36.959998999999996,36.790001000000004,36.59,37.389998999999996,1187200.0
10622,2010-02-04,CCI,36.509997999999996,35.59,35.290001000000004,36.509997999999996,2957800.0
11090,2010-02-05,CCI,35.459998999999996,35.279999,34.119999,35.689999,3987700.0
11558,2010-02-08,CCI,35.360001000000004,35.66,34.98,36.209998999999996,1875600.0
12026,2010-02-09,CCI,36.130001,35.869999,35.540001000000004,36.490002000000004,2194800.0
12494,2010-02-10,CCI,35.849998,35.970001,35.259997999999996,36.029999,1457900.0
12962,2010-02-11,CCI,35.790001000000004,36.98,35.5,37.080002,1582400.0
13430,2010-02-12,CCI,36.470001,37.330002,36.380001,37.349998,1582300.0
13898,2010-02-16,CCI,37.5,37.98,37.450001,38.0,1072800.0
14366,2010-02-17,CCI,37.970001,38.400002,37.860001000000004,38.700001,1441100.0
14834,2010-02-18,CCI,38.450001,38.490002000000004,38.209998999999996,38.599998,1098300.0
15302,2010-02-19,CCI,38.529999,38.619999,38.389998999999996,39.029999,1238400.0
15770,2010-02-22,CCI,38.560001,38.290001000000004,38.0,38.57,886900.0
16238,2010-02-23,CCI,38.209998999999996,37.16,36.799999,38.209998999999996,1366000.0
16706,2010-02-24,CCI,37.139998999999996,37.849998,36.93,37.91,2476600.0
17174,2010-02-25,CCI,37.43,37.849998,37.080002,38.0,1341500.0
17642,2010-02-26,CCI,37.849998,37.799999,37.459998999999996,37.98,1128700.0
18110,2010-03-01,CCI,37.810001,38.169998,37.810001,38.43,955400.0
18578,2010-03-02,CCI,38.200001,38.32,38.200001,38.66,1100400.0
19046,2010-03-03,CCI,38.450001,38.560001,38.139998999999996,39.060001,1234800.0
19514,2010-03-04,CCI,38.68,38.919998,38.509997999999996,38.990002000000004,1060100.0
19982,2010-03-05,CCI,39.07,39.400002,38.939999,39.470001,1358800.0
20450,2010-03-08,CCI,38.32,38.470001,38.220001,39.110001000000004,2223200.0
20918,2010-03-09,CCI,38.220001,39.290001000000004,38.220001,39.68,2214900.0
21386,2010-03-10,CCI,39.400002,39.459998999999996,39.16,39.630001,1576300.0
21854,2010-03-11,CCI,39.400002,39.439999,39.18,39.529999,867600.0
22322,2010-03-12,CCI,39.810001,39.279999,39.18,39.810001,1273400.0
22790,2010-03-15,CCI,39.330002,38.799999,38.419998,39.52,1766600.0
23258,2010-03-16,CCI,38.810001,39.799999,38.810001,39.959998999999996,2724100.0
23726,2010-03-17,CCI,39.650002,39.099998,39.049999,39.849998,3049500.0
24194,2010-03-18,CCI,39.029999,38.560001,38.360001000000004,39.099998,2446200.0
