,date,symbol,open,close,low,high,volume
332,2010-01-04,CHD,15.1450005,15.335,15.10999975,15.34000025,2232400.0
799,2010-01-05,CHD,15.30000025,15.127499499999999,15.01249975,15.42500025,1936000.0
1267,2010-01-06,CHD,15.1475,15.19999975,15.02750025,15.22000025,2628400.0
1735,2010-01-07,CHD,15.125,15.02999975,14.96749975,15.19499975,2211200.0
2203,2010-01-08,CHD,14.9575005,14.997500500000001,14.90499975,15.0825005,1773200.0
2671,2010-01-11,CHD,14.98750025,14.9325,14.7675,15.045,1963600.0
3139,2010-01-12,CHD,14.8575,15.3125,14.8575,15.32250025,2563200.0
3607,2010-01-13,CHD,15.2924995,15.51249975,15.28250025,15.5225,2070000.0
4075,2010-01-14,CHD,15.455,15.63249975,15.4174995,15.7299995,3110800.0
4543,2010-01-15,CHD,15.65999975,15.7075005,15.61250025,15.8325005,2657600.0
5011,2010-01-19,CHD,15.71,15.86250025,15.665,16.022499,3658800.0
5479,2010-01-20,CHD,15.8374995,15.84749975,15.67500025,15.875,2292400.0
5947,2010-01-21,CHD,15.81999975,15.55249975,15.40250025,15.95250025,2924400.0
6415,2010-01-22,CHD,15.61499975,15.4325,15.40999975,15.7299995,2052000.0
6883,2010-01-25,CHD,15.4775,15.29,15.26000025,15.497500500000001,1582400.0
7351,2010-01-26,CHD,15.30500025,15.23750025,15.15750025,15.36499975,1756000.0
7819,2010-01-27,CHD,15.26000025,15.23499975,15.13249975,15.34749975,924000.0
8287,2010-01-28,CHD,15.28499975,15.22000025,15.19999975,15.51500025,1207200.0
8755,2010-01-29,CHD,15.32750025,15.07250025,15.0424995,15.377499499999999,1705600.0
9223,2010-02-01,CHD,15.11499975,15.05500025,14.9775,15.2250005,1858800.0
9691,2010-02-02,CHD,15.11250025,15.52999975,15.07250025,15.55000025,1484000.0
10159,2010-02-03,CHD,15.54,15.4775,15.40499975,15.59500025,1186800.0
10627,2010-02-04,CHD,15.42500025,15.2299995,15.2124995,15.4825,1318800.0
11095,2010-02-05,CHD,15.1925,15.2749995,15.07250025,15.3525,2270800.0
11563,2010-02-08,CHD,15.23499975,15.1425,15.10999975,15.3525,2469600.0
12031,2010-02-09,CHD,15.3500005,15.935000500000001,15.2075005,16.020000500000002,5662800.0
12499,2010-02-10,CHD,15.94999975,15.78250025,15.6925,16.0874995,1912000.0
12967,2010-02-11,CHD,15.80249975,16.084999,15.80249975,16.0874995,2087200.0
13435,2010-02-12,CHD,16.03249925,16.09000025,15.875,16.09499925,1673200.0
13903,2010-02-16,CHD,16.12000075,16.1100005,15.9750005,16.1625005,1446000.0
14371,2010-02-17,CHD,16.165001,16.21500025,16.03000075,16.227501,1390400.0
14839,2010-02-18,CHD,16.209999,16.46500025,16.11249925,16.46750075,1573200.0
15307,2010-02-19,CHD,16.3999995,16.4750005,16.34499925,16.479999499999998,1686400.0
15775,2010-02-22,CHD,16.5249995,16.54999925,16.36499975,16.59000025,2188000.0
16243,2010-02-23,CHD,16.50749975,16.479999499999998,16.3500005,16.61249925,1650000.0
16711,2010-02-24,CHD,16.522499,16.84000025,16.457500500000002,16.84250075,2504400.0
17179,2010-02-25,CHD,16.7250005,16.8600005,16.59000025,16.97249975,3416000.0
17647,2010-02-26,CHD,16.87999925,16.795,16.7124995,16.87999925,2052400.0
18115,2010-03-01,CHD,16.81749925,16.8125,16.74250025,16.86249925,1752000.0
18583,2010-03-02,CHD,16.875,16.8999995,16.78000075,16.9375,1458000.0
19051,2010-03-03,CHD,16.86499975,16.71750075,16.6625005,16.90999975,1451600.0
19519,2010-03-04,CHD,16.71750075,16.71999925,16.6100005,16.75749975,1391200.0
19987,2010-03-05,CHD,16.7875005,16.80249975,16.67749975,16.8899995,1087200.0
20455,2010-03-08,CHD,16.7649995,16.875,16.7649995,16.8999995,1484400.0
20923,2010-03-09,CHD,16.88249975,16.84749975,16.795,16.90250025,1233200.0
21391,2010-03-10,CHD,16.84250075,16.87999925,16.7649995,16.88500025,1025600.0
21859,2010-03-11,CHD,16.8925,17.00749975,16.82500075,17.01250075,2659200.0
22327,2010-03-12,CHD,17.00749975,17.1275005,16.9524995,17.13249975,1326400.0
22795,2010-03-15,CHD,17.05249975,16.81999975,16.6425,17.1399995,2887600.0
23263,2010-03-16,CHD,16.82500075,16.9750005,16.76000025,17.03499975,1769600.0
23731,2010-03-17,CHD,17.0375005,16.94249925,16.8500005,17.0375005,1557200.0
24199,2010-03-18,CHD,16.895000500000002,16.9524995,16.88500025,17.0375005,1240800.0
24667,2010-03-19,CHD,16.96750075,16.96750075,16.88249975,17.05249975,1277600.0
25135,2010-03-22,CHD,16.88750075,17.19750025,16.88750075,17.2474995,1410000.0
25603,2010-03-23,CHD,17.25,17.29999925,17.102501,17.34000025,1090800.0
26071,2010-03-24,CHD,17.2875005,17.165001,17.125,17.2875005,1028000.0
26539,2010-03-25,CHD,17.2649995,16.834999,16.82500075,17.272499,1484800.0
27007,2010-03-26,CHD,16.84250075,16.6224995,16.51000025,16.86249925,3019200.0
27475,2010-03-29,CHD,16.69499975,16.8150005,16.63500025,16.81749925,1585600.0
27943,2010-03-30,CHD,16.87000075,16.8125,16.727501,16.875,721600.0
28411,2010-03-31,CHD,16.7525005,16.73749925,16.63249975,16.87000075,942000.0
28879,2010-04-01,CHD,16.795,16.93000025,16.7525005,16.9524995,1171600.0
29347,2010-04-05,CHD,16.99250025,16.93250075,16.8899995,17.0249995,650800.0
29815,2010-04-06,CHD,16.90500075,16.8899995,16.87000075,16.9624995,1443200.0
30283,2010-04-07,CHD,16.88249975,16.915001,16.87000075,16.9225005,2553600.0
30751,2010-04-08,CHD,16.915001,16.94499975,16.875,17.042499499999998,1450800.0
31219,2010-04-09,CHD,16.94750025,17.0175,16.90500075,17.0475005,717600.0
31687,2010-04-12,CHD,16.8724995,16.95000075,16.70000075,17.00749975,2230400.0
32155,2010-04-13,CHD,16.88500025,16.9750005,16.74500075,17.0175,1478400.0
32623,2010-04-14,CHD,17.04999925,17.09749975,16.8999995,17.11249925,874800.0
33091,2010-04-15,CHD,17.0249995,17.09000025,17.0025005,17.145000500000002,747200.0
33559,2010-04-16,CHD,17.084999,17.082500500000002,16.9974995,17.17,1528400.0
34027,2010-04-19,CHD,17.0149995,17.022499,16.979999499999998,17.09499925,1076800.0
34495,2010-04-20,CHD,17.022499,16.98999975,16.9349995,17.12000075,1090800.0
34963,2010-04-21,CHD,16.979999499999998,17.0625,16.832500500000002,17.0874995,1094800.0
35431,2010-04-22,CHD,16.98999975,17.0475005,16.915001,17.082500500000002,832400.0
35899,2010-04-23,CHD,17.020000500000002,17.040001,16.88500025,17.0599995,1147200.0
36367,2010-04-26,CHD,17.06749925,17.24250025,16.9850005,17.270000500000002,1256400.0
36835,2010-04-27,CHD,17.1900005,17.24500075,17.1075,17.3374995,1851600.0
37303,2010-04-28,CHD,17.23999975,17.15999975,17.1000005,17.26250075,1208000.0
37772,2010-04-29,CHD,17.207500500000002,17.20000075,16.94750025,17.25,2048400.0
38241,2010-04-30,CHD,17.2474995,17.3125,17.207500500000002,17.42749975,1778800.0
38710,2010-05-03,CHD,17.3374995,17.32250025,17.13750075,17.3999995,1640400.0
39179,2010-05-04,CHD,17.21750075,17.3274995,17.1399995,17.34499925,1538800.0
39648,2010-05-05,CHD,17.332500500000002,17.3374995,17.24250025,17.48749925,1899600.0
40117,2010-05-06,CHD,17.31749925,16.94750025,16.44499975,17.3374995,3442800.0
40586,2010-05-07,CHD,16.99500075,16.69249925,16.5650005,17.02750025,3972400.0
41055,2010-05-10,CHD,17.1100005,17.3500005,16.957500500000002,17.42499925,2745600.0
41524,2010-05-11,CHD,16.8374995,16.7525005,16.5249995,17.0475005,6560400.0
41993,2010-05-12,CHD,16.78249925,16.78249925,16.57250025,16.94750025,3196000.0
42462,2010-05-13,CHD,16.46750075,16.6499995,16.46750075,16.977501,3128000.0
42931,2010-05-14,CHD,16.6075,16.3999995,16.32250025,16.7024995,2206800.0
43400,2010-05-17,CHD,16.397499,16.78249925,16.397499,16.8374995,3142400.0
43869,2010-05-18,CHD,16.87999925,16.63750075,16.6075,16.9400005,1570000.0
44338,2010-05-19,CHD,16.6275005,16.6625005,16.51250075,16.7474995,1553200.0
44807,2010-05-20,CHD,16.45000075,16.2250005,16.21999925,16.522499,2374800.0
45276,2010-05-21,CHD,16.1425,16.227501,16.12000075,16.38500025,1915200.0
45745,2010-05-24,CHD,16.227501,16.38249975,16.19249925,16.50499925,2075600.0
46214,2010-05-25,CHD,16.4400005,16.145000500000002,15.94999975,16.4400005,3309600.0
46683,2010-05-26,CHD,16.25499925,16.395000500000002,16.09749975,16.5175,2451200.0
47152,2010-05-27,CHD,16.56999975,16.4125005,16.20000075,16.57250025,2313200.0
