,date,symbol,open,close,low,high,volume
333,2010-01-04,CHK,25.9508051088,26.5752138127,25.4683065279,26.5941362346,31146800.0
800,2010-01-05,CHK,26.7738883633,27.4077596973,26.67928193,27.5496707663,28692600.0
1268,2010-01-06,CHK,27.6348164617,27.1050160833,26.991486281900002,27.6442771996,16054900.0
1736,2010-01-07,CHK,27.0860927152,27.1712412488,26.6603614002,27.246926206199998,13906600.0
2204,2010-01-08,CHK,26.8590368969,27.350995269600002,26.537371807,27.360456007600003,11656300.0
2672,2010-01-11,CHK,27.4172204352,26.4900671712,26.234628193000002,27.4172204352,15041300.0
3140,2010-01-12,CHK,26.026490066199997,26.0927152318,25.704824976399998,26.206244086999998,13724400.0
3608,2010-01-13,CHK,25.9413443709,26.3197738884,25.4683065279,26.433302743600002,11103000.0
4076,2010-01-14,CHK,26.5089886471,26.1778628193,26.0359526963,26.8495761589,16784700.0
4544,2010-01-15,CHK,26.0359526963,26.4049195837,25.780510879899996,26.5752138127,18228300.0
5012,2010-01-19,CHK,26.1778628193,26.688742667899998,26.0170302744,26.736047303699998,11046900.0
5480,2010-01-20,CHK,26.3008524125,26.168403027399997,25.884579943200002,26.367077578099998,10609400.0
5948,2010-01-21,CHK,26.4049195837,25.714285714299997,25.704824976399998,26.726586565799998,17429200.0
6416,2010-01-22,CHK,25.5912961211,25.1844853359,25.0520350047,26.1873235572,16902900.0
6884,2010-01-25,CHK,25.430464522199998,25.506150425700003,25.2790917692,25.884579943200002,9878200.0
7352,2010-01-26,CHK,25.212866603600002,25.099339640500002,24.900662251700002,25.6575231788,10671400.0
7820,2010-01-27,CHK,25.0520350047,24.5316953642,23.8978240303,25.1088003784,18175600.0
8288,2010-01-28,CHK,24.24787228,24.1343434248,23.6802280038,24.4654683065,18972900.0
8756,2010-01-29,CHK,24.314097445599998,23.443709555300003,23.3112592242,24.6641456954,16185400.0
9224,2010-02-01,CHK,23.727532639499998,24.4654683065,23.727532639499998,24.5127729423,11230500.0
9692,2010-02-02,CHK,24.6168410596,24.834437086100003,24.210028382199997,24.9101248817,8428500.0
10160,2010-02-03,CHK,24.7492913907,24.4370870388,24.2951769158,25.014192053000002,7447700.0
10628,2010-02-04,CHK,23.9262071902,22.876065279099997,22.8287606433,23.9735118259,15710100.0
11096,2010-02-05,CHK,22.923368968800002,23.197730369000002,22.289500473,23.4815534532,17783000.0
11564,2010-02-08,CHK,23.3774843898,22.9328297067,22.8476840114,23.6234635762,10424800.0
12032,2010-02-09,CHK,23.349103122,23.188269631,22.724694418200002,23.5288552507,12256200.0
12500,2010-02-10,CHK,23.046358561999998,23.084200567600003,22.563860927199997,23.339640491999997,8410600.0
12968,2010-02-11,CHK,23.0747407758,23.7748344371,22.9422904447,23.8126783349,10089100.0
13436,2010-02-12,CHK,23.3112592242,23.6140028382,22.9990548723,23.803217597,11025100.0
