,date,symbol,open,close,low,high,volume
340,2010-01-04,CMCSA,16.75,16.969998999999998,16.75,17.129998999999998,13573400.0
808,2010-01-05,CMCSA,16.93,16.74,16.549999,16.98,17746500.0
1276,2010-01-06,CMCSA,16.780001000000002,16.620001000000002,16.530001000000002,16.799999,13870700.0
1744,2010-01-07,CMCSA,16.709999,16.969998999999998,16.549999,17.059998999999998,15107400.0
2212,2010-01-08,CMCSA,16.93,16.92,16.809998999999998,17.07,12727000.0
2680,2010-01-11,CMCSA,16.870001000000002,16.809998999999998,16.73,17.0,19054600.0
3148,2010-01-12,CMCSA,16.75,16.51,16.41,16.75,18141000.0
3616,2010-01-13,CMCSA,16.68,16.77,16.620001000000002,16.85,15766900.0
4084,2010-01-14,CMCSA,16.82,16.67,16.610001,16.83,17411800.0
4552,2010-01-15,CMCSA,16.74,16.629998999999998,16.389999,16.82,21618000.0
5020,2010-01-19,CMCSA,16.73,16.809998999999998,16.620001000000002,16.860001,12659500.0
5488,2010-01-20,CMCSA,16.58,16.52,16.200001,16.66,21688200.0
5956,2010-01-21,CMCSA,16.52,16.0,15.84,16.58,32886300.0
6424,2010-01-22,CMCSA,16.01,15.85,15.81,16.379998999999998,28332500.0
6892,2010-01-25,CMCSA,15.87,16.01,15.76,16.17,15246600.0
7360,2010-01-26,CMCSA,15.91,15.7,15.58,16.049999,21284700.0
7828,2010-01-27,CMCSA,15.63,15.85,15.58,16.09,20390000.0
8296,2010-01-28,CMCSA,15.97,15.62,15.55,16.120001000000002,19309400.0
8764,2010-01-29,CMCSA,15.75,15.83,15.51,16.129998999999998,27193300.0
9232,2010-02-01,CMCSA,16.08,15.94,15.86,16.1,16340700.0
9700,2010-02-02,CMCSA,15.85,16.290001,15.84,16.35,19263200.0
10168,2010-02-03,CMCSA,16.540001,15.97,15.85,16.6,29189800.0
10636,2010-02-04,CMCSA,15.8,15.52,15.52,15.95,22718600.0
11104,2010-02-05,CMCSA,15.51,15.42,15.15,15.73,26715600.0
11572,2010-02-08,CMCSA,15.45,15.21,15.2,15.47,15664000.0
12040,2010-02-09,CMCSA,15.38,15.39,15.27,15.7,24394700.0
12508,2010-02-10,CMCSA,15.44,15.31,15.18,15.44,21703600.0
12976,2010-02-11,CMCSA,15.26,15.33,15.11,15.43,18236000.0
13444,2010-02-12,CMCSA,15.15,15.34,15.1,15.37,27547800.0
13912,2010-02-16,CMCSA,15.59,15.67,15.45,15.71,20237300.0
14380,2010-02-17,CMCSA,15.77,15.66,15.6,15.77,13399100.0
14848,2010-02-18,CMCSA,15.7,15.73,15.6,15.8,12716300.0
15316,2010-02-19,CMCSA,15.64,16.0,15.55,16.040001,25977500.0
15784,2010-02-22,CMCSA,16.1,16.190001000000002,16.01,16.290001,19789000.0
16252,2010-02-23,CMCSA,16.1,16.139999,16.030001000000002,16.309998999999998,17240800.0
16720,2010-02-24,CMCSA,16.27,16.42,16.1,16.469998999999998,26911800.0
17188,2010-02-25,CMCSA,16.16,16.139999,15.95,16.26,23077900.0
17656,2010-02-26,CMCSA,16.23,16.440001000000002,16.07,16.469998999999998,21739000.0
18124,2010-03-01,CMCSA,16.5,16.83,16.5,16.889999,23004600.0
18592,2010-03-02,CMCSA,16.83,16.799999,16.700001,16.969998999999998,22295400.0
19060,2010-03-03,CMCSA,16.889999,16.959999,16.780001000000002,16.99,23019200.0
19528,2010-03-04,CMCSA,17.0,17.17,16.940001000000002,17.200001,15643800.0
19996,2010-03-05,CMCSA,17.18,17.43,17.17,17.450001,16347400.0
20464,2010-03-08,CMCSA,17.32,17.559998999999998,17.24,17.67,16708200.0
20932,2010-03-09,CMCSA,17.58,17.51,17.41,17.65,17198300.0
21400,2010-03-10,CMCSA,17.42,17.530001000000002,17.370001000000002,17.68,18812700.0
21868,2010-03-11,CMCSA,17.42,17.57,17.290001,17.57,10514000.0
22336,2010-03-12,CMCSA,17.49,17.42,17.299999,17.66,14437600.0
22804,2010-03-15,CMCSA,17.530001000000002,17.530001000000002,17.32,17.559998999999998,12560100.0
23272,2010-03-16,CMCSA,17.719998999999998,17.49,17.379998999999998,17.74,19869800.0
23740,2010-03-17,CMCSA,17.4,17.58,17.4,17.74,13804000.0
24208,2010-03-18,CMCSA,17.68,17.67,17.469998999999998,17.73,15491100.0
24676,2010-03-19,CMCSA,17.85,17.530001000000002,17.35,17.870001000000002,24170700.0
25144,2010-03-22,CMCSA,17.41,17.780001000000002,17.4,17.879998999999998,15554900.0
25612,2010-03-23,CMCSA,17.82,18.09,17.709999,18.129998999999998,20827900.0
26080,2010-03-24,CMCSA,17.950001,18.18,17.950001,18.23,17724400.0
26548,2010-03-25,CMCSA,18.24,18.440001000000002,18.16,18.67,25396000.0
27016,2010-03-26,CMCSA,18.51,18.34,18.26,18.75,13118500.0
27484,2010-03-29,CMCSA,18.27,18.5,18.25,18.58,14713800.0
27952,2010-03-30,CMCSA,18.41,18.74,18.41,18.84,28151000.0
28420,2010-03-31,CMCSA,18.6,18.83,18.57,18.940001000000002,27360300.0
28888,2010-04-01,CMCSA,18.82,18.860001,18.620001000000002,19.040001,19438600.0
29356,2010-04-05,CMCSA,18.809998999999998,18.82,18.68,18.98,13250100.0
29824,2010-04-06,CMCSA,18.68,18.76,18.58,18.92,11354300.0
30292,2010-04-07,CMCSA,18.68,18.290001,18.02,18.809998999999998,30728600.0
30760,2010-04-08,CMCSA,18.18,18.43,18.17,18.52,16158700.0
31228,2010-04-09,CMCSA,18.49,18.5,18.41,18.57,14330700.0
31696,2010-04-12,CMCSA,18.51,18.629998999999998,18.450001,18.719998999999998,12529000.0
32164,2010-04-13,CMCSA,18.610001,18.67,18.49,18.709999,23244600.0
32632,2010-04-14,CMCSA,18.629998999999998,18.93,18.48,18.950001,20495200.0
33100,2010-04-15,CMCSA,18.75,18.860001,18.700001,19.0,22230200.0
33568,2010-04-16,CMCSA,18.84,18.32,18.26,18.860001,27086000.0
34036,2010-04-19,CMCSA,18.290001,18.58,18.25,18.610001,19072800.0
34504,2010-04-20,CMCSA,18.620001000000002,18.540001,18.48,18.719998999999998,16962500.0
34972,2010-04-21,CMCSA,18.530001000000002,18.530001000000002,18.360001,18.610001,14500800.0
35440,2010-04-22,CMCSA,18.41,18.799999,18.26,18.889999,15449700.0
35908,2010-04-23,CMCSA,18.68,18.959999,18.620001000000002,18.98,15004000.0
36376,2010-04-26,CMCSA,18.879998999999998,19.08,18.82,19.190001000000002,18475400.0
36844,2010-04-27,CMCSA,19.0,18.459999,18.370001000000002,19.129998999999998,28279400.0
37312,2010-04-28,CMCSA,19.0,18.809998999999998,18.4,19.200001,39133400.0
37781,2010-04-29,CMCSA,18.84,20.0,18.84,20.09,48103000.0
38250,2010-04-30,CMCSA,19.77,19.77,19.459999,19.870001000000002,40932600.0
38719,2010-05-03,CMCSA,19.77,20.389999,19.77,20.559998999999998,34872100.0
39188,2010-05-04,CMCSA,20.27,19.870001000000002,19.559998999999998,20.27,24074200.0
39657,2010-05-05,CMCSA,19.91,19.74,19.530001000000002,20.290001,24417100.0
40126,2010-05-06,CMCSA,19.459999,18.51,17.65,19.49,58322800.0
40595,2010-05-07,CMCSA,18.42,18.360001,18.0,18.870001000000002,42422200.0
41064,2010-05-10,CMCSA,18.73,18.030001000000002,17.73,19.08,47346300.0
41533,2010-05-11,CMCSA,17.9,18.08,17.65,18.59,42335300.0
42002,2010-05-12,CMCSA,18.040001,18.18,17.940001000000002,18.34,46987800.0
42471,2010-05-13,CMCSA,18.24,17.76,17.610001,18.26,58141400.0
42940,2010-05-14,CMCSA,17.73,17.6,17.35,17.77,29939400.0
43409,2010-05-17,CMCSA,17.629998999999998,18.1,17.51,18.15,23947400.0
43878,2010-05-18,CMCSA,18.219998999999998,17.690001000000002,17.6,18.4,22069900.0
44347,2010-05-19,CMCSA,17.66,17.58,17.24,17.77,22110700.0
44816,2010-05-20,CMCSA,17.27,16.790001,16.77,17.309998999999998,28277900.0
45285,2010-05-21,CMCSA,16.450001,17.030001000000002,16.360001,17.780001000000002,35271800.0
45754,2010-05-24,CMCSA,16.889999,16.77,16.610001,17.120001000000002,16235600.0
46223,2010-05-25,CMCSA,16.459999,17.67,16.299999,17.719998999999998,48591200.0
46692,2010-05-26,CMCSA,17.76,17.719998999999998,17.65,18.459999,42438100.0
47161,2010-05-27,CMCSA,17.99,18.33,17.91,18.34,26067200.0
47630,2010-05-28,CMCSA,18.040001,18.09,17.969998999999998,18.33,21281500.0
48099,2010-06-01,CMCSA,17.74,18.02,17.73,18.370001000000002,25125300.0
48568,2010-06-02,CMCSA,18.09,18.379998999999998,17.9,18.4,21903300.0
49037,2010-06-03,CMCSA,18.34,18.4,18.139999,18.450001,17264300.0
49506,2010-06-04,CMCSA,18.08,17.790001,17.73,18.200001,24623400.0
49975,2010-06-07,CMCSA,17.799999,17.360001,17.35,17.82,20663900.0
50444,2010-06-08,CMCSA,17.389999,17.43,17.129998999999998,17.559998999999998,20931900.0
50913,2010-06-09,CMCSA,17.530001000000002,17.42,17.389999,17.959999,19169000.0
51382,2010-06-10,CMCSA,17.709999,18.07,17.58,18.09,21576100.0
51851,2010-06-11,CMCSA,17.93,18.190001000000002,17.709999,18.23,26498800.0
52320,2010-06-14,CMCSA,18.33,18.15,18.15,18.559998999999998,15366500.0
52789,2010-06-15,CMCSA,18.35,18.65,18.27,18.73,17218200.0
53258,2010-06-16,CMCSA,18.620001000000002,18.389999,18.309998999999998,18.68,15190000.0
53727,2010-06-17,CMCSA,18.450001,18.58,18.34,18.59,13548600.0
54196,2010-06-18,CMCSA,18.700001,18.51,18.450001,18.780001000000002,18149700.0
54665,2010-06-21,CMCSA,18.66,18.35,18.200001,18.879998999999998,11629700.0
55134,2010-06-22,CMCSA,18.41,18.24,18.23,18.66,26905100.0
55603,2010-06-23,CMCSA,18.23,18.18,18.09,18.469998999999998,16920700.0
56072,2010-06-24,CMCSA,18.02,17.82,17.719998999999998,18.17,23152200.0
56541,2010-06-25,CMCSA,17.83,17.67,17.559998999999998,17.889999,32329300.0
57010,2010-06-28,CMCSA,17.709999,18.110001,17.620001000000002,18.190001000000002,43067800.0
57479,2010-06-29,CMCSA,17.91,17.68,17.49,17.969998999999998,30961300.0
57948,2010-06-30,CMCSA,17.67,17.370001000000002,17.32,17.77,28896000.0
58417,2010-07-01,CMCSA,17.32,17.74,17.07,17.77,31254600.0
58886,2010-07-02,CMCSA,17.67,17.459999,17.309998999999998,17.75,18692200.0
59355,2010-07-06,CMCSA,17.6,17.799999,17.57,18.1,39092200.0
59824,2010-07-07,CMCSA,17.799999,17.84,17.530001000000002,17.870001000000002,26867300.0
60293,2010-07-08,CMCSA,17.959999,17.84,17.639999,18.01,38580900.0
60762,2010-07-09,CMCSA,17.889999,18.07,17.76,18.09,19400000.0
61231,2010-07-12,CMCSA,17.92,18.51,17.85,18.59,30252900.0
61700,2010-07-13,CMCSA,18.700001,19.02,18.639999,19.219998999999998,29205500.0
62169,2010-07-14,CMCSA,19.02,18.98,18.860001,19.219998999999998,17046000.0
62638,2010-07-15,CMCSA,19.02,19.309998999999998,18.870001000000002,19.34,22860000.0
63107,2010-07-16,CMCSA,19.309998999999998,18.540001,18.48,19.35,27038900.0
63576,2010-07-19,CMCSA,18.530001000000002,19.01,18.469998999999998,19.09,21234900.0
64045,2010-07-20,CMCSA,18.74,18.860001,18.58,18.950001,22236500.0
64514,2010-07-21,CMCSA,18.85,18.35,18.110001,18.870001000000002,35187900.0
64983,2010-07-22,CMCSA,18.469998999999998,18.82,18.459999,19.0,20791700.0
65452,2010-07-23,CMCSA,18.84,19.32,18.76,19.41,19692500.0
65921,2010-07-26,CMCSA,19.32,19.469998999999998,19.17,19.49,15291800.0
66390,2010-07-27,CMCSA,19.48,19.33,19.07,19.58,21731500.0
66859,2010-07-28,CMCSA,19.120001000000002,19.559998999999998,18.84,19.719998999999998,29895400.0
67328,2010-07-29,CMCSA,19.610001,19.129998999999998,18.860001,19.76,24018300.0
67797,2010-07-30,CMCSA,18.85,19.469998999999998,18.83,19.709999,27017100.0
68266,2010-08-02,CMCSA,19.73,19.48,19.309998999999998,19.799999,25732700.0
68735,2010-08-03,CMCSA,19.42,19.209999,19.040001,19.5,14422800.0
69204,2010-08-04,CMCSA,19.35,19.23,19.040001,19.4,17427100.0
69673,2010-08-05,CMCSA,19.059998999999998,18.940001000000002,18.889999,19.299999,20814800.0
70142,2010-08-06,CMCSA,18.74,18.639999,17.969998999999998,18.76,43674400.0
70611,2010-08-09,CMCSA,18.75,18.73,18.639999,18.85,18854900.0
71080,2010-08-10,CMCSA,18.49,18.610001,18.26,18.700001,22605900.0
71549,2010-08-11,CMCSA,18.219998999999998,18.01,17.969998999999998,18.34,22890600.0
72018,2010-08-12,CMCSA,17.75,18.17,17.67,18.26,23198100.0
72487,2010-08-13,CMCSA,18.0,17.870001000000002,17.83,18.110001,14730100.0
72956,2010-08-16,CMCSA,17.83,17.75,17.610001,17.950001,12291500.0
73425,2010-08-17,CMCSA,17.879998999999998,17.76,17.719998999999998,18.01,22968400.0
73894,2010-08-18,CMCSA,17.790001,18.110001,17.75,18.35,23241100.0
74363,2010-08-19,CMCSA,17.93,17.84,17.59,18.040001,20634100.0
74832,2010-08-20,CMCSA,17.76,17.809998999999998,17.549999,17.860001,16805600.0
75301,2010-08-23,CMCSA,17.98,17.450001,17.43,18.01,20138700.0
75770,2010-08-24,CMCSA,17.290001,17.01,16.99,17.370001000000002,23695700.0
76239,2010-08-25,CMCSA,16.809998999999998,17.33,16.76,17.48,26071600.0
76708,2010-08-26,CMCSA,17.379998999999998,17.030001000000002,16.99,17.540001,20025600.0
77177,2010-08-27,CMCSA,17.18,17.25,16.879998999999998,17.309998999999998,17472900.0
77646,2010-08-30,CMCSA,17.15,17.0,17.0,17.24,13246000.0
78115,2010-08-31,CMCSA,16.889999,17.1,16.85,17.280001000000002,21899800.0
78584,2010-09-01,CMCSA,17.57,17.940001000000002,17.540001,18.129998999999998,42948600.0
79053,2010-09-02,CMCSA,18.049999,18.08,17.76,18.110001,22109100.0
79522,2010-09-03,CMCSA,18.24,18.209999,17.92,18.370001000000002,11297600.0
79991,2010-09-07,CMCSA,18.059998999999998,17.799999,17.690001000000002,18.15,14247300.0
80460,2010-09-08,CMCSA,17.83,17.92,17.799999,18.16,10318800.0
80929,2010-09-09,CMCSA,18.120001000000002,17.98,17.9,18.18,9978400.0
81398,2010-09-10,CMCSA,18.049999,18.4,17.99,18.49,17430400.0
81867,2010-09-13,CMCSA,18.5,18.42,18.129998999999998,18.559998999999998,19078300.0
82336,2010-09-14,CMCSA,18.360001,17.790001,17.780001000000002,18.41,31407100.0
82805,2010-09-15,CMCSA,17.68,18.040001,17.5,18.41,45535100.0
83274,2010-09-16,CMCSA,18.030001000000002,17.57,17.42,18.030001000000002,28519600.0
83743,2010-09-17,CMCSA,17.66,17.639999,17.620001000000002,18.01,31270400.0
84212,2010-09-20,CMCSA,17.76,18.1,17.74,18.299999,21873700.0
84681,2010-09-21,CMCSA,18.07,18.129998999999998,18.02,18.280001000000002,20050500.0
85150,2010-09-22,CMCSA,18.27,17.950001,17.870001000000002,18.450001,19893300.0
85619,2010-09-23,CMCSA,17.84,17.92,17.65,18.24,18069400.0
86088,2010-09-24,CMCSA,18.200001,18.57,18.08,18.59,20108600.0
86557,2010-09-27,CMCSA,18.49,18.309998999999998,18.25,18.51,19486100.0
87026,2010-09-28,CMCSA,18.4,18.34,18.09,18.66,25283600.0
87495,2010-09-29,CMCSA,18.25,18.15,17.93,18.33,20035700.0
87964,2010-09-30,CMCSA,18.209999,18.08,17.809998999999998,18.209999,28005800.0
88433,2010-10-01,CMCSA,18.280001000000002,17.82,17.809998999999998,18.32,22625200.0
88902,2010-10-04,CMCSA,17.74,17.66,17.52,17.790001,22929600.0
89371,2010-10-05,CMCSA,17.870001000000002,18.07,17.85,18.129998999999998,25336000.0
89840,2010-10-06,CMCSA,18.030001000000002,17.76,17.57,18.030001000000002,27583500.0
90309,2010-10-07,CMCSA,17.85,17.889999,16.91,18.030001000000002,19424000.0
90778,2010-10-08,CMCSA,17.889999,17.99,17.700001,18.059998999999998,15993400.0
91247,2010-10-11,CMCSA,17.92,18.02,17.809998999999998,18.049999,15238100.0
91716,2010-10-12,CMCSA,17.93,18.02,17.719998999999998,18.049999,13251400.0
92185,2010-10-13,CMCSA,18.07,18.139999,17.969998999999998,18.219998999999998,14756300.0
92654,2010-10-14,CMCSA,18.120001000000002,18.379998999999998,18.110001,18.49,20099900.0
93123,2010-10-15,CMCSA,18.49,18.950001,18.34,19.01,46038500.0
93592,2010-10-18,CMCSA,18.82,19.01,18.75,19.040001,30151300.0
94061,2010-10-19,CMCSA,18.83,19.110001,18.83,19.200001,47409700.0
94530,2010-10-20,CMCSA,19.25,19.379998999999998,19.139999,19.57,41364200.0
94999,2010-10-21,CMCSA,19.42,19.51,19.26,19.709999,37387100.0
95468,2010-10-22,CMCSA,19.49,19.459999,19.17,19.540001,17690100.0
95937,2010-10-25,CMCSA,19.620001000000002,19.77,19.51,19.9,34273900.0
96406,2010-10-26,CMCSA,19.639999,19.639999,19.6,19.870001000000002,25302400.0
96875,2010-10-27,CMCSA,19.52,20.27,19.469998999999998,20.48,47329000.0
97344,2010-10-28,CMCSA,20.4,20.860001,20.4,20.950001,33977400.0
97813,2010-10-29,CMCSA,20.83,20.629998999999998,20.559998999999998,20.870001000000002,25947300.0
98282,2010-11-01,CMCSA,20.57,20.5,20.32,20.809998999999998,18067200.0
