,date,symbol,open,close,low,high,volume
344,2010-01-04,CMS,15.67,15.79,15.61,15.86,5875500.0
812,2010-01-05,CMS,15.89,15.74,15.64,15.89,4288600.0
1280,2010-01-06,CMS,15.74,15.69,15.66,15.84,4671800.0
1748,2010-01-07,CMS,15.72,15.49,15.33,15.72,5909300.0
2216,2010-01-08,CMS,15.42,15.55,15.3,15.58,2398800.0
2684,2010-01-11,CMS,15.69,15.75,15.54,15.79,4536800.0
3152,2010-01-12,CMS,15.69,15.66,15.56,15.77,2906900.0
3620,2010-01-13,CMS,15.68,15.78,15.56,15.86,2073000.0
4088,2010-01-14,CMS,15.77,15.8,15.7,15.95,2644900.0
4556,2010-01-15,CMS,15.78,15.69,15.49,15.79,3998800.0
5024,2010-01-19,CMS,15.69,15.9,15.65,15.91,1860700.0
5492,2010-01-20,CMS,15.84,15.86,15.56,15.88,3240300.0
5960,2010-01-21,CMS,15.92,15.54,15.54,16.02,3018700.0
6428,2010-01-22,CMS,15.6,15.22,15.2,15.6,4304900.0
6896,2010-01-25,CMS,15.37,15.38,15.19,15.47,2741700.0
7364,2010-01-26,CMS,15.45,15.54,15.29,15.65,3243200.0
7832,2010-01-27,CMS,15.52,15.39,15.23,15.52,3061000.0
8300,2010-01-28,CMS,15.42,15.3,15.23,15.48,2980200.0
8768,2010-01-29,CMS,15.3,15.17,15.13,15.48,4142700.0
9236,2010-02-01,CMS,15.23,15.25,15.08,15.28,3137700.0
9704,2010-02-02,CMS,15.31,15.51,15.13,15.52,2445800.0
10172,2010-02-03,CMS,15.46,15.36,15.28,15.53,2443400.0
10640,2010-02-04,CMS,15.16,14.89,14.89,15.21,3015300.0
11108,2010-02-05,CMS,14.86,14.81,14.57,14.91,2723300.0
11576,2010-02-08,CMS,14.83,14.59,14.57,14.85,2721000.0
12044,2010-02-09,CMS,14.78,14.65,14.61,14.86,2576100.0
12512,2010-02-10,CMS,14.59,14.57,14.4,14.64,2397400.0
12980,2010-02-11,CMS,14.53,14.89,14.47,14.94,3992700.0
13448,2010-02-12,CMS,14.81,14.83,14.71,14.88,3395000.0
13916,2010-02-16,CMS,14.99,15.12,14.86,15.13,1912200.0
14384,2010-02-17,CMS,15.18,15.13,15.04,15.22,1475600.0
14852,2010-02-18,CMS,15.16,15.19,15.05,15.27,3177500.0
15320,2010-02-19,CMS,15.14,15.58,15.05,15.61,4304500.0
15788,2010-02-22,CMS,15.49,15.49,15.44,15.59,2315700.0
16256,2010-02-23,CMS,15.47,15.32,15.23,15.51,3054700.0
16724,2010-02-24,CMS,15.09,15.4,14.92,15.42,4645400.0
17192,2010-02-25,CMS,15.14,15.29,15.06,15.34,3015400.0
17660,2010-02-26,CMS,15.3,15.27,15.2,15.46,2641200.0
18128,2010-03-01,CMS,15.33,15.38,15.19,15.45,5502600.0
18596,2010-03-02,CMS,15.5,15.63,15.44,15.68,5157200.0
19064,2010-03-03,CMS,15.64,15.51,15.47,15.75,5419300.0
19532,2010-03-04,CMS,15.47,15.5,15.3,15.53,4527200.0
20000,2010-03-05,CMS,15.56,15.69,15.49,15.69,2549300.0
20468,2010-03-08,CMS,15.59,15.62,15.57,15.74,3532200.0
20936,2010-03-09,CMS,15.62,15.76,15.48,15.79,4026000.0
21404,2010-03-10,CMS,15.75,15.73,15.56,15.76,3165500.0
21872,2010-03-11,CMS,15.7,15.77,15.62,15.77,1395100.0
22340,2010-03-12,CMS,15.78,15.71,15.63,15.8,1477000.0
22808,2010-03-15,CMS,15.72,15.65,15.49,15.75,1187900.0
23276,2010-03-16,CMS,15.65,15.74,15.58,15.76,1851500.0
23744,2010-03-17,CMS,15.75,15.75,15.59,15.83,1901500.0
24212,2010-03-18,CMS,15.71,15.83,15.68,15.93,2197300.0
24680,2010-03-19,CMS,15.82,15.82,15.68,16.0,2113600.0
25148,2010-03-22,CMS,15.74,15.67,15.61,15.75,2246800.0
25616,2010-03-23,CMS,15.66,15.69,15.61,15.74,2558700.0
26084,2010-03-24,CMS,15.67,15.55,15.47,15.71,2180500.0
26552,2010-03-25,CMS,15.59,15.43,15.43,15.73,2498600.0
27020,2010-03-26,CMS,15.49,15.53,15.41,15.63,3102800.0
27488,2010-03-29,CMS,15.51,15.55,15.44,15.67,2913100.0
27956,2010-03-30,CMS,15.53,15.53,15.51,15.75,2099200.0
28424,2010-03-31,CMS,15.46,15.46,15.4,15.54,2990400.0
28892,2010-04-01,CMS,15.52,15.62,15.49,15.65,3093400.0
29360,2010-04-05,CMS,15.68,15.84,15.59,15.85,2037400.0
29828,2010-04-06,CMS,15.8,15.98,15.75,16.0,2007900.0
30296,2010-04-07,CMS,15.88,15.94,15.85,16.040001,4070500.0
30764,2010-04-08,CMS,15.87,15.78,15.69,15.94,2122000.0
