,date,symbol,open,close,low,high,volume
345,2010-01-04,CNC,10.7,10.8500005,10.640000500000001,10.875,660000.0
813,2010-01-05,CNC,10.87,10.505,10.495,10.8999995,848800.0
1281,2010-01-06,CNC,10.4750005,10.63,10.46,10.640000500000001,543200.0
1749,2010-01-07,CNC,10.63,10.8950005,10.58,10.925,760200.0
2217,2010-01-08,CNC,10.814999499999999,10.785,10.6450005,10.814999499999999,598200.0
2685,2010-01-11,CNC,10.79,10.7,10.640000500000001,10.810000500000001,418800.0
3153,2010-01-12,CNC,10.615,10.66,10.545,10.6800005,443800.0
3621,2010-01-13,CNC,10.6949995,10.8500005,10.67,11.045,3340600.0
4089,2010-01-14,CNC,10.890000500000001,11.0,10.825,11.075,454400.0
4557,2010-01-15,CNC,11.035,11.0200005,10.91,11.109999499999999,771200.0
5025,2010-01-19,CNC,10.765000500000001,10.5,10.38,10.8050005,1577600.0
5493,2010-01-20,CNC,10.455,9.779999499999999,9.715,10.5,2897200.0
5961,2010-01-21,CNC,9.74,9.705,9.560000500000001,10.035,1770800.0
6429,2010-01-22,CNC,9.7749995,9.970000500000001,9.675,10.12,9959600.0
6897,2010-01-25,CNC,9.9449995,9.8950005,9.765000500000001,10.05,1531400.0
7365,2010-01-26,CNC,9.845000500000001,9.7250005,9.685000500000001,9.8999995,1824200.0
7833,2010-01-27,CNC,9.7299995,9.845000500000001,9.675,9.9799995,1045400.0
8301,2010-01-28,CNC,9.885,9.76,9.67,9.970000500000001,977000.0
8769,2010-01-29,CNC,9.755,9.625,9.62,9.845000500000001,1754200.0
9237,2010-02-01,CNC,9.675,9.640000500000001,9.625,9.734999499999999,1296600.0
9705,2010-02-02,CNC,9.625,9.615,9.455,9.67,1174200.0
10173,2010-02-03,CNC,9.62,9.5550005,9.51,9.665,646600.0
10641,2010-02-04,CNC,9.49,9.2700005,9.265000500000001,9.564999499999999,807400.0
11109,2010-02-05,CNC,9.2700005,9.2,8.965,9.314999499999999,834000.0
11577,2010-02-08,CNC,9.220000500000001,9.04,8.9449995,9.279999499999999,710400.0
12045,2010-02-09,CNC,9.095000500000001,9.1499995,8.8,9.234999499999999,1399000.0
12513,2010-02-10,CNC,9.08,9.01,8.885,9.1499995,1601200.0
