,date,symbol,open,close,low,high,volume
352,2010-01-04,COP,39.4650992422,40.0825726049,39.2821432682,40.1588057854,13880800.0
820,2010-01-05,COP,40.1359362886,40.1206891951,39.8005177654,40.227412750999996,10084500.0
1288,2010-01-06,COP,40.1511833821,40.4103694872,39.8919942277,40.4561077184,11631900.0
1756,2010-01-07,COP,40.1816745198,40.2502814854,40.021587280300004,40.4713548118,7648900.0
2224,2010-01-08,COP,40.1054413393,40.6009478644,39.9682274082,40.6161949579,7284200.0
2692,2010-01-11,COP,40.814398787600005,40.837267522,40.4484853151,40.9668605746,8968000.0
3160,2010-01-12,COP,40.4027478463,39.9682274082,39.8538776375,40.4103694872,11301000.0
3628,2010-01-13,COP,39.8005177654,40.21979111,39.6251834324,40.372252896999996,9470700.0
4096,2010-01-14,COP,40.1435579296,40.387499990500004,40.021587280300004,40.517093043,8835600.0
4564,2010-01-15,COP,40.2731509821,40.4179911281,39.9910961426,40.4484853151,11596700.0
5032,2010-01-19,COP,39.9834745016,40.943991840100004,39.9834745016,41.0125988057,11379200.0
5500,2010-01-20,COP,40.2579077002,40.4484853151,40.029212732800005,40.524718495500004,12374600.0
5968,2010-01-21,COP,40.4256165807,39.8233872621,39.6861687571,40.6085733169,20681800.0
6436,2010-01-22,COP,39.6404305259,38.5731896316,38.5045788544,39.7852706719,17651400.0
6904,2010-01-25,COP,38.8476228301,38.6875348283,38.6113024102,39.3202590961,11458200.0
7372,2010-01-26,COP,38.3673641609,38.4435927674,38.0853055098,38.8933610613,14525800.0
7840,2010-01-27,COP,38.4435927674,37.970960313,37.3458614977,38.9086081548,15845200.0
8308,2010-01-28,COP,38.1462908344,36.857977376,36.4158352969,38.2987526214,17975200.0
8776,2010-01-29,COP,37.0866715811,36.5911658183,36.4234569379,37.2543812238,22175000.0
9244,2010-02-01,COP,36.9342097941,37.406843010799996,36.789369648000005,37.5974251996,14723900.0
9712,2010-02-02,COP,37.6279163373,38.2301456558,37.3534831387,38.2987526214,16306700.0
10180,2010-02-03,COP,37.9862035949,38.1081742442,37.9023487735,38.5045788544,13534900.0
10648,2010-02-04,COP,37.8032506703,36.7131372299,36.5225588527,37.8108723112,17513700.0
11116,2010-02-05,COP,36.5073109969,36.5759187248,35.5467944207,36.6673989988,20077200.0
11584,2010-02-08,COP,36.5225588527,36.1109071491,36.0575434654,36.7817441955,10417300.0
12052,2010-02-09,COP,36.5530492281,36.964700931799996,36.1337766458,38.3597387084,17508000.0
12520,2010-02-10,COP,36.9799480252,36.789369648000005,36.4387040313,37.0866715811,11795600.0
12988,2010-02-11,COP,36.8046136923,37.2772499583,36.560675443,37.4373379601,9869600.0
13456,2010-02-12,COP,36.8655990169,37.101919436799996,36.545427587199995,37.2238900861,13941000.0
13924,2010-02-16,COP,37.4144684633,38.0548143721,37.4144684633,38.2148985623,14967900.0
14392,2010-02-17,COP,38.0471889196,37.5821781061,37.3458614977,38.3063780739,15882300.0
14860,2010-02-18,COP,37.0638028466,37.2543812238,36.995195881,37.475453788,12565600.0
15328,2010-02-19,COP,37.124788171300004,37.2772499583,36.941831435,37.5211920191,12413600.0
15796,2010-02-22,COP,37.574555702800005,37.124788171300004,36.995195881,37.574555702800005,10961500.0
16264,2010-02-23,COP,36.9189627006,36.4768206216,36.2557472951,37.0866715811,13906100.0
16732,2010-02-24,COP,36.4844422625,36.857977376,36.3091109788,36.987569666199995,10245700.0
17200,2010-02-25,COP,36.286238432800005,36.8198607857,35.9431982686,36.8655990169,11975400.0
17668,2010-02-26,COP,36.8808461104,36.5911658183,36.5530492281,36.995195881,10411100.0
18136,2010-03-01,COP,36.8732244694,37.2848754108,36.796991289,37.3458614977,11431600.0
18604,2010-03-02,COP,37.6050468405,37.8947271326,37.5059449257,38.0548143721,13249200.0
19072,2010-03-03,COP,38.0243201851,37.6431634307,37.6126684815,38.1005526033,18194900.0
19540,2010-03-04,COP,37.6355379782,37.6126684815,37.4220901043,37.76513408,13562200.0
20008,2010-03-05,COP,38.0014506884,38.4283494855,37.909974226100005,38.5045788544,15240500.0
20476,2010-03-08,COP,38.5426946823,38.6722877348,38.4283494855,38.7790151022,8167600.0
20944,2010-03-09,COP,38.466462264200004,38.7637680088,38.3902328953,38.946724745,12696400.0
21412,2010-03-10,COP,38.7790151022,39.2364050371,38.7637680088,39.3507502338,15930500.0
21880,2010-03-11,COP,39.2364050371,39.1068081729,38.8399966153,39.2668954124,10174700.0
22348,2010-03-12,COP,39.2897649092,39.396488465,39.007710069699996,39.4650992422,10019500.0
22816,2010-03-15,COP,39.2059100878,39.3736189683,39.0000846171,39.701415850500005,12761800.0
23284,2010-03-16,COP,39.587066842199995,39.7700235784,39.4574737896,39.8691254933,15411100.0
23752,2010-03-17,COP,39.9301108179,40.387499990500004,39.8767471342,40.539961777399995,15822600.0
24220,2010-03-18,COP,40.3265146658,40.1816745198,39.7700235784,40.3341363068,11119500.0
24688,2010-03-19,COP,39.922489176999996,39.922489176999996,39.4117355585,40.387499990500004,15383600.0
25156,2010-03-22,COP,39.2135317287,39.716662944,39.137303122199995,39.8386343556,10762700.0
25624,2010-03-23,COP,39.6937942096,40.029212732800005,39.4269826519,40.0978196984,11690900.0
26092,2010-03-24,COP,40.3341363068,40.044456014699996,39.8005177654,40.357009615100004,19336100.0
26560,2010-03-25,COP,40.2502814854,39.2821432682,39.251648319000005,40.2807764346,13804100.0
27028,2010-03-26,COP,39.4803432864,38.8933610613,38.6189278627,39.4955903799,19689900.0
27496,2010-03-29,COP,39.1906629943,38.9924629762,38.7713896497,39.2897649092,16935300.0
27964,2010-03-30,COP,38.946724745,39.0763170352,38.8171278809,39.1754189501,12100800.0
28432,2010-03-31,COP,39.038200445,39.007710069699996,38.8552444711,39.2059100878,16079800.0
28900,2010-04-01,COP,39.335503140300005,39.6556776194,39.2592737715,39.7090374915,11926600.0
29368,2010-04-05,COP,39.914863724499995,40.6161949579,39.6556776194,40.6390636923,12295900.0
29836,2010-04-06,COP,40.532340136500004,40.6314420513,40.3265146658,40.730543966199996,9739300.0
30304,2010-04-07,COP,40.539961777399995,40.3341363068,39.9606011933,40.539961777399995,14058200.0
30772,2010-04-08,COP,40.1359362886,41.1193223616,40.0368343738,41.287032004299995,19218000.0
31240,2010-04-09,COP,41.3327740471,42.171319974,41.3251485945,42.2856651707,19614100.0
31708,2010-04-12,COP,42.239926939600004,42.659200284200004,42.1255817428,42.8192875237,18608500.0
32176,2010-04-13,COP,42.979375525500004,42.438130769299995,42.2551747954,43.2842990995,18785500.0
32644,2010-04-14,COP,42.6210875055,43.3681577324,42.461000266,43.4138952013,14976400.0
33112,2010-04-15,COP,43.3681577324,43.497750022700004,43.1928226371,43.825546904899994,14571500.0
33580,2010-04-16,COP,43.314793286400004,42.7278110614,42.3390288544,43.505371663599995,17390200.0
34048,2010-04-19,COP,42.323781761,43.1775755437,42.2246798461,43.269055055200006,14289900.0
34516,2010-04-20,COP,43.505371663599995,43.7569353655,43.4062697487,43.9170233673,12094400.0
34984,2010-04-21,COP,43.8636596836,43.619721434300004,43.1242149092,43.9398921017,11909800.0
35452,2010-04-22,COP,43.2538079618,43.436764698000005,42.659200284200004,43.467255835699994,12419600.0
35920,2010-04-23,COP,43.3757793734,44.2829360775,43.1318373125,44.3134272151,15646100.0
36388,2010-04-26,COP,44.3362959496,44.44302026770001,44.2600635314,44.5726163695,14325600.0
36856,2010-04-27,COP,43.8331685459,43.8636596836,41.3632644224,44.5878604137,23420500.0
37324,2010-04-28,COP,43.9017755115,44.6335986449,43.7721832212,44.8241800714,22939200.0
37793,2010-04-29,COP,44.9766426206,45.0528750388,44.9766426206,45.8533051378,17990400.0
38262,2010-04-30,COP,45.197715184799996,45.1214827667,44.069485154300004,45.319686596400004,19471900.0
38731,2010-05-03,COP,45.37304646850001,45.510264973599995,45.296813288100005,46.14298542979999,16303400.0
39200,2010-05-04,COP,45.0300063043,44.2219507528,43.6273430752,45.0604966797,19230300.0
39669,2010-05-05,COP,43.261429602700005,43.269055055200006,42.5829709153,43.5282411604,19376500.0
40138,2010-05-06,COP,42.8955207041,41.9959848787,39.6404305259,43.3224156897,26741300.0
40607,2010-05-07,COP,41.5919593899,41.6834358522,41.0049771648,42.4762473595,26658300.0
41076,2010-05-10,COP,42.9717493107,43.2004442781,42.6363307874,43.4520117915,19664000.0
41545,2010-05-11,COP,42.7430551056,43.6654596654,42.6896952334,44.526874326800005,17015300.0
42014,2010-05-12,COP,43.604473578500006,43.970387051,43.4596334324,44.1838341626,12655100.0
42483,2010-05-13,COP,43.7721832212,43.4062697487,43.291924552,44.0466156575,14040000.0
42952,2010-05-14,COP,43.0327353976,42.5677238218,42.1103346493,43.1089678157,16283900.0
43421,2010-05-17,COP,42.758302199,42.072218059099995,41.3632644224,42.8345353795,16532200.0
43890,2010-05-18,COP,42.5753454628,41.6758142112,41.5843377489,42.7659276516,17019000.0
44359,2010-05-19,COP,41.3861339192,41.0964536271,40.6695586416,41.7672906736,18077600.0
44828,2010-05-20,COP,39.7395324407,38.824753333400004,38.7027826841,39.952979552399995,31755000.0
45297,2010-05-21,COP,38.062436013,39.2364050371,37.917595866999996,39.2668954124,23895500.0
45766,2010-05-24,COP,39.1525502157,38.1996545181,38.1462908344,39.2668954124,17296200.0
46235,2010-05-25,COP,37.3763518731,38.0548143721,36.9799480252,38.1158004591,22400000.0
46704,2010-05-26,COP,38.3063780739,37.7880035768,37.6584105242,38.6417965972,17380400.0
47173,2010-05-27,COP,38.801884599,39.8005177654,38.352116305100004,39.8157610473,20260800.0
47642,2010-05-28,COP,39.9910961426,39.5337069701,39.3202590961,40.0825726049,15567600.0
48111,2010-06-01,COP,39.4650992422,38.3673641609,38.3140004772,39.7928923129,17827500.0
48580,2010-06-02,COP,39.0610699418,40.0139656393,38.7027826841,40.0139656393,18858500.0
49049,2010-06-03,COP,40.2121694691,39.6251834324,39.274517053400004,40.2502814854,18174700.0
49518,2010-06-04,COP,38.832374974400004,38.1615379279,37.871858398200004,39.1449247632,18797000.0
49987,2010-06-07,COP,38.3597387084,37.8032506703,37.772755720999996,38.5198259479,15674700.0
50456,2010-06-08,COP,37.772755720999996,38.7561425562,37.749886986599996,38.8781132055,19331600.0
50925,2010-06-09,COP,39.1220552664,38.664666093899996,38.5503201348,39.571822798,17130800.0
51394,2010-06-10,COP,39.6937942096,40.6848019235,39.4574737896,40.8525115662,18956200.0
