,date,symbol,open,close,low,high,volume
360,2010-01-04,CTSH,22.819999499999998,23.3999995,22.819999499999998,23.3999995,5765200.0
828,2010-01-05,CTSH,23.41,23.665001,23.135,23.825001,8993400.0
1296,2010-01-06,CTSH,23.7649995,23.665001,23.5300005,23.875,6270400.0
1764,2010-01-07,CTSH,23.66,22.770000500000002,22.709999,23.74,8054600.0
2232,2010-01-08,CTSH,22.805000500000002,23.430000500000002,22.535,23.4400005,8536200.0
2700,2010-01-11,CTSH,23.575001,23.24,22.895000500000002,23.59,7103800.0
3168,2010-01-12,CTSH,23.75,23.6000005,23.430000500000002,24.245001000000002,10575800.0
3636,2010-01-13,CTSH,23.75,24.3899995,23.67,24.4750005,8025800.0
4104,2010-01-14,CTSH,24.270000500000002,24.055000500000002,23.9349995,24.385,5474800.0
4572,2010-01-15,CTSH,23.99,23.959999,23.785,24.2749995,6317800.0
5040,2010-01-19,CTSH,23.91,24.1550005,23.83,24.17,5786600.0
5508,2010-01-20,CTSH,23.965,23.58,23.395000500000002,24.0650005,6604400.0
5976,2010-01-21,CTSH,23.6399995,23.3999995,23.24,23.799999,8963000.0
6444,2010-01-22,CTSH,23.3899995,22.584999,22.459999,23.545,11094000.0
6912,2010-01-25,CTSH,22.700001,22.6399995,22.4050005,22.819999499999998,7615200.0
7380,2010-01-26,CTSH,22.535,22.785,22.254998999999998,23.069999499999998,7274400.0
7848,2010-01-27,CTSH,22.7199995,23.045,22.479999499999998,23.09,6530800.0
8316,2010-01-28,CTSH,22.915001,22.2800005,22.055000500000002,23.0300005,10321600.0
8784,2010-01-29,CTSH,22.42,21.83,21.790001,22.795,8996200.0
9252,2010-02-01,CTSH,21.8999995,22.3449995,21.834999,22.3449995,6332000.0
9720,2010-02-02,CTSH,22.319999499999998,22.584999,22.040001,22.635,5989600.0
10188,2010-02-03,CTSH,22.33,22.584999,22.2649995,22.6499995,3605200.0
10656,2010-02-04,CTSH,22.375,21.5599995,21.5599995,22.415001,8287200.0
11124,2010-02-05,CTSH,21.5,21.83,21.040001,21.8500005,8956000.0
11592,2010-02-08,CTSH,21.66,21.870001000000002,21.645000500000002,22.1499995,7368200.0
12060,2010-02-09,CTSH,22.615,23.245001000000002,22.444999499999998,23.33,17385000.0
12528,2010-02-10,CTSH,23.2350005,23.17,23.0300005,23.319999499999998,8277000.0
12996,2010-02-11,CTSH,23.129998999999998,23.58,22.895000500000002,23.620001000000002,8110800.0
13464,2010-02-12,CTSH,23.25,23.58,23.045,23.67,10075200.0
13932,2010-02-16,CTSH,23.674999,23.715,23.4050005,24.17,7406600.0
14400,2010-02-17,CTSH,23.8099995,23.5949995,23.495001000000002,23.8099995,5900200.0
14868,2010-02-18,CTSH,23.615,23.6499995,23.504998999999998,23.715,6124200.0
15336,2010-02-19,CTSH,23.604999499999998,23.754998999999998,23.520000500000002,23.875,7719200.0
15804,2010-02-22,CTSH,23.8899995,23.665001,23.4699995,23.8899995,7004400.0
16272,2010-02-23,CTSH,23.535,23.6100005,23.4750005,23.74,6853000.0
16740,2010-02-24,CTSH,23.754998999999998,24.084999,23.709999,24.1399995,8553000.0
17208,2010-02-25,CTSH,23.6900005,24.08,23.504998999999998,24.084999,8585600.0
17676,2010-02-26,CTSH,24.069999499999998,24.0650005,23.870001000000002,24.115,7802600.0
18144,2010-03-01,CTSH,24.24,25.24,24.08,25.25,14395800.0
18612,2010-03-02,CTSH,25.2800005,25.504998999999998,25.2800005,25.6550005,13258600.0
19080,2010-03-03,CTSH,25.549999,24.92,24.84,25.584999,9116000.0
19548,2010-03-04,CTSH,24.8899995,24.8150005,24.545,25.08,7323200.0
20016,2010-03-05,CTSH,25.0,25.334999,24.875,25.3899995,5232600.0
20484,2010-03-08,CTSH,25.4400005,25.01,24.979999499999998,25.4400005,6663800.0
20952,2010-03-09,CTSH,25.0,25.145000500000002,24.915001,25.319999499999998,5581600.0
21420,2010-03-10,CTSH,25.075001,25.4050005,25.020000500000002,25.4400005,5765000.0
21888,2010-03-11,CTSH,25.270000500000002,25.504998999999998,25.209999,25.5300005,5664800.0
22356,2010-03-12,CTSH,25.549999,25.3999995,25.34,25.549999,4135800.0
22824,2010-03-15,CTSH,25.3600005,25.424999,25.17,25.459999,4662600.0
23292,2010-03-16,CTSH,25.4750005,25.629998999999998,25.3999995,25.635,5143800.0
23760,2010-03-17,CTSH,25.674999,25.8099995,25.674999,26.01,4141600.0
24228,2010-03-18,CTSH,25.795,25.915001,25.709999,25.959999,3874400.0
24696,2010-03-19,CTSH,26.020000500000002,25.625,25.49,26.1100005,10245200.0
25164,2010-03-22,CTSH,25.51,25.9349995,25.5,26.01,4240600.0
25632,2010-03-23,CTSH,26.049999,26.26,25.83,26.3150005,6509400.0
26100,2010-03-24,CTSH,26.200001,25.959999,25.944999499999998,26.34,5459800.0
26568,2010-03-25,CTSH,26.08,25.729999499999998,25.700001,26.16,5899400.0
27036,2010-03-26,CTSH,25.709999,25.545,25.41,25.875,4883400.0
27504,2010-03-29,CTSH,25.4750005,25.569999499999998,25.4349995,25.694999499999998,3915600.0
27972,2010-03-30,CTSH,25.58,25.729999499999998,25.51,25.825001,3819800.0
28440,2010-03-31,CTSH,25.575001,25.49,25.444999499999998,25.715,4509000.0
28908,2010-04-01,CTSH,25.604999499999998,25.4050005,25.125,25.645000500000002,5647400.0
29376,2010-04-05,CTSH,25.5650005,25.99,25.459999,26.115,7066800.0
29844,2010-04-06,CTSH,25.790001,26.125,25.770000500000002,26.305000500000002,4534000.0
30312,2010-04-07,CTSH,25.995001000000002,25.555000500000002,25.465,26.049999,6611200.0
30780,2010-04-08,CTSH,25.354999499999998,25.444999499999998,25.0949995,25.604999499999998,4719800.0
31248,2010-04-09,CTSH,25.465,25.8600005,25.4050005,25.8600005,4872200.0
31716,2010-04-12,CTSH,25.9400005,25.979999499999998,25.75,26.09,5570600.0
32184,2010-04-13,CTSH,26.145000500000002,26.834999,26.1100005,27.174999,14428600.0
32652,2010-04-14,CTSH,27.035,26.965,26.8600005,27.115,6373200.0
33120,2010-04-15,CTSH,26.865,26.83,26.629998999999998,26.895000500000002,5555200.0
33588,2010-04-16,CTSH,26.805000500000002,26.385,26.3500005,26.895000500000002,8633600.0
34056,2010-04-19,CTSH,26.040001,26.0249995,25.535,26.104999499999998,8352000.0
34524,2010-04-20,CTSH,26.2649995,26.51,26.075001,26.545,5381400.0
34992,2010-04-21,CTSH,26.42,26.385,26.16,26.4349995,4558800.0
35460,2010-04-22,CTSH,26.125,26.8449995,25.9699995,26.8899995,5197000.0
35928,2010-04-23,CTSH,26.944999499999998,26.665001,26.450001,26.995001000000002,6361000.0
36396,2010-04-26,CTSH,26.770000500000002,26.6000005,26.535,26.865,4689600.0
36864,2010-04-27,CTSH,26.4699995,25.745001000000002,25.694999499999998,26.584999,6648600.0
37332,2010-04-28,CTSH,25.8099995,25.49,25.2350005,25.865,6562600.0
37801,2010-04-29,CTSH,25.6000005,26.0249995,25.584999,26.2199995,5186800.0
38270,2010-04-30,CTSH,25.745001000000002,25.555000500000002,25.555000500000002,26.270000500000002,4886400.0
38739,2010-05-03,CTSH,25.625,26.01,25.51,26.069999499999998,6221800.0
39208,2010-05-04,CTSH,26.6499995,25.8999995,25.375,26.6499995,13717000.0
39677,2010-05-05,CTSH,25.7250005,25.495001000000002,23.865,25.745001000000002,9841000.0
40146,2010-05-06,CTSH,25.34,24.375,22.9750005,25.5650005,11160200.0
40615,2010-05-07,CTSH,24.0,23.76,23.25,24.5149995,14828400.0
41084,2010-05-10,CTSH,24.495001000000002,25.8999995,24.1550005,25.8999995,12632800.0
41553,2010-05-11,CTSH,25.535,25.709999,25.125,26.115,9732400.0
42022,2010-05-12,CTSH,25.715,26.245001000000002,25.6499995,26.25,8575400.0
42491,2010-05-13,CTSH,26.2250005,25.879998999999998,25.8449995,26.444999499999998,5391600.0
42960,2010-05-14,CTSH,25.7250005,24.944999499999998,24.4699995,25.74,11085400.0
43429,2010-05-17,CTSH,25.0249995,24.715,24.08,25.1550005,9112400.0
43898,2010-05-18,CTSH,25.01,24.4699995,24.375,25.180000500000002,5659200.0
44367,2010-05-19,CTSH,24.2800005,24.2649995,23.875,24.674999,7546600.0
44836,2010-05-20,CTSH,23.615,23.49,23.24,24.004998999999998,12100200.0
45305,2010-05-21,CTSH,23.08,24.745001000000002,22.924999,24.754998999999998,15526000.0
45774,2010-05-24,CTSH,24.3999995,24.3099995,24.2350005,24.6900005,10661600.0
46243,2010-05-25,CTSH,23.5599995,24.5249995,23.4050005,24.5300005,9167600.0
46712,2010-05-26,CTSH,24.705,24.444999499999998,24.3449995,25.25,6989600.0
47181,2010-05-27,CTSH,24.965,25.379998999999998,24.834999,25.379998999999998,5446200.0
47650,2010-05-28,CTSH,25.229999499999998,25.020000500000002,24.8099995,25.395000500000002,5799200.0
48119,2010-06-01,CTSH,24.3999995,24.569999499999998,24.395000500000002,25.215,5287800.0
48588,2010-06-02,CTSH,24.59,25.495001000000002,24.319999499999998,25.495001000000002,6346000.0
49057,2010-06-03,CTSH,25.495001000000002,26.120001000000002,25.450001,26.1849995,10501200.0
49526,2010-06-04,CTSH,25.604999499999998,25.120001000000002,25.049999,26.0149995,9355400.0
49995,2010-06-07,CTSH,25.1499995,24.8099995,24.754998999999998,25.375,6615200.0
50464,2010-06-08,CTSH,24.74,24.8899995,24.2649995,24.9050005,8140600.0
50933,2010-06-09,CTSH,24.965,24.91,24.805000500000002,25.465,6108200.0
51402,2010-06-10,CTSH,25.42,25.7199995,25.174999,25.754998999999998,6108400.0
51871,2010-06-11,CTSH,25.334999,25.895000500000002,25.290001,25.9400005,2964200.0
52340,2010-06-14,CTSH,26.08,26.0650005,26.035,26.694999499999998,6113800.0
52809,2010-06-15,CTSH,26.1000005,26.885,26.09,26.915001,6900200.0
