,date,symbol,open,close,low,high,volume
365,2010-01-04,D,39.099998,38.959998999999996,38.84,39.419998,2175500.0
833,2010-01-05,D,38.860001000000004,38.48,38.080002,39.02,2802200.0
1301,2010-01-06,D,38.5,38.52,38.290001000000004,38.73,2882500.0
1769,2010-01-07,D,38.529999,38.580002,38.240002000000004,38.599998,1903400.0
2237,2010-01-08,D,38.529999,38.560001,38.220001,38.619999,1779000.0
2705,2010-01-11,D,38.68,39.130001,38.68,39.150002,2566400.0
3173,2010-01-12,D,39.040001000000004,38.93,38.830002,39.25,1944300.0
3641,2010-01-13,D,39.009997999999996,39.150002,38.790001000000004,39.360001000000004,2232000.0
4109,2010-01-14,D,39.029999,39.110001000000004,38.860001000000004,39.169998,1455800.0
4577,2010-01-15,D,39.029999,38.849998,38.5,39.040001000000004,2234100.0
5045,2010-01-19,D,38.900002,39.43,38.77,39.439999,1536500.0
5513,2010-01-20,D,39.119999,39.040001000000004,38.52,39.150002,1767500.0
5981,2010-01-21,D,39.099998,38.529999,38.299999,39.439999,2846100.0
6449,2010-01-22,D,38.450001,37.799999,37.759997999999996,38.610001000000004,2821900.0
6917,2010-01-25,D,38.0,38.07,37.66,38.25,1628900.0
7385,2010-01-26,D,37.990002000000004,38.099998,37.799999,38.330002,1688500.0
7853,2010-01-27,D,38.0,38.0,37.18,38.029999,3353500.0
8321,2010-01-28,D,38.02,37.599998,37.389998999999996,38.060001,3144900.0
8789,2010-01-29,D,37.68,37.459998999999996,37.439999,38.009997999999996,3006000.0
9257,2010-02-01,D,37.619999,37.75,37.169998,37.860001000000004,1762900.0
9725,2010-02-02,D,37.759997999999996,37.990002000000004,37.23,38.0,2413300.0
10193,2010-02-03,D,37.889998999999996,37.639998999999996,37.360001000000004,37.919998,2038900.0
10661,2010-02-04,D,37.459998999999996,36.860001000000004,36.830002,37.619999,2608000.0
11129,2010-02-05,D,36.77,36.75,36.130001,36.84,3424700.0
11597,2010-02-08,D,36.669998,36.27,36.27,36.759997999999996,2207700.0
12065,2010-02-09,D,36.5,36.57,36.34,37.049999,2705700.0
12533,2010-02-10,D,36.599998,36.599998,36.119999,36.790001000000004,2707700.0
13001,2010-02-11,D,36.48,37.07,36.16,37.139998999999996,2975700.0
13469,2010-02-12,D,36.799999,37.139998999999996,36.580002,37.18,3826400.0
13937,2010-02-16,D,37.220001,38.240002000000004,37.200001,38.259997999999996,3302400.0
14405,2010-02-17,D,38.299999,38.380001,38.150002,38.470001,3341600.0
14873,2010-02-18,D,38.290001000000004,38.720001,38.290001000000004,38.77,2527300.0
15341,2010-02-19,D,38.529999,39.169998,38.459998999999996,39.23,2522400.0
15809,2010-02-22,D,39.419998,39.0,38.75,39.439999,2924500.0
16277,2010-02-23,D,38.970001,38.82,38.759997999999996,39.150002,4133500.0
16745,2010-02-24,D,38.52,38.529999,37.970001,38.540001000000004,3940200.0
17213,2010-02-25,D,38.18,38.34,37.720001,38.389998999999996,3361700.0
17681,2010-02-26,D,38.279999,37.990002000000004,37.990002000000004,38.560001,3370600.0
18149,2010-03-01,D,38.060001,38.299999,38.060001,38.52,3138400.0
18617,2010-03-02,D,38.509997999999996,38.48,38.360001000000004,38.669998,2445900.0
19085,2010-03-03,D,38.470001,38.610001000000004,38.41,38.990002000000004,2951300.0
19553,2010-03-04,D,38.619999,38.75,38.490002000000004,38.860001000000004,2310000.0
20021,2010-03-05,D,38.93,39.110001000000004,38.689999,39.150002,1835000.0
20489,2010-03-08,D,39.110001000000004,39.080002,38.91,39.189999,1563000.0
20957,2010-03-09,D,39.060001,39.220001,38.91,39.349998,2546900.0
21425,2010-03-10,D,39.299999,39.380001,39.110001000000004,39.490002000000004,3275100.0
21893,2010-03-11,D,39.259997999999996,39.650002,39.139998999999996,39.650002,1673600.0
22361,2010-03-12,D,39.84,39.689999,39.549999,39.900002,3437200.0
22829,2010-03-15,D,40.259997999999996,39.709998999999996,39.48,40.290001000000004,4653800.0
23297,2010-03-16,D,40.16,39.889998999999996,39.610001000000004,40.16,4744800.0
23765,2010-03-17,D,40.009997999999996,40.560001,39.919998,40.619999,6384400.0
24233,2010-03-18,D,40.540001000000004,40.509997999999996,40.139998999999996,40.630001,3946600.0
24701,2010-03-19,D,40.700001,40.700001,40.380001,40.77,6179100.0
25169,2010-03-22,D,40.66,40.130001,39.919998,40.66,4721600.0
25637,2010-03-23,D,40.16,40.189999,39.82,40.259997999999996,3657300.0
26105,2010-03-24,D,39.869999,40.080002,39.860001000000004,40.25,3252800.0
26573,2010-03-25,D,40.110001000000004,40.259997999999996,39.93,40.459998999999996,6430700.0
27041,2010-03-26,D,40.419998,40.599998,40.130001,40.709998999999996,4921900.0
27509,2010-03-29,D,40.75,41.18,40.619999,41.27,3969500.0
27977,2010-03-30,D,41.150002,41.259997999999996,41.130001,41.610001000000004,5198800.0
28445,2010-03-31,D,41.189999,41.110001000000004,40.959998999999996,41.389998999999996,3518400.0
28913,2010-04-01,D,41.200001,41.830002,41.16,41.830002,3441000.0
29381,2010-04-05,D,41.880001,41.810001,41.650002,41.93,3471200.0
29849,2010-04-06,D,41.59,41.700001,41.48,41.84,3080400.0
30317,2010-04-07,D,41.540001000000004,41.650002,41.419998,41.810001,3030600.0
30785,2010-04-08,D,41.5,41.470001,41.41,41.610001000000004,2722000.0
31253,2010-04-09,D,40.990002000000004,41.59,40.709998999999996,41.639998999999996,4652400.0
31721,2010-04-12,D,41.77,41.799999,41.59,41.919998,2145800.0
32189,2010-04-13,D,41.650002,41.669998,41.5,41.82,2419700.0
32657,2010-04-14,D,41.610001000000004,41.48,41.240002000000004,41.740002000000004,2706800.0
33125,2010-04-15,D,41.32,41.439999,41.150002,41.549999,2786600.0
33593,2010-04-16,D,41.380001,41.18,41.049999,41.540001000000004,3943600.0
34061,2010-04-19,D,41.049999,41.279999,41.049999,41.360001000000004,2327100.0
34529,2010-04-20,D,41.459998999999996,41.419998,41.25,41.52,2150800.0
34997,2010-04-21,D,41.330002,41.360001000000004,41.279999,41.580002,2939800.0
35465,2010-04-22,D,41.209998999999996,41.349998,41.049999,41.389998999999996,2928400.0
35933,2010-04-23,D,41.400002,41.77,41.110001000000004,41.799999,2393600.0
36401,2010-04-26,D,41.68,41.860001000000004,41.650002,42.23,2794200.0
36869,2010-04-27,D,41.630001,41.139998999999996,41.09,41.93,3370900.0
37337,2010-04-28,D,41.240002000000004,41.419998,40.919998,41.419998,3865500.0
37806,2010-04-29,D,41.439999,41.299999,41.119999,41.720001,3208800.0
38275,2010-04-30,D,41.360001000000004,41.799999,41.259997999999996,42.220001,3931800.0
38744,2010-05-03,D,41.900002,42.470001,41.73,42.560001,1913800.0
39213,2010-05-04,D,42.0,41.68,41.52,42.310001,2541600.0
39682,2010-05-05,D,41.5,41.779999,41.41,42.279999,2078000.0
40151,2010-05-06,D,41.560001,40.209998999999996,38.07,41.599998,5621900.0
40620,2010-05-07,D,40.040001000000004,40.220001,39.529999,40.93,6092600.0
41089,2010-05-10,D,41.09,41.91,40.93,41.970001,4070400.0
41558,2010-05-11,D,41.57,41.799999,41.369999,42.18,2713400.0
42027,2010-05-12,D,41.75,41.849998,41.5,41.98,2308500.0
42496,2010-05-13,D,41.799999,41.540001000000004,41.459998999999996,42.119999,2044000.0
42965,2010-05-14,D,41.41,40.990002000000004,40.759997999999996,41.639998999999996,2578500.0
43434,2010-05-17,D,41.130001,41.27,40.709998999999996,41.400002,2918400.0
43903,2010-05-18,D,41.330002,40.709998999999996,40.66,41.509997999999996,2170300.0
44372,2010-05-19,D,40.439999,40.43,40.02,40.68,2514600.0
44841,2010-05-20,D,39.830002,39.240002000000004,39.240002000000004,40.099998,4449900.0
45310,2010-05-21,D,38.73,39.529999,38.540001000000004,39.540001000000004,3999700.0
45779,2010-05-24,D,39.310001,39.25,39.060001,39.849998,2644400.0
46248,2010-05-25,D,38.529999,39.23,38.049999,39.240002000000004,4101800.0
46717,2010-05-26,D,39.32,38.560001,38.400002,39.32,3408500.0
47186,2010-05-27,D,39.130001,39.139998999999996,38.759997999999996,39.279999,3020800.0
47655,2010-05-28,D,39.02,38.959998999999996,38.900002,39.459998999999996,2952300.0
48124,2010-06-01,D,38.700001,38.59,38.5,39.25,4184000.0
48593,2010-06-02,D,38.830002,39.720001,38.639998999999996,39.720001,4581600.0
49062,2010-06-03,D,39.889998999999996,40.150002,39.689999,40.16,3335700.0
49531,2010-06-04,D,39.720001,39.009997999999996,38.919998,39.889998999999996,4523800.0
50000,2010-06-07,D,39.139998999999996,39.330002,39.029999,40.029999,4826500.0
50469,2010-06-08,D,39.299999,40.16,39.080002,40.209998999999996,4393300.0
50938,2010-06-09,D,40.290001000000004,39.919998,39.77,40.380001,2752800.0
51407,2010-06-10,D,40.369999,40.810001,40.34,40.82,2360100.0
51876,2010-06-11,D,40.41,40.599998,40.18,40.700001,2031100.0
52345,2010-06-14,D,41.0,40.48,40.470001,41.0,2540300.0
52814,2010-06-15,D,40.779999,41.279999,40.66,41.32,3150000.0
53283,2010-06-16,D,41.009997999999996,41.669998,41.0,41.77,2110300.0
53752,2010-06-17,D,41.619999,41.849998,41.41,41.900002,2360100.0
54221,2010-06-18,D,41.84,42.0,41.73,42.119999,3392900.0
