,date,symbol,open,close,low,high,volume
366,2010-01-04,DAL,11.22,11.22,10.95,11.43,14482500.0
834,2010-01-05,DAL,11.32,12.1,11.29,12.34,25066000.0
1302,2010-01-06,DAL,11.99,12.11,11.85,12.24,14980700.0
1770,2010-01-07,DAL,12.06,12.69,12.05,12.86,19814500.0
2238,2010-01-08,DAL,12.62,12.47,12.05,12.85,24589200.0
2706,2010-01-11,DAL,12.34,12.79,12.13,12.89,16220400.0
3174,2010-01-12,DAL,12.67,12.54,12.31,12.91,12905500.0
3642,2010-01-13,DAL,12.53,12.85,12.41,12.96,11763200.0
4110,2010-01-14,DAL,12.72,13.17,12.69,13.31,12026800.0
4578,2010-01-15,DAL,13.18,12.74,12.59,13.33,9127500.0
5046,2010-01-19,DAL,12.8,13.03,12.79,13.29,9836500.0
5514,2010-01-20,DAL,12.97,13.41,12.69,13.49,20133800.0
5982,2010-01-21,DAL,13.5,13.44,13.15,13.69,24669200.0
6450,2010-01-22,DAL,13.31,13.29,12.91,13.73,22279200.0
6918,2010-01-25,DAL,13.38,13.33,12.95,13.64,19299600.0
7386,2010-01-26,DAL,12.78,13.15,12.7,13.4,16290600.0
7854,2010-01-27,DAL,13.01,13.16,12.82,13.44,24581400.0
8322,2010-01-28,DAL,13.23,12.65,12.63,13.54,17086500.0
8790,2010-01-29,DAL,12.8,12.23,12.19,13.16,19296900.0
9258,2010-02-01,DAL,12.37,12.63,12.32,12.64,9733500.0
9726,2010-02-02,DAL,12.8,12.9,12.66,13.07,12952100.0
10194,2010-02-03,DAL,12.91,12.42,12.32,12.91,9609600.0
10662,2010-02-04,DAL,11.79,11.46,11.32,12.03,17073600.0
11130,2010-02-05,DAL,11.41,11.3,10.93,11.73,20004600.0
11598,2010-02-08,DAL,11.31,11.25,11.14,11.6,9296400.0
12066,2010-02-09,DAL,11.53,12.39,11.53,12.55,23978700.0
12534,2010-02-10,DAL,12.27,11.58,11.49,12.33,19463200.0
13002,2010-02-11,DAL,11.65,11.83,11.58,12.22,14521800.0
13470,2010-02-12,DAL,11.69,12.25,11.57,12.27,12768600.0
13938,2010-02-16,DAL,12.33,12.48,12.3,12.62,7985600.0
