,date,symbol,open,close,low,high,volume
369,2010-01-04,DFS,14.87,14.61,14.5,14.88,7552600.0
837,2010-01-05,DFS,14.8,15.1,14.65,15.16,7766400.0
1305,2010-01-06,DFS,14.85,15.0,14.85,15.04,5550200.0
1773,2010-01-07,DFS,14.95,15.09,14.85,15.18,6492500.0
2241,2010-01-08,DFS,15.11,15.03,14.9,15.15,4458300.0
2709,2010-01-11,DFS,15.14,14.84,14.75,15.17,4381800.0
3177,2010-01-12,DFS,14.72,14.91,14.68,14.97,6587000.0
3645,2010-01-13,DFS,14.95,15.01,14.67,15.09,4991800.0
4113,2010-01-14,DFS,15.05,14.97,14.83,15.14,9028000.0
4581,2010-01-15,DFS,14.92,14.76,14.56,15.09,10835600.0
5049,2010-01-19,DFS,14.66,14.86,14.64,14.87,6135300.0
5517,2010-01-20,DFS,14.79,14.82,14.58,15.0,7563600.0
5985,2010-01-21,DFS,14.8,14.23,14.22,14.87,10771500.0
6453,2010-01-22,DFS,14.18,13.46,13.44,14.19,14728800.0
6921,2010-01-25,DFS,13.88,13.48,13.32,14.05,10757000.0
7389,2010-01-26,DFS,13.4,13.47,13.27,13.75,7834000.0
7857,2010-01-27,DFS,13.47,13.82,13.24,13.88,9979900.0
8325,2010-01-28,DFS,13.99,13.51,13.24,13.99,8616700.0
8793,2010-01-29,DFS,13.61,13.68,13.54,13.94,7099000.0
9261,2010-02-01,DFS,13.73,13.32,13.21,13.8,8491500.0
9729,2010-02-02,DFS,13.62,13.8,13.52,13.86,6514700.0
10197,2010-02-03,DFS,13.77,13.3,13.25,13.81,5784800.0
10665,2010-02-04,DFS,13.15,12.9,12.87,13.33,7729800.0
11133,2010-02-05,DFS,12.92,13.01,12.58,13.03,6965100.0
11601,2010-02-08,DFS,12.98,12.76,12.72,13.07,7751000.0
12069,2010-02-09,DFS,12.92,13.03,12.77,13.18,4938200.0
12537,2010-02-10,DFS,13.04,12.92,12.78,13.13,5150600.0
13005,2010-02-11,DFS,12.91,13.04,12.78,13.07,5211900.0
13473,2010-02-12,DFS,12.91,13.03,12.8,13.06,5822200.0
13941,2010-02-16,DFS,13.18,13.55,13.1,13.58,8678100.0
14409,2010-02-17,DFS,13.69,13.53,13.46,13.69,4843200.0
14877,2010-02-18,DFS,13.55,13.56,13.44,13.62,2845500.0
15345,2010-02-19,DFS,13.5,13.67,13.49,13.69,4207800.0
15813,2010-02-22,DFS,13.71,13.84,13.65,14.1,6748700.0
16281,2010-02-23,DFS,13.77,13.47,13.46,13.82,6324300.0
16749,2010-02-24,DFS,13.48,13.63,13.45,13.69,4646700.0
17217,2010-02-25,DFS,13.44,13.46,13.21,13.48,4652200.0
17685,2010-02-26,DFS,13.46,13.65,13.4,13.66,3699300.0
18153,2010-03-01,DFS,13.7,13.61,13.54,13.72,2834300.0
18621,2010-03-02,DFS,13.62,13.9,13.62,13.97,5153100.0
19089,2010-03-03,DFS,13.93,13.78,13.78,14.15,4299100.0
19557,2010-03-04,DFS,13.76,13.77,13.67,13.85,4542900.0
20025,2010-03-05,DFS,13.9,14.17,13.83,14.29,6882800.0
20493,2010-03-08,DFS,14.15,14.12,14.05,14.19,5674200.0
20961,2010-03-09,DFS,14.0,14.44,13.83,14.51,6310300.0
21429,2010-03-10,DFS,14.51,14.38,14.24,14.59,5159000.0
21897,2010-03-11,DFS,14.34,14.92,14.26,14.94,7164600.0
22365,2010-03-12,DFS,14.84,14.97,14.84,15.22,10395400.0
22833,2010-03-15,DFS,15.01,15.2,14.91,15.26,6135200.0
23301,2010-03-16,DFS,15.32,15.3,15.06,15.48,5651500.0
23769,2010-03-17,DFS,14.78,15.24,14.73,15.78,10960100.0
24237,2010-03-18,DFS,15.19,15.52,15.17,15.55,6226100.0
24705,2010-03-19,DFS,15.24,15.24,15.15,15.66,9845400.0
25173,2010-03-22,DFS,15.13,15.35,15.04,15.46,6830600.0
25641,2010-03-23,DFS,15.41,15.4,15.3,15.46,5736600.0
26109,2010-03-24,DFS,15.35,15.4,15.23,15.42,4399800.0
26577,2010-03-25,DFS,15.5,15.39,15.35,15.78,5903600.0
27045,2010-03-26,DFS,15.41,15.39,15.08,15.55,6204200.0
27513,2010-03-29,DFS,15.46,15.35,15.23,15.51,6303100.0
27981,2010-03-30,DFS,15.31,15.12,15.03,15.42,8058800.0
28449,2010-03-31,DFS,15.08,14.9,14.86,15.18,6788800.0
28917,2010-04-01,DFS,15.06,15.34,15.04,15.38,6392000.0
29385,2010-04-05,DFS,15.32,15.58,15.32,15.73,5924300.0
29853,2010-04-06,DFS,15.52,15.38,15.24,15.52,5937300.0
30321,2010-04-07,DFS,15.42,15.17,15.1,15.67,7313900.0
30789,2010-04-08,DFS,15.14,15.41,15.06,15.44,6309200.0
31257,2010-04-09,DFS,15.47,15.5,15.38,15.66,6542300.0
31725,2010-04-12,DFS,15.55,15.6,15.28,15.68,8856900.0
32193,2010-04-13,DFS,15.6,15.6,15.42,15.7,8007100.0
32661,2010-04-14,DFS,15.61,16.040001,15.5,16.120001000000002,8386400.0
33129,2010-04-15,DFS,16.59,16.120001000000002,16.030001000000002,16.59,9330500.0
33597,2010-04-16,DFS,16.07,15.36,15.21,16.110001,10845600.0
34065,2010-04-19,DFS,15.21,15.67,15.14,15.71,7835400.0
34533,2010-04-20,DFS,15.82,15.86,15.6,15.9,6998200.0
35001,2010-04-21,DFS,15.85,15.66,15.45,15.87,5364100.0
35469,2010-04-22,DFS,15.49,15.82,15.28,15.87,6695300.0
35937,2010-04-23,DFS,15.87,16.26,15.71,16.48,8836400.0
36405,2010-04-26,DFS,16.26,16.09,15.94,16.299999,5478800.0
36873,2010-04-27,DFS,15.92,15.37,15.33,16.08,8504600.0
37341,2010-04-28,DFS,15.51,15.44,15.17,15.66,6771900.0
37810,2010-04-29,DFS,15.61,16.040001,15.57,16.1,7680800.0
38279,2010-04-30,DFS,15.95,15.46,15.43,16.139999,6356900.0
38748,2010-05-03,DFS,15.59,16.1,15.57,16.18,7529400.0
39217,2010-05-04,DFS,15.78,15.34,15.25,15.98,9233800.0
39686,2010-05-05,DFS,15.25,14.94,14.81,15.4,7486600.0
40155,2010-05-06,DFS,14.86,14.41,13.42,15.19,10736600.0
40624,2010-05-07,DFS,14.32,14.08,13.9,14.62,8936100.0
41093,2010-05-10,DFS,14.95,14.87,14.67,15.18,7870300.0
41562,2010-05-11,DFS,14.63,14.9,14.54,15.05,11631200.0
42031,2010-05-12,DFS,14.95,15.21,14.86,15.27,6679500.0
42500,2010-05-13,DFS,15.14,14.79,14.76,15.28,6816300.0
42969,2010-05-14,DFS,14.29,14.24,14.11,14.57,9035700.0
43438,2010-05-17,DFS,14.34,14.21,13.84,14.61,5736800.0
43907,2010-05-18,DFS,14.39,13.46,13.31,14.44,10610700.0
44376,2010-05-19,DFS,13.36,13.6,13.29,13.84,10899500.0
44845,2010-05-20,DFS,13.27,13.04,13.04,13.79,8524600.0
45314,2010-05-21,DFS,12.76,13.53,12.7,13.64,9147600.0
45783,2010-05-24,DFS,13.56,13.16,13.15,13.65,5727500.0
46252,2010-05-25,DFS,12.78,13.19,12.61,13.23,7876800.0
46721,2010-05-26,DFS,13.4,13.17,13.05,13.53,8494400.0
47190,2010-05-27,DFS,13.46,13.7,13.33,13.73,6357900.0
47659,2010-05-28,DFS,13.69,13.45,13.33,13.77,5226200.0
48128,2010-06-01,DFS,13.16,13.18,13.15,13.55,6499900.0
48597,2010-06-02,DFS,13.3,13.47,13.13,13.48,6318600.0
49066,2010-06-03,DFS,13.55,13.52,13.21,13.55,5220100.0
49535,2010-06-04,DFS,13.22,12.86,12.81,13.42,7628200.0
50004,2010-06-07,DFS,12.93,12.43,12.38,13.03,8096200.0
50473,2010-06-08,DFS,12.41,12.64,12.11,12.69,7367400.0
50942,2010-06-09,DFS,12.75,12.57,12.5,13.04,8472300.0
51411,2010-06-10,DFS,12.74,13.6,12.73,13.65,13955200.0
51880,2010-06-11,DFS,13.41,13.66,13.38,13.71,6078000.0
52349,2010-06-14,DFS,13.9,13.4,13.4,13.9,4073300.0
52818,2010-06-15,DFS,13.56,13.92,13.48,13.95,5698900.0
53287,2010-06-16,DFS,13.81,14.08,13.71,14.1,5989400.0
53756,2010-06-17,DFS,14.09,14.04,13.83,14.23,4010400.0
54225,2010-06-18,DFS,14.1,14.0,13.95,14.21,3846400.0
54694,2010-06-21,DFS,14.16,13.99,13.9,14.36,4949700.0
55163,2010-06-22,DFS,14.05,13.84,13.81,14.27,5407000.0
55632,2010-06-23,DFS,13.84,14.01,13.69,14.05,7400900.0
56101,2010-06-24,DFS,14.3,14.08,14.05,14.73,15009700.0
56570,2010-06-25,DFS,14.18,14.52,14.07,14.72,9360400.0
57039,2010-06-28,DFS,14.58,14.76,14.4,14.91,7330100.0
57508,2010-06-29,DFS,14.53,13.8,13.68,14.6,10792700.0
57977,2010-06-30,DFS,13.79,13.98,13.76,14.34,7998100.0
58446,2010-07-01,DFS,14.08,13.92,13.33,14.15,7840100.0
58915,2010-07-02,DFS,13.94,13.84,13.52,14.12,4544900.0
59384,2010-07-06,DFS,14.0,13.9,13.63,14.32,6348600.0
59853,2010-07-07,DFS,13.97,14.57,13.86,14.61,7380400.0
60322,2010-07-08,DFS,14.75,14.63,14.39,14.79,5657100.0
60791,2010-07-09,DFS,14.63,14.85,14.53,14.87,3971300.0
61260,2010-07-12,DFS,14.8,14.65,14.56,14.92,4449700.0
61729,2010-07-13,DFS,14.86,15.27,14.8,15.35,6699100.0
62198,2010-07-14,DFS,15.15,15.18,15.0,15.23,4120200.0
62667,2010-07-15,DFS,15.22,15.21,14.58,15.29,8880700.0
63136,2010-07-16,DFS,15.0,14.5,14.45,15.13,8203300.0
63605,2010-07-19,DFS,14.56,14.49,14.18,14.63,5145000.0
64074,2010-07-20,DFS,14.19,14.83,14.14,14.85,6216200.0
64543,2010-07-21,DFS,14.99,14.27,14.18,14.99,6814400.0
65012,2010-07-22,DFS,14.44,14.99,14.39,15.08,5354600.0
65481,2010-07-23,DFS,14.91,15.06,14.61,15.14,5704100.0
65950,2010-07-26,DFS,15.02,15.49,14.95,15.52,5200500.0
66419,2010-07-27,DFS,15.65,15.24,15.21,15.65,4529000.0
66888,2010-07-28,DFS,15.2,15.04,14.94,15.37,4366200.0
67357,2010-07-29,DFS,15.04,15.1,14.89,15.2,3796200.0
67826,2010-07-30,DFS,14.89,15.27,14.83,15.35,4281100.0
68295,2010-08-02,DFS,15.65,15.76,15.34,15.78,5500200.0
68764,2010-08-03,DFS,15.73,15.54,15.4,15.75,3048900.0
69233,2010-08-04,DFS,15.6,15.6,15.41,15.74,4364600.0
69702,2010-08-05,DFS,15.47,15.43,15.21,15.49,3347600.0
70171,2010-08-06,DFS,15.2,15.31,14.98,15.31,3006200.0
70640,2010-08-09,DFS,15.38,15.57,15.36,15.65,2871900.0
71109,2010-08-10,DFS,15.41,15.33,15.15,15.48,4056400.0
71578,2010-08-11,DFS,15.05,14.75,14.75,15.09,3300000.0
72047,2010-08-12,DFS,14.5,14.71,14.5,14.82,3791400.0
72516,2010-08-13,DFS,14.68,14.68,14.66,14.89,2608300.0
72985,2010-08-16,DFS,14.61,14.68,14.55,14.8,2351400.0
73454,2010-08-17,DFS,14.84,14.79,14.74,15.02,2558100.0
73923,2010-08-18,DFS,14.77,14.77,14.48,14.83,4760100.0
74392,2010-08-19,DFS,14.77,14.4,14.38,14.84,4603000.0
74861,2010-08-20,DFS,14.34,14.27,13.96,14.37,4866800.0
75330,2010-08-23,DFS,14.33,14.27,14.23,14.45,3214600.0
75799,2010-08-24,DFS,14.05,13.97,13.96,14.27,3744100.0
76268,2010-08-25,DFS,13.8,13.91,13.73,14.0,3745700.0
76737,2010-08-26,DFS,13.97,13.96,13.82,14.21,3660700.0
77206,2010-08-27,DFS,14.08,14.77,14.0,14.79,6114700.0
77675,2010-08-30,DFS,14.71,14.32,14.32,14.72,2961500.0
78144,2010-08-31,DFS,14.29,14.51,14.21,14.62,3738700.0
78613,2010-09-01,DFS,14.73,15.16,14.65,15.17,4410900.0
79082,2010-09-02,DFS,15.33,15.54,15.2,15.56,7113200.0
79551,2010-09-03,DFS,15.75,15.86,15.47,15.89,5189400.0
80020,2010-09-07,DFS,15.65,15.31,15.25,15.69,3247000.0
80489,2010-09-08,DFS,15.34,15.62,15.31,15.8,5719200.0
80958,2010-09-09,DFS,15.88,15.71,15.59,15.97,6091100.0
81427,2010-09-10,DFS,15.79,15.9,15.58,15.95,5162600.0
81896,2010-09-13,DFS,16.09,16.059998999999998,15.99,16.49,4178200.0
82365,2010-09-14,DFS,15.96,15.68,15.58,16.049999,5509300.0
82834,2010-09-15,DFS,15.42,15.79,15.33,15.97,6936600.0
83303,2010-09-16,DFS,15.76,15.79,15.72,15.9,4177900.0
83772,2010-09-17,DFS,15.9,15.57,15.55,15.92,8934800.0
84241,2010-09-20,DFS,16.1,16.16,15.89,16.379998999999998,11600300.0
84710,2010-09-21,DFS,16.200001,15.96,15.92,16.299999,4065900.0
85179,2010-09-22,DFS,15.82,16.299999,15.81,16.379998999999998,6217200.0
85648,2010-09-23,DFS,16.139999,16.5,16.139999,16.799999,9342600.0
86117,2010-09-24,DFS,16.719998999999998,16.77,16.530001000000002,16.84,4641600.0
86586,2010-09-27,DFS,16.76,16.49,16.469998999999998,16.879998999999998,3245400.0
87055,2010-09-28,DFS,16.469998999999998,16.51,16.15,16.549999,5563500.0
87524,2010-09-29,DFS,16.34,16.58,16.200001,16.6,6157100.0
87993,2010-09-30,DFS,16.67,16.68,16.530001000000002,16.98,5968700.0
88462,2010-10-01,DFS,16.9,16.58,16.389999,16.9,3803600.0
