,date,symbol,open,close,low,high,volume
375,2010-01-04,DISCA,15.697496678599999,15.8405723046,15.6821670925,15.9683188554,2844100.0
843,2010-01-05,DISCA,15.8967812979,16.4639759837,15.8405723046,16.5355130302,3193000.0
1311,2010-01-06,DISCA,16.6070521206,16.7092498723,16.4026566173,16.7603474706,3873000.0
1779,2010-01-07,DISCA,16.6785891671,16.6990301482,16.6223811957,16.8523254982,2506500.0
2247,2010-01-08,DISCA,16.6530398569,16.7501277466,16.5866126725,16.8421057742,2448500.0
2715,2010-01-11,DISCA,16.7858962698,16.693920286199997,16.6121619826,16.8421057742,2361500.0
3183,2010-01-12,DISCA,16.658149719,16.2493612673,16.234031681199998,16.6836990291,2803500.0
3651,2010-01-13,DISCA,16.2238124681,16.3464491569,15.9887583035,16.4026566173,2359100.0
4119,2010-01-14,DISCA,16.2289218191,16.213592744,16.177824220799998,16.484415431800002,1634200.0
4587,2010-01-15,DISCA,16.6479305059,16.5712835974,16.4793055698,16.8727649464,4101400.0
5055,2010-01-19,DISCA,16.484415431800002,16.5559519673,16.417986203399998,16.5968323965,1991800.0
5523,2010-01-20,DISCA,16.4384271845,16.428205416500003,16.3106806336,16.5252933061,1887700.0
5991,2010-01-21,DISCA,16.515074093,16.2544711293,16.0040873787,16.6121619826,2357000.0
6459,2010-01-22,DISCA,16.218702606,15.7843638222,15.7792539602,16.3311195708,2014900.0
6927,2010-01-25,DISCA,15.8610117527,15.753705161,15.6463975473,15.983648441500002,1784100.0
7395,2010-01-26,DISCA,15.7792539602,15.7434844149,15.5799693408,15.804803270299999,1652200.0
7863,2010-01-27,DISCA,15.6361783342,15.4368937149,15.135411343900001,15.7434844149,2487300.0
8331,2010-01-28,DISCA,15.4062340317,15.467552376099999,15.191619826300002,15.5799693408,2016100.0
8799,2010-01-29,DISCA,15.5544205417,15.155850792,15.135411343900001,15.5646402657,2745800.0
9267,2010-02-01,DISCA,15.309147164,15.2222784875,15.120082268800001,15.3960143076,2543900.0
9735,2010-02-02,DISCA,15.191619826300002,15.0792028615,14.9821159939,15.288706693900002,3919800.0
10203,2010-02-03,DISCA,15.0792028615,14.997445069000001,14.9718962698,15.0996428207,4838200.0
10671,2010-02-04,DISCA,14.8850281043,14.6244251405,14.5835467553,14.9207976495,3915300.0
