,date,symbol,open,close,low,high,volume
399,2010-01-04,EQIX,106.519997,109.559998,106.510002,109.620003,576300.0
867,2010-01-05,EQIX,109.589996,108.540001,108.379997,109.589996,681900.0
1335,2010-01-06,EQIX,108.949997,109.529999,108.220001,110.57,1397500.0
1803,2010-01-07,EQIX,109.25,107.290001,106.639999,110.349998,797200.0
2271,2010-01-08,EQIX,106.800003,106.769997,105.900002,107.279999,432400.0
2739,2010-01-11,EQIX,106.970001,107.650002,106.699997,108.150002,568400.0
3207,2010-01-12,EQIX,106.599998,103.290001,102.959999,107.650002,948100.0
3675,2010-01-13,EQIX,102.25,103.08000200000001,102.25,104.360001,704100.0
4143,2010-01-14,EQIX,103.32,104.120003,103.32,104.769997,954700.0
4611,2010-01-15,EQIX,104.379997,102.110001,101.550003,104.480003,814600.0
5079,2010-01-19,EQIX,102.690002,103.93,101.599998,104.160004,616400.0
5547,2010-01-20,EQIX,102.849998,103.449997,101.970001,104.029999,411500.0
6015,2010-01-21,EQIX,103.190002,103.370003,103.120003,106.260002,788700.0
6483,2010-01-22,EQIX,103.199997,99.019997,98.66999799999999,104.260002,1259200.0
6951,2010-01-25,EQIX,99.760002,100.089996,99.099998,101.099998,550500.0
7419,2010-01-26,EQIX,99.400002,99.459999,98.769997,100.190002,657900.0
7887,2010-01-27,EQIX,98.900002,99.25,97.82,99.58000200000001,713500.0
8355,2010-01-28,EQIX,99.16999799999999,97.760002,95.860001,99.16999799999999,380100.0
8823,2010-01-29,EQIX,98.120003,96.230003,96.0,99.709999,715000.0
9291,2010-02-01,EQIX,96.690002,95.849998,95.300003,97.82,1243200.0
9759,2010-02-02,EQIX,95.910004,96.58000200000001,94.68,97.239998,1431100.0
10227,2010-02-03,EQIX,96.519997,96.0,95.279999,97.290001,737000.0
10695,2010-02-04,EQIX,95.33000200000001,92.720001,92.550003,95.75,997600.0
11163,2010-02-05,EQIX,92.879997,92.989998,90.489998,93.120003,877000.0
11631,2010-02-08,EQIX,92.989998,91.760002,91.760002,93.379997,633300.0
12099,2010-02-09,EQIX,92.970001,93.010002,91.58000200000001,93.599998,994900.0
12567,2010-02-10,EQIX,92.730003,93.010002,92.400002,94.309998,1237200.0
13035,2010-02-11,EQIX,93.230003,95.230003,91.16999799999999,95.730003,2107900.0
13503,2010-02-12,EQIX,94.510002,95.889999,93.199997,95.91999799999999,934600.0
13971,2010-02-16,EQIX,95.980003,95.760002,94.68,96.110001,753400.0
14439,2010-02-17,EQIX,95.83000200000001,96.18,94.860001,96.25,502500.0
14907,2010-02-18,EQIX,95.41999799999999,95.029999,94.32,96.529999,560000.0
15375,2010-02-19,EQIX,94.58000200000001,95.010002,94.5,95.459999,492000.0
15843,2010-02-22,EQIX,94.839996,94.510002,93.720001,94.980003,535400.0
16311,2010-02-23,EQIX,94.099998,93.230003,93.129997,94.809998,827100.0
16779,2010-02-24,EQIX,93.720001,94.83000200000001,93.339996,94.900002,554400.0
17247,2010-02-25,EQIX,93.82,94.33000200000001,92.699997,94.389999,862400.0
17715,2010-02-26,EQIX,94.559998,94.470001,93.589996,94.559998,642000.0
18183,2010-03-01,EQIX,94.989998,97.800003,94.480003,97.910004,835300.0
18651,2010-03-02,EQIX,97.860001,98.209999,97.449997,99.07,609800.0
19119,2010-03-03,EQIX,98.18,97.129997,96.980003,98.769997,612300.0
19587,2010-03-04,EQIX,97.08000200000001,98.75,96.970001,99.0,505000.0
20055,2010-03-05,EQIX,98.980003,102.739998,98.370003,103.190002,1460100.0
20523,2010-03-08,EQIX,103.08000200000001,102.620003,102.400002,104.230003,841800.0
20991,2010-03-09,EQIX,102.559998,102.300003,101.5,102.809998,519400.0
21459,2010-03-10,EQIX,102.029999,103.059998,101.389999,103.510002,785900.0
21927,2010-03-11,EQIX,102.720001,104.440002,102.410004,104.440002,552700.0
22395,2010-03-12,EQIX,104.540001,104.160004,103.83000200000001,105.099998,527000.0
22863,2010-03-15,EQIX,103.82,102.059998,101.730003,104.739998,794400.0
23331,2010-03-16,EQIX,101.739998,102.010002,101.349998,102.629997,455200.0
23799,2010-03-17,EQIX,102.339996,104.459999,102.32,105.239998,614800.0
24267,2010-03-18,EQIX,104.800003,103.870003,103.470001,104.949997,353200.0
24735,2010-03-19,EQIX,104.220001,102.690002,102.209999,104.589996,573100.0
25203,2010-03-22,EQIX,102.300003,101.949997,101.139999,102.599998,930400.0
25671,2010-03-23,EQIX,101.83000200000001,102.010002,100.82,102.720001,1527000.0
26139,2010-03-24,EQIX,101.209999,100.089996,99.529999,102.489998,1484000.0
26607,2010-03-25,EQIX,100.91999799999999,98.949997,98.839996,100.91999799999999,953700.0
27075,2010-03-26,EQIX,99.290001,96.449997,96.190002,99.290001,1181700.0
27543,2010-03-29,EQIX,96.519997,97.089996,96.18,98.160004,955000.0
28011,2010-03-30,EQIX,97.32,97.970001,97.239998,98.349998,539600.0
28479,2010-03-31,EQIX,97.410004,97.339996,97.019997,98.33000200000001,645100.0
28947,2010-04-01,EQIX,98.33000200000001,98.900002,97.940002,100.0,776200.0
29415,2010-04-05,EQIX,98.68,101.610001,98.550003,102.519997,662300.0
29883,2010-04-06,EQIX,101.489998,101.449997,99.970001,103.0,887500.0
30351,2010-04-07,EQIX,101.209999,101.629997,100.699997,102.16999799999999,532500.0
30819,2010-04-08,EQIX,101.599998,101.889999,100.209999,102.260002,345700.0
31287,2010-04-09,EQIX,101.889999,102.660004,101.309998,102.91999799999999,459300.0
31755,2010-04-12,EQIX,102.32,102.980003,102.019997,103.0,502900.0
32223,2010-04-13,EQIX,102.33000200000001,101.209999,100.440002,102.82,827400.0
