,date,symbol,open,close,low,high,volume
407,2010-01-04,ETR,82.099998,82.150002,81.75,82.730003,1049400.0
875,2010-01-05,ETR,82.279999,80.839996,80.360001,82.300003,1157100.0
1343,2010-01-06,ETR,80.790001,81.25,80.41999799999999,81.339996,1011900.0
1811,2010-01-07,ETR,80.959999,80.279999,80.25,81.029999,1243600.0
2279,2010-01-08,ETR,80.379997,79.510002,79.220001,80.57,1652800.0
2747,2010-01-11,ETR,79.980003,81.050003,79.75,81.529999,2014100.0
3215,2010-01-12,ETR,81.769997,81.720001,81.199997,82.120003,1786400.0
3683,2010-01-13,ETR,81.709999,82.879997,81.660004,83.010002,1104200.0
4151,2010-01-14,ETR,82.870003,82.800003,82.150002,83.089996,966000.0
4619,2010-01-15,ETR,82.550003,81.849998,80.93,82.620003,1918900.0
5087,2010-01-19,ETR,81.900002,82.160004,80.870003,82.190002,884100.0
5555,2010-01-20,ETR,81.949997,81.059998,80.059998,81.949997,1263500.0
6023,2010-01-21,ETR,81.58000200000001,79.75,79.300003,82.730003,2484000.0
6491,2010-01-22,ETR,79.739998,78.540001,78.480003,79.809998,1455700.0
6959,2010-01-25,ETR,79.199997,78.730003,77.760002,79.239998,1176000.0
7427,2010-01-26,ETR,78.589996,79.309998,78.099998,79.550003,1297900.0
7895,2010-01-27,ETR,79.300003,78.720001,77.720001,79.300003,1031900.0
8363,2010-01-28,ETR,78.849998,77.099998,77.08000200000001,79.029999,1630800.0
8831,2010-01-29,ETR,77.489998,76.309998,76.230003,77.82,2528800.0
9299,2010-02-01,ETR,76.620003,77.230003,75.900002,77.43,1383800.0
9767,2010-02-02,ETR,77.290001,78.779999,76.610001,79.730003,1713300.0
10235,2010-02-03,ETR,79.0,79.739998,78.779999,79.93,1634400.0
10703,2010-02-04,ETR,79.08000200000001,77.110001,77.040001,80.18,2353100.0
11171,2010-02-05,ETR,76.970001,77.089996,75.519997,77.209999,1891300.0
11639,2010-02-08,ETR,77.050003,76.290001,76.220001,77.349998,1008400.0
12107,2010-02-09,ETR,75.910004,76.260002,75.540001,76.940002,2135900.0
12575,2010-02-10,ETR,77.709999,76.66999799999999,75.949997,77.709999,1956100.0
13043,2010-02-11,ETR,76.730003,77.550003,75.980003,77.769997,2168900.0
13511,2010-02-12,ETR,76.519997,77.139999,76.300003,77.230003,1645300.0
