,date,symbol,open,close,low,high,volume
421,2010-01-04,FITB,9.88,10.12,9.81,10.22,15429100.0
889,2010-01-05,FITB,9.96,10.39,9.93,10.4,12700700.0
1357,2010-01-06,FITB,10.3,10.45,10.25,10.5,13140600.0
1825,2010-01-07,FITB,10.4,11.08,10.36,11.3,34759200.0
2293,2010-01-08,FITB,11.0,11.09,10.96,11.36,19963300.0
2761,2010-01-11,FITB,11.26,11.2,11.0,11.29,15251700.0
3229,2010-01-12,FITB,11.12,10.99,10.96,11.28,11348400.0
3697,2010-01-13,FITB,11.01,11.52,10.69,11.67,26686300.0
4165,2010-01-14,FITB,11.43,11.77,11.41,11.95,26508800.0
4633,2010-01-15,FITB,11.69,11.36,11.12,11.72,25443100.0
5101,2010-01-19,FITB,11.25,11.39,11.15,11.41,17267400.0
5569,2010-01-20,FITB,11.21,11.31,11.2,11.67,25445100.0
6037,2010-01-21,FITB,12.2,12.02,11.95,12.59,66585800.0
6505,2010-01-22,FITB,11.95,12.1,11.69,12.71,39367700.0
6973,2010-01-25,FITB,12.25,12.49,12.1,12.87,32935500.0
7441,2010-01-26,FITB,12.36,11.71,11.64,12.67,35793800.0
7909,2010-01-27,FITB,11.8,12.18,11.68,12.36,24246600.0
8377,2010-01-28,FITB,12.49,12.26,12.18,12.69,32530500.0
8845,2010-01-29,FITB,12.69,12.44,12.3,12.72,30962500.0
9313,2010-02-01,FITB,12.45,12.5,12.34,12.65,19895900.0
9781,2010-02-02,FITB,12.48,12.48,12.08,12.55,20103900.0
10249,2010-02-03,FITB,12.35,12.0,11.84,12.35,28331800.0
10717,2010-02-04,FITB,11.82,11.22,11.18,11.94,32057800.0
11185,2010-02-05,FITB,11.25,11.26,10.82,11.46,22197900.0
11653,2010-02-08,FITB,11.26,11.39,11.01,11.6,29759000.0
12121,2010-02-09,FITB,11.51,11.47,11.41,11.68,18606400.0
12589,2010-02-10,FITB,11.49,11.69,11.31,11.9,17858100.0
