,date,symbol,open,close,low,high,volume
432,2010-01-04,FTR,7.89,7.96,7.86,8.0,4030400.0
900,2010-01-05,FTR,7.96,7.91,7.86,8.02,3272900.0
1368,2010-01-06,FTR,7.99,7.8,7.79,7.99,4075600.0
1836,2010-01-07,FTR,7.81,7.76,7.76,7.86,4383900.0
2304,2010-01-08,FTR,7.8,7.68,7.62,7.83,3564600.0
2772,2010-01-11,FTR,7.75,7.66,7.65,7.75,2558500.0
3240,2010-01-12,FTR,7.63,7.57,7.55,7.68,2532300.0
3708,2010-01-13,FTR,7.64,7.62,7.56,7.64,1730500.0
4176,2010-01-14,FTR,7.67,7.62,7.6,7.67,1925100.0
4644,2010-01-15,FTR,7.66,7.49,7.46,7.66,5446400.0
5112,2010-01-19,FTR,7.54,7.65,7.49,7.68,2267700.0
5580,2010-01-20,FTR,7.64,7.58,7.55,7.66,2687800.0
6048,2010-01-21,FTR,7.63,7.6,7.53,7.65,4081100.0
6516,2010-01-22,FTR,7.55,7.53,7.51,7.65,3340400.0
6984,2010-01-25,FTR,7.64,7.62,7.55,7.65,3176600.0
7452,2010-01-26,FTR,7.63,7.6,7.55,7.67,2804600.0
7920,2010-01-27,FTR,7.59,7.61,7.54,7.65,2674800.0
8388,2010-01-28,FTR,7.64,7.65,7.55,7.71,4139200.0
8856,2010-01-29,FTR,7.68,7.61,7.6,7.75,2889200.0
9324,2010-02-01,FTR,7.67,7.62,7.58,7.67,2152600.0
9792,2010-02-02,FTR,7.68,7.72,7.6,7.73,2151400.0
10260,2010-02-03,FTR,7.75,7.71,7.63,7.75,2532300.0
10728,2010-02-04,FTR,7.66,7.62,7.61,7.72,3182100.0
11196,2010-02-05,FTR,7.61,7.62,7.54,7.64,3948700.0
11664,2010-02-08,FTR,7.63,7.58,7.56,7.73,2954900.0
12132,2010-02-09,FTR,7.68,7.58,7.51,7.68,3473100.0
12600,2010-02-10,FTR,7.6,7.56,7.49,7.6,4015100.0
13068,2010-02-11,FTR,7.57,7.6,7.53,7.62,3337400.0
13536,2010-02-12,FTR,7.6,7.59,7.53,7.62,2661900.0
14004,2010-02-16,FTR,7.65,7.64,7.54,7.65,2997100.0
14472,2010-02-17,FTR,7.66,7.77,7.6,7.78,3314600.0
14940,2010-02-18,FTR,7.79,7.78,7.66,7.84,5617300.0
15408,2010-02-19,FTR,7.77,7.64,7.6,7.77,4827000.0
15876,2010-02-22,FTR,7.69,7.74,7.65,7.77,3964000.0
16344,2010-02-23,FTR,7.8,7.7,7.68,7.81,5252900.0
16812,2010-02-24,FTR,7.82,7.6,7.58,7.82,6206000.0
17280,2010-02-25,FTR,7.58,7.67,7.54,7.71,5014500.0
17748,2010-02-26,FTR,7.71,7.79,7.62,7.79,4636700.0
18216,2010-03-01,FTR,7.82,7.75,7.7,7.89,6599900.0
18684,2010-03-02,FTR,7.79,7.66,7.61,7.83,9648300.0
19152,2010-03-03,FTR,7.76,7.62,7.6,7.76,8910300.0
19620,2010-03-04,FTR,7.64,7.61,7.57,7.64,7775900.0
20088,2010-03-05,FTR,7.43,7.31,7.23,7.47,8286100.0
20556,2010-03-08,FTR,7.34,7.49,7.29,7.53,8285900.0
21024,2010-03-09,FTR,7.45,7.47,7.43,7.57,7276000.0
21492,2010-03-10,FTR,7.45,7.55,7.45,7.57,5249600.0
21960,2010-03-11,FTR,7.55,7.54,7.46,7.57,4708900.0
22428,2010-03-12,FTR,7.54,7.5,7.47,7.56,2567300.0
22896,2010-03-15,FTR,7.51,7.49,7.43,7.51,4932900.0
23364,2010-03-16,FTR,7.48,7.45,7.41,7.52,7350800.0
23832,2010-03-17,FTR,7.45,7.58,7.42,7.59,9270700.0
24300,2010-03-18,FTR,7.6,7.51,7.51,7.6,3241900.0
24768,2010-03-19,FTR,7.49,7.49,7.42,7.55,5048100.0
25236,2010-03-22,FTR,7.43,7.48,7.4,7.52,4294600.0
25704,2010-03-23,FTR,7.5,7.5,7.43,7.5,4378900.0
26172,2010-03-24,FTR,7.46,7.41,7.4,7.5,4387600.0
26640,2010-03-25,FTR,7.47,7.38,7.37,7.48,4219100.0
27108,2010-03-26,FTR,7.37,7.35,7.35,7.45,2797100.0
27576,2010-03-29,FTR,7.4,7.4,7.3,7.4,3974400.0
28044,2010-03-30,FTR,7.42,7.46,7.38,7.47,2481200.0
28512,2010-03-31,FTR,7.49,7.44,7.41,7.49,3068000.0
28980,2010-04-01,FTR,7.45,7.48,7.41,7.5,3430800.0
29448,2010-04-05,FTR,7.49,7.55,7.46,7.55,3779500.0
29916,2010-04-06,FTR,7.55,7.54,7.46,7.57,4247500.0
30384,2010-04-07,FTR,7.55,7.45,7.43,7.56,3242300.0
30852,2010-04-08,FTR,7.46,7.45,7.38,7.46,2850400.0
31320,2010-04-09,FTR,7.45,7.45,7.4,7.45,2270900.0
31788,2010-04-12,FTR,7.44,7.43,7.41,7.48,1905900.0
32256,2010-04-13,FTR,7.54,7.79,7.5,7.84,14311700.0
32724,2010-04-14,FTR,7.8,7.77,7.74,7.84,6374200.0
33192,2010-04-15,FTR,7.76,7.79,7.75,7.81,3149200.0
33660,2010-04-16,FTR,7.76,7.76,7.72,7.81,3546700.0
34128,2010-04-19,FTR,7.73,7.72,7.68,7.81,4750800.0
34596,2010-04-20,FTR,7.75,7.85,7.68,7.89,6314900.0
35064,2010-04-21,FTR,7.88,7.84,7.78,7.89,4576200.0
35532,2010-04-22,FTR,7.87,7.84,7.7,7.95,7269200.0
36000,2010-04-23,FTR,7.86,7.82,7.72,7.87,3719500.0
36468,2010-04-26,FTR,7.83,7.83,7.7,7.89,4185200.0
