,date,symbol,open,close,low,high,volume
437,2010-01-04,GIS,35.595001,35.450001,35.3149985,35.6399995,5156400.0
905,2010-01-05,GIS,35.580002,35.119999,34.8050005,35.59,7439200.0
1373,2010-01-06,GIS,35.154999,35.330002,34.970001,35.459998999999996,4686800.0
1841,2010-01-07,GIS,35.0999985,35.6500015,34.9749985,35.715,6706800.0
2309,2010-01-08,GIS,35.700001,35.3600005,35.130001,35.700001,4445800.0
2777,2010-01-11,GIS,35.325001,35.3950005,35.1500015,35.459998999999996,2452200.0
3245,2010-01-12,GIS,35.3499985,35.66,35.2750015,35.720001,3686400.0
3713,2010-01-13,GIS,35.619999,35.8199995,35.4300005,35.955002,4028000.0
4181,2010-01-14,GIS,35.830002,35.8199995,35.595001,35.8950005,2270800.0
4649,2010-01-15,GIS,35.830002,35.665001000000004,35.5550005,35.9850005,3872400.0
5117,2010-01-19,GIS,35.8549995,35.955002,35.7249985,36.125,5109600.0
5585,2010-01-20,GIS,35.7700005,35.715,35.529999,35.7700005,4087000.0
6053,2010-01-21,GIS,35.75,35.5600015,35.4300005,35.965,5222000.0
6521,2010-01-22,GIS,35.575001,35.4799995,35.4300005,35.924999,7612800.0
6989,2010-01-25,GIS,35.6349985,35.3849985,35.3199995,35.869999,3934000.0
7457,2010-01-26,GIS,35.25,35.4799995,34.9749985,35.5250015,5024200.0
7925,2010-01-27,GIS,35.4900015,35.7599985,35.3050005,35.8950005,5461000.0
8393,2010-01-28,GIS,35.9399985,35.9749985,35.845001,36.2299995,6167400.0
8861,2010-01-29,GIS,36.1500015,35.654999,35.6349985,36.154999,5146400.0
9329,2010-02-01,GIS,35.915001000000004,35.5149995,35.369999,35.915001000000004,5566800.0
9797,2010-02-02,GIS,35.5999985,35.5149995,35.345001,35.8100015,7693400.0
10265,2010-02-03,GIS,35.575001,35.2700005,35.0999985,35.575001,6018400.0
10733,2010-02-04,GIS,35.075001,34.5,34.4900015,35.125,8263800.0
11201,2010-02-05,GIS,34.369999,34.3149985,34.035,34.540001000000004,5895600.0
11669,2010-02-08,GIS,34.3549995,34.290001000000004,34.2599985,34.630001,3941000.0
12137,2010-02-09,GIS,34.4350015,34.7249985,34.4350015,34.91,3763600.0
12605,2010-02-10,GIS,34.755001,34.7350005,34.470001,34.8650015,3514000.0
13073,2010-02-11,GIS,34.630001,34.715,34.3499985,34.7249985,4131000.0
