,date,symbol,open,close,low,high,volume
439,2010-01-04,GOOG,312.304948382,312.20530835799997,310.955000817,313.580158083,3927000.0
907,2010-01-05,GOOG,312.419511472,310.830458632,309.610028105,312.748278173,6031900.0
1375,2010-01-06,GOOG,311.761978566,302.994812557,302.048369558,311.761978566,7987100.0
1843,2010-01-07,GOOG,303.562685032,295.941242071,295.21895089599997,303.86157472,12876600.0
2311,2010-01-08,GOOG,294.895159047,299.88646988799997,293.45555055299997,300.49917232900003,9483900.0
2779,2010-01-11,GOOG,301.10192606,299.433161001,295.911365555,301.10192606,14479800.0
3247,2010-01-12,GOOG,297.709616768,294.138016503,292.902632525,297.963675992,9742900.0
3715,2010-01-13,GOOG,287.169102205,292.449323638,285.878938555,293.09193298099996,13041800.0
4183,2010-01-14,GOOG,290.8602703,293.824173364,290.317331369,295.99104689,8511900.0
4651,2010-01-15,GOOG,295.56267104799997,288.917548598,287.941228585,295.672259783,10909600.0
5119,2010-01-19,GOOG,289.515327974,292.713331572,287.069492566,294.108109103,8665700.0
5587,2010-01-20,GOOG,291.896405113,289.12180300299997,286.571353215,291.896405113,6525700.0
6055,2010-01-21,GOOG,290.631144122,290.401987059,285.057037741,292.314832245,12662600.0
6523,2010-01-22,GOOG,281.196496497,273.978527716,266.431792233,284.235106541,13651700.0
6991,2010-01-25,GOOG,272.274911289,268.992221616,266.75558458,273.913769446,8872800.0
7459,2010-01-26,GOOG,267.980989462,270.197698193,267.144134699,273.774303698,8743600.0
7927,2010-01-27,GOOG,269.624851862,270.03830464,266.655974942,272.80292765400003,7958400.0
8395,2010-01-28,GOOG,271.228828265,266.147856494,264.309748674,272.47913530700004,6482300.0
8863,2010-01-29,GOOG,268.24002304,263.98098247,261.824057156,269.485355728,8311900.0
9331,2010-02-01,GOOG,266.302306079,265.51522575,264.16030383,266.905029424,4518400.0
9799,2010-02-02,GOOG,266.481627439,264.56878275,262.820335859,266.481627439,8223000.0
10267,2010-02-03,GOOG,263.348351725,269.40066965200003,263.129174256,270.03830464,6020500.0
10735,2010-02-04,GOOG,267.497803561,262.406883081,261.799154995,267.99594291299996,6780600.0
11203,2010-02-05,GOOG,263.21386083,264.653468826,260.25496300599997,265.754331523,6335600.0
11671,2010-02-08,GOOG,265.256222557,265.739408458,264.77300627,269.988469434,5408700.0
12139,2010-02-09,GOOG,268.763064552,267.218872563,266.536406613,269.7543689,5660200.0
12607,2010-02-10,GOOG,266.03826726200003,266.227568215,262.860191968,267.891328533,5369000.0
13075,2010-02-11,GOOG,265.66467059400003,267.19894425900003,263.76180500099997,269.236301743,4838000.0
13543,2010-02-12,GOOG,265.490323589,265.565060955,264.259943854,267.572541425,4576400.0
14011,2010-02-16,GOOG,267.433045291,269.639774927,266.152861235,271.049506407,7336100.0
14479,2010-02-17,GOOG,269.988469434,268.100557292,267.801667604,270.685858449,4074500.0
14947,2010-02-18,GOOG,267.76681673400003,270.59619752,267.06942771900003,271.487861843,4691200.0
15415,2010-02-19,GOOG,269.256229549,269.370792638,268.842776771,270.999701588,5125300.0
15883,2010-02-22,GOOG,272.65348281,270.386999147,269.490360967,272.728220176,4305100.0
16351,2010-02-23,GOOG,270.486608786,266.536406613,265.151608178,270.800451924,5766600.0
16819,2010-02-24,GOOG,265.993437295,264.743129755,264.264918707,268.215120382,4670500.0
