,date,symbol,open,close,low,high,volume
451,2010-01-04,HBAN,3.71,3.68,3.65,3.74,10462800.0
919,2010-01-05,HBAN,3.68,3.76,3.65,3.77,21226600.0
1387,2010-01-06,HBAN,3.75,3.86,3.72,3.89,18761000.0
1855,2010-01-07,HBAN,3.85,4.29,3.83,4.35,66130600.0
2323,2010-01-08,HBAN,4.23,4.22,4.13,4.37,29869600.0
2791,2010-01-11,HBAN,4.31,4.33,4.21,4.44,28307500.0
3259,2010-01-12,HBAN,4.26,4.21,4.15,4.42,25239200.0
3727,2010-01-13,HBAN,4.21,4.31,4.08,4.34,26868200.0
4195,2010-01-14,HBAN,4.31,4.41,4.27,4.45,24295600.0
4663,2010-01-15,HBAN,4.4,4.28,4.22,4.41,17671600.0
5131,2010-01-19,HBAN,4.27,4.3,4.21,4.36,15203200.0
5599,2010-01-20,HBAN,4.25,4.29,4.23,4.41,20893700.0
6067,2010-01-21,HBAN,4.38,4.53,4.37,4.75,63969900.0
6535,2010-01-22,HBAN,4.42,4.69,4.25,4.87,61227600.0
7003,2010-01-25,HBAN,4.77,4.8,4.65,4.94,34705900.0
7471,2010-01-26,HBAN,4.86,4.6,4.6,4.99,45439900.0
7939,2010-01-27,HBAN,4.67,4.88,4.65,4.9,34009000.0
8407,2010-01-28,HBAN,5.08,4.99,4.92,5.09,40498900.0
8875,2010-01-29,HBAN,5.05,4.79,4.74,5.05,27561700.0
9343,2010-02-01,HBAN,4.85,4.9,4.78,4.94,18652800.0
9811,2010-02-02,HBAN,4.88,4.93,4.82,4.94,35142400.0
10279,2010-02-03,HBAN,4.88,4.71,4.63,4.9,41303100.0
10747,2010-02-04,HBAN,4.66,4.54,4.46,4.68,35832300.0
11215,2010-02-05,HBAN,4.56,4.63,4.4,4.69,25099500.0
11683,2010-02-08,HBAN,4.68,4.58,4.53,4.73,17834600.0
12151,2010-02-09,HBAN,4.66,4.65,4.57,4.73,17433300.0
12619,2010-02-10,HBAN,4.61,4.71,4.61,4.75,14027800.0
13087,2010-02-11,HBAN,4.75,4.79,4.68,4.81,16127900.0
13555,2010-02-12,HBAN,4.71,4.68,4.62,4.77,13711900.0
14023,2010-02-16,HBAN,4.73,4.82,4.7,4.82,14918600.0
14491,2010-02-17,HBAN,4.83,4.76,4.73,4.88,12692100.0
14959,2010-02-18,HBAN,4.76,4.72,4.69,4.8,11941600.0
15427,2010-02-19,HBAN,4.72,4.85,4.71,4.85,11149600.0
15895,2010-02-22,HBAN,4.91,4.93,4.88,4.95,16529800.0
16363,2010-02-23,HBAN,4.89,4.81,4.8,4.95,13714300.0
16831,2010-02-24,HBAN,4.86,4.89,4.83,4.94,12362900.0
17299,2010-02-25,HBAN,4.76,4.8,4.75,4.84,10031300.0
17767,2010-02-26,HBAN,4.8,4.81,4.76,4.84,9186500.0
18235,2010-03-01,HBAN,4.86,4.8,4.75,4.88,7019800.0
18703,2010-03-02,HBAN,4.84,4.83,4.79,4.87,11973800.0
19171,2010-03-03,HBAN,4.84,4.81,4.77,4.87,10153200.0
19639,2010-03-04,HBAN,4.83,4.81,4.79,4.84,5681800.0
20107,2010-03-05,HBAN,4.86,4.96,4.82,4.96,14761100.0
20575,2010-03-08,HBAN,5.0,4.96,4.89,5.03,12788000.0
21043,2010-03-09,HBAN,4.93,5.03,4.85,5.14,21012700.0
21511,2010-03-10,HBAN,5.19,5.25,5.15,5.44,39935500.0
21979,2010-03-11,HBAN,5.3,5.4,5.29,5.62,54603100.0
22447,2010-03-12,HBAN,5.58,5.47,5.4,5.62,26892500.0
22915,2010-03-15,HBAN,5.43,5.41,5.27,5.45,22332300.0
23383,2010-03-16,HBAN,5.48,5.53,5.42,5.53,18207300.0
23851,2010-03-17,HBAN,5.64,5.76,5.6,5.81,32758400.0
24319,2010-03-18,HBAN,5.81,5.5,5.47,5.81,32948700.0
24787,2010-03-19,HBAN,5.51,5.32,5.29,5.55,37237600.0
25255,2010-03-22,HBAN,5.19,5.47,5.14,5.52,22213500.0
25723,2010-03-23,HBAN,5.5,5.48,5.38,5.54,24917400.0
26191,2010-03-24,HBAN,5.46,5.48,5.44,5.54,20073200.0
26659,2010-03-25,HBAN,5.58,5.5,5.49,5.69,25154200.0
27127,2010-03-26,HBAN,5.61,5.47,5.4,5.65,23286100.0
27595,2010-03-29,HBAN,5.54,5.45,5.38,5.55,14392400.0
28063,2010-03-30,HBAN,5.47,5.41,5.35,5.5,11651500.0
28531,2010-03-31,HBAN,5.35,5.39,5.32,5.5,16615500.0
28999,2010-04-01,HBAN,5.48,5.39,5.32,5.5,11268500.0
29467,2010-04-05,HBAN,5.42,5.53,5.39,5.55,17259300.0
29935,2010-04-06,HBAN,5.54,5.85,5.5,5.85,37087600.0
30403,2010-04-07,HBAN,5.88,5.89,5.81,6.05,35276600.0
30871,2010-04-08,HBAN,5.88,5.9,5.7,6.05,29871500.0
31339,2010-04-09,HBAN,6.0,5.86,5.82,6.0,21108300.0
31807,2010-04-12,HBAN,5.89,6.03,5.85,6.08,24430800.0
32275,2010-04-13,HBAN,5.88,5.69,5.57,5.88,51725500.0
32743,2010-04-14,HBAN,5.83,5.88,5.78,5.95,31518700.0
33211,2010-04-15,HBAN,5.9,5.75,5.73,5.95,24467800.0
33679,2010-04-16,HBAN,5.76,5.56,5.29,5.76,45066500.0
34147,2010-04-19,HBAN,5.5,5.49,5.26,5.62,33650200.0
34615,2010-04-20,HBAN,5.58,5.83,5.47,5.85,37734900.0
35083,2010-04-21,HBAN,6.16,6.59,6.11,6.8,118063900.0
35551,2010-04-22,HBAN,6.68,6.89,6.56,6.98,54644000.0
36019,2010-04-23,HBAN,7.1,7.17,7.03,7.28,55055600.0
36487,2010-04-26,HBAN,7.24,6.86,6.85,7.4,40319800.0
36955,2010-04-27,HBAN,6.7,6.68,6.56,6.86,35501300.0
37423,2010-04-28,HBAN,6.78,6.73,6.62,6.94,29130000.0
37892,2010-04-29,HBAN,6.85,6.87,6.75,6.96,18829200.0
38361,2010-04-30,HBAN,6.85,6.76,6.73,7.04,28582700.0
38830,2010-05-03,HBAN,6.84,6.88,6.76,6.92,13053800.0
39299,2010-05-04,HBAN,6.8,6.67,6.63,6.84,22622400.0
39768,2010-05-05,HBAN,6.53,6.55,6.46,6.87,42628900.0
40237,2010-05-06,HBAN,6.52,6.23,5.66,6.72,50405100.0
40706,2010-05-07,HBAN,6.2,6.01,5.86,6.38,38180200.0
41175,2010-05-10,HBAN,6.49,6.49,6.27,6.57,33560400.0
41644,2010-05-11,HBAN,6.37,6.48,6.33,6.71,32663800.0
42113,2010-05-12,HBAN,6.74,6.77,6.69,6.87,37676400.0
42582,2010-05-13,HBAN,6.81,6.76,6.71,6.95,29913000.0
43051,2010-05-14,HBAN,6.66,6.53,6.44,6.69,33066600.0
43520,2010-05-17,HBAN,6.54,6.5,6.28,6.62,22873800.0
43989,2010-05-18,HBAN,6.6,6.16,6.08,6.6,33016500.0
44458,2010-05-19,HBAN,6.1,6.15,6.01,6.37,29417700.0
44927,2010-05-20,HBAN,5.92,5.85,5.76,6.02,45452700.0
45396,2010-05-21,HBAN,5.69,6.24,5.62,6.24,38619300.0
45865,2010-05-24,HBAN,6.27,6.0,5.98,6.27,21195200.0
46334,2010-05-25,HBAN,5.67,5.96,5.66,5.99,31690200.0
46803,2010-05-26,HBAN,6.11,6.01,5.98,6.17,16251900.0
47272,2010-05-27,HBAN,6.18,6.24,6.07,6.25,15180400.0
47741,2010-05-28,HBAN,6.28,6.16,6.1,6.32,13165500.0
48210,2010-06-01,HBAN,6.09,5.93,5.92,6.26,14126400.0
48679,2010-06-02,HBAN,6.05,6.17,5.98,6.17,13098000.0
49148,2010-06-03,HBAN,6.22,6.11,6.03,6.25,12740600.0
49617,2010-06-04,HBAN,5.95,5.83,5.78,6.05,17932500.0
50086,2010-06-07,HBAN,5.86,5.57,5.54,5.91,17001800.0
50555,2010-06-08,HBAN,5.63,5.72,5.4,5.72,20253100.0
51024,2010-06-09,HBAN,5.76,5.71,5.69,5.85,18792500.0
51493,2010-06-10,HBAN,5.84,5.91,5.76,5.92,18081800.0
51962,2010-06-11,HBAN,5.8,6.11,5.73,6.12,15897600.0
52431,2010-06-14,HBAN,6.21,6.08,6.05,6.25,13577000.0
52900,2010-06-15,HBAN,6.15,6.29,6.05,6.3,13169800.0
53369,2010-06-16,HBAN,6.2,6.14,6.09,6.24,11437300.0
53838,2010-06-17,HBAN,6.16,6.03,5.94,6.19,12376800.0
54307,2010-06-18,HBAN,6.04,6.05,5.97,6.09,9631900.0
54776,2010-06-21,HBAN,6.12,6.05,6.0,6.17,10427600.0
55245,2010-06-22,HBAN,6.05,5.96,5.95,6.12,14987900.0
55714,2010-06-23,HBAN,5.98,5.85,5.83,6.04,12883700.0
56183,2010-06-24,HBAN,5.79,5.74,5.73,5.9,10764100.0
56652,2010-06-25,HBAN,5.86,6.0,5.74,6.01,13915100.0
57121,2010-06-28,HBAN,6.0,5.93,5.86,6.01,9919200.0
57590,2010-06-29,HBAN,5.82,5.63,5.6,5.82,20768900.0
58059,2010-06-30,HBAN,5.64,5.54,5.53,5.79,13381100.0
58528,2010-07-01,HBAN,5.45,5.43,5.2,5.64,23668500.0
58997,2010-07-02,HBAN,5.47,5.34,5.26,5.54,12859500.0
59466,2010-07-06,HBAN,5.5,5.32,5.25,5.51,12537500.0
59935,2010-07-07,HBAN,5.36,5.76,5.36,5.81,16188200.0
60404,2010-07-08,HBAN,5.9,5.67,5.58,5.97,20838100.0
60873,2010-07-09,HBAN,5.67,5.91,5.61,5.95,9543200.0
61342,2010-07-12,HBAN,5.89,5.93,5.81,5.99,11026800.0
61811,2010-07-13,HBAN,6.02,6.16,6.02,6.19,13404100.0
62280,2010-07-14,HBAN,6.15,6.04,5.94,6.17,15680900.0
62749,2010-07-15,HBAN,6.05,6.13,5.91,6.19,15875300.0
63218,2010-07-16,HBAN,6.09,5.73,5.7,6.11,21951700.0
63687,2010-07-19,HBAN,5.78,5.77,5.57,5.86,15870400.0
64156,2010-07-20,HBAN,5.57,5.82,5.51,5.83,19932600.0
64625,2010-07-21,HBAN,5.92,5.67,5.65,6.05,23191900.0
65094,2010-07-22,HBAN,5.9,5.85,5.79,5.97,20907600.0
65563,2010-07-23,HBAN,5.84,6.06,5.75,6.06,21301000.0
66032,2010-07-26,HBAN,6.05,6.31,5.98,6.35,17988500.0
66501,2010-07-27,HBAN,6.32,6.36,6.15,6.45,21655900.0
66970,2010-07-28,HBAN,6.31,6.19,6.12,6.36,11909500.0
67439,2010-07-29,HBAN,6.22,6.06,6.04,6.3,14894700.0
67908,2010-07-30,HBAN,5.95,6.06,5.91,6.14,12296200.0
68377,2010-08-02,HBAN,6.18,6.29,6.15,6.34,21543700.0
68846,2010-08-03,HBAN,6.3,6.28,6.26,6.4,11340300.0
69315,2010-08-04,HBAN,6.33,6.28,6.23,6.38,8707300.0
69784,2010-08-05,HBAN,6.2,6.28,6.16,6.29,8914700.0
70253,2010-08-06,HBAN,6.2,6.25,6.1,6.27,10801100.0
70722,2010-08-09,HBAN,6.27,6.33,6.18,6.35,13908500.0
71191,2010-08-10,HBAN,6.24,6.12,6.08,6.29,16218400.0
71660,2010-08-11,HBAN,5.98,5.74,5.74,6.05,20166500.0
72129,2010-08-12,HBAN,5.69,5.65,5.62,5.74,14959100.0
72598,2010-08-13,HBAN,5.65,5.66,5.62,5.74,9625600.0
73067,2010-08-16,HBAN,5.63,5.55,5.5,5.69,12644700.0
73536,2010-08-17,HBAN,5.64,5.51,5.5,5.67,11775800.0
74005,2010-08-18,HBAN,5.53,5.5,5.43,5.61,12591300.0
74474,2010-08-19,HBAN,5.48,5.39,5.36,5.56,13762500.0
74943,2010-08-20,HBAN,5.38,5.39,5.27,5.44,11129700.0
75412,2010-08-23,HBAN,5.43,5.37,5.31,5.47,16993900.0
75881,2010-08-24,HBAN,5.18,5.2,5.14,5.27,16991700.0
76350,2010-08-25,HBAN,5.11,5.19,5.04,5.2,14750400.0
76819,2010-08-26,HBAN,5.24,5.18,5.18,5.34,10933000.0
77288,2010-08-27,HBAN,5.24,5.44,5.21,5.46,13479100.0
77757,2010-08-30,HBAN,5.41,5.24,5.21,5.42,10033700.0
78226,2010-08-31,HBAN,5.21,5.3,5.21,5.4,11586800.0
78695,2010-09-01,HBAN,5.43,5.47,5.36,5.52,13098100.0
79164,2010-09-02,HBAN,5.5,5.68,5.45,5.68,12620000.0
79633,2010-09-03,HBAN,5.83,5.72,5.61,5.84,10087400.0
80102,2010-09-07,HBAN,5.63,5.48,5.46,5.65,10282200.0
80571,2010-09-08,HBAN,5.65,5.77,5.6,5.84,20518400.0
81040,2010-09-09,HBAN,5.87,5.86,5.77,5.98,18302400.0
81509,2010-09-10,HBAN,5.86,5.85,5.83,5.98,11190500.0
81978,2010-09-13,HBAN,6.06,6.08,6.0,6.13,16229100.0
82447,2010-09-14,HBAN,6.06,6.07,5.97,6.15,13017800.0
82916,2010-09-15,HBAN,5.98,6.07,5.94,6.13,13766300.0
83385,2010-09-16,HBAN,6.02,5.89,5.79,6.09,34740400.0
83854,2010-09-17,HBAN,5.97,5.8,5.8,5.98,12751500.0
84323,2010-09-20,HBAN,5.85,6.0,5.82,6.05,20366400.0
84792,2010-09-21,HBAN,6.01,5.92,5.89,6.06,15099800.0
85261,2010-09-22,HBAN,5.9,5.78,5.75,5.95,12855800.0
85730,2010-09-23,HBAN,5.7,5.63,5.61,5.86,13092400.0
86199,2010-09-24,HBAN,5.75,5.84,5.73,5.85,11225500.0
86668,2010-09-27,HBAN,5.89,5.74,5.71,5.89,9814700.0
87137,2010-09-28,HBAN,5.76,5.72,5.59,5.79,15220400.0
87606,2010-09-29,HBAN,5.69,5.64,5.62,5.74,10832200.0
88075,2010-09-30,HBAN,5.67,5.69,5.65,5.82,9614600.0
88544,2010-10-01,HBAN,5.73,5.71,5.66,5.81,11581400.0
89013,2010-10-04,HBAN,5.7,5.7,5.69,5.82,11350400.0
89482,2010-10-05,HBAN,5.75,5.94,5.74,5.98,20134400.0
89951,2010-10-06,HBAN,5.97,5.89,5.87,6.03,12453300.0
90420,2010-10-07,HBAN,5.95,5.9,5.82,5.96,10269600.0
90889,2010-10-08,HBAN,5.9,5.86,5.8,5.94,7599700.0
91358,2010-10-11,HBAN,5.86,5.82,5.79,5.9,8717300.0
91827,2010-10-12,HBAN,5.78,5.94,5.75,5.96,8221500.0
92296,2010-10-13,HBAN,6.0,5.88,5.88,6.05,14289900.0
92765,2010-10-14,HBAN,5.83,5.73,5.65,5.84,20604100.0
93234,2010-10-15,HBAN,5.79,5.69,5.54,5.79,21973400.0
