,date,symbol,open,close,low,high,volume
452,2010-01-04,HBI,6.07000025,6.17500025,6.07000025,6.21999975,3658400.0
920,2010-01-05,HBI,6.17999975,6.19500025,6.1275,6.2675,2300400.0
1388,2010-01-06,HBI,6.22249975,6.22249975,6.15250025,6.23,1973200.0
1856,2010-01-07,HBI,6.19500025,6.11000025,6.0875,6.275,3284000.0
2324,2010-01-08,HBI,6.11250025,6.1825,6.05249975,6.20249975,2953600.0
2792,2010-01-11,HBI,6.23750025,6.15999975,6.1475,6.36499975,2662800.0
3260,2010-01-12,HBI,6.09250025,5.97249975,5.8975,6.11250025,3633600.0
3728,2010-01-13,HBI,6.005,6.03000025,5.88250025,6.04750025,4270000.0
4196,2010-01-14,HBI,5.995,6.09499975,5.9775,6.11000025,1902800.0
4664,2010-01-15,HBI,6.1,5.98750025,5.955,6.13500025,1762000.0
5132,2010-01-19,HBI,6.01249975,5.9825,5.9425,6.03499975,3280800.0
5600,2010-01-20,HBI,5.9125,5.86250025,5.5875,5.9425,9663600.0
6068,2010-01-21,HBI,5.86499975,5.7725,5.77,5.94750025,4024800.0
6536,2010-01-22,HBI,5.7725,5.71999975,5.70249975,5.8925,2408000.0
7004,2010-01-25,HBI,5.795,5.725,5.67999975,5.80000025,2163600.0
7472,2010-01-26,HBI,5.705,5.75,5.6925,5.82000025,2957200.0
7940,2010-01-27,HBI,5.74249975,5.79,5.69750025,5.84000025,3150000.0
8408,2010-01-28,HBI,5.625,5.94500025,5.61250025,6.05249975,7434400.0
8876,2010-01-29,HBI,5.96999975,5.74249975,5.7275,6.0225,3995200.0
9344,2010-02-01,HBI,5.76000025,5.7925,5.67250025,5.82749975,3008400.0
9812,2010-02-02,HBI,5.7875,5.79750025,5.7125,5.82499975,3220800.0
10280,2010-02-03,HBI,5.775,5.65500025,5.6075,5.775,3061200.0
10748,2010-02-04,HBI,5.6075,5.4175,5.4,5.6075,3843600.0
11216,2010-02-05,HBI,5.40250025,5.4375,5.23750025,5.455,4368400.0
11684,2010-02-08,HBI,5.46,5.44999975,5.3975,5.57000025,2963200.0
12152,2010-02-09,HBI,5.5425,5.59000025,5.51249975,5.65,2731600.0
12620,2010-02-10,HBI,5.6025,5.6675,5.57749975,5.725,3033200.0
13088,2010-02-11,HBI,5.63999975,5.75750025,5.605,5.77750025,1676800.0
13556,2010-02-12,HBI,5.69999975,5.88,5.6425,5.88,3217200.0
14024,2010-02-16,HBI,5.915,5.935,5.8575,5.9775,2158000.0
14492,2010-02-17,HBI,5.9375,6.0025,5.915,6.0575,2915600.0
14960,2010-02-18,HBI,6.00750025,6.0225,5.995,6.0625,2444000.0
15428,2010-02-19,HBI,6.02,6.0675,5.9975,6.1275,2002400.0
15896,2010-02-22,HBI,6.07499975,6.1425,6.07499975,6.17,2502800.0
16364,2010-02-23,HBI,6.15999975,6.07749975,6.05000025,6.27,4073200.0
16832,2010-02-24,HBI,6.12,6.2125,6.07749975,6.225,3300000.0
17300,2010-02-25,HBI,6.11749975,6.26000025,6.09000025,6.28000025,3001200.0
17768,2010-02-26,HBI,6.25,6.4825,6.2475,6.55499975,5360800.0
