,date,symbol,open,close,low,high,volume
453,2010-01-04,HCN,44.509997999999996,44.040001000000004,43.93,44.959998999999996,1426600.0
921,2010-01-05,HCN,44.279999,44.66,43.869999,44.740002000000004,1173300.0
1389,2010-01-06,HCN,44.75,44.439999,44.310001,44.950001,1061700.0
1857,2010-01-07,HCN,44.5,44.529999,43.98,44.860001000000004,1528800.0
2325,2010-01-08,HCN,44.279999,44.07,43.849998,44.549999,1089700.0
2793,2010-01-11,HCN,43.68,44.169998,43.619999,44.240002000000004,1249600.0
3261,2010-01-12,HCN,43.880001,43.77,43.5,44.380001,1261000.0
3729,2010-01-13,HCN,43.990002000000004,44.709998999999996,43.919998,44.810001,1368900.0
4197,2010-01-14,HCN,44.689999,44.380001,44.150002,44.689999,938400.0
4665,2010-01-15,HCN,44.25,44.299999,44.169998,44.549999,1531800.0
5133,2010-01-19,HCN,44.310001,45.43,44.310001,45.599998,1350500.0
5601,2010-01-20,HCN,45.220001,45.25,44.68,45.369999,1324400.0
6069,2010-01-21,HCN,45.290001000000004,44.18,44.080002,45.610001000000004,1607600.0
6537,2010-01-22,HCN,44.169998,43.209998999999996,43.099998,44.549999,1934700.0
7005,2010-01-25,HCN,43.650002,43.32,42.619999,43.650002,1679300.0
7473,2010-01-26,HCN,43.02,43.09,42.919998,43.5,1181800.0
7941,2010-01-27,HCN,43.099998,43.419998,42.459998999999996,43.459998999999996,1442500.0
8409,2010-01-28,HCN,43.610001000000004,43.290001000000004,42.889998999999996,43.68,1826800.0
8877,2010-01-29,HCN,43.349998,43.0,42.810001,43.98,1955300.0
9345,2010-02-01,HCN,43.27,43.060001,42.799999,43.48,1595700.0
9813,2010-02-02,HCN,43.119999,43.360001000000004,42.59,43.549999,2214400.0
10281,2010-02-03,HCN,43.290001000000004,42.740002000000004,42.240002000000004,43.299999,1622400.0
10749,2010-02-04,HCN,41.880001,40.419998,40.419998,42.080002,3131700.0
11217,2010-02-05,HCN,40.360001000000004,41.02,39.82,41.049999,2704200.0
11685,2010-02-08,HCN,41.0,40.259997999999996,40.189999,41.119999,1660400.0
12153,2010-02-09,HCN,40.630001,40.32,39.990002000000004,40.779999,1804200.0
12621,2010-02-10,HCN,40.41,40.48,39.939999,41.080002,1158800.0
13089,2010-02-11,HCN,40.470001,40.990002000000004,40.189999,41.080002,1119200.0
13557,2010-02-12,HCN,40.650002,40.759997999999996,40.080002,40.810001,1491100.0
14025,2010-02-16,HCN,41.009997999999996,41.709998999999996,40.860001000000004,41.75,1526900.0
14493,2010-02-17,HCN,41.790001000000004,42.02,41.66,42.18,1039300.0
14961,2010-02-18,HCN,41.939999,42.349998,41.540001000000004,42.540001000000004,1493800.0
15429,2010-02-19,HCN,42.23,41.860001000000004,41.720001,42.32,2148000.0
15897,2010-02-22,HCN,42.099998,42.0,41.68,42.189999,1319600.0
16365,2010-02-23,HCN,41.939999,41.540001000000004,41.470001,42.049999,1622800.0
16833,2010-02-24,HCN,41.689999,42.259997999999996,41.450001,42.259997999999996,1605000.0
17301,2010-02-25,HCN,41.759997999999996,42.630001,41.549999,42.669998,2602600.0
17769,2010-02-26,HCN,42.700001,42.360001000000004,42.360001000000004,42.75,1855100.0
18237,2010-03-01,HCN,42.529999,42.700001,42.310001,42.75,1369200.0
18705,2010-03-02,HCN,42.790001000000004,42.529999,42.330002,42.900002,1118900.0
19173,2010-03-03,HCN,42.470001,42.34,42.18,42.540001000000004,913300.0
19641,2010-03-04,HCN,42.5,42.630001,42.240002000000004,42.720001,916900.0
20109,2010-03-05,HCN,42.889998999999996,43.16,42.59,43.259997999999996,1668300.0
20577,2010-03-08,HCN,43.16,43.400002,43.02,43.470001,1000800.0
21045,2010-03-09,HCN,43.23,43.630001,43.119999,43.849998,1294500.0
21513,2010-03-10,HCN,43.52,44.040001000000004,43.310001,44.07,1984500.0
21981,2010-03-11,HCN,43.889998999999996,44.48,43.75,44.48,1146300.0
22449,2010-03-12,HCN,44.59,44.779999,44.43,44.98,1220300.0
22917,2010-03-15,HCN,44.790001000000004,44.959998999999996,44.52,45.049999,1023500.0
23385,2010-03-16,HCN,45.060001,45.98,44.849998,46.060001,2871200.0
23853,2010-03-17,HCN,45.990002000000004,46.209998999999996,45.84,46.360001000000004,1647100.0
24321,2010-03-18,HCN,45.740002000000004,45.91,45.5,46.049999,1328700.0
24789,2010-03-19,HCN,45.75,45.75,45.299999,46.220001,1627800.0
25257,2010-03-22,HCN,45.57,46.259997999999996,45.41,46.360001000000004,1062300.0
25725,2010-03-23,HCN,46.380001,46.25,45.799999,46.380001,937800.0
26193,2010-03-24,HCN,46.200001,46.310001,46.09,46.689999,1346600.0
26661,2010-03-25,HCN,46.5,46.27,46.25,46.790001000000004,1244700.0
27129,2010-03-26,HCN,46.5,45.880001,45.689999,46.52,1269000.0
27597,2010-03-29,HCN,46.099998,45.830002,45.66,46.18,917300.0
28065,2010-03-30,HCN,45.880001,45.709998999999996,45.639998999999996,46.18,803200.0
28533,2010-03-31,HCN,45.48,45.23,45.189999,45.720001,1020000.0
29001,2010-04-01,HCN,45.400002,45.09,44.68,45.669998,1130000.0
29469,2010-04-05,HCN,45.25,45.389998999999996,45.119999,45.650002,866600.0
29937,2010-04-06,HCN,45.23,45.91,45.099998,45.91,1481900.0
30405,2010-04-07,HCN,45.720001,45.130001,45.049999,45.919998,1222100.0
30873,2010-04-08,HCN,45.09,45.09,44.799999,45.200001,1320000.0
31341,2010-04-09,HCN,45.259997999999996,45.630001,45.099998,45.869999,1774200.0
31809,2010-04-12,HCN,45.790001000000004,45.299999,45.240002000000004,45.970001,1555800.0
32277,2010-04-13,HCN,45.25,46.150002,45.189999,46.290001000000004,1082500.0
32745,2010-04-14,HCN,46.439999,45.919998,45.700001,46.439999,1138300.0
33213,2010-04-15,HCN,45.869999,44.259997999999996,44.259997999999996,45.880001,1789300.0
33681,2010-04-16,HCN,44.200001,43.279999,43.240002000000004,44.580002,2589900.0
34149,2010-04-19,HCN,43.25,43.25,43.09,43.93,2687600.0
34617,2010-04-20,HCN,43.52,43.849998,43.009997999999996,43.849998,1381300.0
35085,2010-04-21,HCN,43.84,44.400002,43.669998,44.790001000000004,1098900.0
35553,2010-04-22,HCN,44.099998,44.759997999999996,44.02,44.869999,1062400.0
36021,2010-04-23,HCN,44.68,45.23,44.5,45.349998,1334300.0
36489,2010-04-26,HCN,45.240002000000004,45.459998999999996,45.150002,46.049999,1261100.0
36957,2010-04-27,HCN,45.310001,44.450001,44.419998,45.540001000000004,2088000.0
37425,2010-04-28,HCN,44.880001,44.619999,44.380001,45.049999,1855100.0
37894,2010-04-29,HCN,44.990002000000004,45.779999,44.970001,45.849998,1500500.0
38363,2010-04-30,HCN,45.639998999999996,44.93,44.900002,46.02,1315500.0
38832,2010-05-03,HCN,45.27,45.939999,45.240002000000004,46.060001,1189100.0
39301,2010-05-04,HCN,45.459998999999996,44.389998999999996,44.119999,45.639998999999996,1876600.0
39770,2010-05-05,HCN,43.77,43.529999,43.27,44.27,2225500.0
40239,2010-05-06,HCN,42.130001,40.740002000000004,38.419998,43.060001,3705800.0
40708,2010-05-07,HCN,41.07,40.549999,39.950001,41.68,2522200.0
41177,2010-05-10,HCN,42.389998999999996,42.889998999999996,41.779999,42.959998999999996,2457800.0
41646,2010-05-11,HCN,42.279999,42.91,42.16,43.23,1520000.0
42115,2010-05-12,HCN,43.27,43.040001000000004,42.700001,43.27,1383600.0
42584,2010-05-13,HCN,43.099998,42.619999,42.400002,43.130001,1425100.0
43053,2010-05-14,HCN,42.369999,42.009997999999996,41.709998999999996,42.389998999999996,1879100.0
43522,2010-05-17,HCN,42.0,42.080002,41.25,42.599998,2084200.0
43991,2010-05-18,HCN,42.48,41.419998,41.27,42.669998,1997600.0
44460,2010-05-19,HCN,41.200001,41.080002,40.439999,41.740002000000004,1932600.0
44929,2010-05-20,HCN,40.970001,40.0,39.990002000000004,41.299999,3661200.0
45398,2010-05-21,HCN,39.759997999999996,41.509997999999996,39.5,41.57,2912800.0
45867,2010-05-24,HCN,42.369999,41.509997999999996,41.5,42.369999,2512300.0
46336,2010-05-25,HCN,40.82,42.619999,40.5,42.73,3345700.0
46805,2010-05-26,HCN,43.099998,41.860001000000004,41.66,43.27,2793100.0
47274,2010-05-27,HCN,42.740002000000004,43.599998,42.25,43.639998999999996,1759100.0
47743,2010-05-28,HCN,43.630001,43.080002,42.93,43.889998999999996,1571800.0
48212,2010-06-01,HCN,42.810001,42.360001000000004,42.279999,43.220001,1768400.0
48681,2010-06-02,HCN,42.549999,42.77,41.799999,42.77,2077800.0
49150,2010-06-03,HCN,42.950001,42.57,42.389998999999996,43.040001000000004,1153600.0
49619,2010-06-04,HCN,41.77,41.209998999999996,41.049999,42.240002000000004,2013800.0
50088,2010-06-07,HCN,41.490002000000004,41.150002,41.130001,41.98,1763500.0
50557,2010-06-08,HCN,41.220001,42.150002,40.700001,42.240002000000004,1905200.0
51026,2010-06-09,HCN,42.52,42.389998999999996,42.16,43.150002,2294100.0
51495,2010-06-10,HCN,43.209998999999996,43.82,42.669998,43.889998999999996,1581400.0
51964,2010-06-11,HCN,43.450001,44.0,43.130001,44.040001000000004,1356500.0
52433,2010-06-14,HCN,44.259997999999996,44.220001,43.849998,44.490002000000004,2007400.0
52902,2010-06-15,HCN,44.330002,44.82,43.869999,44.84,2445300.0
53371,2010-06-16,HCN,44.650002,44.18,44.049999,44.77,2059500.0
53840,2010-06-17,HCN,44.369999,44.400002,44.119999,44.619999,1585800.0
54309,2010-06-18,HCN,44.540001000000004,43.330002,43.220001,44.560001,2988300.0
54778,2010-06-21,HCN,43.759997999999996,43.049999,42.919998,43.970001,1370600.0
55247,2010-06-22,HCN,43.049999,42.09,42.009997999999996,43.18,1936300.0
55716,2010-06-23,HCN,42.240002000000004,42.41,41.830002,42.849998,1631400.0
56185,2010-06-24,HCN,42.119999,41.799999,41.66,42.419998,1855800.0
56654,2010-06-25,HCN,42.040001000000004,42.75,41.830002,42.959998999999996,2653200.0
57123,2010-06-28,HCN,42.970001,42.77,42.439999,43.049999,1507100.0
57592,2010-06-29,HCN,42.32,42.369999,42.040001000000004,42.75,3341100.0
58061,2010-06-30,HCN,42.470001,42.119999,42.009997999999996,43.0,1897700.0
58530,2010-07-01,HCN,42.02,41.98,41.330002,42.27,2013200.0
58999,2010-07-02,HCN,42.189999,41.759997999999996,41.529999,42.279999,1660200.0
59468,2010-07-06,HCN,42.259997999999996,41.279999,40.849998,42.580002,1905500.0
59937,2010-07-07,HCN,41.41,42.610001000000004,41.209998999999996,42.66,2113500.0
60406,2010-07-08,HCN,43.0,42.849998,42.200001,43.099998,1603200.0
60875,2010-07-09,HCN,42.849998,43.18,42.630001,43.200001,1570900.0
61344,2010-07-12,HCN,43.049999,43.290001000000004,42.860001000000004,43.380001,1371100.0
61813,2010-07-13,HCN,43.759997999999996,44.119999,43.48,44.200001,1632200.0
62282,2010-07-14,HCN,43.849998,43.900002,43.439999,44.299999,1814700.0
62751,2010-07-15,HCN,43.939999,43.73,43.200001,43.950001,1536900.0
63220,2010-07-16,HCN,43.389998999999996,42.98,42.689999,43.599998,2935300.0
63689,2010-07-19,HCN,43.23,43.799999,42.669998,44.029999,1950200.0
64158,2010-07-20,HCN,43.279999,44.48,43.049999,44.540001000000004,1729800.0
64627,2010-07-21,HCN,45.0,43.849998,43.68,45.060001,2239300.0
65096,2010-07-22,HCN,44.34,44.810001,44.18,45.060001,2351900.0
65565,2010-07-23,HCN,44.610001000000004,45.080002,44.110001000000004,45.099998,2021000.0
66034,2010-07-26,HCN,45.16,45.630001,44.73,45.689999,1671500.0
66503,2010-07-27,HCN,46.0,45.5,44.939999,46.0,1505700.0
66972,2010-07-28,HCN,45.279999,45.490002000000004,45.16,45.740002000000004,1361600.0
67441,2010-07-29,HCN,45.75,45.130001,44.799999,45.810001,1137700.0
67910,2010-07-30,HCN,44.779999,45.310001,44.700001,45.419998,1620900.0
68379,2010-08-02,HCN,45.889998999999996,46.560001,45.630001,46.66,1411800.0
68848,2010-08-03,HCN,46.389998999999996,46.029999,45.91,46.490002000000004,1247500.0
69317,2010-08-04,HCN,46.25,46.009997999999996,45.66,46.59,1473500.0
69786,2010-08-05,HCN,45.330002,45.5,45.060001,45.720001,1698200.0
70255,2010-08-06,HCN,45.139998999999996,45.490002000000004,44.799999,45.59,1265000.0
70724,2010-08-09,HCN,45.57,45.599998,45.380001,45.799999,1193900.0
71193,2010-08-10,HCN,45.139998999999996,45.580002,45.139998999999996,46.060001,1330300.0
71662,2010-08-11,HCN,45.099998,44.709998999999996,44.48,45.150002,1573600.0
72131,2010-08-12,HCN,44.09,44.66,44.09,45.130001,1581100.0
72600,2010-08-13,HCN,44.650002,44.720001,44.630001,45.119999,1247300.0
73069,2010-08-16,HCN,44.57,44.490002000000004,44.240002000000004,44.939999,1068700.0
73538,2010-08-17,HCN,44.860001000000004,45.389998999999996,44.630001,45.5,1420900.0
