,date,symbol,open,close,low,high,volume
457,2010-01-04,HIG,23.709999,23.860001,23.51,23.959999,6944100.0
925,2010-01-05,HIG,23.73,25.690001000000002,23.67,25.75,12424000.0
1393,2010-01-06,HIG,25.51,26.120001000000002,25.09,26.379998999999998,10690200.0
1861,2010-01-07,HIG,26.0,26.52,25.82,26.719998999999998,7033600.0
2329,2010-01-08,HIG,26.389999,26.219998999999998,25.77,26.57,5130500.0
2797,2010-01-11,HIG,26.42,26.17,25.85,26.6,5188500.0
3265,2010-01-12,HIG,28.040001,27.120001000000002,27.09,28.59,23618800.0
3733,2010-01-13,HIG,27.23,27.84,27.200001,28.059998999999998,7752000.0
4201,2010-01-14,HIG,27.690001000000002,27.26,26.91,27.700001,9251600.0
4669,2010-01-15,HIG,27.23,26.780001000000002,26.52,27.299999,7727900.0
5137,2010-01-19,HIG,26.65,27.48,26.5,27.5,5322100.0
5605,2010-01-20,HIG,27.09,26.969998999999998,26.780001000000002,27.450001,4622900.0
6073,2010-01-21,HIG,26.959999,25.559998999999998,25.52,27.139999,12520600.0
6541,2010-01-22,HIG,25.549999,24.610001,24.530001000000002,25.799999,10500600.0
7009,2010-01-25,HIG,25.129998999999998,24.66,24.24,25.309998999999998,7099300.0
7477,2010-01-26,HIG,24.450001,24.41,24.32,25.299999,6690400.0
7945,2010-01-27,HIG,24.370001000000002,24.959999,23.950001,24.99,7216500.0
8413,2010-01-28,HIG,25.280001000000002,24.219998999999998,23.99,25.280001000000002,6607000.0
8881,2010-01-29,HIG,24.459999,23.99,23.82,24.950001,6691400.0
9349,2010-02-01,HIG,24.280001000000002,24.389999,24.030001000000002,24.49,4371600.0
9817,2010-02-02,HIG,24.5,25.389999,24.34,25.49,7337000.0
10285,2010-02-03,HIG,25.24,24.58,24.33,25.25,6416700.0
10753,2010-02-04,HIG,24.34,23.190001000000002,23.17,24.450001,8083800.0
11221,2010-02-05,HIG,23.17,23.530001000000002,22.200001,23.799999,9837100.0
11689,2010-02-08,HIG,23.82,23.459999,23.299999,24.299999,10869100.0
12157,2010-02-09,HIG,23.389999,22.34,21.969998999999998,23.82,20527700.0
12625,2010-02-10,HIG,22.33,23.07,21.6,23.280001000000002,17883100.0
13093,2010-02-11,HIG,23.15,23.040001,22.620001000000002,23.18,7192400.0
13561,2010-02-12,HIG,22.709999,23.450001,22.41,23.5,5748700.0
14029,2010-02-16,HIG,23.82,23.950001,23.51,24.0,5483200.0
14497,2010-02-17,HIG,23.969998999999998,24.08,23.790001,24.299999,6257500.0
14965,2010-02-18,HIG,23.950001,24.139999,23.75,24.35,5024000.0
15433,2010-02-19,HIG,24.07,24.34,23.75,24.43,4674200.0
15901,2010-02-22,HIG,24.610001,24.809998999999998,24.26,24.85,4964800.0
16369,2010-02-23,HIG,24.67,23.85,23.65,24.709999,7428900.0
16837,2010-02-24,HIG,23.940001000000002,24.33,23.83,24.34,5243300.0
17305,2010-02-25,HIG,23.91,24.34,23.709999,24.379998999999998,4502600.0
17773,2010-02-26,HIG,24.290001,24.370001000000002,24.08,24.49,4635100.0
18241,2010-03-01,HIG,24.559998999999998,24.809998999999998,24.43,24.809998999999998,4506700.0
18709,2010-03-02,HIG,25.02,25.719998999999998,24.719998999999998,25.950001,14139300.0
19177,2010-03-03,HIG,25.790001,25.360001,25.219998999999998,25.9,6718400.0
19645,2010-03-04,HIG,25.469998999999998,26.35,25.219998999999998,26.42,8881900.0
20113,2010-03-05,HIG,26.6,26.860001,26.280001000000002,27.059998999999998,7430400.0
20581,2010-03-08,HIG,27.1,26.93,26.700001,27.379998999999998,5341100.0
21049,2010-03-09,HIG,27.139999,26.58,26.5,27.17,6949500.0
21517,2010-03-10,HIG,26.549999,27.26,26.469998999999998,27.450001,8331100.0
21985,2010-03-11,HIG,27.059998999999998,27.290001,27.02,27.52,5281900.0
22453,2010-03-12,HIG,27.530001000000002,26.75,26.66,27.59,5952800.0
22921,2010-03-15,HIG,26.530001000000002,26.82,26.09,26.860001,7240600.0
23389,2010-03-16,HIG,26.77,27.26,26.459999,27.290001,7140600.0
23857,2010-03-17,HIG,28.26,28.58,28.200001,29.120001000000002,24458500.0
24325,2010-03-18,HIG,28.66,27.84,27.66,28.75,58662500.0
24793,2010-03-19,HIG,27.26,27.26,26.91,27.98,19144500.0
25261,2010-03-22,HIG,27.01,27.629998999999998,26.9,27.809998999999998,14975100.0
25729,2010-03-23,HIG,27.74,27.860001,27.370001000000002,27.9,9217400.0
26197,2010-03-24,HIG,27.68,28.139999,27.52,28.4,10372500.0
26665,2010-03-25,HIG,28.35,27.85,27.77,28.610001,14156600.0
27133,2010-03-26,HIG,27.82,27.969998999999998,27.75,28.49,10766900.0
27601,2010-03-29,HIG,28.16,28.18,27.57,28.23,7574000.0
28069,2010-03-30,HIG,28.01,28.040001,27.860001,28.18,7775600.0
28537,2010-03-31,HIG,28.01,28.42,27.85,28.68,21737100.0
29005,2010-04-01,HIG,28.91,28.879998999999998,28.709999,29.25,9081800.0
29473,2010-04-05,HIG,29.27,29.34,28.950001,29.48,5124000.0
29941,2010-04-06,HIG,29.280001000000002,29.030001000000002,28.940001000000002,29.42,6285200.0
30409,2010-04-07,HIG,28.75,28.5,28.209999,29.030001000000002,9842000.0
30877,2010-04-08,HIG,28.34,28.549999,28.059998999999998,28.65,6022100.0
31345,2010-04-09,HIG,28.709999,28.0,27.860001,28.83,7789200.0
31813,2010-04-12,HIG,28.120001000000002,27.889999,27.549999,28.25,10101500.0
32281,2010-04-13,HIG,27.709999,27.959999,27.639999,28.02,8393400.0
32749,2010-04-14,HIG,28.139999,28.15,27.889999,28.18,14868900.0
33217,2010-04-15,HIG,28.0,27.77,27.58,28.15,9789200.0
33685,2010-04-16,HIG,27.620001000000002,27.02,26.690001000000002,27.98,10674600.0
34153,2010-04-19,HIG,26.780001000000002,27.6,26.57,27.639999,8310000.0
34621,2010-04-20,HIG,27.799999,28.77,27.709999,28.780001000000002,12644100.0
35089,2010-04-21,HIG,28.790001,28.75,28.200001,28.790001,7410900.0
35557,2010-04-22,HIG,28.389999,28.860001,28.209999,28.9,7753500.0
36025,2010-04-23,HIG,28.889999,29.559998999999998,28.57,29.6,7176200.0
36493,2010-04-26,HIG,29.74,29.620001000000002,29.42,30.459999,11693400.0
36961,2010-04-27,HIG,29.4,28.450001,28.309998999999998,29.59,11884700.0
37429,2010-04-28,HIG,28.76,28.92,28.51,29.32,7677300.0
37898,2010-04-29,HIG,29.299999,29.639999,28.860001,29.85,9588600.0
38367,2010-04-30,HIG,29.48,28.57,28.379998999999998,29.48,8607300.0
38836,2010-05-03,HIG,28.870001000000002,28.99,28.67,29.209999,7020200.0
39305,2010-05-04,HIG,28.5,27.66,27.459999,28.540001,8313800.0
39774,2010-05-05,HIG,26.41,27.280001000000002,26.41,28.440001000000002,9526700.0
40243,2010-05-06,HIG,27.209999,26.059998999999998,24.0,28.059998999999998,19249300.0
40712,2010-05-07,HIG,25.620001000000002,25.299999,24.879998999999998,26.59,18399400.0
41181,2010-05-10,HIG,26.34,27.02,25.25,27.57,11714600.0
41650,2010-05-11,HIG,26.6,26.74,26.42,27.43,5808700.0
42119,2010-05-12,HIG,27.08,27.33,26.76,27.4,4782900.0
42588,2010-05-13,HIG,27.17,26.790001,26.780001000000002,27.4,4796400.0
43057,2010-05-14,HIG,26.4,26.209999,25.799999,26.629998999999998,7048900.0
43526,2010-05-17,HIG,26.200001,25.959999,25.17,26.549999,7060700.0
43995,2010-05-18,HIG,26.43,25.24,25.17,26.629998999999998,10556600.0
44464,2010-05-19,HIG,25.049999,25.42,24.790001,26.200001,9097500.0
44933,2010-05-20,HIG,24.6,23.639999,23.49,24.9,11355100.0
45402,2010-05-21,HIG,23.059998999999998,24.309998999999998,23.030001000000002,24.469998999999998,13040800.0
45871,2010-05-24,HIG,24.440001000000002,23.93,23.83,24.74,9077000.0
46340,2010-05-25,HIG,22.92,24.190001000000002,22.639999,24.32,11724600.0
46809,2010-05-26,HIG,24.65,23.84,23.799999,25.09,15621500.0
47278,2010-05-27,HIG,24.6,25.52,24.4,25.530001000000002,7638700.0
47747,2010-05-28,HIG,25.459999,25.07,24.83,25.59,6904800.0
48216,2010-06-01,HIG,24.719998999999998,24.43,24.4,25.33,6615400.0
48685,2010-06-02,HIG,24.67,25.49,24.51,25.549999,7450100.0
49154,2010-06-03,HIG,25.75,25.139999,24.93,25.9,6728200.0
49623,2010-06-04,HIG,24.52,23.57,23.459999,24.67,9800200.0
50092,2010-06-07,HIG,23.799999,22.290001,22.27,23.9,11437100.0
50561,2010-06-08,HIG,22.530001000000002,22.75,21.84,22.82,8989700.0
51030,2010-06-09,HIG,23.02,22.74,22.620001000000002,23.780001000000002,8142300.0
51499,2010-06-10,HIG,23.26,23.9,23.24,23.950001,6569800.0
51968,2010-06-11,HIG,23.440001000000002,24.01,23.15,24.040001,6907800.0
52437,2010-06-14,HIG,24.639999,24.879998999999998,24.620001000000002,25.540001,11222400.0
52906,2010-06-15,HIG,25.120001000000002,25.52,24.879998999999998,25.58,7187200.0
53375,2010-06-16,HIG,25.25,25.01,24.85,25.5,5487900.0
53844,2010-06-17,HIG,25.129998999999998,24.940001000000002,24.51,25.309998999999998,4720000.0
