,date,symbol,open,close,low,high,volume
458,2010-01-04,HOG,25.49,25.459999,25.280001000000002,25.700001,2904000.0
926,2010-01-05,HOG,25.370001000000002,25.65,25.24,25.91,2805400.0
1394,2010-01-06,HOG,25.74,25.59,25.450001,25.99,3283200.0
1862,2010-01-07,HOG,25.459999,25.799999,25.32,25.889999,2522200.0
2330,2010-01-08,HOG,25.780001000000002,25.530001000000002,25.32,25.85,3523100.0
2798,2010-01-11,HOG,25.73,25.17,25.1,25.76,2664400.0
3266,2010-01-12,HOG,25.09,24.809998999999998,24.5,25.09,3491800.0
3734,2010-01-13,HOG,24.809998999999998,25.879998999999998,24.629998999999998,25.99,4288400.0
4202,2010-01-14,HOG,25.92,25.73,25.58,25.92,2537200.0
4670,2010-01-15,HOG,25.65,25.08,24.83,26.0,4748000.0
5138,2010-01-19,HOG,25.08,25.709999,24.41,25.73,4374500.0
5606,2010-01-20,HOG,25.450001,25.84,25.34,26.18,5478400.0
6074,2010-01-21,HOG,25.940001000000002,25.58,25.1,26.09,5328500.0
6542,2010-01-22,HOG,24.959999,23.59,23.16,24.99,14178200.0
7010,2010-01-25,HOG,23.83,23.42,23.219998999999998,24.219998999999998,5006800.0
7478,2010-01-26,HOG,23.27,23.18,23.08,23.690001000000002,3957800.0
7946,2010-01-27,HOG,23.15,23.52,22.84,23.6,3875200.0
8414,2010-01-28,HOG,23.74,23.35,22.780001000000002,23.82,4247700.0
8882,2010-01-29,HOG,23.48,22.74,22.59,23.73,4514000.0
9350,2010-02-01,HOG,22.950001,23.27,22.709999,23.309998999999998,2646800.0
9818,2010-02-02,HOG,23.41,23.5,23.059998999999998,23.700001,3439100.0
10286,2010-02-03,HOG,23.35,23.26,23.120001000000002,23.549999,2032300.0
10754,2010-02-04,HOG,22.889999,22.690001000000002,22.549999,23.26,4723700.0
11222,2010-02-05,HOG,22.51,22.57,21.809998999999998,22.83,6446300.0
11690,2010-02-08,HOG,22.51,22.23,22.209999,22.82,2528000.0
12158,2010-02-09,HOG,22.610001,22.73,22.33,23.02,2634000.0
12626,2010-02-10,HOG,22.73,22.629998999999998,22.07,22.84,2848600.0
13094,2010-02-11,HOG,22.51,23.23,22.219998999999998,23.25,2842600.0
13562,2010-02-12,HOG,22.940001000000002,23.49,22.92,23.620001000000002,3997300.0
14030,2010-02-16,HOG,23.690001000000002,24.08,23.41,24.08,2807800.0
14498,2010-02-17,HOG,24.27,24.450001,24.01,24.49,3504100.0
14966,2010-02-18,HOG,24.4,24.67,24.25,24.690001000000002,3112800.0
15434,2010-02-19,HOG,24.57,24.43,24.26,24.75,2811100.0
15902,2010-02-22,HOG,24.610001,24.15,24.08,24.690001000000002,2000700.0
16370,2010-02-23,HOG,24.09,24.049999,23.700001,24.25,2375800.0
16838,2010-02-24,HOG,24.129998999999998,24.530001000000002,24.02,24.58,2179400.0
17306,2010-02-25,HOG,24.17,24.610001,24.040001,24.65,2017500.0
17774,2010-02-26,HOG,24.700001,24.610001,24.440001000000002,24.85,1545800.0
18242,2010-03-01,HOG,24.690001000000002,24.85,24.48,25.059998999999998,2557600.0
18710,2010-03-02,HOG,24.969998999999998,24.92,24.709999,25.120001000000002,1798400.0
19178,2010-03-03,HOG,25.049999,25.110001,24.860001,25.33,2154200.0
19646,2010-03-04,HOG,25.200001,25.43,25.040001,25.51,1870600.0
20114,2010-03-05,HOG,25.66,26.82,25.51,26.9,4126000.0
20582,2010-03-08,HOG,26.709999,26.629998999999998,26.469998999999998,27.42,2529400.0
21050,2010-03-09,HOG,26.530001000000002,26.68,26.27,26.940001000000002,2005800.0
21518,2010-03-10,HOG,26.65,26.959999,26.59,27.639999,3288700.0
21986,2010-03-11,HOG,26.809998999999998,26.77,26.549999,27.07,2905300.0
22454,2010-03-12,HOG,26.9,26.85,26.549999,26.93,2011000.0
22922,2010-03-15,HOG,26.719998999999998,26.5,26.17,26.82,2496800.0
23390,2010-03-16,HOG,26.5,28.35,26.4,28.98,18410500.0
23858,2010-03-17,HOG,28.41,28.18,27.93,28.5,4558600.0
24326,2010-03-18,HOG,28.1,28.24,27.99,28.48,3487900.0
24794,2010-03-19,HOG,28.309998999999998,28.309998999999998,28.0,28.65,3920500.0
25262,2010-03-22,HOG,28.0,28.77,27.85,28.84,2899600.0
25730,2010-03-23,HOG,28.77,28.48,28.309998999999998,28.9,3234500.0
26198,2010-03-24,HOG,28.389999,27.799999,27.629998999999998,28.42,3653100.0
26666,2010-03-25,HOG,28.07,27.73,27.639999,28.389999,3604600.0
27134,2010-03-26,HOG,27.76,27.92,27.6,28.34,2108100.0
27602,2010-03-29,HOG,28.110001,28.32,27.870001000000002,28.35,3030700.0
28070,2010-03-30,HOG,28.35,28.530001000000002,27.860001,28.6,2853400.0
28538,2010-03-31,HOG,28.309998999999998,28.07,27.93,28.5,2525800.0
29006,2010-04-01,HOG,28.24,28.379998999999998,27.950001,28.530001000000002,3273100.0
29474,2010-04-05,HOG,28.82,31.370001000000002,28.639999,31.66,10394600.0
29942,2010-04-06,HOG,31.0,31.309998999999998,30.809998999999998,31.620001000000002,5589200.0
30410,2010-04-07,HOG,31.24,31.23,30.85,31.42,3444400.0
30878,2010-04-08,HOG,31.030001000000002,31.83,30.700001,31.85,3663600.0
31346,2010-04-09,HOG,31.84,32.919998,31.780001000000002,33.02,6994600.0
31814,2010-04-12,HOG,32.990002000000004,32.75,32.490002000000004,32.990002000000004,3221100.0
32282,2010-04-13,HOG,31.83,32.68,31.76,32.77,4629700.0
32750,2010-04-14,HOG,32.650002,32.849998,32.290001000000004,32.860001000000004,3537900.0
33218,2010-04-15,HOG,32.610001000000004,33.27,32.529999,33.990002000000004,4827300.0
33686,2010-04-16,HOG,33.02,33.080002,32.150002,33.259997999999996,5008200.0
34154,2010-04-19,HOG,32.900002,32.77,32.209998999999996,33.32,4795100.0
34622,2010-04-20,HOG,34.5,35.169998,34.470001,36.130001,14242600.0
35090,2010-04-21,HOG,35.299999,34.23,33.959998999999996,35.470001,7664700.0
35558,2010-04-22,HOG,33.759997999999996,35.220001,33.689999,35.299999,4395900.0
36026,2010-04-23,HOG,35.41,35.490002000000004,35.060001,35.860001000000004,4495200.0
36494,2010-04-26,HOG,35.75,35.27,35.200001,35.900002,2663700.0
36962,2010-04-27,HOG,34.889998999999996,33.98,33.93,35.110001000000004,4101700.0
37430,2010-04-28,HOG,34.200001,34.169998,33.610001000000004,34.610001000000004,2674200.0
37899,2010-04-29,HOG,34.450001,35.0,34.400002,35.049999,2128400.0
38368,2010-04-30,HOG,34.939999,33.830002,33.68,35.459998999999996,2988700.0
38837,2010-05-03,HOG,34.240002000000004,34.91,33.93,35.07,2995400.0
39306,2010-05-04,HOG,34.389998999999996,32.919998,32.720001,34.459998999999996,6048800.0
39775,2010-05-05,HOG,32.450001,31.540001,30.790001,32.630001,6665700.0
40244,2010-05-06,HOG,31.24,31.0,28.1,32.25,7614400.0
40713,2010-05-07,HOG,31.1,30.18,29.690001000000002,31.700001,5342300.0
41182,2010-05-10,HOG,31.6,32.98,31.6,33.220001,6693500.0
41651,2010-05-11,HOG,32.509997999999996,33.380001,32.509997999999996,34.110001000000004,4913400.0
42120,2010-05-12,HOG,33.75,34.220001,33.48,34.299999,2476100.0
42589,2010-05-13,HOG,33.990002000000004,32.91,32.740002000000004,34.049999,2799700.0
43058,2010-05-14,HOG,32.400002,32.34,31.84,32.580002,2829300.0
43527,2010-05-17,HOG,32.560001,32.98,31.959999,33.150002,4623100.0
43996,2010-05-18,HOG,33.119999,32.599998,32.540001000000004,33.790001000000004,4711900.0
44465,2010-05-19,HOG,32.290001000000004,32.189999,31.190001000000002,32.869999,3522400.0
44934,2010-05-20,HOG,30.9,30.209999,29.860001,31.290001,5822500.0
45403,2010-05-21,HOG,29.6,30.870001000000002,29.280001000000002,31.16,6228600.0
45872,2010-05-24,HOG,30.48,30.43,30.370001000000002,31.25,3609600.0
46341,2010-05-25,HOG,29.27,29.940001000000002,28.950001,29.940001000000002,6107200.0
46810,2010-05-26,HOG,30.379998999999998,30.01,29.690001000000002,30.77,4487200.0
47279,2010-05-27,HOG,30.809998999999998,31.09,30.290001,31.139999,4272100.0
47748,2010-05-28,HOG,30.950001,30.209999,29.82,31.27,3680200.0
48217,2010-06-01,HOG,29.57,29.18,29.120001000000002,30.49,2988100.0
48686,2010-06-02,HOG,29.370001000000002,29.41,28.889999,29.530001000000002,4539100.0
49155,2010-06-03,HOG,29.559998999999998,29.23,28.98,30.07,4029200.0
49624,2010-06-04,HOG,28.33,27.35,27.16,28.35,5819600.0
50093,2010-06-07,HOG,27.5,25.98,25.91,27.5,6740900.0
50562,2010-06-08,HOG,26.040001,26.309998999999998,25.559998999999998,26.82,4730400.0
51031,2010-06-09,HOG,26.639999,26.18,26.030001000000002,27.15,3153800.0
51500,2010-06-10,HOG,26.66,27.32,26.26,27.709999,10462400.0
51969,2010-06-11,HOG,26.84,27.049999,26.639999,27.07,3447000.0
52438,2010-06-14,HOG,27.32,27.5,27.26,27.85,4467400.0
52907,2010-06-15,HOG,27.68,27.860001,27.6,27.99,2790100.0
53376,2010-06-16,HOG,27.82,27.1,26.950001,27.82,3163400.0
53845,2010-06-17,HOG,27.209999,27.24,26.59,27.389999,2307400.0
54314,2010-06-18,HOG,27.309998999999998,26.809998999999998,26.719998999999998,27.459999,3379100.0
54783,2010-06-21,HOG,27.17,26.33,26.129998999999998,27.309998999999998,2720500.0
55252,2010-06-22,HOG,26.48,25.059998999999998,24.91,26.5,4559600.0
