,date,symbol,open,close,low,high,volume
468,2010-01-04,HSY,36.009997999999996,36.220001,35.759997999999996,36.259997999999996,1048000.0
936,2010-01-05,HSY,36.240002000000004,37.169998,36.0,37.91,3828900.0
1404,2010-01-06,HSY,37.32,36.849998,36.75,37.529999,1492400.0
1872,2010-01-07,HSY,37.02,36.490002000000004,36.360001000000004,37.02,1148300.0
2340,2010-01-08,HSY,36.549999,36.380001,36.200001,36.630001,836600.0
2808,2010-01-11,HSY,36.419998,36.18,35.830002,36.419998,1257400.0
3276,2010-01-12,HSY,36.200001,37.75,36.150002,37.799999,2368700.0
3744,2010-01-13,HSY,37.369999,36.610001000000004,36.459998999999996,38.049999,4881000.0
4212,2010-01-14,HSY,36.73,36.959998999999996,36.509997999999996,37.080002,1765300.0
4680,2010-01-15,HSY,36.639998999999996,36.25,35.970001,36.860001000000004,1959300.0
5148,2010-01-19,HSY,37.259997999999996,37.349998,37.259997999999996,38.009997999999996,3543800.0
5616,2010-01-20,HSY,37.32,37.080002,36.720001,37.32,1827600.0
6084,2010-01-21,HSY,37.34,36.189999,36.18,37.34,2642200.0
6552,2010-01-22,HSY,36.529999,36.279999,36.099998,36.889998999999996,1648800.0
7020,2010-01-25,HSY,36.400002,36.450001,36.150002,36.82,1876100.0
7488,2010-01-26,HSY,35.950001,36.5,35.950001,36.549999,2754900.0
7956,2010-01-27,HSY,36.43,37.290001000000004,36.400002,37.349998,2956700.0
8424,2010-01-28,HSY,37.290001000000004,37.130001,36.830002,37.380001,1950900.0
8892,2010-01-29,HSY,37.200001,36.43,36.43,37.23,2409800.0
9360,2010-02-01,HSY,36.59,36.810001,36.060001,36.810001,2235200.0
9828,2010-02-02,HSY,37.849998,37.200001,36.950001,37.959998999999996,2704500.0
10296,2010-02-03,HSY,37.23,37.150002,36.950001,37.57,1416200.0
10764,2010-02-04,HSY,37.009997999999996,36.900002,36.75,37.16,2432000.0
11232,2010-02-05,HSY,36.830002,37.349998,36.77,37.5,2325600.0
11700,2010-02-08,HSY,37.459998999999996,36.950001,36.900002,37.459998999999996,1472300.0
12168,2010-02-09,HSY,37.240002000000004,37.200001,37.049999,37.369999,1694000.0
12636,2010-02-10,HSY,37.07,37.220001,36.75,37.279999,1231300.0
13104,2010-02-11,HSY,37.23,37.400002,36.84,37.450001,1341600.0
13572,2010-02-12,HSY,37.25,37.599998,37.029999,37.73,1858400.0
14040,2010-02-16,HSY,37.610001000000004,38.380001,37.529999,38.380001,1722800.0
14508,2010-02-17,HSY,38.310001,38.389998999999996,38.220001,38.48,1330800.0
14976,2010-02-18,HSY,37.919998,38.830002,37.810001,38.84,1441100.0
15444,2010-02-19,HSY,38.900002,39.970001,38.5,40.009997999999996,3565100.0
15912,2010-02-22,HSY,39.98,39.740002000000004,39.549999,40.099998,4638900.0
16380,2010-02-23,HSY,39.389998999999996,39.259997999999996,39.09,39.669998,1119000.0
16848,2010-02-24,HSY,39.34,39.639998999999996,39.25,39.689999,1467700.0
17316,2010-02-25,HSY,39.41,39.73,39.25,39.75,2333900.0
17784,2010-02-26,HSY,39.709998999999996,39.759997999999996,39.66,39.990002000000004,1433900.0
18252,2010-03-01,HSY,39.91,39.91,39.790001000000004,40.209998999999996,1539000.0
18720,2010-03-02,HSY,40.009997999999996,40.169998,39.91,40.330002,1185700.0
19188,2010-03-03,HSY,40.27,40.759997999999996,40.049999,40.810001,2376800.0
19656,2010-03-04,HSY,40.779999,41.099998,40.759997999999996,41.23,1879000.0
20124,2010-03-05,HSY,41.290001000000004,41.450001,40.970001,41.459998999999996,1596700.0
20592,2010-03-08,HSY,41.299999,41.200001,40.849998,41.5,1724200.0
21060,2010-03-09,HSY,41.009997999999996,41.57,40.950001,41.720001,1679800.0
21528,2010-03-10,HSY,41.610001000000004,41.5,41.259997999999996,41.650002,1512900.0
21996,2010-03-11,HSY,41.349998,41.68,41.27,41.68,1399200.0
22464,2010-03-12,HSY,41.75,42.650002,41.650002,42.66,3367300.0
22932,2010-03-15,HSY,42.549999,42.98,42.380001,42.98,2523500.0
23400,2010-03-16,HSY,42.93,43.52,42.68,43.560001,2454600.0
23868,2010-03-17,HSY,43.580002,43.150002,43.040001000000004,43.580002,1906300.0
24336,2010-03-18,HSY,43.240002000000004,42.98,42.779999,43.299999,1789500.0
24804,2010-03-19,HSY,42.439999,42.439999,42.349998,43.139998999999996,2141900.0
25272,2010-03-22,HSY,42.220001,42.880001,42.169998,42.919998,1398000.0
25740,2010-03-23,HSY,42.98,43.150002,42.68,43.189999,1266800.0
26208,2010-03-24,HSY,43.029999,42.689999,42.529999,43.029999,1343500.0
26676,2010-03-25,HSY,42.900002,42.639998999999996,42.470001,42.900002,1624900.0
27144,2010-03-26,HSY,42.68,42.490002000000004,42.360001000000004,42.919998,970700.0
27612,2010-03-29,HSY,42.610001000000004,42.869999,42.369999,42.959998999999996,1004200.0
28080,2010-03-30,HSY,42.84,43.049999,42.790001000000004,43.169998,763900.0
28548,2010-03-31,HSY,42.93,42.810001,42.790001000000004,43.07,836500.0
29016,2010-04-01,HSY,43.0,43.060001,42.790001000000004,43.290001000000004,771900.0
29484,2010-04-05,HSY,43.169998,43.240002000000004,43.040001000000004,43.43,831300.0
29952,2010-04-06,HSY,43.07,43.349998,42.939999,43.349998,798300.0
30420,2010-04-07,HSY,43.34,43.330002,43.009997999999996,43.400002,1057400.0
30888,2010-04-08,HSY,43.279999,43.48,43.060001,43.580002,1060200.0
31356,2010-04-09,HSY,43.419998,44.119999,43.27,44.119999,1227300.0
31824,2010-04-12,HSY,44.040001000000004,44.27,44.040001000000004,44.470001,1428400.0
32292,2010-04-13,HSY,44.189999,43.93,43.799999,44.220001,1119700.0
32760,2010-04-14,HSY,43.889998999999996,44.139998999999996,43.52,44.150002,1041500.0
33228,2010-04-15,HSY,44.009997999999996,44.259997999999996,43.57,44.380001,1119600.0
33696,2010-04-16,HSY,44.080002,43.869999,43.580002,44.279999,1597300.0
34164,2010-04-19,HSY,43.880001,44.310001,43.68,44.330002,1355100.0
34632,2010-04-20,HSY,44.470001,44.91,44.259997999999996,44.91,1495000.0
35100,2010-04-21,HSY,44.939999,44.84,44.57,45.23,1874700.0
35568,2010-04-22,HSY,45.82,48.080002,45.619999,48.23,6809500.0
36036,2010-04-23,HSY,48.220001,48.720001,47.459998999999996,48.75,2685500.0
36504,2010-04-26,HSY,46.860001000000004,47.84,46.810001,48.220001,3270800.0
36972,2010-04-27,HSY,47.779999,47.080002,46.990002000000004,47.779999,2182200.0
37440,2010-04-28,HSY,47.130001,46.880001,46.759997999999996,47.27,1612400.0
37909,2010-04-29,HSY,47.029999,47.220001,46.580002,47.290001000000004,1484800.0
38378,2010-04-30,HSY,47.25,47.009997999999996,46.900002,47.5,1332700.0
38847,2010-05-03,HSY,47.290001000000004,47.560001,46.939999,47.669998,1216800.0
39316,2010-05-04,HSY,47.259997999999996,47.02,46.779999,47.349998,1218100.0
39785,2010-05-05,HSY,46.900002,47.02,46.75,47.380001,1910900.0
40254,2010-05-06,HSY,46.970001,46.330002,44.75,47.330002,2928400.0
40723,2010-05-07,HSY,46.0,46.419998,45.880001,46.93,3152600.0
41192,2010-05-10,HSY,47.889998999999996,47.919998,47.049999,47.919998,1733600.0
41661,2010-05-11,HSY,47.41,47.880001,47.27,48.200001,1784200.0
42130,2010-05-12,HSY,47.830002,47.959998999999996,47.720001,48.16,1682900.0
42599,2010-05-13,HSY,47.900002,47.560001,47.52,48.080002,1180000.0
43068,2010-05-14,HSY,47.599998,47.220001,46.919998,47.619999,1769700.0
43537,2010-05-17,HSY,47.34,48.049999,47.080002,48.060001,1574400.0
44006,2010-05-18,HSY,48.34,47.849998,47.799999,48.34,1778300.0
44475,2010-05-19,HSY,47.75,47.790001000000004,47.439999,47.98,1470300.0
44944,2010-05-20,HSY,47.299999,46.630001,46.619999,47.529999,2696500.0
45413,2010-05-21,HSY,46.439999,46.560001,45.59,46.630001,3236400.0
45882,2010-05-24,HSY,46.290001000000004,46.669998,46.099998,46.93,2141300.0
46351,2010-05-25,HSY,45.759997999999996,46.07,45.369999,46.130001,1378200.0
46820,2010-05-26,HSY,46.290001000000004,45.900002,45.860001000000004,46.540001000000004,1245400.0
47289,2010-05-27,HSY,46.400002,47.290001000000004,46.349998,47.310001,1638700.0
47758,2010-05-28,HSY,47.18,46.799999,46.799999,47.279999,2066600.0
48227,2010-06-01,HSY,46.549999,48.0,46.240002000000004,48.610001000000004,3194800.0
48696,2010-06-02,HSY,48.130001,48.700001,47.860001000000004,48.700001,1877400.0
49165,2010-06-03,HSY,48.75,49.41,48.700001,49.610001000000004,1939600.0
49634,2010-06-04,HSY,48.919998,48.290001000000004,48.18,49.02,1836900.0
50103,2010-06-07,HSY,48.279999,48.639998999999996,48.040001000000004,49.209998999999996,1794500.0
50572,2010-06-08,HSY,48.73,50.470001,48.73,50.48,3754800.0
51041,2010-06-09,HSY,50.369999,51.150002,50.099998,51.540001000000004,2927300.0
