,date,symbol,open,close,low,high,volume
476,2010-01-04,INTU,31.09,30.809998999999998,30.77,31.15,2353000.0
944,2010-01-05,INTU,30.76,30.809998999999998,30.41,30.9,3142100.0
1412,2010-01-06,INTU,30.66,30.379998999999998,30.32,30.85,2884400.0
1880,2010-01-07,INTU,30.290001,30.280001000000002,30.120001000000002,30.6,3100300.0
2348,2010-01-08,INTU,30.33,31.08,30.120001000000002,31.120001000000002,4249700.0
2816,2010-01-11,INTU,30.93,31.219998999999998,30.93,31.41,4011700.0
3284,2010-01-12,INTU,30.99,31.219998999999998,30.879998999999998,31.41,2969100.0
3752,2010-01-13,INTU,31.35,31.58,31.200001,31.690001000000002,2618300.0
4220,2010-01-14,INTU,31.690001000000002,31.780001000000002,31.42,31.879998999999998,2617000.0
4688,2010-01-15,INTU,31.719998999999998,31.459999,31.09,31.969998999999998,3835100.0
5156,2010-01-19,INTU,31.379998999999998,31.73,31.299999,31.92,2161500.0
5624,2010-01-20,INTU,31.530001000000002,31.219998999999998,30.75,31.629998999999998,2720100.0
6092,2010-01-21,INTU,31.209999,30.84,30.66,31.41,3110400.0
6560,2010-01-22,INTU,30.799999,30.1,30.059998999999998,30.98,2590200.0
7028,2010-01-25,INTU,30.200001,30.360001,30.059998999999998,30.549999,2774200.0
7496,2010-01-26,INTU,30.280001000000002,30.030001000000002,29.98,30.49,4020100.0
7964,2010-01-27,INTU,29.889999,30.01,29.620001000000002,30.08,4070400.0
8432,2010-01-28,INTU,29.809998999999998,29.66,29.4,30.07,3816100.0
8900,2010-01-29,INTU,29.889999,29.610001,29.530001000000002,30.0,3805600.0
9368,2010-02-01,INTU,29.51,29.91,29.51,30.1,2725100.0
9836,2010-02-02,INTU,29.879998999999998,29.959999,29.639999,30.030001000000002,3239300.0
10304,2010-02-03,INTU,29.780001000000002,29.99,29.719998999999998,30.15,2128300.0
10772,2010-02-04,INTU,29.9,29.26,29.26,29.950001,3174200.0
11240,2010-02-05,INTU,29.379998999999998,29.440001000000002,29.030001000000002,29.700001,4337100.0
11708,2010-02-08,INTU,29.4,29.360001,29.110001,29.549999,2227700.0
12176,2010-02-09,INTU,29.540001,29.309998999999998,29.02,29.709999,3877000.0
12644,2010-02-10,INTU,29.200001,29.389999,29.07,29.450001,2102700.0
13112,2010-02-11,INTU,29.299999,29.6,29.0,29.68,2460700.0
13580,2010-02-12,INTU,29.059998999999998,29.389999,29.040001,29.450001,2794600.0
14048,2010-02-16,INTU,29.469998999999998,29.790001,29.26,29.799999,2013900.0
14516,2010-02-17,INTU,29.84,29.91,29.57,29.99,2483500.0
14984,2010-02-18,INTU,29.959999,30.32,29.879998999999998,30.35,2737500.0
15452,2010-02-19,INTU,32.25,32.720001,32.200001,33.150002,9866000.0
15920,2010-02-22,INTU,32.599998,32.360001000000004,32.189999,32.830002,4738500.0
16388,2010-02-23,INTU,32.240002000000004,31.870001000000002,31.58,32.48,5932500.0
16856,2010-02-24,INTU,31.940001000000002,32.27,31.92,32.389998999999996,4724600.0
17324,2010-02-25,INTU,31.799999,32.459998999999996,31.709999,32.619999,5224800.0
17792,2010-02-26,INTU,32.490002000000004,32.360001000000004,32.16,32.490002000000004,3049700.0
18260,2010-03-01,INTU,32.330002,32.900002,32.290001000000004,32.950001,2811000.0
18728,2010-03-02,INTU,32.77,33.130001,32.75,33.290001000000004,4445000.0
19196,2010-03-03,INTU,33.07,33.209998999999996,33.029999,33.459998999999996,3484000.0
19664,2010-03-04,INTU,33.279999,33.43,32.959998999999996,33.490002000000004,3097000.0
20132,2010-03-05,INTU,33.360001000000004,33.91,33.360001000000004,33.93,3588200.0
20600,2010-03-08,INTU,33.790001000000004,33.98,33.740002000000004,34.0,2938800.0
21068,2010-03-09,INTU,33.75,33.950001,33.75,34.009997999999996,3283200.0
21536,2010-03-10,INTU,33.950001,34.470001,33.860001000000004,34.549999,4693900.0
22004,2010-03-11,INTU,34.25,34.540001000000004,34.25,34.549999,2652700.0
22472,2010-03-12,INTU,34.380001,34.610001000000004,34.32,34.669998,2660700.0
22940,2010-03-15,INTU,34.439999,34.639998999999996,34.439999,34.669998,1812400.0
23408,2010-03-16,INTU,34.650002,34.639998999999996,34.48,34.75,2495800.0
23876,2010-03-17,INTU,34.509997999999996,34.529999,34.279999,34.84,3349800.0
24344,2010-03-18,INTU,34.41,34.650002,34.400002,34.810001,2769500.0
24812,2010-03-19,INTU,34.75,34.610001000000004,34.349998,34.970001,4131100.0
25280,2010-03-22,INTU,34.34,34.900002,34.34,34.93,2891400.0
25748,2010-03-23,INTU,34.77,34.599998,34.419998,34.84,2440300.0
26216,2010-03-24,INTU,34.560001,34.740002000000004,34.560001,34.860001000000004,3436200.0
26684,2010-03-25,INTU,34.799999,34.400002,34.400002,34.889998999999996,3036900.0
