,date,symbol,open,close,low,high,volume
478,2010-01-04,IPG,7.45,7.53,7.4,7.62,4444300.0
946,2010-01-05,IPG,7.54,7.45,7.41,7.54,6134700.0
1414,2010-01-06,IPG,7.4,7.45,7.32,7.46,5586100.0
1882,2010-01-07,IPG,7.37,7.26,7.19,7.45,6202400.0
2350,2010-01-08,IPG,7.27,7.27,7.08,7.3,6480800.0
2818,2010-01-11,IPG,7.25,7.47,7.22,7.47,5290500.0
3286,2010-01-12,IPG,7.41,7.29,7.23,7.41,4630700.0
3754,2010-01-13,IPG,7.31,7.38,7.19,7.45,3504500.0
4222,2010-01-14,IPG,7.4,7.22,7.14,7.46,11506600.0
4690,2010-01-15,IPG,7.17,7.16,6.98,7.24,8729100.0
5158,2010-01-19,IPG,7.18,7.12,7.07,7.21,3647900.0
5626,2010-01-20,IPG,7.03,7.15,6.95,7.16,5044800.0
6094,2010-01-21,IPG,7.24,7.01,6.98,7.33,6134600.0
6562,2010-01-22,IPG,6.99,6.85,6.81,7.02,5634000.0
7030,2010-01-25,IPG,6.94,6.78,6.76,6.94,3630100.0
7498,2010-01-26,IPG,6.73,6.66,6.63,6.82,4701300.0
7966,2010-01-27,IPG,6.61,6.47,6.38,6.63,9869000.0
8434,2010-01-28,IPG,6.5,6.52,6.46,6.67,5829200.0
8902,2010-01-29,IPG,6.56,6.46,6.41,6.61,6768800.0
9370,2010-02-01,IPG,6.52,6.6,6.47,6.65,7124600.0
9838,2010-02-02,IPG,6.63,6.72,6.52,6.76,6027600.0
10306,2010-02-03,IPG,6.73,6.69,6.59,6.88,5255000.0
10774,2010-02-04,IPG,6.63,6.41,6.37,6.67,6372200.0
11242,2010-02-05,IPG,6.57,6.39,6.21,6.57,10450500.0
11710,2010-02-08,IPG,6.44,6.35,6.29,6.51,7221600.0
12178,2010-02-09,IPG,6.44,6.4,6.31,6.5,8394300.0
12646,2010-02-10,IPG,6.36,6.5,6.33,6.66,7902000.0
13114,2010-02-11,IPG,6.49,6.73,6.4,6.76,6257700.0
13582,2010-02-12,IPG,6.7,6.72,6.6,6.74,5480200.0
14050,2010-02-16,IPG,6.82,6.87,6.77,6.9,4281600.0
14518,2010-02-17,IPG,6.84,6.98,6.84,7.02,5921900.0
14986,2010-02-18,IPG,6.98,7.09,6.92,7.12,4649300.0
15454,2010-02-19,IPG,7.05,7.11,7.02,7.19,3164100.0
15922,2010-02-22,IPG,7.15,7.06,6.96,7.18,3209600.0
16390,2010-02-23,IPG,7.07,6.85,6.76,7.07,6859700.0
16858,2010-02-24,IPG,6.86,6.82,6.76,6.96,8647700.0
17326,2010-02-25,IPG,6.68,6.75,6.59,6.77,13394300.0
17794,2010-02-26,IPG,6.89,7.5,6.77,7.71,32287700.0
18262,2010-03-01,IPG,7.52,8.26,7.52,8.39,25938400.0
18730,2010-03-02,IPG,8.18,8.17,8.1,8.37,10363400.0
19198,2010-03-03,IPG,8.2,8.18,8.1,8.39,8881400.0
19666,2010-03-04,IPG,8.22,8.29,8.12,8.33,6049600.0
20134,2010-03-05,IPG,8.33,8.45,8.32,8.56,10231300.0
20602,2010-03-08,IPG,8.45,8.51,8.37,8.66,7680800.0
21070,2010-03-09,IPG,8.41,8.52,8.37,8.56,5570100.0
21538,2010-03-10,IPG,8.47,8.58,8.35,8.65,3646900.0
22006,2010-03-11,IPG,8.56,8.53,8.18,8.6,3331300.0
22474,2010-03-12,IPG,8.49,8.42,8.33,8.56,8964700.0
22942,2010-03-15,IPG,8.44,8.34,8.22,8.5,6364200.0
23410,2010-03-16,IPG,8.36,8.43,8.29,8.43,2755800.0
23878,2010-03-17,IPG,8.45,8.54,8.42,8.58,5708600.0
24346,2010-03-18,IPG,8.51,8.64,8.48,8.69,6078400.0
24814,2010-03-19,IPG,8.61,8.61,8.53,8.75,5120300.0
25282,2010-03-22,IPG,8.53,8.73,8.43,8.79,5040800.0
25750,2010-03-23,IPG,8.74,8.79,8.46,8.87,5494600.0
26218,2010-03-24,IPG,8.73,8.53,8.39,8.73,9068700.0
26686,2010-03-25,IPG,8.65,8.39,8.36,8.65,4007800.0
27154,2010-03-26,IPG,8.4,8.33,8.33,8.57,5181500.0
27622,2010-03-29,IPG,8.38,8.49,8.3,8.55,5037000.0
28090,2010-03-30,IPG,8.49,8.5,8.34,8.58,4349200.0
28558,2010-03-31,IPG,8.49,8.32,8.31,8.59,4942700.0
29026,2010-04-01,IPG,8.4,8.49,8.3,8.5,4105700.0
29494,2010-04-05,IPG,8.5,8.67,8.45,8.67,3438300.0
29962,2010-04-06,IPG,8.62,8.52,8.52,8.67,4502700.0
30430,2010-04-07,IPG,8.53,8.54,8.48,8.62,3771000.0
30898,2010-04-08,IPG,8.51,8.47,8.34,8.52,3943700.0
31366,2010-04-09,IPG,8.49,8.72,8.41,8.82,6470200.0
31834,2010-04-12,IPG,8.77,8.77,8.65,8.82,4748000.0
32302,2010-04-13,IPG,8.77,8.64,8.62,8.84,2656200.0
32770,2010-04-14,IPG,8.64,9.05,8.64,9.29,11565100.0
33238,2010-04-15,IPG,9.05,9.22,8.96,9.3,5203700.0
33706,2010-04-16,IPG,9.17,8.96,8.9,9.24,4968200.0
34174,2010-04-19,IPG,8.93,9.06,8.72,9.09,5215300.0
34642,2010-04-20,IPG,9.44,9.74,9.43,9.93,16509800.0
35110,2010-04-21,IPG,9.77,9.64,9.48,9.8,9949000.0
35578,2010-04-22,IPG,9.6,9.85,9.5,9.86,6213100.0
36046,2010-04-23,IPG,9.86,9.73,9.66,9.89,6346700.0
36514,2010-04-26,IPG,9.78,9.87,9.74,9.89,6090200.0
36982,2010-04-27,IPG,9.77,9.42,9.36,9.83,8140600.0
37450,2010-04-28,IPG,9.52,9.27,9.17,9.62,10484900.0
37919,2010-04-29,IPG,9.06,9.5,9.06,9.7,12983500.0
38388,2010-04-30,IPG,9.53,8.91,8.86,9.56,11853500.0
38857,2010-05-03,IPG,8.98,8.99,8.9,9.08,7390200.0
39326,2010-05-04,IPG,8.88,8.45,8.25,8.89,10895000.0
39795,2010-05-05,IPG,8.37,8.4,8.16,8.55,10946100.0
40264,2010-05-06,IPG,8.34,8.05,7.43,12.25,11172900.0
40733,2010-05-07,IPG,8.35,7.72,7.5,8.35,9367100.0
41202,2010-05-10,IPG,8.14,8.36,7.84,8.51,12120200.0
41671,2010-05-11,IPG,8.2,8.17,8.09,8.35,6541600.0
42140,2010-05-12,IPG,8.21,8.42,8.18,8.48,6080900.0
42609,2010-05-13,IPG,8.37,8.38,8.26,8.6,7677400.0
43078,2010-05-14,IPG,8.29,8.05,7.92,8.34,5864700.0
43547,2010-05-17,IPG,8.06,8.09,7.84,8.2,4850300.0
44016,2010-05-18,IPG,8.19,8.04,7.94,8.28,7524900.0
44485,2010-05-19,IPG,7.98,7.9,7.77,8.03,8150000.0
44954,2010-05-20,IPG,7.65,7.58,7.53,7.88,10432800.0
45423,2010-05-21,IPG,7.44,7.77,7.28,7.83,11009200.0
45892,2010-05-24,IPG,8.2,7.87,7.68,8.2,11421600.0
46361,2010-05-25,IPG,7.62,7.8,7.32,7.83,13723400.0
46830,2010-05-26,IPG,7.83,7.92,7.82,8.27,12867800.0
47299,2010-05-27,IPG,8.05,8.58,8.05,8.61,10759200.0
47768,2010-05-28,IPG,8.56,8.35,8.31,8.61,8118700.0
48237,2010-06-01,IPG,8.22,7.92,7.92,8.41,7126900.0
