,date,symbol,open,close,low,high,volume
482,2010-01-04,ITW,48.59,48.57,48.060001,48.939999,2728100.0
950,2010-01-05,ITW,48.439999,48.439999,48.080002,48.580002,2247700.0
1418,2010-01-06,ITW,48.490002000000004,48.330002,48.029999,48.490002000000004,2575200.0
1886,2010-01-07,ITW,48.139998999999996,48.639998999999996,48.139998999999996,48.689999,2593100.0
2354,2010-01-08,ITW,48.52,49.099998,48.459998999999996,49.150002,3119500.0
2822,2010-01-11,ITW,49.41,49.950001,49.099998,50.150002,2944300.0
3290,2010-01-12,ITW,49.060001,48.689999,48.439999,49.689999,3908700.0
3758,2010-01-13,ITW,48.700001,48.66,48.220001,48.880001,2433700.0
4226,2010-01-14,ITW,48.48,48.509997999999996,48.23,48.599998,1803500.0
4694,2010-01-15,ITW,48.610001000000004,47.880001,47.790001000000004,48.610001000000004,3264200.0
5162,2010-01-19,ITW,47.93,48.66,47.810001,48.669998,3319100.0
5630,2010-01-20,ITW,48.150002,48.25,47.779999,48.349998,2660700.0
6098,2010-01-21,ITW,48.049999,45.900002,45.849998,48.209998999999996,5862000.0
6566,2010-01-22,ITW,45.73,45.349998,45.290001000000004,46.25,3519400.0
7034,2010-01-25,ITW,45.75,45.43,45.240002000000004,46.02,2080300.0
7502,2010-01-26,ITW,45.23,45.189999,44.849998,45.740002000000004,3237400.0
7970,2010-01-27,ITW,42.849998,43.990002000000004,42.389998999999996,44.560001,7651100.0
8438,2010-01-28,ITW,44.66,43.93,43.810001,44.889998999999996,4070500.0
8906,2010-01-29,ITW,44.139998999999996,43.59,43.5,44.689999,3473300.0
9374,2010-02-01,ITW,43.919998,43.700001,43.490002000000004,44.279999,3297300.0
9842,2010-02-02,ITW,43.799999,44.02,43.639998999999996,44.150002,5056100.0
10310,2010-02-03,ITW,43.75,43.740002000000004,43.5,44.07,3233200.0
10778,2010-02-04,ITW,43.400002,42.529999,42.459998999999996,43.419998,4017000.0
11246,2010-02-05,ITW,42.599998,42.66,41.939999,42.700001,4144200.0
11714,2010-02-08,ITW,42.709998999999996,42.25,42.240002000000004,43.029999,2383200.0
12182,2010-02-09,ITW,42.709998999999996,43.290001000000004,42.610001000000004,43.919998,3267100.0
12650,2010-02-10,ITW,43.240002000000004,42.990002000000004,42.639998999999996,43.349998,2126000.0
13118,2010-02-11,ITW,43.25,43.900002,42.68,43.990002000000004,3633600.0
13586,2010-02-12,ITW,43.380001,43.639998999999996,42.919998,43.810001,3109400.0
14054,2010-02-16,ITW,43.970001,44.689999,43.77,44.779999,2493900.0
14522,2010-02-17,ITW,44.950001,45.450001,44.73,45.549999,3815000.0
14990,2010-02-18,ITW,45.459998999999996,46.57,45.459998999999996,46.73,4462500.0
15458,2010-02-19,ITW,46.34,46.759997999999996,46.279999,47.110001000000004,3001800.0
15926,2010-02-22,ITW,46.970001,46.459998999999996,46.349998,47.0,2000900.0
16394,2010-02-23,ITW,46.27,45.610001000000004,45.400002,46.529999,3138300.0
16862,2010-02-24,ITW,45.869999,45.43,45.18,45.919998,3925200.0
17330,2010-02-25,ITW,44.970001,45.220001,44.299999,45.299999,2772500.0
17798,2010-02-26,ITW,45.240002000000004,45.52,45.080002,45.709998999999996,2254600.0
18266,2010-03-01,ITW,45.75,46.09,45.73,46.259997999999996,2135700.0
18734,2010-03-02,ITW,46.369999,46.040001000000004,45.959998999999996,46.490002000000004,2505700.0
19202,2010-03-03,ITW,46.099998,46.200001,46.099998,46.919998,2526400.0
19670,2010-03-04,ITW,46.450001,46.48,46.18,46.75,2373400.0
20138,2010-03-05,ITW,46.790001000000004,47.27,46.709998999999996,47.52,2518200.0
20606,2010-03-08,ITW,47.400002,46.66,46.650002,47.5,2355200.0
21074,2010-03-09,ITW,46.650002,46.639998999999996,46.400002,46.84,2394800.0
21542,2010-03-10,ITW,46.709998999999996,46.740002000000004,46.48,47.09,2024200.0
22010,2010-03-11,ITW,46.619999,46.66,45.900002,46.75,3519700.0
22478,2010-03-12,ITW,46.84,46.650002,46.0,46.98,4984900.0
22946,2010-03-15,ITW,46.540001000000004,45.470001,45.23,46.599998,4762900.0
23414,2010-03-16,ITW,45.549999,45.799999,45.48,46.169998,4462800.0
23882,2010-03-17,ITW,46.0,46.279999,45.91,46.740002000000004,4342900.0
24350,2010-03-18,ITW,46.27,47.189999,46.189999,47.389998999999996,3877400.0
24818,2010-03-19,ITW,46.77,46.77,46.599998,47.939999,4644000.0
25286,2010-03-22,ITW,46.389998999999996,46.939999,46.310001,47.16,2658100.0
25754,2010-03-23,ITW,47.09,47.540001000000004,46.68,47.599998,2294200.0
26222,2010-03-24,ITW,47.25,46.900002,46.779999,47.439999,2749100.0
26690,2010-03-25,ITW,47.18,46.790001000000004,46.740002000000004,47.490002000000004,2781100.0
27158,2010-03-26,ITW,46.91,47.23,46.810001,47.419998,3180000.0
27626,2010-03-29,ITW,47.34,47.209998999999996,47.02,47.48,3240900.0
28094,2010-03-30,ITW,47.349998,47.43,47.169998,47.720001,2508000.0
28562,2010-03-31,ITW,47.41,47.360001000000004,47.02,47.740002000000004,2469000.0
29030,2010-04-01,ITW,47.529999,47.68,47.139998999999996,48.0,3977000.0
29498,2010-04-05,ITW,47.740002000000004,47.880001,47.450001,48.0,3175300.0
29966,2010-04-06,ITW,47.709998999999996,47.700001,47.380001,47.779999,2258700.0
30434,2010-04-07,ITW,47.59,47.240002000000004,47.0,47.669998,3455300.0
30902,2010-04-08,ITW,47.150002,47.209998999999996,46.610001000000004,47.27,2141900.0
31370,2010-04-09,ITW,47.220001,47.73,47.18,47.759997999999996,2250400.0
31838,2010-04-12,ITW,47.740002000000004,47.959998999999996,47.360001000000004,47.970001,3005900.0
32306,2010-04-13,ITW,47.779999,47.900002,47.5,48.080002,3115200.0
32774,2010-04-14,ITW,48.080002,48.360001000000004,47.779999,48.43,4904600.0
33242,2010-04-15,ITW,48.91,49.549999,48.66,49.689999,7125500.0
33710,2010-04-16,ITW,49.380001,49.009997999999996,48.529999,49.580002,4783000.0
34178,2010-04-19,ITW,49.009997999999996,48.810001,48.360001000000004,49.599998,4919300.0
34646,2010-04-20,ITW,50.220001,50.709998999999996,50.209998999999996,51.279999,9909100.0
35114,2010-04-21,ITW,50.84,51.049999,50.259997999999996,51.169998,5143300.0
35582,2010-04-22,ITW,50.68,52.349998,50.32,52.48,6796700.0
36050,2010-04-23,ITW,52.049999,52.43,50.84,52.490002000000004,5254600.0
36518,2010-04-26,ITW,52.110001000000004,52.5,52.110001000000004,52.720001,3967000.0
36986,2010-04-27,ITW,52.27,50.98,50.869999,52.27,5002100.0
37454,2010-04-28,ITW,51.209998999999996,51.220001,50.599998,51.400002,4293900.0
37923,2010-04-29,ITW,51.669998,52.279999,51.439999,52.299999,2540600.0
38392,2010-04-30,ITW,52.380001,51.099998,51.049999,52.57,3760200.0
38861,2010-05-03,ITW,51.43,52.0,51.099998,52.099998,2283600.0
39330,2010-05-04,ITW,51.310001,50.369999,50.099998,51.360001000000004,2679400.0
39799,2010-05-05,ITW,49.959998999999996,49.77,49.560001,50.290001000000004,2915800.0
40268,2010-05-06,ITW,49.529999,48.240002000000004,45.450001,50.450001,5478800.0
40737,2010-05-07,ITW,48.119999,47.709998999999996,46.93,48.630001,5777500.0
41206,2010-05-10,ITW,49.880001,50.240002000000004,49.549999,50.48,4217600.0
41675,2010-05-11,ITW,49.66,50.119999,49.599998,50.900002,4329200.0
42144,2010-05-12,ITW,50.439999,51.490002000000004,50.439999,51.549999,3762600.0
42613,2010-05-13,ITW,51.450001,50.490002000000004,50.360001000000004,51.470001,3335500.0
43082,2010-05-14,ITW,49.98,49.360001000000004,48.860001000000004,50.18,3711200.0
43551,2010-05-17,ITW,49.48,49.720001,48.759997999999996,50.130001,3664500.0
44020,2010-05-18,ITW,50.200001,48.799999,48.689999,50.68,3535100.0
44489,2010-05-19,ITW,48.5,47.5,47.02,48.720001,4711100.0
44958,2010-05-20,ITW,46.549999,45.119999,45.110001000000004,46.580002,4813500.0
45427,2010-05-21,ITW,44.259997999999996,45.540001000000004,44.080002,45.869999,5858200.0
45896,2010-05-24,ITW,45.27,45.259997999999996,45.150002,46.0,3684400.0
46365,2010-05-25,ITW,44.02,45.110001000000004,43.34,45.209998999999996,3352500.0
46834,2010-05-26,ITW,45.490002000000004,45.16,45.110001000000004,46.23,3633500.0
47303,2010-05-27,ITW,46.16,46.93,46.0,46.959998999999996,3356200.0
47772,2010-05-28,ITW,46.889998999999996,46.43,46.080002,47.049999,3354900.0
48241,2010-06-01,ITW,46.09,45.16,45.080002,46.73,4046200.0
48710,2010-06-02,ITW,45.310001,46.43,45.049999,46.459998999999996,2822000.0
49179,2010-06-03,ITW,46.82,46.759997999999996,46.43,47.040001000000004,2815200.0
49648,2010-06-04,ITW,45.830002,44.240002000000004,44.060001,45.889998999999996,4178700.0
50117,2010-06-07,ITW,44.330002,43.279999,43.27,44.490002000000004,3102700.0
50586,2010-06-08,ITW,43.360001000000004,43.400002,42.869999,43.860001000000004,4614200.0
